科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
收到其他与筹资活动有关的现金,"810,073.97","450,267.71","1,023,628.30","207,157.78","207,157.78","512,843.48","512,843.48","512,843.48","512,843.48",,,,"738,950.00",,,"373,997.36"
支付其他与经营活动有关的现金,"38,491,508.29","33,813,357.40","31,491,097.53","41,414,291.81","65,678,373.13","16,222,700.68","42,179,375.20","51,414,651.29","69,983,724.20","23,340,643.96","38,205,581.83","61,497,885.77","76,918,563.31","20,491,974.73","55,799,059.93","83,381,963.32"
筹资活动现金流入小计,"155,440,073.97","2,700,267.71","30,023,628.30","113,893,742.78","178,893,742.78","498,838,003.48","498,904,503.48","499,474,503.48","499,474,503.48","1,000,000.00","4,245,000.00","12,212,500.00","15,452,950.00",,,"12,108,947.36"
经营活动现金流出小计,"437,311,894.49","453,196,454.90","601,137,982.67","655,527,873.25","919,873,479.63","233,223,591.30","499,853,495.61","782,990,529.89","958,937,457.24","294,106,816.19","626,271,018.85","971,291,648.86","1,266,258,828.55","403,446,040.80","783,691,247.03","1,225,371,103.85"
偿还债务支付的现金,"95,000,000.00",,"29,000,000.00","48,000,000.00","83,000,000.00","145,000,000.00","145,000,000.00","145,000,000.00","145,000,000.00",,,,,,,
经营活动产生的现金流量净额,"183,294,032.96","155,573,764.88","125,171,698.68","124,382,995.95","140,606,213.15","29,734,785.21","112,287,076.54","137,249,883.36","153,950,553.95","53,287,351.33","28,130,793.47","97,489,257.48","42,906,310.64","107,618,248.90","164,769,462.98","337,692,081.67"
分配股利、利润或偿还利息支付的现金,"91,272,346.09","66,600,000.00","326,900.18","102,913,802.14","103,965,524.37","1,258,466.67","66,163,077.34","66,163,077.34","66,163,077.34","2,509,406.44","2,509,406.44","57,109,406.44","57,109,406.44",,"105,432,400.84","105,432,400.84"
收回投资收到的现金,,,,"500,000.00","500,000.00",,,,,,,,"40,000,000.00",,,
支付其他与筹资活动有关的现金,"450,267.71","1,023,628.30","2,460,948.22","693,944.24","693,944.24","4,592,515.99","8,425,851.05","8,425,851.05","8,863,587.00",,,,"830,450.00","373,997.36","373,997.36","5,603,220.69"
取得投资收益收到的现金,,,,,,,,"5,183,859.67","6,750,950.54","1,764,583.33","3,104,440.67","3,698,918.76","7,178,760.31","1,012,847.27","1,542,165.40","1,542,165.40"
筹资活动现金流出小计,"186,722,613.80","67,623,628.30","31,787,848.40","151,607,746.38","187,659,468.61","150,850,982.66","219,588,928.39","219,588,928.39","220,026,664.34","2,509,406.44","2,509,406.44","57,109,406.44","57,939,856.44","373,997.36","105,806,398.20","111,035,621.53"
处置固定资产、无形资产和其他长期资产收回的现金净额,"86,879.91","11,538.46","174,729.06","1,077,667.11","420,139.06","384,615.40","427,234.55","1,440,602.30","817,227.77","259,687.24","966,184.58","1,490,609.27","2,436,453.28","1,702,291.98","4,504,872.78","13,447,363.13"
筹资活动产生的现金流量净额,"-31,282,539.83","-64,923,360.59","-1,764,220.10","-37,714,003.60","-8,765,725.83","347,987,020.82","279,315,575.09","279,885,575.09","279,447,839.14","-1,509,406.44","1,735,593.56","-44,896,906.44","-42,486,906.44","-373,997.36","-105,806,398.20","-98,926,674.17"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-4,898,517.43","1,765,424.28","-3,084,567.01","-1,505,796.41","-3,424,169.29","-4,001,978.42","-2,953,472.22","-505,977.70","2,003,623.49","-1,727,965.97","5,039,773.91","-5,535,340.76","4,598,764.39","1,453,098.14","1,123,331.26","-390,364.01"
收到其他与投资活动有关的现金,,,,"1,668,340.00","1,668,340.00",,,,"482,500,000.00","130,000,000.00","285,000,000.00","375,000,000.00","448,000,000.00","95,365,040.00","158,365,040.00","167,365,040.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,
投资活动现金流入小计,"86,879.91","11,538.46","174,729.06","3,246,007.11","2,588,479.06","384,615.40","427,234.55","6,624,461.97","490,068,178.31","132,024,270.57","289,070,625.25","380,189,528.03","497,615,213.59","98,080,179.25","164,412,078.18","182,354,568.53"
五、现金及现金等价物净增加额,"68,968,257.27","6,366,468.64","-57,484,080.51","-29,096,202.54","-26,260,974.58","91,121,492.72","127,099,908.11","116,019,664.41","198,935,498.78","4,026,892.12","26,715,584.91","-1,749,553.70","-20,711,358.26","109,815,008.88","86,963,866.57","239,176,316.22"
购建固定资产、无形资产和其他长期资产支付的现金,"49,337,787.87","84,560,898.39","176,313,381.14","116,947,819.96","156,700,860.36","32,982,950.29","63,976,505.85","82,234,278.31","94,034,696.11","19,547,357.37","25,396,161.28","57,131,052.01","69,879,700.44","36,962,520.05","57,185,607.65","101,204,295.80"
期初现金及现金等价物余额,"62,400,134.32","131,368,391.59","137,734,860.23","80,250,779.72","80,250,779.72","53,989,805.14","53,989,805.14","53,865,209.53","53,989,805.14","252,925,303.92","252,925,303.92","252,925,303.92","252,925,303.92","232,213,945.66","232,213,945.66","232,213,945.66"
投资支付的现金,,"1,500,000.00","1,668,340.00",,,,,,,"3,500,000.00","43,500,000.00","43,500,000.00","43,500,000.00",,"20,349,000.00","20,349,000.00"
期末现金及现金等价物余额,"131,368,391.59","137,734,860.23","80,250,779.72","51,154,577.18","53,989,805.14","145,111,297.86","181,089,713.25","169,884,873.94","252,925,303.92","256,952,196.04","279,640,888.83","251,175,750.22","232,213,945.66","342,028,954.54","319,177,812.23","471,390,261.88"
