科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
经营活动现金流出小计,"117,915,813.43","191,867,230.96","253,940,869.81",,"141,604,353.20","216,628,729.03","305,404,530.30","91,273,226.24","179,236,224.75","293,775,323.80","407,155,360.94","132,789,093.45","256,178,977.54","404,274,349.36","568,633,729.53"
偿还债务支付的现金,"95,950,000.00","62,000,000.00","22,855,929.25",,"85,500,805.00","182,377,447.62","216,877,447.62","68,127,354.65","97,546,549.65","338,926,549.65","346,169,216.81","67,000,000.00","67,000,000.00","67,085,070.74","91,162,147.26"
经营活动产生的现金流量净额,"94,555,575.76","93,028,601.01","170,310,081.10","59,059,700.00","76,247,190.87","125,119,137.34","209,431,109.19","94,945,597.20","93,195,335.76","142,772,501.39","233,392,235.32","46,115,416.59","74,579,998.77","141,944,326.02","207,336,130.29"
分配股利、利润或偿还利息支付的现金,"23,435,978.22","16,272,983.19","25,292,821.50",,"19,140,884.95","30,419,236.02","35,565,787.39","2,550,705.10","24,790,230.09","28,302,999.11","31,403,685.44","25,400,265.13","46,126,906.65","49,669,387.41","54,671,370.17"
收回投资收到的现金,"1,107,000.00",,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,"6,960,000.00","76,922,731.20",,,,"13,250,000.00","68,698,135.09","68,698,135.09","68,698,135.09","71,573,135.09"
取得投资收益收到的现金,"7,000.00","6,260.84",,,,,"2,682,972.20","1,856,663.02","3,956,371.23","6,700,438.36","13,844,909.59","8,501,520.56","19,401,654.46","27,356,982.85","37,155,593.82"
筹资活动现金流出小计,"119,385,978.22","78,272,983.19","48,148,750.75",,"104,641,689.95","219,756,683.64","329,365,966.21","70,678,059.75","122,336,779.74","367,229,548.76","390,822,902.25","161,098,400.22","181,825,041.74","185,452,593.24","217,406,652.52"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,"2,000.00","404,570.80","428,797.80","428,797.80","428,797.80",,"207,180.00",,
筹资活动产生的现金流量净额,"168,914,021.78","142,977,016.81","110,851,249.25","-57,615,100.00","389,268,310.05","274,153,316.36","244,155,393.79","43,420,010.25","97,761,290.26","963,571,514.38","1,276,978,160.89","-161,098,400.22","-181,825,041.74","-185,452,593.24","687,533,347.48"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,"-1,060,923.84",,,"-2,315,191.95","-2,141,765.55","58,528.00","69,390.40","95,697.34","52,526.25",,,"11,283.33","11,283.33"
收到其他与投资活动有关的现金,,,,,,,"255,150,000.00","226,000,000.00","475,000,000.00","747,000,000.00","1,638,000,000.00","1,114,000,000.00","2,247,000,000.00","3,241,000,000.00","4,172,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,114,000.00","6,260.84",,,,,"257,834,972.20","228,261,233.82","479,385,169.03","754,129,236.16","1,652,273,707.39","1,122,501,520.56","2,266,608,834.46","3,268,356,982.85","4,209,155,593.82"
五、现金及现金等价物净增加额,"31,567,926.15","64,272,189.05","88,855,897.05","-27,290,500.00","361,961,301.69","33,705,374.19","-53,348,306.15","73,819,110.77","-48,455,675.30","193,757,506.66","161,681,776.63","-169,588,788.01","-149,067,107.62","-218,070,205.81","818,363,911.90"
购建固定资产、无形资产和其他长期资产支付的现金,"233,015,671.39","171,739,689.61","191,244,509.46",,"96,670,777.23","126,218,465.56","185,665,318.96","79,866,258.50","230,866,860.75","368,811,442.61","479,648,837.22","86,107,324.94","173,023,334.14","342,355,225.82","502,145,139.07"
期初现金及现金等价物余额,"55,672,612.03","87,240,538.18","151,512,727.23",,"240,368,624.28","240,368,624.28","240,368,624.28","187,020,318.13","187,020,318.13","187,020,318.13","187,020,318.13","348,702,094.76","348,702,094.76","348,702,094.76","348,702,094.76"
投资支付的现金,,,,,"6,883,422.00","6,883,422.00",,,,,,"8,000,000.00",,,"20,000,000.00"
期末现金及现金等价物余额,"87,240,538.18","151,512,727.23","240,368,624.28",,"602,329,925.97","274,073,998.47","187,020,318.13","260,839,428.90","138,564,642.83","380,777,824.79","348,702,094.76","179,113,306.75","199,634,987.14","130,631,888.95","1,167,066,006.66"
