科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
筹资活动现金流出小计,"1,023,241,043.05","1,906,651,891.52","2,505,211,985.90","3,029,893,617.31","758,329,101.35","1,334,559,842.14","1,941,806,131.52","2,939,310,438.25","1,028,341,614.08","2,732,390,616.56","3,623,183,427.37","7,006,154,713.77","1,682,350,037.80","2,771,483,386.01","4,505,578,054.03","5,145,159,688.83","1,093,084,348.62","3,366,691,433.97","4,606,444,677.82","5,734,708,704.48","1,418,565,040.41","3,881,684,066.99","5,090,077,865.02","5,967,983,030.28","771,859,126.58","2,753,467,995.31","4,517,673,771.48","6,420,876,824.60","1,398,552,578.35","3,452,652,304.35","4,769,279,581.82","7,408,727,182.94","1,501,849,394.06","3,970,664,318.01","5,320,080,842.16","7,572,487,969.99","1,667,242,496.97","4,067,646,571.85","4,982,825,021.10","7,091,975,725.66","919,395,076.11","3,012,141,442.21","4,488,232,023.69","5,637,289,548.75"
处置固定资产、无形资产和其他长期资产收回的现金净额,"10,000.00","152,128.36","152,128.36","274,599.97",,"383,000.00","456,360.00","617,900.00",,,,"2,555,805.34","120,000.00",,"796,826.20","415,736.54",,"1,518,783.33","37,047,171.65","39,883,109.01",,"1,107,893.51","1,107,893.51","8,600,882.09","28,419.40",,"214,000.00","5,209,689.89",,"14,800.00","14,800.00","9,314,800.00",,"20,554,163.00","20,554,163.00","20,274,300.00","11,539,380.00","11,539,380.00","11,539,380.00","11,540,495.00",,"410,980.70","410,980.70","22,786.70"
筹资活动产生的现金流量净额,"-151,613,912.24","-415,096,673.31","-456,930,398.05","-256,528,494.89","136,798,861.54","-81,273,574.82","-312,852,345.20","100,191,253.53","227,451,576.86","60,122,610.41","1,544,332,831.99","428,367,816.11","-210,110,791.58","675,470,847.32","1,876,270,669.52","2,444,785,309.89","313,524,121.19","1,071,283,799.67","937,059,141.88","1,363,038,086.66","-485,546,492.49","-867,189,135.21","-1,047,872,634.78","-1,553,882,786.85","34,762,302.36","338,346,732.68","-259,577,778.39","-1,113,473,260.91","-535,704,282.98","158,140,421.58","-22,971,061.89","-708,279,777.69","-227,105,462.59","-907,010,696.75","-1,050,460,105.96","-1,421,475,743.99","437,529,587.47","-373,670,102.57","-969,227,693.45","-1,702,508,735.94","91,174,432.28","-250,401,962.78","-1,616,612,266.49","-1,658,834,395.56"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,000,000.00",,,,,,,,
四、汇率变动对现金的影响,"6,281,680.79","9,572,661.39","-9,339,162.35","7,220.74","1,907,717.63","2,293,105.37","-1,058,568.58","16,023,255.80","202,147.35","7,130,850.91","-1,116,503.76","7,026,441.47","-8,788,478.03","684,657.48","-618,197.71","1,167,886.62","-361,284.46","-965,852.33","16,165,037.23","3,420,785.99","-3,760,629.69","-6,187,665.66","-10,896,243.70","-6,961,782.33","1,726,853.01","-863,043.18","10,748,191.65","607,815.47","144,015.49","-10,151,437.36","-5,895,850.98","-6,759,365.86","-7,919,497.81","-12,002,266.31","-20,565,511.61","-16,545,046.31","-519,629.50","-2,213,996.42","-3,898,579.95","-6,352,445.59","-2,308,905.78","-2,423,896.96","-11,841,076.66","-11,661,906.75"
收到其他与投资活动有关的现金,"21,700,000.00","22,850,000.00","22,850,000.00","22,250,000.00","300,000.00","7,998,681.98","47,998,681.98","174,928,010.01","100,000,000.00","176,310,381.36","176,310,381.36","542,635,976.72","1,017,606.40","9,231,163.80","23,372,353.78","35,015,000.00","8,680,950.00","31,139,438.19","27,769,362.38","67,282,600.00","40,812,161.65","48,034,519.95","56,331,200.00","65,102,964.50","8,603,000.00","8,972,287.67","13,993,000.00","37,550,000.00","4,370,000.00","20,545,000.00","24,938,000.00","99,120,500.00","36,565,652.00","70,447,942.57","85,230,485.55","20,359,295.00","25,500,000.00","373,175,000.00","387,014,362.00","848,341,362.00","117,167,266.52","400,021,000.00","686,699,573.17","1,062,514,918.94"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"21,710,000.00","23,002,128.36","23,002,128.36","22,524,599.97","300,000.00","8,381,681.98","48,455,041.98","175,545,910.01","100,000,000.00","176,310,381.36","176,310,381.36","545,191,782.06","1,137,606.40","9,231,163.80","24,169,179.98","35,430,736.54","8,680,950.00","32,658,221.52","64,816,534.03","108,034,595.63","40,812,161.65","49,217,394.89","57,530,796.86","106,856,000.17","8,752,185.61","9,143,707.34","14,509,670.79","43,040,731.36","4,726,987.70","21,276,668.43","26,379,144.96","110,056,631.36","38,971,151.69","94,768,654.82","110,092,170.05","56,553,554.73","38,254,277.50","386,693,976.92","403,216,652.09","865,688,101.11","121,990,426.27","407,523,688.47","704,854,746.44","1,083,681,439.69"
五、现金及现金等价物净增加额,"-261,497,796.73","-235,828,281.15","-97,336,718.65","248,774,981.56","127,469,240.57","461,660,665.79","-162,421,647.94","-173,411,194.87","318,234,328.15","96,771,188.56","1,375,622,928.29","476,383,757.40","-342,803,347.56","-241,628,131.27","-430,995,337.82","-9,723,439.66","-66,916,712.06","788,769,325.14","193,544,954.83","628,887,196.99","-558,062,641.24","-792,169,408.14","-752,268,143.57","-922,146,527.95","166,207,026.40","157,568,343.78","-366,310,792.47","95,272,221.05","-326,207,838.88","553,088,350.77","407,172,317.87","32,410,148.52","-179,158,506.02","-242,241,972.07","70,295,987.43","-262,812,334.37","572,100,418.98","141,566,557.67","168,941,592.18","151,610,269.98","274,762,213.02","607,580,928.23","441,145,269.78","366,388,020.60"
购建固定资产、无形资产和其他长期资产支付的现金,"16,163,515.83","83,437,838.87","168,508,943.60","245,696,980.04","147,452,697.90","389,750,231.93","647,422,311.31","955,008,160.69","207,173,921.92","449,267,811.88","868,407,631.24","1,497,944,502.06","232,843,864.87","979,264,000.63","2,363,029,377.39","2,769,551,879.83","634,927,444.93","856,284,231.27","1,387,235,804.58","1,802,625,529.23","211,696,788.90","474,452,646.86","516,887,216.66","872,364,945.67","145,628,648.61","328,905,064.59","419,923,049.60","502,849,241.39","86,391,758.33","145,279,761.89","215,800,517.00","478,350,676.91","127,779,650.54","146,180,336.93","203,513,102.22","387,753,526.36","76,215,898.39","105,169,408.53","147,053,793.94","212,361,635.15","42,958,648.29","78,159,605.81","190,156,675.67","302,163,562.85"
期初现金及现金等价物余额,"632,627,326.90","646,715,384.67","646,715,384.67","649,206,628.34","897,981,609.90","897,981,609.90","897,981,609.90","891,100,125.60","717,688,930.73","717,688,930.73","717,688,930.73","717,688,930.73","1,194,073,060.96","1,194,072,688.13","1,194,072,688.13","1,194,072,688.13","1,184,349,248.47","1,184,349,248.47","1,184,349,248.47","1,184,349,248.47","1,813,236,445.46","1,813,236,445.46","1,813,236,445.46","1,813,236,445.46","891,089,917.51","891,089,917.51","891,089,917.51","891,089,917.51","986,362,138.56","986,362,138.56","986,362,138.56","986,362,138.56","1,018,772,287.08","1,018,772,287.08","1,018,772,287.08","1,018,772,287.08","755,959,952.71","755,959,952.71","755,959,952.71","755,959,952.71","907,570,222.69","907,570,222.69","907,570,222.69","907,570,222.69"
投资支付的现金,"17,229,550.40","94,068,305.60","94,068,305.60","94,068,305.60",,,"3,500,589.00","3,500,589.00",,"20,000,000.00",,"3,000,000.00",,"26,250,000.00","26,250,000.00","27,525,452.24",,"15,750,000.00","15,750,000.00","86,655,500.00",,,,,,,,,,,,,,,,,,,,,,,,
期末现金及现金等价物余额,"371,129,530.17","410,887,103.52","549,378,666.02","897,981,609.90","1,025,450,850.47","1,359,642,275.69","735,559,961.96","717,688,930.73","1,035,923,258.88","814,460,119.29","2,093,311,859.02","1,194,072,688.13","851,269,713.40","952,444,556.86","763,077,350.31","1,184,349,248.47","1,117,432,536.41","1,973,118,573.61","1,377,894,203.30","1,813,236,445.46","1,255,173,804.22","1,021,067,037.32","1,060,968,301.89","891,089,917.51","1,057,296,943.91","1,048,658,261.29","524,779,125.04","986,362,138.56","660,154,299.68","1,539,450,489.33","1,393,534,456.43","1,018,772,287.08","839,613,781.06","776,530,315.01","1,089,068,274.51","755,959,952.71","1,328,060,371.69","897,526,510.38","924,901,544.89","907,570,222.69","1,182,332,435.71","1,515,151,150.92","1,348,715,492.47","1,273,958,243.29"
