科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"422,107,024.50","419,006,326.36","452,219,585.49",,"248,858,148.79","376,829,560.67","509,987,556.87","130,310,262.16","274,879,639.36","415,029,730.97","561,186,821.13","141,629,092.21","269,356,247.60","399,480,740.89","562,117,793.75","131,741,537.44","260,175,608.98","385,025,856.71","504,422,426.43","145,251,712.72","269,347,527.69"
取得借款收到的现金,"231,700,661.73","31,459,500.00",,,,,,,,,,,,,,,,,,,
支付的各项税费,"70,149,383.43","78,543,455.23","101,304,821.07",,"108,843,918.67","163,009,329.38","234,473,548.48","51,533,520.27","111,362,499.48","168,548,598.12","243,306,400.05","73,329,865.52","114,087,641.31","138,549,988.80","157,029,096.87","38,115,792.94","82,326,820.75","127,502,592.46","178,431,788.22","33,138,800.77","58,557,341.10"
收到其他与筹资活动有关的现金,,,,,,,"10,386,400.00","5,239,279.01","22,646,820.03","27,478,837.65","33,626,578.18","364,505.92","16,952,982.76","17,376,124.16","19,585,424.18","306,232.01","14,439,207.63","25,002,495.51","28,425,750.24","1,210,719.31","15,231,518.50"
支付其他与经营活动有关的现金,"46,382,152.45","34,158,710.30","34,137,119.46",,"15,094,064.14","31,780,870.79","46,459,679.28","7,875,374.03","17,294,339.84","26,553,621.42","38,894,019.57","9,840,201.87","20,760,090.01","38,170,438.70","56,441,814.49","13,909,959.12","29,294,856.11","44,627,333.37","59,004,458.71","13,553,600.20","27,161,784.27"
筹资活动现金流入小计,"231,700,661.73","31,459,500.00",,,"1,377,900,000.00","1,377,900,000.00","1,330,792,500.00","5,239,279.01","22,646,820.03","27,478,837.65","33,626,578.18","364,505.92","120,843,650.76","121,266,792.16","123,476,092.18","306,232.01","14,439,207.63","37,553,481.06","44,551,112.31","1,889,213.61","16,655,496.80"
经营活动现金流出小计,"2,440,025,979.27","2,443,221,828.12","2,235,570,410.84",,"1,252,644,856.71","1,873,993,549.34","2,523,377,125.85","649,450,021.70","1,318,418,813.40","1,988,994,171.87","2,723,594,667.88","669,726,908.85","1,280,324,232.28","1,911,596,000.19","2,611,559,359.10","707,006,656.19","1,434,233,409.67","2,156,162,382.19","2,837,400,558.54","707,472,682.40","1,418,033,218.97"
偿还债务支付的现金,"351,810,000.00","213,217,796.98","102,449,959.14",,,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"414,331,280.94","510,530,966.34","535,524,124.16","72,535,100.00","106,952,053.68","205,153,890.81","284,836,034.12","113,363,585.64","129,211,624.73","333,975,793.45","566,938,085.61","94,116,792.73","173,286,358.15","416,070,461.31","568,841,496.43","187,311,267.07","252,956,666.89","435,403,372.79","683,323,197.45","201,650,989.15","274,495,533.20"
分配股利、利润或偿还利息支付的现金,"6,991,824.77","4,618,226.34","205,004.77",,,"28,614,363.32","29,340,000.00",,"83,130,000.00","83,130,000.00","83,130,000.00",,"220,050,000.00","220,050,000.00","220,050,000.00",,"497,382,420.00","746,526,210.26","746,526,210.26",,
收回投资收到的现金,,,,,,,,,,,,,,,,,,"149,739.72","1,038,163.68","79,556,231.75","486,697,206.54"
支付其他与筹资活动有关的现金,,,,,"58,441,900.00","62,935,243.09","5,441,343.09",,,,,,"1,072,619.69","1,095,159.79","1,072,619.69","92,316.00","3,385,155.69","4,124,783.58","4,124,783.58","12,333,825.52","12,653,836.84"
取得投资收益收到的现金,,,,,,,,,"155,727.90","9,474,006.15","6,171,536.32","1,260,305.35","1,404,489.20","1,411,233.86","1,413,795.47","3,016.30",,"39,453.55","2,489,152.36","5,025,556.08","7,567,956.76"
筹资活动现金流出小计,"358,801,824.77","217,836,023.32","102,654,963.91",,"58,441,900.00","91,549,606.41","34,781,343.09",,"83,130,000.00","83,130,000.00","83,130,000.00",,"221,122,619.69","221,145,159.79","221,122,619.69","92,316.00","500,767,575.69","750,650,993.84","750,650,993.84","12,333,825.52","12,653,836.84"
处置固定资产、无形资产和其他长期资产收回的现金净额,"22,858.00","487,670.00","871,301.00",,"385,697.38","465,697.38","574,697.38","2,298,869.60","2,330,669.60","2,330,669.60","2,410,669.60","155,000.00","281,675.50","552,925.50","2,225,881.00",,,"115,000.00","2,508,134.50",,
筹资活动产生的现金流量净额,"-127,101,163.04","-186,376,523.32","-102,654,963.91",,"1,319,458,100.00","1,286,350,393.59","1,296,011,156.91","5,239,279.01","-60,483,179.97","-55,651,162.35","-49,503,421.82","364,505.92","-100,278,968.93","-99,878,367.63","-97,646,527.51","213,916.01","-486,328,368.06","-713,097,512.78","-706,099,881.53","-10,444,611.91","4,001,659.96"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-14,232,343.86","-3,347,346.07","-23,847,108.12","1,385,900.00","4,824,684.17","4,400,479.39","3,767,257.00","5,674,777.30","8,025,479.88","24,860,654.11","44,794,577.55","-8,457,486.22","24,590,779.50","34,165,684.34","101,266,296.55","-8,986,480.03","-44,882,547.04","-83,843,577.84","-102,492,556.06","-50,566,221.53","-30,491,715.51"
收到其他与投资活动有关的现金,,,,,,,,,"870,000.00","870,000.00","870,000.00",,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"22,858.00","487,670.00","871,301.00",,"385,697.38","465,697.38","574,697.38","2,298,869.60","3,356,397.50","12,674,675.75","9,452,205.92","1,415,305.35","1,686,164.70","1,964,159.36","3,639,676.47","3,016.30",,"304,193.27","6,035,450.54","84,581,787.83","494,265,163.30"
五、现金及现金等价物净增加额,"150,418,908.13","253,234,148.69","363,339,582.44","58,216,300.00","1,403,104,218.42","1,429,230,171.28","1,495,036,986.02","106,830,470.73","41,303,428.72","240,530,188.59","463,097,502.48","55,535,305.44","44,343,971.00","249,944,786.81","369,601,985.96","156,384,021.29","-355,752,513.67","-531,948,984.77","-799,298,152.52","165,241,725.43","-564,650,610.12"
购建固定资产、无形资产和其他长期资产支付的现金,"122,040,723.91","68,060,618.26","46,553,770.69",,"28,516,316.81","67,140,289.89","90,152,159.39","19,746,040.82","38,806,893.42","75,329,772.37","108,583,944.78","31,903,812.34","54,940,362.42","94,877,150.57","132,220,656.98","22,157,698.06","46,774,012.24","114,149,795.76","211,947,927.47","55,481,352.17","93,552,385.13"
期初现金及现金等价物余额,"307,190,002.01","457,608,910.14","710,843,058.83",,"1,074,182,641.27","1,074,182,641.27","1,074,182,641.27","2,569,219,627.29","2,569,219,627.29","2,569,219,627.29","2,569,219,627.29","3,032,317,129.77","3,032,317,129.77","3,032,317,129.77","3,032,317,129.77","3,401,919,115.73","3,401,919,115.73","3,401,919,115.73","3,401,919,115.73","2,602,620,963.21","2,602,620,963.21"
投资支付的现金,,,,,,,,,,,,,,"7,500,000.00","74,278,299.00",,"30,724,253.22","56,565,664.45","468,116,435.45","4,498,865.94","1,213,368,865.94"
期末现金及现金等价物余额,"457,608,910.14","710,843,058.83","1,074,182,641.27",,"2,477,286,859.69","2,503,412,812.55","2,569,219,627.29","2,676,050,098.02","2,610,523,056.01","2,809,749,815.88","3,032,317,129.77","3,087,852,435.21","3,076,661,100.77","3,282,261,916.58","3,401,919,115.73","3,558,303,137.02","3,046,166,602.06","2,869,970,130.96","2,602,620,963.21","2,767,862,688.64","2,037,970,353.09"
