科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
筹资活动现金流入小计,"151,050,045.00","109,000,000.00",,"205,342.50","205,342.50","774,950,000.00","774,950,000.00","774,950,000.00","774,950,000.00",,,"5,308,847.74","15,006,621.76",,"17,156,326.07","17,156,326.07"
经营活动现金流出小计,"1,365,124,349.44","1,410,431,229.56","1,605,991,851.97","1,391,377,306.58","1,840,562,782.63","514,655,601.71","1,011,233,134.51","1,479,694,677.46","2,015,545,412.76","641,752,533.08","1,248,686,522.87","1,879,521,279.53","2,504,601,226.97","745,762,674.27","1,431,662,062.26","1,998,787,974.97"
偿还债务支付的现金,"140,000,000.00","170,315,045.00","29,000,000.00","205,835.38","205,835.38",,,,,,,,,,"1,000,000.00","1,000,000.00"
经营活动产生的现金流量净额,"83,123,682.63","128,915,557.08","145,198,991.72","72,500,753.36","117,367,127.65","-19,918,706.75","49,867,415.14","124,851,177.48","188,079,404.36","-46,711,490.25","19,221,157.49","87,140,162.97","157,512,556.23","-130,200,838.06","-151,987,506.95","-26,732,213.71"
分配股利、利润或偿还利息支付的现金,"27,547,277.83","3,185,597.47","24,636,177.78","42,917,025.02","42,917,025.02",,"50,756,700.56","51,445,875.71","51,445,875.71","1,472,416.00","135,646,416.00","135,646,416.00","137,370,998.08","515,308.67","66,680,419.50","66,770,141.94"
收回投资收到的现金,,,,"90,154,000.00","90,154,000.00",,"97,000,000.00","126,578,000.00","226,160,000.00","453,906,000.00","534,000,000.00","534,000,000.00","540,000,000.00","148,733,000.00","423,733,000.00","463,733,000.00"
支付其他与筹资活动有关的现金,"3,050,000.00","1,077,300.00","1,182,000.00","540,000.00","1,140,000.00","11,500,700.00","11,500,700.00","11,634,816.51","12,487,708.11",,"346,067.18","346,067.18","346,067.18",,"37,998,727.46","37,998,727.46"
取得投资收益收到的现金,,,,"1,481,945.82","1,983,166.11",,,,"6,470,270.78","1,916,272.51","6,132,338.37","10,093,945.51","11,357,012.99","2,098,367.24","2,885,435.73","2,885,435.73"
筹资活动现金流出小计,"170,597,277.83","174,577,942.47","54,818,177.78","43,662,860.40","44,262,860.40","11,500,700.00","62,257,400.56","63,080,692.22","63,933,583.82","1,472,416.00","135,992,483.18","135,992,483.18","137,717,065.26","515,308.67","105,679,146.96","105,768,869.40"
处置固定资产、无形资产和其他长期资产收回的现金净额,"622,492.03","673,233.56","742,924.42","183,615.35","252,542.57",,"102,323.20","150,323.20","317,366.57","36,500.00","646,537.10","646,537.10","808,673.05","18,000.00","42,200.00","47,200.00"
筹资活动产生的现金流量净额,"-19,547,232.83","-65,577,942.47","-54,818,177.78","-43,457,517.90","-44,057,517.90","763,449,300.00","712,692,599.44","711,869,307.78","711,016,416.18","-1,472,416.00","-135,992,483.18","-130,683,635.44","-122,710,443.50","-515,308.67","-88,522,820.89","-88,612,543.33"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-545,882.92","-76,675.22","-333,508.07","93,930.20","34,612.41","9,081.86","-10,954.93","107,510.57","882,375.49","-207,111.55","469,872.27","598,572.51","3,241,527.95","-272,624.41","-1,559,409.53","-3,206,163.54"
收到其他与投资活动有关的现金,,,,,,,"6,056,316.74","15,315,413.96","2,317,039.34",,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,
投资活动现金流入小计,"622,492.03","673,233.56","742,924.42","91,819,561.17","92,389,708.68",,"103,158,639.94","142,043,737.16","235,264,676.69","455,858,772.51","540,778,875.47","544,740,482.61","552,165,686.04","150,849,367.24","426,660,635.73","466,665,635.73"
五、现金及现金等价物净增加额,"16,730,409.69","41,205,432.42","-27,548,117.64","79,835,467.35","60,350,154.33","679,923,922.10","43,158,741.28","3,745,210.43","31,438,547.06","397,520,785.75","399,206,844.44","428,159,877.24","199,559,393.19","-152,705,420.65","-194,879,551.78","-52,673,418.17"
购建固定资产、无形资产和其他长期资产支付的现金,"46,922,649.22","22,728,740.53","28,184,347.93","10,322,108.17","14,723,776.51","3,615,753.01","8,548,958.31","11,992,522.56","13,308,885.66","4,915,968.96","13,335,577.61","26,090,705.41","35,550,152.38","12,566,016.75","29,470,450.14","50,788,133.32"
期初现金及现金等价物余额,"160,529,500.19","177,259,909.88","218,465,342.30","190,917,224.66","190,917,224.66","251,267,378.99","251,267,378.99","251,267,378.99","251,267,378.99","282,705,926.05","282,705,926.05","282,705,926.05","282,705,926.05","482,265,319.24","482,265,319.24","482,265,319.24"
投资支付的现金,,,"90,154,000.00","30,799,151.31","90,660,000.00","60,000,000.00","814,000,000.00","963,134,000.00","1,090,495,440.00","5,031,000.00","11,935,000.00","47,545,000.00","333,807,000.00","160,000,000.00","350,000,000.00","350,000,000.00"
期末现金及现金等价物余额,"177,259,909.88","218,465,342.30","190,917,224.66","270,752,692.01","251,267,378.99","931,191,301.09","294,426,120.27","255,012,589.42","282,705,926.05","680,226,711.80","681,912,770.49","710,865,803.29","482,265,319.24","329,559,898.59","287,385,767.46","429,591,901.07"
