科目,2010年度,2011年度,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
偿还债务支付的现金,,"1,089,733.71","1,389,083.67","5,729,589.04","6,103,486.87","6,483,588.00","386,407.36","779,225.57","1,178,560.99","1,584,521.76","412,696.02","832,239.05","1,258,742.68","1,692,322.39","440,773.20","888,859.24","1,344,379.43","1,807,457.12","470,760.58","949,331.50","1,435,842.36"
经营活动产生的现金流量净额,"18,832,677.72","11,543,877.05","26,234,993.04","-15,747,884.60","-27,292,621.23","22,061,013.15","-27,643,284.96","-20,898,727.36","-16,741,022.40","37,635,135.85","-22,272,340.67","-30,813,461.02","-23,287,843.45","64,266,592.10","-25,899,362.91","-4,085,554.32","-35,821,748.10","52,969,543.83","-92,367,953.16","-224,437,336.03","-263,491,279.56"
分配股利、利润或偿还利息支付的现金,"555,642.94","1,001,392.03","1,262,212.02","519,286.85","738,667.06","1,001,888.50","228,137.34","10,612,316.51","11,744,741.44","11,952,122.66","189,768.13","25,752,511.18","28,204,097.63","28,344,184.64","131,749.28","44,469,357.21","44,591,347.75","44,706,346.60","108,145.30","89,906,416.94","89,994,521.29"
收回投资收到的现金,,,,,,,,,,,,,,,,,,"111,322,510.96","10,000,000.00","220,000,000.00","220,000,000.00"
支付其他与筹资活动有关的现金,,,,,,,"1,504,528.30","4,786,490.18","4,786,490.18","4,786,490.18",,,,,"353,282.06","5,367,627.01","5,367,627.01","5,350,645.77",,"700,000.00","2,150,200.00"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,"1,216,198.63",,"2,455,714.67","4,783,284.86","5,349,114.55"
筹资活动现金流出小计,"555,642.94","2,091,125.74","2,651,295.69","6,248,875.89","6,842,153.93","7,485,476.50","2,119,073.00","16,178,032.26","17,709,792.61","18,323,134.60","602,464.15","26,584,750.23","29,462,840.31","30,036,507.03","925,804.54","50,725,843.46","51,303,354.19","51,864,449.49","578,905.88","91,555,748.44","93,580,563.65"
处置固定资产、无形资产和其他长期资产收回的现金净额,"4,060.00","7,400.00","26,227.25","7,550.00","9,300.00","9,300.00","3,686.50","243,360.00","252,180.00","254,817.50","129,350.00","209,350.00","209,350.00","209,350.00",200.00,"24,840.00","46,640.00","96,868.21","8,370.00","77,370.00","77,480.00"
筹资活动产生的现金流量净额,"-375,642.94","15,908,874.26","2,348,704.31","-6,248,875.89","-6,842,153.93","-7,485,476.50","198,248,927.00","184,189,967.74","182,658,207.39","182,044,865.40","-602,464.15","-23,584,750.23","-26,462,840.31","-27,036,507.03","2,032,534,158.49","1,982,734,119.57","2,057,264,208.84","2,065,703,113.44","-578,905.88","-74,555,748.44","-76,580,563.65"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-2,271.52","-2,378.06",-194.89,149.03,-149.03,"-5,682.44",,,,"-3,093.60","6,842.00","6,842.00","6,842.00","6,842.00",,,,0.11,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,"1,022,933.97",,"10,602,256.49","10,579,999.99"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"4,060.00","7,400.00","26,227.25","7,550.00","9,300.00","9,300.00","3,686.50","243,360.00","252,180.00","254,817.50","129,350.00","209,350.00","209,350.00","209,350.00",200.00,"24,840.00","1,262,838.63","112,442,313.14","12,464,084.67","235,462,911.35","236,006,594.54"
五、现金及现金等价物净增加额,"13,474,049.24","-20,191,118.57","22,963,757.46","-24,894,162.72","-38,420,851.87","8,993,057.15","116,574,830.62","105,786,417.66","105,613,184.07","153,851,408.56","-43,442,270.22","-101,787,694.62","-120,123,924.93","-32,604,741.01","2,003,919,938.28","1,316,959,333.12","911,071,270.66","889,294,744.11","-191,890,826.24","-379,163,616.82","-418,535,352.24"
购建固定资产、无形资产和其他长期资产支付的现金,"4,984,774.02","47,648,891.82","5,645,972.25","2,905,101.26","4,295,227.68","5,586,097.06","54,034,497.92","57,748,182.72","60,556,180.92","66,080,316.59","20,703,657.40","27,605,675.37","30,589,433.17","30,051,018.08","2,715,057.30","526,664,072.13","534,276,858.67","541,406,468.11","96,408,051.87","185,633,443.70","194,470,103.57"
期初现金及现金等价物余额,"46,827,717.94","60,301,767.18","40,110,648.61","63,074,406.07","63,074,406.07","63,074,406.07","72,067,463.22","72,067,463.22","72,067,463.22","72,067,463.22","225,918,871.78","225,918,871.78","225,918,871.78","225,918,871.78","193,314,130.77","193,314,130.77","193,314,130.77","193,314,130.77","1,082,608,874.88","1,082,608,874.88","1,082,608,874.88"
投资支付的现金,,,,,,,,,,,,"20,000,000.00","40,000,000.00","40,000,000.00",,"125,000,000.00","565,000,000.00","771,300,000.00","15,000,000.00","130,000,000.00","110,000,000.00"
期末现金及现金等价物余额,"60,301,767.18","40,110,648.61","63,074,406.07","38,180,243.35","24,653,554.20","72,067,463.22","188,642,293.84","177,853,880.88","177,680,647.29","225,918,871.78","182,476,601.56","124,131,177.16","105,794,946.85","193,314,130.77","2,197,234,069.05","1,510,273,463.89","1,104,385,401.43","1,082,608,874.88","890,718,048.64","703,445,258.06","664,073,522.64"
