科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
偿还债务支付的现金,"152,000,000.00","169,050,000.00","239,463,933.16","161,037,985.28","224,690,872.21","371,132,428.23","7,585,676.51","20,396,336.36","34,616,532.74","44,688,791.00",,
经营活动产生的现金流量净额,"97,845,195.63","124,607,856.02","63,206,585.18","120,508,153.98","119,914,055.81","107,940,173.14","-74,043,587.84","-54,160,623.25","-316,371.75","-16,860,590.39","-52,227,556.84","-21,740,580.49"
分配股利、利润或偿还利息支付的现金,"15,849,960.28","18,565,080.99","15,225,940.20","6,549,842.57","8,882,703.47","10,148,705.25","319,265.61","25,613,825.44","26,793,305.99","27,787,049.04",,"30,360,000.00"
收回投资收到的现金,,,,,,,"75,000,000.00","105,000,000.00","105,000,000.00","155,000,000.00","30,000,000.00","65,000,000.00"
支付其他与筹资活动有关的现金,,,,,"270,800.00","4,460,800.00",,,,,,
取得投资收益收到的现金,,,,,,,"543,810.88","962,660.20","962,660.20","2,437,660.20","325,150.68","785,013.69"
筹资活动现金流出小计,"167,849,960.28","187,615,080.99","254,689,873.36","167,587,827.85","233,844,375.68","385,741,933.48","7,904,942.12","46,010,161.80","61,409,838.73","72,475,840.04",,"30,360,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"2,339,109.00","2,191,462.88",,"144,936.00","144,936.00","144,936.00","210,000.00","210,000.00","210,000.00","1,246,949.00","18,378.00","261,878.00"
筹资活动产生的现金流量净额,"-6,799,960.28","-9,615,080.99","-9,405,024.23","-39,033,764.18","240,793,994.57","102,241,115.14","6,315,254.26","-21,109,035.12","-36,717,384.09","-47,783,385.40",,"-30,360,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,,,"463,669.39","-446,037.54","-461,269.95","1,012,134.69","-35,694.64","-153,950.97","-284,137.08","-381,374.27","-691,941.73","231,678.18"
收到其他与投资活动有关的现金,,,,,,"1,000,000.00",,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"2,339,109.00","2,191,462.88",,"144,936.00","144,936.00","1,144,936.00","75,753,810.88","106,172,660.20","106,172,660.20","158,684,609.20","30,343,528.68","66,046,891.69"
五、现金及现金等价物净增加额,"-22,009,236.16","37,089,941.41","-3,681,485.21","37,890,160.75","292,573,757.17","-2,072,115.13","-20,089,662.74","-11,146,360.10","7,272,162.21","27,687,737.48","-34,600,129.26","-1,683,341.70"
购建固定资产、无形资产和其他长期资产支付的现金,"115,393,580.51","80,094,296.50","57,946,715.55","43,283,127.51","67,817,959.26","59,410,474.10","28,079,445.40","41,895,410.96","61,582,605.07","10,971,521.66","2,024,159.37","5,861,331.08"
期初现金及现金等价物余额,"36,043,634.10","14,034,397.94","51,124,339.35","47,442,854.14","47,442,854.14","47,442,854.14","45,370,739.01","45,370,739.01","45,370,739.01","45,370,739.01","73,058,476.49","73,058,476.49"
投资支付的现金,,,,,,"155,000,000.00",,,,"55,000,000.00","10,000,000.00","10,000,000.00"
期末现金及现金等价物余额,"14,034,397.94","51,124,339.35","47,442,854.14","85,333,014.89","340,016,611.31","45,370,739.01","25,281,076.27","34,224,378.91","52,642,901.22","73,058,476.49","38,458,347.23","71,375,134.79"
