科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付给职工以及为职工支付的现金,"51,990,844.59","74,365,141.75","100,194,037.14","86,556,453.57","139,143,402.27","36,623,824.30","81,852,499.19","130,086,466.69","194,360,979.79","51,681,900.48","105,749,490.88","164,683,820.07","239,914,878.47","65,295,085.69","136,683,612.17","218,528,302.63","308,973,036.94","82,403,567.31"
取得借款收到的现金,,,,,,,,,,,,,,,,,,
支付的各项税费,"33,551,508.15","48,663,543.82","75,430,647.63","73,869,063.72","93,552,082.64","24,223,141.64","38,501,376.40","80,629,011.11","117,852,724.81","29,919,999.61","71,702,773.84","125,234,220.77","169,938,215.92","24,863,917.99","71,147,137.57","127,647,103.79","196,447,338.19","54,492,576.85"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,"17,362,900.00",
支付其他与经营活动有关的现金,"50,334,186.03","61,231,879.65","79,430,357.53","82,318,119.95","113,821,046.08","40,414,207.13","58,991,118.36","105,120,936.01","129,335,989.83","31,593,970.44","57,916,369.77","85,469,995.06","164,710,628.52","61,709,283.51","113,232,530.93","169,069,805.64","188,406,047.16","81,083,092.33"
筹资活动现金流入小计,"13,250,000.00",,,,,"441,607,800.00","441,607,800.00","441,607,800.00","441,607,800.00",,"82,600,000.00","82,600,000.00","82,600,000.00",,"9,528,750.00","591,838,749.66","609,201,649.66","31,871,100.00"
经营活动现金流出小计,"372,615,411.31","480,059,125.88","649,314,654.41","637,112,388.55","906,270,617.08","212,421,373.57","439,841,115.11","759,110,242.42","1,072,404,021.31","232,280,764.75","522,589,786.48","876,000,444.50","1,368,181,829.38","342,668,202.19","743,075,692.59","1,218,879,883.34","1,758,142,290.32","455,614,849.24"
偿还债务支付的现金,"30,000,000.00",,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"78,662,830.75","55,552,308.51","167,187,863.38","66,148,035.10","162,999,701.57","-66,114,528.04","48,285,483.91","119,046,070.41","214,459,858.75","-27,535,515.95","132,280,076.30","223,987,865.53","365,029,362.07","-80,317,086.64","104,399,666.34","234,280,332.37","403,355,821.19","-86,035,512.62"
分配股利、利润或偿还利息支付的现金,"860,375.00",,"14,700,000.00","40,425,000.00","40,425,000.00",,"24,500,000.00","24,500,000.00","24,500,000.00",,"49,980,000.00","49,980,000.00","49,980,000.00",,"76,174,600.00","76,174,600.00","76,174,600.00",
收回投资收到的现金,,"10,010,043.03",,,,,,"235,000,000.00","800,000,000.00","340,000,000.00","607,500,000.00","881,020,000.00","1,162,340,000.00","462,150,000.00","936,780,000.00","1,446,780,000.00","2,416,780,000.00","980,000,000.00"
支付其他与筹资活动有关的现金,,,,,,,"9,061,565.70","9,061,565.70","8,941,565.70",,"878,402.82","1,028,402.82","1,143,402.82",,"66,721.71","1,537,246.71","1,842,100.00",
取得投资收益收到的现金,,,,,,,"291,729.04","3,950,386.08","7,011,679.08","924,054.79","2,403,462.84","4,171,254.62","6,215,928.49","4,823,354.27","10,404,232.39","14,366,699.09","24,505,166.10","10,766,465.50"
筹资活动现金流出小计,"30,860,375.00",,"14,700,000.00","40,425,000.00","40,425,000.00",,"33,561,565.70","33,561,565.70","33,441,565.70",,"50,858,402.82","51,008,402.82","51,123,402.82",,"76,241,321.71","77,711,846.71","78,016,700.00",
处置固定资产、无形资产和其他长期资产收回的现金净额,"39,230.77",,"1,742,692.04","1,961,193.80","2,455,239.85",,,,"390,000.00",,"99,000.00","182,349.51","732,349.51","240,000.00","510,000.00","890,000.00","890,000.00",
筹资活动产生的现金流量净额,"-17,610,375.00",,"-14,700,000.00","-40,425,000.00","-40,425,000.00","441,607,800.00","408,046,234.30","408,046,234.30","408,166,234.30",,"31,741,597.18","31,591,597.18","31,476,597.18",,"-66,712,571.71","514,126,902.95","531,184,949.66","31,871,100.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,"945,000.00",,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"39,230.77","10,010,043.03","1,742,692.04","1,961,193.80","2,455,239.85",,"291,729.04","238,950,386.08","808,346,679.08","340,924,054.79","610,002,462.84","885,373,604.13","1,169,288,278.00","467,213,354.27","947,694,232.39","1,462,036,699.09","2,442,175,166.10","990,766,465.50"
五、现金及现金等价物净增加额,"21,719,031.26","45,501,546.74","113,916,855.12","-13,941,793.56","65,377,050.98","202,800,430.25","-35,407,253.69","-46,389,289.42","254,388,408.23","-189,785,594.78","-194,609,769.89","-319,802,601.44","-276,371,114.54","-68,374,022.61","-25,068,700.10","110,116,628.98","218,996,529.35","-109,391,027.62"
购建固定资产、无形资产和其他长期资产支付的现金,"29,372,655.26","20,060,804.80","40,313,700.30","41,626,022.46","59,652,890.44","172,692,841.71","257,030,700.94","282,431,980.21","366,584,363.90","15,674,133.62","27,613,906.21","108,415,668.28","137,005,351.79","56,640,290.24","100,520,027.12","200,397,305.43","245,908,133.28","125,703,587.09"
期初现金及现金等价物余额,"31,879,936.10","53,598,967.36","99,100,514.10","213,017,369.22","213,017,369.22","278,394,420.20","278,394,420.20","278,394,420.20","278,394,420.20","532,782,828.43","532,782,828.43","532,782,828.43","532,782,828.43","256,411,713.89","256,411,713.89","256,411,713.89","256,411,713.89","475,408,243.24"
投资支付的现金,"10,000,000.00",,,,,,"235,000,000.00","530,000,000.00","810,000,000.00","487,500,000.00","941,020,000.00","1,352,340,000.00","1,705,160,000.00","398,630,000.00","909,930,000.00","1,899,930,000.00","2,909,930,000.00","920,000,000.00"
期末现金及现金等价物余额,"53,598,967.36","99,100,514.10","213,017,369.22","199,075,575.66","278,394,420.20","481,194,850.45","242,987,166.51","232,005,130.78","532,782,828.43","342,997,233.65","338,173,058.54","212,980,226.99","256,411,713.89","188,037,691.28","231,343,013.79","366,528,342.87","475,408,243.24","366,017,215.62"
