科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"9,324,553.29","10,617,078.50","13,713,742.94","12,213,464.62","19,275,854.38","5,469,004.99","11,757,251.93","18,246,911.79","27,193,491.15","7,235,108.11","14,151,145.20","22,848,155.97","49,942,033.30","8,343,335.97","18,756,730.71","28,304,247.57","45,252,948.28","12,696,022.02","35,093,435.19","52,278,105.39","78,970,922.95","66,551,432.50","102,720,266.80","126,520,996.30","111,077,765.32","23,568,395.67","53,550,360.25","57,923,577.83","89,324,796.80","31,259,316.53","70,041,445.29","97,958,426.44","169,961,708.22","105,437,833.12","224,269,345.93"
取得借款收到的现金,"20,900,000.00","39,500,000.00","44,800,000.00","23,000,000.00","60,676,000.00",,,,,,,"1,000,000.00","25,000,000.00","25,000,000.00","347,689,130.00","148,162,360.00","147,204,690.00",,"10,000,000.00","30,000,000.00","30,000,000.00","25,000,000.00","187,540,000.00","187,540,000.00","190,540,000.00",,"40,000,000.00","40,000,000.00","245,094,540.00","25,130,000.00","76,150,000.00","141,150,000.00","179,525,900.00","18,000,000.00","83,000,000.00"
支付的各项税费,"9,834,879.18","28,476,087.64","21,026,805.76","17,687,171.13","27,065,077.09","11,023,975.17","17,694,638.09","23,540,249.13","36,923,591.27","14,324,848.78","21,535,189.81","29,473,972.96","32,455,456.65","4,647,951.82","12,503,546.28","16,010,087.33","26,545,547.92","2,985,608.89","5,954,368.87","6,360,824.63","23,572,781.11","13,241,439.36","14,866,700.62","17,539,560.17","25,480,022.01","8,158,177.42","10,048,043.66","10,617,214.39","18,250,020.90","6,800,759.90","7,722,827.33","11,031,341.61","17,176,166.24","4,221,444.99","4,378,714.26"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,751,800.00",,"20,000,000.00"
支付其他与经营活动有关的现金,"29,878,536.56","38,192,921.93","48,723,952.46","50,642,079.74","64,320,473.54","28,668,769.79","46,490,018.79","65,929,903.46","76,167,596.94","25,193,045.71","42,298,123.25","60,296,492.39","73,482,441.90","52,572,504.71","54,010,472.43","67,877,038.80","78,472,359.90","19,291,695.25","38,541,956.15","58,505,776.20","64,808,305.62","26,598,170.81","52,182,247.11","101,927,785.90","59,074,664.95","16,917,975.98","24,550,800.64","54,940,157.58","49,812,567.60","15,102,921.03","48,778,979.69","80,182,421.12","58,695,823.48","35,228,573.32","82,064,361.53"
筹资活动现金流入小计,"27,221,399.00","39,500,000.00","125,800,000.00","23,000,000.00","60,676,000.00","803,891,000.00","803,891,000.00","803,891,000.00","803,891,000.00",,,"1,000,000.00","25,000,000.00","25,000,000.00","347,689,130.00","148,162,360.00","147,204,690.00",,"14,900,000.00","34,900,000.00","36,860,000.00","25,000,000.00","187,540,000.00","187,540,000.00","190,540,000.00",,"40,000,000.00","77,150,000.00","282,244,540.00","25,130,000.00","119,417,000.00","184,417,000.00","229,544,700.00","18,000,000.00","110,160,000.00"
经营活动现金流出小计,"139,006,249.62","175,550,860.69","226,220,854.78","160,952,153.25","219,237,221.09","115,072,712.98","164,637,566.08","233,778,634.34","299,885,544.62","75,556,640.28","188,784,442.01","246,237,287.79","341,405,682.08","132,022,031.89","187,201,614.99","299,864,343.94","361,785,282.77","74,692,291.28","150,806,556.52","258,152,609.12","356,579,537.35","210,396,463.81","334,786,368.22","477,654,601.19","445,612,029.05","90,214,642.68","191,685,213.28","296,979,089.15","414,342,716.25","149,901,970.88","287,968,583.75","451,973,473.32","788,713,711.88","299,998,704.48","618,159,657.48"
偿还债务支付的现金,"24,900,000.00","39,500,000.00","49,300,000.00","20,000,000.00","32,865,214.02","14,134,785.98","14,134,785.98","14,134,785.98","14,134,785.98",,,,,"10,000,000.00","10,000,000.00","10,000,000.00","46,023,742.17","5,009,368.80","15,096,001.20","35,099,175.20","60,099,179.40",,"357,052,880.00","369,307,380.00","380,663,124.83","27,325,200.00","162,160,870.00","164,119,960.00","164,119,960.00","40,000,000.00","50,430,000.00","56,200,000.00","59,150,000.00","41,181,600.00","88,669,950.00"
经营活动产生的现金流量净额,"45,884,404.01","29,091,362.43","12,233,119.11","-70,106,904.42","13,801,689.91","-70,603,813.36","-53,724,437.77","-95,974,536.91","-28,117,021.70","-14,105,989.37","-74,145,497.60","-75,089,448.37","16,832,041.59","-20,340,154.89","-26,369,324.63","-76,687,021.05","-82,442,506.69","35,292,120.79","27,695,687.05","-18,988,210.02","-39,731,431.02","57,532,575.49","93,823,516.97","115,990,172.35","197,633,293.17","19,315,815.04","33,747,879.08","8,350,327.02","-15,405,247.28","-43,463,703.19","-83,535,765.09","-82,789,827.91","13,134,159.39","10,846,594.57","15,718,845.83"
分配股利、利润或偿还利息支付的现金,"5,115,481.17","6,931,682.15","6,704,099.19","8,100,991.16","8,563,140.60","185,254.09","30,612,505.65","30,612,763.82","32,160,763.82",,"21,882,882.26","21,882,882.26","25,421,478.13","292,021.90","30,904,536.90","31,998,768.56","34,986,880.81","1,393,196.08","14,645,235.24","16,587,932.65","18,304,257.07","3,543,331.70","24,266,416.00","24,921,728.38","25,238,130.71","2,937,377.06","3,123,849.72","4,299,393.55","4,830,922.23","1,079,275.64","6,585,731.82","8,421,414.04","19,303,767.29","5,612,086.10","17,561,480.03"
收回投资收到的现金,,,,,,,,,,,,,"58,375,000.00",,,,"124,125,000.00",,,,"97,001,750.00",,"192,498,250.00","92,498,250.00","192,498,250.00",,"56,840,910.00","58,369,582.87","78,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","24,929,000.00","100,000,000.00","100,000,000.00"
支付其他与筹资活动有关的现金,,"200,370.00","114,500.00","43,462.50","2,912,970.50","4,063,500.00","4,101,529.15","4,101,529.15","4,101,529.15",,"252,277.53","252,277.53","252,277.53",,"2,010,225.61","4,012,731.82","3,991,473.26",,"165,751.38","165,751.38","165,751.37",,"3,144,652.85","8,979,652.85","15,624,967.90",,,,"1,092,000.00",,"8,547.36","418,547.36","418,547.36",,"2,155,944.30"
取得投资收益收到的现金,,,,,,,,,,,,,"6,915,502.06",,,,"22,142,739.09",,,,"24,640,185.73",,"13,815,781.51","13,815,781.51","13,815,781.51","1,646,854.60","3,687,279.24","3,789,402.53","4,198,212.55","134,794.47","3,437,603.35","7,906,931.77","14,163.63","378,589.60","378,589.60"
筹资活动现金流出小计,"30,015,481.17","46,632,052.15","56,118,599.19","28,144,453.66","44,341,325.12","18,383,540.07","48,848,820.78","48,849,078.95","50,397,078.95",,"22,135,159.79","22,135,159.79","25,673,755.66","10,292,021.90","42,914,762.51","46,011,500.38","85,002,096.24","6,402,564.88","29,906,987.82","51,852,859.23","78,569,187.84","3,543,331.70","384,463,948.85","403,208,761.23","421,526,223.44","30,262,577.06","165,284,719.72","168,419,353.55","170,042,882.23","41,079,275.64","57,024,279.18","65,039,961.40","78,872,314.65","46,793,686.10","108,387,374.33"
处置固定资产、无形资产和其他长期资产收回的现金净额,"107,300.00","6,500.00","42,570.00",,"186,845.60",,,,"100,000.00","100,000.00","267,020.00","267,294.00","273,534.00",,,,"3,915,227.18","30,000.00","30,000.00","30,000.00","180,300.00","149,368.23","2,707,945.25","2,828,033.03","14,174,412.80","1,687,887.65","3,690,744.25","3,705,522.00","3,865,594.12","179,678.11","2,181,767.74","9,911,455.88","10,046,551.65",,"1,182,183.09"
筹资活动产生的现金流量净额,"-2,794,082.17","-7,132,052.15","69,681,400.81","-5,144,453.66","16,334,674.88","785,507,459.93","755,042,179.22","755,041,921.05","753,493,921.05",,"-22,135,159.79","-21,135,159.79","-673,755.66","14,707,978.10","304,774,367.49","102,150,859.62","62,202,593.76","-6,402,564.88","-15,006,987.82","-16,952,859.23","-41,709,187.84","21,456,668.30","-196,923,948.85","-215,668,761.23","-230,986,223.44","-30,262,577.06","-125,284,719.72","-91,269,353.55","112,201,657.77","-15,949,275.64","62,392,720.82","119,377,038.60","150,672,385.35","-28,793,686.10","1,772,625.67"
处置子公司及其他营业单位收到的现金净额,,,,,"5,401,380.50",,,,,,,,,"500,000.00","70,499,976.68","70,499,976.68","74,587,516.68",,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,"-48,396.00","-48,522.25","-78,627.28","-15,101.87","-3,180,525.13","-204,485.19","-643,122.98","160,648.76","168,772.62","174,527.37","147,356.60","1,428,650.00","524,569.87","6,079,846.92","10,082,518.06","-529,969.67","2,242,982.86","2,933,758.57","6,637,220.27","-585,876.91","-1,875,716.95","-1,775,458.79","-5,901,863.69","-3,859,674.48","1,113,784.58"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"14,945,642.79",,,"1,225,760.00","1,234,760.00","1,284,653.50",,,,,,,"13,596,600.00",,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"107,300.00","6,500.00","42,570.00",,"5,588,226.10",,,,"100,000.00","100,000.00","267,020.00","267,294.00","65,564,036.06","500,000.00","70,499,976.68","70,499,976.68","224,770,482.95","30,000.00","30,000.00","14,975,642.79","121,822,235.73","149,368.23","210,247,736.76","110,376,824.54","221,773,097.81","3,334,742.25","64,218,933.49","65,864,507.40","86,063,806.67","20,314,472.58","25,619,371.09","51,414,987.65","34,989,715.28","100,378,589.60","101,560,772.69"
五、现金及现金等价物净增加额,"39,917,659.84","-24,172,065.87","68,495,493.73","-118,554,525.24","-18,923,877.18","708,213,666.58","693,365,444.73","609,380,446.18","107,001,499.37","-28,506,100.62","-120,761,383.21","-157,592,392.99","-3,111,845.43","-19,111,843.72","258,691,794.17","-157,845,119.71","-70,484,041.55","26,370,946.50","-69,195,728.95","-135,411,909.17","-68,997,817.59","67,750,983.55","55,194,645.82","-38,740,624.68","134,184,830.97","-46,664,988.08","-120,019,153.48","-137,644,599.93","-171,438,085.18","-57,071,678.84","-33,844,600.91","-64,881,484.08","43,384,797.06","5,532,773.52","-61,208,461.37"
购建固定资产、无形资产和其他长期资产支付的现金,"3,279,962.00","46,059,876.15","13,361,596.19","43,303,167.16","54,648,468.07","6,689,979.99","7,952,296.72","49,686,937.96","68,475,399.98","14,500,111.25","24,699,349.82","61,586,556.58","84,755,540.14","13,964,565.06","87,032,700.24","150,442,089.77","172,289,788.59","2,709,258.17","15,201,950.80","62,821,010.08","71,443,381.85","6,170,963.42","11,631,913.88","14,673,392.21","30,117,854.63","11,672,998.64","20,111,774.55","24,190,518.70","28,001,855.16","9,423,595.68","21,025,839.69","33,840,963.37","38,233,169.05","13,039,050.07","23,534,490.14"
期初现金及现金等价物余额,"38,819,618.20","78,737,278.04","54,565,212.17","123,060,705.90","123,060,705.90","104,136,828.72","104,136,828.72","104,136,828.72","104,136,828.72","761,138,328.09","761,138,328.09","761,138,328.09","211,138,328.09","699,651,482.66","699,651,482.66","699,651,482.66","208,026,482.66","505,042,441.11","505,042,441.11","505,042,441.11","137,542,441.11","195,259,211.84","195,259,211.84","195,259,211.84","195,259,211.84","329,444,042.81","329,444,042.81","329,444,042.81","329,444,042.81","158,005,957.63","158,005,957.63","158,005,957.63","158,005,957.63","206,020,754.69","201,390,754.69"
投资支付的现金,,,"100,000.00",,,,,,"550,000,000.00",,,,,,,"103,162,360.00","102,081,700.00",,"66,881,250.00","51,800,000.00","36,854,357.21","6,645,315.05","40,845,315.05","40,845,315.05","34,200,000.00","26,850,000.00","74,832,454.64","98,828,454.64","148,113,054.64","1,077,600.00","8,549,671.09","110,468,960.26","165,615,503.62","50,000,000.00","157,840,000.00"
期末现金及现金等价物余额,"78,737,278.04","54,565,212.17","123,060,705.90","4,506,180.66","104,136,828.72","812,350,495.30","797,502,273.45","713,517,274.90","211,138,328.09","732,632,227.47","640,376,944.88","603,545,935.10","208,026,482.66","680,539,638.94","958,343,276.83","541,806,362.95","137,542,441.11","531,413,387.61","435,846,712.16","369,630,531.94","68,544,623.52","263,010,195.39","250,453,857.66","156,518,587.16","329,444,042.81","282,779,054.73","209,424,889.33","191,799,442.88","158,005,957.63","100,934,278.79","124,161,356.72","93,124,473.55","201,390,754.69","211,553,528.21","140,182,293.32"
