科目,2011年度,2012年度,2013年1-3月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,
财务费用,"11,101,577.48","11,498,192.54","3,597,290.09","13,132,968.77","5,921,054.49","10,488,140.72","13,775,852.28","17,690,055.97","3,260,588.55","8,375,570.64","12,092,107.44","12,637,546.36","3,069,037.38","6,066,817.35","9,639,319.09","12,277,653.08","2,833,161.13","6,950,067.53","10,983,650.04","16,192,529.83","4,797,229.15"
三、利润总额,"42,434,887.48","39,777,894.21","7,327,249.27","38,991,510.28","4,669,533.56","16,961,078.19","21,850,299.42","31,099,836.76","2,592,199.32","7,876,651.05","119,881.96","783,266.11","220,180.90","614,472.95","1,354,768.29","-714,596.12","851,051.08","35,372,483.63","57,408,949.96","69,489,664.95","13,975,894.68"
资产减值损失,"-59,240.47","1,031,641.78","528,141.61","1,542,800.41","742,084.49","2,048,715.13","3,369,118.99","2,476,685.84","336,269.37","-1,811,554.33","-2,093,681.10","-1,954,813.34","904,508.10","1,860,403.16","1,688,874.44","1,644,527.08","1,316,030.86","-4,260,291.87","-4,138,368.48","2,084,390.10","-3,629,018.30"
减:所得税,"5,301,680.16","4,299,903.14","921,753.53","4,032,966.78","-690,142.88","1,292,811.88","1,503,964.41","2,381,129.83","-204,845.11","-287,717.52","-2,381,983.69","-3,170,958.51","-752,440.92","-924,998.24","-1,959,203.42","-3,014,736.67","-855,587.27","3,413,592.17","5,137,295.33","1,823,363.82","2,036,591.13"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,,,,,,
四、净利润,"37,133,207.32","35,477,991.07","6,405,495.74","34,958,543.50","5,359,676.44","15,668,266.31","20,346,335.01","28,718,706.93","2,797,044.43","8,164,368.57","2,501,865.65","3,954,224.62","972,621.82","1,539,471.19","3,313,971.71","2,300,140.55","1,706,638.35","31,958,891.46","52,271,654.63","67,666,301.13","11,939,303.55"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"37,133,207.32","35,477,991.07","6,405,495.74","34,958,543.50","5,359,676.44","15,668,266.31","20,346,335.01","28,718,706.93","2,797,044.43","8,375,634.57","3,034,478.88","5,027,997.87","1,323,439.75","2,273,352.39","4,433,288.43","4,221,139.78","2,126,379.45","32,824,876.89","53,603,408.95","69,716,990.12","12,415,878.96"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,"-211,266.00","-532,613.23","-1,073,773.25","-350,817.93","-733,881.20","-1,119,316.72","-1,920,999.23","-419,741.10","-865,985.43","-1,331,754.32","-2,050,688.99","-476,575.41"
