科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"123,878,042.84","151,388,019.01","187,530,386.31","174,601,822.62","241,565,250.48","71,856,325.74","142,763,848.97","207,637,518.28","285,195,663.72","73,914,556.80","145,600,044.18","209,903,203.57","304,241,974.14","64,843,327.44"
取得借款收到的现金,"420,375,745.41","533,486,548.41","533,573,390.03","320,853,463.84","441,429,165.19","89,704,607.95","339,521,170.94","463,554,901.05","628,217,401.20","2,959,638.68","239,018,141.10","537,004,069.49","720,732,635.78","37,507,216.35"
支付的各项税费,"36,570,594.74","42,646,639.71","58,431,899.12","43,672,567.45","61,302,298.72","19,117,649.53","34,405,637.76","46,069,722.89","48,023,284.93","13,009,769.07","16,374,624.19","22,237,751.34","21,967,742.62","18,707,943.28"
收到其他与筹资活动有关的现金,,,,,,,,,,,"17,250,000.00","18,076,429.83","18,984,785.29",
支付其他与经营活动有关的现金,"42,621,322.48","51,900,367.63","70,078,142.36","44,061,028.68","68,112,460.06","18,100,719.06","32,099,267.49","52,248,137.20","100,246,542.58","22,962,133.32","40,336,438.07","59,682,837.53","75,247,821.06","20,177,128.51"
筹资活动现金流入小计,"429,944,703.64","547,486,548.41","536,307,307.25","320,853,463.84","441,429,165.19","444,367,607.95","694,184,170.94","818,217,901.05","997,599,127.34","2,959,638.68","256,268,141.10","554,515,689.32","739,717,421.07","35,093,616.35"
经营活动现金流出小计,"604,412,166.43","774,661,675.18","975,892,975.07","729,933,968.03","1,006,671,100.43","362,475,550.91","703,923,140.88","1,047,645,760.28","1,321,738,847.71","359,313,137.33","692,996,989.72","996,263,143.37","1,252,996,941.35","290,595,660.72"
偿还债务支付的现金,"295,256,381.05","418,300,000.00","380,789,191.03","229,906,597.53","309,865,532.09","99,807,338.12","382,024,772.71","494,817,935.05","608,556,473.11","55,715,073.03","222,347,527.08","524,266,855.76","672,819,038.58","4,091,235.92"
经营活动产生的现金流量净额,"52,267,477.80","110,497,266.12","92,817,131.19","94,029,908.88","143,591,917.77","35,396,385.44","54,995,265.05","96,299,467.35","142,852,722.05","111,940,358.97","107,943,214.88","143,542,296.43","213,634,208.19","-19,488,671.52"
分配股利、利润或偿还利息支付的现金,"17,615,722.93","37,801,510.56","32,675,384.42","34,658,593.60","40,938,649.21","6,214,946.04","37,411,757.30","44,416,075.71","46,935,176.54","6,797,407.81","44,589,666.10","52,485,929.21","60,813,241.09","10,887,774.14"
收回投资收到的现金,,,,,,,,"50,000,000.00","270,000,000.00","85,007,740.57","85,000,000.00","85,000,000.00","242,990,000.00","100,000,000.00"
支付其他与筹资活动有关的现金,,,"15,912,222.36","3,181,132.08","5,466,132.08","275,851.33","12,230,279.54","10,287,412.87","963,846.16",,"2,060,116.46","3,503,349.44","1,163,340.00",
取得投资收益收到的现金,"7,551,262.48","3,649,079.29","3,769,571.04","40,000.00","4,393,818.45",,"15,087.91","4,703,024.89","9,017,201.80","815,808.22","974,322.36","1,297,687.83","6,400,937.79","904,724.58"
筹资活动现金流出小计,"312,872,103.98","456,101,510.56","429,376,797.81","267,746,323.21","356,270,313.38","106,298,135.49","431,666,809.55","549,521,423.63","656,455,495.81","62,512,480.84","268,997,309.64","580,256,134.41","734,795,619.67","14,979,010.06"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,150.00","180,143.78","391,121.98","1,745,606.81","1,694,872.41",,,,"1,801,879.34",,"316,958.73","596,958.73","29,905,124.35",
筹资活动产生的现金流量净额,"117,072,599.66","91,385,037.85","106,930,509.44","53,107,140.63","85,158,851.81","338,069,472.46","262,517,361.39","268,696,477.42","341,143,631.53","-59,552,842.16","-12,729,168.54","-25,740,445.09","4,921,801.40","20,114,606.29"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-2,111,272.26","-236,335.41","11,152,078.92","1,657,367.40","5,495,471.65","-239,488.97","-521,524.10","-463,771.25","-3,606,903.05","-737,220.32","1,558,547.32","2,987,923.41","5,324,473.43","-710,646.44"
收到其他与投资活动有关的现金,,"4,023,498.00","11,582,000.00","7,176,000.00","8,715,000.00",,"1,580,000.00","1,580,000.00","1,580,000.00","3,000,000.00","19,704,000.00","19,704,000.00",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,
投资活动现金流入小计,"7,552,412.48","7,852,721.07","15,742,693.02","8,961,606.81","14,803,690.86",,"1,595,087.91","56,283,024.89","282,399,081.14","88,823,548.79","105,995,281.09","106,598,646.56","279,296,062.14","100,904,724.58"
五、现金及现金等价物净增加额,"11,490,119.84","33,112,405.66","-13,800,074.10","604,657.86","23,888,782.05","329,636,443.29","92,996,265.60","11,914,797.23","58,265,663.74","62,457,221.34","29,461,712.52","-15,013,211.81","-5,479,096.23","27,422,592.26"
购建固定资产、无形资产和其他长期资产支付的现金,"91,641,097.84","176,386,283.97","240,395,782.74","157,151,365.86","225,161,150.04","43,589,925.64","105,589,924.65","217,959,748.43","298,132,867.93","78,014,565.94","146,006,162.23","215,101,633.12","302,055,641.39","43,397,420.65"
期初现金及现金等价物余额,"37,240,056.38","48,730,176.22","81,842,581.88","68,042,507.78","68,042,507.78","113,678,857.83","91,931,289.83","91,931,289.83","91,931,289.83","150,196,953.57","150,196,953.57","150,196,953.57","150,196,953.57","144,717,857.34"
投资支付的现金,,,,,,,"120,000,000.00","190,000,000.00","406,390,000.00",,"20,000,000.00","20,000,000.00","206,600,000.00","30,000,000.00"
期末现金及现金等价物余额,"48,730,176.22","81,842,581.88","68,042,507.78","68,647,165.64","91,931,289.83","443,315,301.12","184,927,555.43","103,846,087.06","150,196,953.57","212,654,174.91","179,658,666.09","135,183,741.76","144,717,857.34","172,140,449.60"
