科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"123,486,478.29","157,700,879.48","202,407,188.74","128,725,280.28","188,201,054.80","256,053,557.04","81,042,959.95","140,880,604.91","199,094,257.03","268,667,898.61","71,363,115.85","128,065,623.98","181,608,356.21","239,508,058.42","96,717,237.64","251,120,538.81","406,293,570.37","595,888,121.52"
取得借款收到的现金,"10,000,000.00",,,,,,,"28,265,000.00","28,265,000.00","55,830,000.00","10,868,550.00","39,393,550.00","39,393,550.00","69,393,550.00","3,672,060,000.00","3,672,060,000.00","3,692,060,000.00","3,854,344,444.44"
支付的各项税费,"90,428,571.83","106,222,801.06","174,333,375.57","88,208,422.00","118,767,869.29","170,763,407.55","47,425,240.71","94,843,945.25","122,871,612.10","153,518,418.32","37,071,925.46","80,100,857.60","114,627,610.85","147,863,421.04","78,580,514.98","112,789,679.09","193,698,000.97","217,411,153.34"
收到其他与筹资活动有关的现金,,,,,,,"491,946.94","2,389,062.89","2,587,413.51",,,,,,,,,
支付其他与经营活动有关的现金,"74,007,529.92","78,139,998.55","102,263,437.90","75,973,197.15","115,014,447.86","163,091,126.66","29,612,498.22","61,824,573.30","105,955,586.85","188,092,252.17","35,464,929.99","74,676,697.59","126,892,961.07","209,254,902.90","113,270,845.10","287,664,620.69","394,381,894.89","671,756,624.78"
筹资活动现金流入小计,"122,616,200.00",,,,,"670,409,900.00","491,946.94","30,654,062.89","30,852,413.51","55,830,000.00","10,868,550.00","39,393,550.00","39,393,550.00","69,393,550.00","4,130,515,684.00","4,131,106,534.00","4,206,076,119.32","4,369,410,963.76"
经营活动现金流出小计,"483,304,591.30","587,314,474.35","693,794,781.83","419,897,656.42","632,667,704.60","876,461,271.21","218,911,274.76","406,644,656.26","598,092,647.59","892,209,821.87","198,646,583.54","397,294,840.79","588,521,018.50","835,173,856.50","453,462,446.42","1,131,973,375.57","1,775,077,611.05","2,462,538,738.22"
偿还债务支付的现金,"20,000,000.00",,,,,,,,"15,000,000.00","55,265,000.00",,"39,625,450.00","69,110,450.00","69,110,450.00",,,,"180,000,000.00"
经营活动产生的现金流量净额,"102,983,190.48","88,067,325.65","183,162,053.16","58,239,078.72","75,469,682.83","109,356,454.59","56,060,668.10","86,186,888.39","89,516,368.93","114,574,193.08","32,224,935.17","31,477,286.57","51,324,039.91","77,541,805.28","-30,790,888.30","43,225,233.29","158,636,343.25","379,176,405.76"
分配股利、利润或偿还利息支付的现金,"70,872,750.00",,"19,977,300.00","22,197,000.00","22,197,000.00","22,197,000.00",,"22,245,507.00","22,503,646.55","22,807,597.87","163,534.44","16,302,834.35","17,414,412.34","17,619,949.83","37,586,962.91","118,024,694.36","178,685,384.98","209,878,837.12"
收回投资收到的现金,,,,,,,"20,000,000.00","160,832,377.65","160,832,377.65","282,213,259.49","210,000,000.00","720,300,000.00","1,030,000,000.00","1,276,000,000.00","1,223,000,000.00","1,293,000,000.00","2,184,030,517.80","3,130,000,000.00"
支付其他与筹资活动有关的现金,,"15,181.43","89,260.30","46,738.42",,"9,619,651.08","600,020.00","2,459,000.37","2,648,262.10","673,021.81",,,,,"36,800,000.00","36,800,000.00","36,800,000.00","40,800,000.00"
取得投资收益收到的现金,,,,,,,"79,835.62","1,090,794.52","1,090,794.52","2,809,819.23","2,433,876.72","5,259,289.34","6,887,471.46","8,657,371.62","4,433,315.38","6,302,657.84","6,552,972.92","9,653,421.06"
筹资活动现金流出小计,"90,872,750.00","15,181.43","20,066,560.30","22,243,738.42","22,197,000.00","31,816,651.08","600,020.00","24,704,507.37","40,151,908.65","78,745,619.68","163,534.44","55,928,284.35","86,524,862.34","86,730,399.83","74,386,962.91","154,824,694.36","215,485,384.98","430,678,837.12"
处置固定资产、无形资产和其他长期资产收回的现金净额,"28,649.09","60,551.92","14,636.42","29,923.38","30,719.17","172,771.19","4,023.00","44,463.55","59,478.55","68,799.12","89,890.00","92,865.00","97,776.16","135,678.58","8,215.00","28,863.02","1,983,558.61","796,512.97"
筹资活动产生的现金流量净额,"31,743,450.00","-15,181.43","-20,066,560.30","-22,243,738.42","-22,197,000.00","638,593,248.92","-108,073.06","5,949,555.52","-9,299,495.14","-22,915,619.68","10,705,015.56","-16,534,734.35","-47,131,312.34","-17,336,849.83","4,056,128,721.09","3,976,281,839.64","3,990,590,734.34","3,938,732,126.64"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,"14,923.20","-8,193.54","10,365.35","61,365.11","64,791.89","-1,180.43","-5,748.78","11,692.32","-355,571.99","55,581.27","-392,808.98","-378,549.68","508,267.12","243,052.22","56,140.74","530,964.42","53,650.68"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"28,649.09","60,551.92","14,636.42","29,923.38","30,719.17","172,771.19","20,083,858.62","161,967,635.72","161,982,650.72","285,091,877.84","212,523,766.72","725,652,154.34","1,036,985,247.62","1,284,793,050.20","1,227,441,530.38","1,299,331,520.86","2,192,567,049.33","3,140,449,934.03"
五、现金及现金等价物净增加额,"108,945,449.27","45,209,330.68","120,981,799.66","9,075,325.74","10,038,666.25","653,105,234.87","-81,275,027.17","-38,386,846.72","-333,100,459.64","-377,845,464.68","-247,720,845.36","-260,735,119.99","-158,240,142.02","-450,056,431.70","332,502,174.67","247,838,427.46","262,991,959.71","488,095,421.39"
购建固定资产、无形资产和其他长期资产支付的现金,"25,809,840.30","42,918,288.66","42,120,136.08","26,960,303.29","43,326,100.86","75,082,031.72","7,310,060.40","12,484,937.57","15,430,271.14","24,841,355.30","2,673,501.10","9,864,147.65","18,342,348.48","23,269,665.22","10,025,188.59","29,196,448.56","59,016,006.96","122,127,919.80"
期初现金及现金等价物余额,"22,671,602.19","131,617,051.46","176,826,382.14","297,808,181.80","297,808,181.80","297,808,181.80","950,913,416.67","950,913,416.67","950,913,416.67","950,913,416.67","573,067,951.99","573,067,951.99","573,067,951.99","573,067,951.99","212,240,884.38","123,011,520.29","123,011,520.29","123,011,520.29"
投资支付的现金,,,,,,,"150,000,000.00","280,000,000.00","440,000,000.00","609,167,622.35","500,000,000.00","990,299,244.00","1,180,697,219.05","1,771,266,250.00","4,910,495,052.13","748,200,000.00","1,606,362,221.15","2,472,500,000.00"
期末现金及现金等价物余额,"131,617,051.46","176,826,382.14","297,808,181.80","306,883,507.54","307,846,848.05","950,913,416.67","869,638,389.50","912,526,569.95","617,812,957.03","573,067,951.99","325,347,106.63","312,332,832.00","414,827,809.97","123,011,520.29","544,743,059.05","370,849,947.75","386,003,480.00","611,106,941.68"
