科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
收到其他与筹资活动有关的现金,,,,,,,"5,720,400.00","5,720,400.00",,,,,,,,,"2,900,000.00",,,,"8,200,000.00",,,,,,,,"1,300,000.00",
支付其他与经营活动有关的现金,"6,730,984.33","7,444,610.23","10,820,673.43","9,685,929.89","24,646,644.96","6,559,238.68","13,921,975.97","26,650,899.43","34,561,902.28","15,845,698.58","31,348,461.38","45,154,900.63","59,138,915.95","16,765,001.13","28,842,866.42","43,556,780.43","67,970,435.78","28,849,721.79","50,967,239.88","61,698,543.58","76,143,553.02","33,840,862.90","40,163,357.04","66,744,239.86","58,610,440.73","36,504,759.81","155,596,515.33","220,026,708.95","56,488,569.63","23,096,730.80"
筹资活动现金流入小计,,,,,,"275,411,288.79","287,388,560.00","287,388,560.00","281,668,160.00",,,"23,000,000.00","23,000,000.00","4,900,000.00","4,900,000.00","4,900,000.00","7,901,000.00",,"30,000,000.00","30,000,000.00","38,200,000.00",,,,,"5,880,000.00","151,580,000.00","241,580,000.00","157,880,000.00","500,000.00"
经营活动现金流出小计,"19,708,167.99","28,057,182.64","36,333,956.11","30,552,999.62","68,767,540.59","22,502,194.95","42,305,574.46","68,076,928.64","94,918,816.37","34,365,980.25","62,112,026.93","88,439,460.70","116,886,944.32","32,894,315.91","61,074,333.43","93,170,478.79","134,094,603.55","68,697,802.61","121,834,532.14","169,862,862.47","255,500,942.33","121,614,242.03","198,640,069.52","315,868,947.46","386,759,128.46","385,491,484.85","1,038,714,421.28","2,003,906,629.33","375,597,723.90","109,275,568.64"
偿还债务支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"87,500,000.00","127,500,000.00","30,200,000.00",
经营活动产生的现金流量净额,"6,152,688.96","16,784,567.17","36,239,807.46","15,361,732.04","40,914,185.55","6,675,196.09","22,936,302.36","40,022,648.60","62,931,495.76","4,278,892.59","16,009,232.88","34,284,514.38","61,524,895.97","-4,219,517.59","4,877,608.56","13,868,113.65","45,967,103.36","-9,841,495.34","35,103,514.10","83,769,715.68","127,454,193.08","-3,925,318.40","35,021,643.62","35,682,008.94","89,337,508.35","36,507,843.86","127,956,182.70","43,337,152.00","69,947,141.55","13,799,510.46"
分配股利、利润或偿还利息支付的现金,,,,,,,"16,020,000.00","16,020,000.00","16,020,000.00",,"15,460,800.00","16,020,000.00","16,020,000.00",,,,,,,,,,,,,"197,925.55","23,732,127.76","26,094,825.98","21,554,968.17","1,315,996.96"
收回投资收到的现金,,,,,,,,,,,,,,,,,"16,868,833.81","31,300,000.00","68,774,162.69","97,674,162.69","148,278,079.75","20,400,000.00","184,100,000.00","224,100,000.00","224,100,000.00",,,"6,900,000.00",,
支付其他与筹资活动有关的现金,,,"680,000.00",,"853,338.38",,"10,959,805.07","10,974,388.07","4,723,532.83",,"64,883.99","89,883.99",,,,"3,525,000.00",,"180,000.00","351,294.26","376,294.26",,"6,000.00","30,086,000.00","30,135,600.00","30,000,000.00",,,,,
取得投资收益收到的现金,,,,,,,,,,,,,,"23,986.30","52,558.74","74,544.50",,"346,329.39","1,053,601.46","1,168,278.11","613,388.24","74,102.22","123,716.60","328,977.42","328,977.42",,,,,
筹资活动现金流出小计,,,"680,000.00",,"853,338.38",,"26,979,805.07","26,994,388.07","20,743,532.83",,"15,525,683.99","16,109,883.99","16,020,000.00",,,"3,525,000.00",,"180,000.00","351,294.26","376,294.26",,"6,000.00","30,086,000.00","30,135,600.00","30,000,000.00","197,925.55","111,232,127.76","153,594,825.98","51,754,968.17","1,315,996.96"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,"75,950.22","75,950.22",,,,"14,496.12",,,,"122,161.71",,,,"14,805.16",,"3,550.00","3,550.00","331,949.56",30.00,30.00,"1,630.00","21,070.00",600.00,600.00,"1,070.00","28,773.34","4,800.00"
筹资活动产生的现金流量净额,,,"-680,000.00",,"-853,338.38","275,411,288.79","260,408,754.93","260,394,171.93","260,924,627.17",,"-15,525,683.99","6,890,116.01","6,980,000.00","4,900,000.00","4,900,000.00","1,375,000.00","7,901,000.00","-180,000.00","29,648,705.74","29,623,705.74","38,200,000.00","-6,000.00","-30,086,000.00","-30,135,600.00","-30,000,000.00","5,682,074.45","40,347,872.24","87,985,174.02","106,125,031.83","-815,996.96"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,"4,632,335.96","4,632,335.96","4,632,335.96",,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"4,900,000.00",,,,,,"1,130,826.02","1,130,826.02","6,083,059.33","23,517,399.62","23,517,399.62","23,517,399.62",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,"75,950.22","75,950.22",,,,"14,496.12",,,,"122,161.71","23,986.30","52,558.74","74,544.50","21,783,638.97","31,646,329.39","74,463,650.11","103,478,326.76","153,855,753.51","20,474,132.22","185,354,572.62","225,561,433.44","230,533,106.75","23,517,999.62","23,517,999.62","30,418,469.62","28,773.34","4,800.00"
五、现金及现金等价物净增加额,"3,192,532.96","15,214,387.87","34,692,470.46","10,705,746.26","34,230,616.39","281,732,043.88","278,189,904.98","259,141,959.56","273,448,386.96","-4,603,479.96","-20,245,267.72","11,090,321.69","32,072,916.66","-7,771,316.16","-12,386,060.36","-34,640,318.83","-70,519,729.36","-13,241,505.93","-39,011,295.56","4,313,068.65","59,280,338.77","-77,955,609.36","-105,727,147.92","-139,606,312.29","-145,823,240.07","20,535,341.77","16,364,143.31","-49,144,385.67","13,129,374.04","-29,085,299.64"
购建固定资产、无形资产和其他长期资产支付的现金,"2,960,156.00","1,570,179.30","867,337.00","4,731,936.00","5,906,181.00","354,441.00","5,155,152.31","41,274,860.97","50,422,232.09","8,882,372.55","18,728,816.61","25,084,308.70","29,554,159.04","4,475,784.87","9,116,227.66","38,258,976.98","44,220,496.54","3,808,085.14","7,559,110.17","7,890,624.19","9,060,086.62","708,423.18","1,692,971.84","4,476,314.27","18,456,014.77","10,172,576.16","32,010,071.10","67,437,341.16","99,523,732.53","42,073,613.14"
期初现金及现金等价物余额,"13,137,999.56","16,330,532.52","31,544,920.39","66,237,390.85","66,237,390.85","100,468,007.24","100,468,007.24","100,468,007.24","100,468,007.24","373,916,394.20","373,916,394.20","373,916,394.20","373,916,394.20","405,989,310.86","405,989,310.86","405,989,310.86","405,989,310.86","335,469,581.50","335,469,581.50","335,469,581.50","335,469,581.50","395,880,746.29","394,749,920.27","394,749,920.27","394,749,920.27","248,926,680.20","248,926,680.20","248,926,680.20","248,926,680.20","262,056,054.24"
投资支付的现金,,,,,,,,,,,"2,000,000.00","5,000,000.00","4,000,000.00","4,000,000.00","13,100,000.00","11,699,000.00","33,790,000.00","31,058,254.84","170,668,055.34","204,668,055.34","163,201,000.00","93,790,000.00","294,324,392.32","366,237,840.40","353,790,000.00","35,000,000.00","143,447,840.15","143,447,840.15",,
期末现金及现金等价物余额,"16,330,532.52","31,544,920.39","66,237,390.85","76,943,137.11","100,468,007.24","382,200,051.12","378,657,912.22","359,609,966.80","373,916,394.20","369,312,914.24","353,671,126.48","385,006,715.89","405,989,310.86","398,217,994.70","393,603,250.50","371,348,992.03","335,469,581.50","322,228,075.57","296,458,285.94","339,782,650.15","394,749,920.27","317,925,136.93","289,022,772.35","255,143,607.98","248,926,680.20","269,462,021.97","265,290,823.51","199,782,294.53","262,056,054.24","232,970,754.60"
