科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"60,167,373.75","68,448,346.47","87,468,653.11","53,786,044.23","111,362,037.65","39,164,403.17","73,059,669.48","111,905,011.39","149,598,469.67","49,616,930.22","92,714,906.63","142,072,143.70","192,559,619.53","73,293,675.82","130,113,477.14","202,779,622.85","268,505,153.97","97,522,745.51","169,199,864.87","250,577,645.59","330,747,105.51","111,020,164.59","192,751,970.57","282,571,482.61","373,926,307.99","124,054,572.98","209,809,286.04","296,364,593.63"
取得借款收到的现金,"113,000,000.00","59,000,000.00","57,000,000.00","20,000,000.00","25,000,000.00",,,,,,,,,,,,,,,,,,,,,,,
支付的各项税费,"30,424,411.03","49,160,973.59","65,800,602.87","26,961,164.98","63,361,117.76","11,225,518.25","40,029,681.56","67,620,591.97","92,056,514.93","14,310,879.50","45,551,679.09","78,737,751.67","105,770,750.86","16,721,322.30","60,299,846.88","89,179,091.00","131,651,485.44","16,557,745.03","66,268,602.74","108,780,791.98","132,273,533.22","17,315,510.81","60,360,807.91","91,942,225.94","122,480,168.00","14,669,018.45","28,040,589.48","57,246,285.26"
收到其他与筹资活动有关的现金,,,,,,"2,252,061.55",,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"70,379,299.85","103,867,454.08","115,446,144.90","63,146,973.44","113,830,734.85","32,249,845.49","82,164,682.14","145,115,793.94","157,245,697.25","24,855,664.01","93,727,241.70","108,736,229.11","181,503,840.66","33,773,824.12","97,389,636.89","118,757,928.81","194,771,197.22","36,667,721.90","108,326,123.26","160,695,529.09","188,904,881.66","35,849,437.78","103,714,352.60","128,496,754.29","189,051,148.56","44,193,918.57","78,275,325.64","120,644,681.85"
筹资活动现金流入小计,"113,790,703.60","59,349,044.00","57,000,000.00","20,000,000.00","25,000,000.00","653,392,061.55","651,140,000.00","651,140,000.00","651,140,000.00","33,695,004.31","33,507,000.00","33,507,000.00","33,507,000.00","5,976,000.00","5,976,000.00","5,976,000.00","5,976,000.00","4,850,000.00","4,850,000.00","4,850,000.00","4,850,000.00",,,,,,,
经营活动现金流出小计,"994,626,558.35","1,234,816,830.84","1,514,603,916.57","716,443,855.52","1,702,930,201.11","481,780,655.59","898,177,898.31","1,462,290,937.16","2,047,405,586.93","535,150,098.85","1,045,176,197.87","1,743,213,539.51","2,382,017,907.59","511,695,262.83","1,098,345,469.93","1,921,739,764.19","2,571,247,575.89","649,254,826.99","1,311,709,015.32","1,967,136,056.01","2,566,909,995.74","642,031,948.53","1,165,902,582.18","1,905,012,465.17","2,436,713,587.57","731,532,880.35","1,279,115,236.27","2,010,443,740.00"
偿还债务支付的现金,"113,000,000.00","83,000,000.00","59,000,000.00","32,000,000.00","37,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00",,,,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"51,284,532.80","273,455,716.62","88,717,795.86","122,457,260.37","118,497,894.82","-53,579,091.77","52,214,209.54","177,657,043.93","210,603,447.76","-21,342,743.51","138,899,281.86","248,043,622.69","223,323,851.95","99,065,531.95","273,049,966.99","273,635,477.88","276,660,615.29","-48,395,185.65","-28,708,698.57","143,630,862.87","172,392,555.36","-72,582,794.78","19,572,708.37","32,459,635.01","45,143,316.62","-76,981,816.60","39,909,672.95","15,392,855.59"
分配股利、利润或偿还利息支付的现金,"9,330,820.44","52,970,782.25","42,842,425.66","765,134.00","1,446,114.00","331,148.28","34,512,035.40","34,594,272.51","35,191,201.68","669,747.49","70,882,434.00","70,889,868.00","70,875,000.00","377,550.00","100,736,642.75","100,736,642.75","100,736,642.75",,"122,026,671.30","122,586,102.64","122,804,171.30",,"88,994,038.60","88,689,944.94","88,994,038.60",,"56,659,967.59","53,296,217.59"
收回投资收到的现金,"1,720,982.77","2,581,474.14",,,,,,,,,"188,128.79","188,128.79","460,188,128.79","410,000,000.00","430,000,000.00","590,000,000.00","860,000,000.00","530,000,000.00","685,000,000.00","1,145,000,000.00","1,540,000,000.00","512,500,000.00","640,000,000.00","905,000,000.00","1,100,000,000.00","135,000,000.00","429,000,000.00","579,000,000.00"
支付其他与筹资活动有关的现金,,,,"65,218.47","65,218.47","251,490.00","10,253,255.26","20,506,510.52","10,109,541.30",,,"85,071,943.31","119,062,408.78","22,653,892.59","22,653,982.59","22,653,982.59","22,653,982.59",,,"39,774,115.25","40,486,462.62",,"20,750.00","20,750.00","20,750.00",,"25,838,957.00","25,838,957.00"
取得投资收益收到的现金,"1,558,552.85","19,800.00",,,,,,,,,,,"7,714,636.83","1,888,164.38","2,018,383.56","3,815,945.21","8,487,726.05","3,805,164.39","4,462,356.17","6,992,554.79","8,315,761.65","2,222,342.48","10,392,137.01","12,593,863.04","15,539,753.44","2,288,356.17","6,583,906.85","4,220,460.27"
筹资活动现金流出小计,"122,330,820.44","135,970,782.25","101,842,425.66","32,830,352.47","38,511,332.47","25,582,638.28","69,765,290.66","80,100,783.03","70,300,742.98","669,747.49","70,882,434.00","155,961,811.31","189,937,408.78","23,031,442.59","123,390,625.34","123,390,625.34","123,390,625.34",,"122,026,671.30","162,360,217.89","163,290,633.92",,"89,014,788.60","88,710,694.94","89,014,788.60",,"82,498,924.59","79,135,174.59"
处置固定资产、无形资产和其他长期资产收回的现金净额,"118,355.77","780,274.57","215,330.98","2,084,291.33","2,084,291.33","107,673.08","489,035.96","489,035.96","908,068.98","31,000.00","128,000.00","334,500.00","390,896.95","168,000.00","168,000.00","223,000.00","277,067.96","69,500.00","467,500.00","645,060.00","649,786.78","65,000.00","55,555.56","65,000.00","128,955.56","28,000.00","615,185.46","630,564.10"
筹资活动产生的现金流量净额,"-8,540,116.84","-76,621,738.25","-44,842,425.66","-12,830,352.47","-13,511,332.47","627,809,423.27","581,374,709.34","571,039,216.97","580,839,257.02","33,025,256.82","-37,375,434.00","-122,454,811.31","-156,430,408.78","-17,055,442.59","-117,414,625.34","-117,414,625.34","-117,414,625.34","4,850,000.00","-117,176,671.30","-157,510,217.89","-158,440,633.92",,"-89,014,788.60","-88,710,694.94","-89,014,788.60",,"-82,498,924.59","-79,135,174.59"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"282,251.65","-6,513,842.23","-2,228,061.21","-2,334.15","-678,143.62","312,576.90","-144,234.72","-561,092.11","-1,268,830.52","-392,277.03","-925,247.71","-906,444.62","-4,087,205.80","297,151.14","722,732.33","-254,386.77","-1,867,366.48","-270,324.93","2,110,489.37","652,095.96","3,719,720.04","-108,516.78","-13,278.29","634,901.10","1,968,847.13","-318,542.07","-515,877.30","-1,290,869.82"
收到其他与投资活动有关的现金,,"1,722,827.79","2,136,003.30","97,684.21",,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"3,397,891.39","5,104,376.50","2,351,334.28","2,181,975.54","2,084,291.33","107,673.08","489,035.96","489,035.96","908,068.98","31,000.00","316,128.79","522,628.79","468,293,662.57","412,056,164.38","432,186,383.56","594,038,945.21","868,764,794.01","533,874,664.39","689,929,856.17","1,152,637,614.79","1,548,965,548.43","514,787,342.48","650,447,692.57","917,658,863.04","1,115,668,709.00","137,316,356.17","436,199,092.31","583,851,024.37"
五、现金及现金等价物净增加额,"11,734,323.52","143,559,153.19","-59,319,567.25","72,349,369.14","33,024,870.28","562,642,813.56","610,602,655.19","717,483,890.17","730,152,543.17","6,726,614.12","-121,069,068.68","-129,762,136.58","-258,195,605.81","235,030,490.16","20,414,450.92","-15,930,712.62","-51,953,231.60","147,196,673.65","-166,907,818.15","-79,195,107.98","-253,045,753.16","131,986,964.12","-112,870,874.62","-103,669,638.55","-33,394,339.54","23,581,289.94","65,053,540.74","77,503,217.97"
购建固定资产、无形资产和其他长期资产支付的现金,"31,717,163.56","51,865,359.45","103,318,210.52","38,885,780.15","72,594,212.76","9,357,767.92","18,031,064.93","25,840,314.58","58,373,017.03","4,594,622.16","21,983,797.62","54,967,132.13","99,295,505.75","29,332,914.72","68,130,006.62","105,936,123.60","168,096,649.08","42,862,480.16","38,062,793.82","83,605,463.71","95,682,943.07","25,109,066.80","33,863,208.67","50,712,342.76","52,160,423.69","14,793,541.96","18,040,422.63","21,314,617.58"
期初现金及现金等价物余额,"178,267,340.57","190,001,664.09","333,560,817.28","274,241,250.03","274,241,250.03","307,266,120.31","310,009,737.27","310,009,737.27","307,266,120.31","1,037,418,663.48","1,037,418,663.48","1,037,418,663.48","1,037,418,663.48","779,223,057.67","779,223,057.67","779,223,057.67","779,223,057.67","727,269,826.07","727,269,826.07","727,269,826.07","727,269,826.07","484,215,522.85","474,224,072.91","474,224,072.91","474,224,072.91","440,829,733.37","440,829,733.37","440,829,733.37"
投资支付的现金,,,,"400,000.00","400,000.00",,,,,,"200,000,000.00","200,000,000.00","690,000,000.00","230,000,000.00","500,000,000.00","660,000,000.00","910,000,000.00","300,000,000.00","675,000,000.00","1,135,000,000.00","1,724,000,000.00","285,000,000.00","660,000,000.00","915,000,000.00","1,055,000,000.00","21,641,165.60","310,000,000.00","420,000,000.00"
期末现金及现金等价物余额,"190,001,664.09","333,560,817.28","274,241,250.03","346,590,619.17","307,266,120.31","869,908,933.87","920,612,392.46","1,027,493,627.44","1,037,418,663.48","1,044,145,277.60","916,349,594.80","907,656,526.90","779,223,057.67","1,014,253,547.83","799,637,508.59","763,292,345.05","727,269,826.07","874,466,499.72","560,362,007.92","648,074,718.09","474,224,072.91","616,202,486.97","361,353,198.29","370,554,434.36","440,829,733.37","464,411,023.31","505,883,274.11","518,332,951.34"
