科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
投资性房地产,,,,,,,,,,,,,,,,,,,,"66,668,809.65","65,439,479.53","64,439,993.32","344,367,581.71","340,870,544.43","337,374,908.37","328,830,677.52","330,849,247.06","327,283,620.08","323,676,692.93","320,125,075.37","316,834,223.91","314,983,213.42","311,398,712.42","307,604,555.42","250,558,310.63","246,919,926.89"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"290,204,623.08","284,439,980.60","321,618,618.49","317,729,126.83","317,067,536.74","316,027,616.65","316,229,631.59","319,517,699.37","354,296,210.30","348,176,757.42","362,703,864.39","358,002,724.91","352,506,691.40","379,782,970.38","375,708,200.98","367,474,113.60","360,316,543.22","352,845,224.19","346,266,046.64","358,698,053.12","351,882,243.67","631,643,929.58","390,827,386.76","377,383,675.29","369,110,444.49","359,298,786.76","353,208,354.14","348,954,812.53","341,634,029.99","332,941,818.31","338,590,366.84","328,366,558.51","326,191,494.56","319,805,355.32","312,079,915.93","307,885,945.90"
递延所得税负债,"11,286,000.00","2,582,000.00","6,270,000.00","5,446,000.00","3,779,200.00","3,586,000.00","4,416,350.00","4,221,475.00","4,694,425.00","4,078,885.00","4,570,819.75","3,727,935.75","2,844,480.00","2,833,481.75","4,904,622.44","5,083,495.69","5,890,396.94","6,531,155.19","8,084,150.12","23,658,031.84","21,979,182.87","22,058,557.07","24,136,128.85","23,837,374.06","25,800,105.52","22,727,357.98","21,255,485.00","20,587,538.21","19,515,822.12","20,482,402.04","19,280,728.54","19,293,741.75","18,896,386.96","18,894,808.17","53,787,636.70","62,904,306.07"
在建工程,"12,924,416.13","30,374,927.20","2,696,734.00","5,195,825.92","7,790,765.56","17,671,246.38","75,561,520.60","104,282,591.12","81,036,661.06","90,456,659.52","89,598,312.58","113,181,400.22","136,305,457.37","131,883,133.92","139,048,771.12","159,645,716.17","172,623,572.48","178,672,962.72","185,369,168.26","202,081,432.14","205,575,397.33","19,338,840.22","3,079,036.27","3,689,848.80","3,808,403.25","8,484,038.39","3,042,597.70","132,351.14","150,524.82","4,666,782.86","46,075.47","2,199,670.87","3,136,541.07","6,772,005.91","26,127,772.55","36,686,429.39"
其他非流动负债,,,,,,,"12,352,950.00","13,452,950.00","8,652,950.00","8,772,950.00","26,243,399.00","33,983,399.00","13,343,399.00","270,000.00","75,000.00","75,000.00","375,000.00","375,000.00",,"5,000,000.00",,,"1,780,466.80","1,780,466.80","1,677,037.87",,,,,,,,,,,
工程物资,,,,"36,662.40","36,662.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"11,350,000.00","4,596,000.00","8,390,000.00","10,416,000.00","11,149,200.00","19,788,950.00","16,769,300.00","17,674,425.00","13,347,375.00","12,851,835.00","30,814,218.75","37,711,334.75","16,187,879.00","3,103,481.75","4,979,622.44","5,158,495.69","33,265,396.94","33,906,155.19","35,084,150.12","85,658,031.84","76,479,182.87","46,558,557.07","47,916,595.65","47,617,840.86","46,977,143.39","43,904,395.85","39,932,522.87","22,264,576.08","21,115,684.69","22,082,264.61","20,880,591.11","20,893,604.32","20,418,175.34","20,416,596.55","55,503,974.13","64,611,905.53"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"546,003,842.35","537,224,943.99","442,302,701.19","423,835,325.03","275,780,872.09","256,221,155.12","249,990,906.40","247,447,334.00","237,332,615.78","215,576,930.09","280,907,605.70","228,163,810.85","301,157,068.25","273,438,121.45","287,180,849.30","293,139,740.02","438,041,756.95","349,683,718.35","382,643,846.53","467,368,651.89","621,135,462.06","559,611,220.03","629,534,452.29","697,832,508.06","753,637,294.63","766,529,867.56","763,361,232.45","684,566,871.83","728,218,253.31","839,995,635.21","919,562,632.97","575,756,311.40","648,127,878.07","898,179,832.49","1,115,745,979.58","874,269,309.79"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","133,500,000.00","133,500,000.00","133,500,000.00","133,500,000.00","173,550,000.00","173,550,000.00","173,550,000.00","173,550,000.00","260,325,000.00","260,325,000.00","260,325,000.00","260,325,000.00","260,325,000.00","260,325,000.00","260,325,000.00","260,325,000.00","260,325,000.00","260,325,000.00","260,325,000.00","260,325,000.00","520,650,000.00","520,650,000.00","520,650,000.00","520,650,000.00","520,650,000.00","520,650,000.00","520,650,000.00","520,650,000.00","520,650,000.00","520,650,000.00","520,650,000.00","577,673,641.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"63,989,467.02","37,877,467.02","48,941,467.02","46,469,467.02","700,169,067.02","699,589,467.02","706,669,012.43","707,248,612.43","666,784,612.43","665,095,492.43","665,095,492.43","665,793,772.43","578,502,652.43","589,053,155.99","592,032,109.73","591,333,829.73","589,390,789.73","590,089,069.73","594,992,832.75","594,810,672.75","595,114,272.75","589,420,257.30","582,423,348.15","581,446,065.69","322,070,658.86","322,070,658.86","322,070,658.85","322,070,658.85","322,070,658.85","318,617,285.21","315,681,150.88","315,681,150.88","315,681,150.88","315,681,150.88","315,681,150.88","653,819,117.14"
无形资产,"43,773,567.83","81,633,366.61","79,838,741.65","79,390,085.41","78,953,195.55","78,503,941.02","78,054,686.49","77,605,431.96","77,315,421.82","76,913,637.57","83,995,541.02","83,453,526.49","80,277,427.43","78,118,569.79","77,817,322.12","77,057,796.86","77,164,157.86","76,666,253.29","76,116,377.14","88,110,259.85","86,685,582.90","86,002,559.72","50,138,901.08","49,505,697.63","48,979,787.61","48,466,069.78","46,473,765.60","45,926,212.37","45,472,184.30","44,983,331.82","44,810,901.72","44,411,935.93","55,572,967.81","58,529,667.62","48,948,819.96","48,482,712.00"
盈余公积,"26,413,155.99","30,874,211.10","35,073,485.90","35,073,485.90","35,073,485.90","35,073,485.90","39,173,749.33","39,173,749.33","39,173,749.33","39,173,749.33","49,826,178.80","49,826,178.80","49,826,178.80","49,826,178.80","57,463,377.86","57,463,377.86","57,463,377.86","57,463,377.86","64,848,723.65","64,848,723.65","64,848,723.65","64,848,723.65","72,785,778.55","72,785,778.55","72,785,778.55","72,785,778.55","84,130,546.56","84,130,546.56","84,130,546.56","84,130,546.56","94,767,964.92","94,767,964.92","94,767,964.92","94,767,964.92","98,887,959.92","98,887,959.92"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润,"113,583,364.35","144,610,915.76","184,600,222.17","195,551,359.10","219,207,986.55","211,988,062.69","230,024,909.58","241,798,396.81","232,135,938.52","252,509,132.30","266,527,383.23","279,973,604.05","257,013,851.97","283,547,257.25","298,425,378.54","309,947,174.12","281,143,104.83","310,454,732.22","313,850,092.86","324,872,734.67","297,173,011.33","327,953,943.15","324,429,150.10","335,609,007.70","309,027,548.16","330,389,672.34","319,439,909.66","334,855,969.83","307,879,160.67","333,574,576.35","356,313,467.76","376,838,171.50","339,016,640.92","366,459,509.46","385,872,839.71","417,111,280.95"
长期待摊费用,"3,124,542.52","3,313,126.54","2,207,593.70","1,994,457.85","1,505,559.00","1,441,244.79","1,293,915.20","9,115,637.23","9,667,044.27","9,513,390.16","2,649,796.41","3,444,840.28","4,105,810.89","3,559,860.54","4,930,775.85","4,352,970.99","3,725,175.14","3,022,277.74","3,941,825.39","3,823,756.80","3,785,382.85","4,657,547.93","7,517,930.72","6,739,218.08","6,562,545.75","5,821,918.65","6,334,213.42","5,537,308.01","4,924,365.31","4,333,401.08","4,971,846.83","4,501,227.87","3,817,710.43","3,689,177.41","4,866,612.63","5,069,425.22"
少数股东权益,"63,832,235.12","66,922,844.65","79,044,186.84","79,788,521.79","81,553,688.42","85,700,568.50","89,438,286.92","91,824,575.93","84,112,332.61","89,859,362.99","106,102,409.69","119,246,247.59","109,533,787.94","100,145,294.40","105,996,410.34","106,150,108.31","104,991,087.03","109,687,638.08","111,937,091.30","132,173,195.71","126,418,647.67","112,059,331.05","100,501,704.45","78,760,962.84","69,649,971.48","71,681,282.46","72,192,463.98","73,917,308.84","72,195,809.81","69,999,722.33","70,027,811.71","71,533,037.48","65,418,740.65","67,960,705.96","66,220,432.82","55,327,403.42"
递延所得税资产,"2,705,284.17","3,792,613.84","4,105,807.46","4,088,803.85","5,204,735.70","5,145,068.60","4,554,002.00","4,357,018.05","4,100,705.98","4,078,353.84","3,279,335.56","2,832,797.66","3,840,921.30","3,255,873.35","4,808,316.79","4,647,591.08","5,559,216.44","4,728,211.66","9,254,434.37","9,177,335.29","10,632,773.14","8,613,336.72","12,877,631.25","12,329,777.20","11,552,109.98","13,580,857.19","19,711,307.68","20,906,746.10","21,010,832.01","23,719,912.66","21,678,244.74","20,857,195.40","20,967,906.42","21,527,711.64","11,941,795.25","13,376,074.81"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"415,379,427.97","425,241,969.61","446,904,560.52","441,576,027.48","439,163,500.99","446,478,880.48","502,003,407.23","541,948,409.23","560,369,252.30","560,667,189.09","573,802,165.09","592,841,741.41","616,204,090.27","634,986,441.24","702,979,854.98","713,660,855.80","719,114,088.35","718,448,424.70","752,365,688.48","824,602,068.76","822,223,009.60","937,568,812.74","979,031,381.28","958,353,539.94","953,049,919.37","932,950,675.92","915,169,539.67","902,047,717.89","888,254,909.48","881,904,833.95","861,475,366.36","847,209,623.68","853,189,021.54","852,236,264.08","790,634,483.70","831,944,994.50"
所有者权益(或股东权益)合计,"367,818,222.48","380,285,438.53","447,659,361.93","456,882,833.81","1,169,504,227.89","1,165,851,584.11","1,198,805,958.26","1,213,545,334.50","1,195,756,632.89","1,220,187,737.05","1,261,101,464.15","1,288,389,802.87","1,255,201,471.14","1,282,896,886.44","1,314,242,276.47","1,325,219,490.02","1,293,313,359.45","1,328,019,817.89","1,345,953,740.56","1,377,030,326.78","1,343,879,655.40","1,362,386,386.06","1,355,859,781.25","1,343,076,854.78","1,313,950,597.05","1,330,786,272.21","1,325,727,382.34","1,341,529,314.52","1,312,520,997.31","1,332,837,482.48","1,363,699,072.48","1,386,430,720.75","1,341,956,033.49","1,372,590,494.26","1,394,205,087.77","1,809,652,760.66"
资产总计,"913,822,064.83","917,510,382.52","889,962,063.12","880,718,158.84","1,445,285,099.98","1,422,072,739.23","1,448,796,864.66","1,460,992,668.50","1,433,089,248.67","1,435,764,667.14","1,542,009,069.85","1,516,553,613.72","1,556,358,539.39","1,556,335,007.89","1,601,423,125.77","1,618,359,230.04","1,731,355,116.40","1,677,703,536.24","1,728,597,587.09","1,844,398,978.67","1,965,015,117.46","1,921,997,606.09","1,985,394,233.54","2,040,909,362.84","2,067,587,891.68","2,097,316,139.77","2,089,088,614.79","2,026,096,186.35","2,040,739,250.62","2,172,833,117.69","2,283,261,705.45","1,962,187,032.15","1,990,083,911.56","2,270,770,326.75","2,509,951,067.35","2,683,922,070.45"
负债和所有者(或股东权益)合计,"913,822,064.83","917,510,382.52","889,962,063.12","880,718,158.84","1,445,285,099.98","1,422,072,739.23","1,448,796,864.66","1,460,992,668.50","1,433,089,248.67","1,435,764,667.14","1,542,009,069.85","1,516,553,613.72","1,556,358,539.39","1,556,335,007.89","1,601,423,125.77","1,618,359,230.04","1,731,355,116.40","1,677,703,536.24","1,728,597,587.09","1,844,398,978.67","1,965,015,117.46","1,921,997,606.09","1,985,394,233.54","2,040,909,362.84","2,067,587,891.68","2,097,316,139.77","2,089,088,614.79","2,026,096,186.35","2,040,739,250.62","2,172,833,117.69","2,283,261,705.45","1,962,187,032.15","1,990,083,911.56","2,270,770,326.75","2,509,951,067.35","2,683,922,070.45"
