科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,000,000.00","37,000,000.00","42,000,000.00","42,000,000.00","50,000,000.00","50,000,000.00","390,000,000.00","390,000,000.00","1,102,988,194.45","1,108,378,767.12","51,198,630.14","38,398,630.14","38,398,630.14",,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,"132,264,402.09","130,050,591.22","132,102,722.60","132,840,590.98","138,475,690.13","135,880,661.75","155,279,343.59","144,530,606.61","179,266,068.26","178,285,563.82","151,661,544.30","144,937,402.32","149,116,537.58","147,796,694.47","159,038,509.12","151,889,703.13","166,863,146.26","1,055,581,032.27","1,550,448,336.27","1,559,815,701.01","2,159,725,491.38","2,261,057,486.81","2,046,541,753.40"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,"1,000.00","158,174,259.36","197,743,878.72","265,443,285.76","289,367,465.06","293,893,474.23","286,527,891.60","246,744,074.45","184,968,088.35","146,175,853.90","119,816,644.95","81,819,241.32","76,211,321.92","77,693,795.65","52,146,074.06","58,238,388.81","48,899,985.77","45,166,270.91","62,216,754.87","83,665,489.45","86,144,502.67","93,378,859.52"
流动资产合计,"186,657,903.25","184,382,582.61","208,050,582.03","183,170,763.22","202,921,608.96","193,009,169.26","197,789,133.50","147,354,023.97","146,619,421.80","141,788,272.92","142,387,460.81","124,789,336.30","159,646,223.70","149,747,394.45","167,493,091.45","150,753,025.74","169,784,391.08","180,875,700.42","787,142,002.46","795,429,424.27","730,899,371.69","1,242,569,184.47","1,203,375,276.93","1,304,217,734.04","1,350,373,574.82","1,941,446,564.94","1,889,444,959.35","2,114,844,118.28","2,086,493,755.52","1,946,894,491.50","2,076,950,520.56","2,400,556,002.22","2,315,635,417.67","2,087,362,462.31","1,936,286,992.68","2,531,074,048.77","2,424,260,170.42","1,437,286,511.96","1,328,638,029.20","2,886,625,614.51","3,313,948,336.40","3,118,819,633.52","3,114,525,396.11","3,239,548,569.70","2,968,634,031.89","2,916,263,463.90"
流动负债合计,"115,971,162.14","109,330,922.31","136,836,630.20","115,797,495.70","137,688,083.93","128,429,743.28","136,552,112.07","104,887,694.49","106,626,375.31","105,250,726.16","107,509,458.96","92,107,098.66","127,344,682.99","122,253,332.48","137,895,598.37","106,638,658.26","127,942,974.54","145,432,875.93","451,049,524.81","481,326,568.19","373,683,956.58","1,021,820,243.34","931,781,148.94","1,030,966,749.03","1,044,198,608.97","919,341,302.62","949,462,439.20","1,260,335,794.20","1,065,611,604.63","1,112,574,561.55","1,144,208,179.75","1,301,160,235.46","1,096,881,047.72","1,376,339,606.50","1,353,075,338.58","2,536,366,669.68","2,652,436,551.49","1,827,189,532.25","1,863,044,575.24","1,622,794,332.80","167,129,353.58","209,471,887.18","292,559,307.66","470,466,333.76","344,187,204.58","384,259,266.88"
可供出售金融资产,"589,710.00","1,122,300.00","1,521,530.00","1,379,750.00","1,097,610.00","863,110.00","603,000.00","591,010.00","882,520.00","929,240.00","1,023,790.00","1,144,640.00","1,065,460.00","726,270.00","893,200.00","860,829.00","908,054.00","800,633.00",,,,"85,298,400.00","78,289,200.00","75,972,600.00","88,684,200.00","79,002,000.00","79,794,000.00","74,997,000.00",,,"327,079,947.45","370,448,048.42","401,578,535.85","417,271,709.69","510,162,578.69","558,685,863.70","563,685,863.70","563,685,863.70","611,018,246.83","1,423,690,167.62","1,347,630,884.60","1,297,472,847.00","1,220,052,555.88","1,066,016,197.91","1,066,016,197.91","1,015,569,180.47"
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,"700,000,000.00","530,000,000.00","363,000,000.00","363,000,000.00","358,000,000.00","358,000,000.00","345,000,000.00","345,000,000.00",,,,,,,,,,,,,
