科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"33,448,487.15","57,217,701.35","47,608,883.59","65,900,098.05","45,538,610.04","66,543,268.06","86,486,114.92","21,149,589.81","41,023,938.98","62,117,651.29","89,700,145.28","20,948,050.54","42,744,896.67","63,671,872.94","90,030,983.11","22,106,490.90","46,417,740.89","70,325,753.77","114,237,053.84","27,623,385.80","54,882,776.36","89,082,953.18","124,212,380.69","31,235,182.75","62,560,746.15","94,842,354.25","135,110,625.88","19,767,830.21"
取得借款收到的现金,"1,399,387,583.25","2,452,889,200.45","1,993,880,239.92","2,413,575,170.89","689,122,406.11","1,598,360,516.12","2,250,092,830.52","444,174,291.00","1,345,596,645.00","1,972,494,820.99","2,432,681,916.48","418,271,500.00","1,095,707,722.26","1,181,920,229.84","2,062,153,299.73","365,832,300.00","525,000,000.00","1,146,400,650.00","2,198,299,621.69","337,670,000.00","954,643,800.00","1,785,396,800.00","2,083,678,195.16","542,000,000.00","1,010,193,000.00","1,135,000,000.00","2,477,191,404.22","1,042,680,000.00"
支付的各项税费,"86,504,502.61","115,898,928.71","23,777,509.23","72,162,488.41","37,844,810.28","44,714,537.12","87,389,401.84","5,817,645.48","23,120,203.91","26,599,372.59","99,563,001.22","7,447,900.93","40,413,276.02","46,969,588.63","102,516,866.69","7,911,783.88","18,199,639.67","42,328,202.62","106,698,511.78","56,515,353.96","71,900,070.56","123,557,353.93","129,292,650.04","39,425,109.49","80,472,726.00","92,370,554.44","110,047,703.98","1,055,535.81"
收到其他与筹资活动有关的现金,"58,307,466.00","107,566,400.00","130,964,600.00","135,323,000.00","145,503,371.44","159,503,371.44","176,983,371.44","52,065,776.95","133,368,803.69","193,368,803.69","190,112,042.59","105,624,652.41","590,776,251.39","590,776,251.36","291,000,000.00","263,100,000.00","280,540,540.00","280,540,540.00","393,100,000.00","10,847,058.02",,"6,872,906.25",,"15,379,221.26","405,714,500.00","226,841,708.63","309,509,742.38","25,000,000.00"
支付其他与经营活动有关的现金,"61,070,806.11","115,318,393.47","83,971,934.87","108,923,704.89","51,213,690.74","83,960,915.18","149,592,854.32","23,568,672.97","53,882,781.99","92,918,433.65","154,849,965.05","91,446,936.27","56,414,086.53","150,186,897.59","186,128,400.78","20,697,817.94","88,277,031.18","172,486,451.82","154,346,425.71","18,137,085.51","37,468,142.29","135,878,971.49","153,347,477.12","16,469,729.65","41,592,269.47","50,062,703.45","137,082,864.73","7,823,243.04"
筹资活动现金流入小计,"1,577,891,049.25","2,560,455,600.45","2,124,844,839.92","2,548,898,170.89","834,625,777.55","1,757,863,887.56","2,427,076,201.96","1,185,875,767.42","2,168,601,148.16","2,855,499,324.15","4,006,059,658.54","523,896,152.41","1,686,483,973.65","1,772,696,481.20","2,353,153,299.73","1,219,569,403.93","1,544,765,713.46","2,166,166,363.46","3,187,199,621.69","348,517,058.02","2,146,963,015.56","2,984,588,921.81","3,476,919,107.28","557,379,221.26","1,663,407,500.00","1,609,341,708.63","2,786,701,146.60","1,067,680,000.00"
经营活动现金流出小计,"1,992,533,382.09","3,385,279,329.48","3,077,839,175.49","4,067,734,250.74","1,629,129,047.73","2,905,532,010.78","3,987,334,257.09","1,070,927,420.44","2,208,117,967.85","3,469,546,610.49","5,521,156,715.80","1,303,501,584.99","2,640,272,989.08","4,309,722,112.96","5,982,106,377.26","1,290,464,412.93","3,964,358,910.43","6,341,768,112.83","9,480,984,839.58","2,689,254,193.61","4,818,993,653.55","8,405,444,070.90","12,685,283,995.46","2,414,360,180.00","6,273,821,595.63","8,911,943,941.72","12,712,179,190.25","1,774,984,475.17"
偿还债务支付的现金,"892,404,762.59","1,806,094,501.42","1,456,583,245.62","2,028,410,045.15","1,095,615,643.54","1,666,941,340.88","2,352,389,417.42","264,358,836.75","1,042,108,984.65","1,684,394,342.73","2,555,536,267.66","533,487,770.16","1,135,498,451.78","1,414,653,078.92","2,095,469,952.80","762,664,476.29","1,133,192,665.12","1,220,789,411.45","1,979,550,585.35","310,738,611.90","1,163,553,157.47","1,542,890,175.49","1,892,074,962.15","732,396,529.58","1,057,868,769.41","1,431,850,633.80","2,276,800,069.55","828,154,124.52"
经营活动产生的现金流量净额,"-141,037,494.34","-138,552,433.89","-455,219,945.74","-193,186,913.06","610,433,443.57","233,658,974.87","295,623,412.31","34,325,912.25","41,901,491.43","158,796,196.62","-237,906,651.92","192,646,378.87","344,307,877.12","584,459,630.81","496,149,461.17","152,084,162.21","233,148,055.14","12,278,613.29","299,393.24","271,347,841.28","83,773,707.39","371,176,328.01","378,694,009.03","56,585,303.25","267,874,549.95","-30,007,990.40","-54,227,355.61","66,143,585.13"
分配股利、利润或偿还利息支付的现金,"30,931,593.44","79,371,986.35","90,242,318.08","128,567,078.06","60,363,327.94","97,540,494.96","123,168,580.37","31,227,900.26","72,939,750.09","136,061,164.71","154,428,452.56","22,936,730.43","69,869,677.29","104,614,316.07","162,762,713.05","40,368,710.58","118,441,686.98","159,687,723.85","193,405,902.50","50,844,888.36","93,017,027.24","167,468,596.65","279,028,026.57","81,967,019.95","118,588,189.65","241,303,253.75","324,733,989.22","112,104,361.81"
收回投资收到的现金,,,,,,,,,,,,,,,,"50,000,000.00","50,000,000.00","50,000,000.00",,"20,000,000.00","9,000,000.00","29,000,000.00","9,000,000.00","80,000,000.00",,"80,000,000.00","722,963.09",
支付其他与筹资活动有关的现金,"207,730,902.32","210,005,494.18","125,049,370.76","189,657,940.68","157,174,062.90","166,537,682.64","236,261,622.17","164,555,599.35","472,307,366.20","419,550,600.83","659,802,812.85","204,573,152.11","774,551,958.35","799,553,027.06","217,238,865.72","489,131,977.95","120,996,903.04","484,151,478.58","564,652,548.73","73,759,907.82","140,525,064.34","487,151,370.62","530,846,202.96","173,572,854.95","173,584,777.31","103,644,252.13","358,771,314.65","273,194,225.74"
取得投资收益收到的现金,,,,,,,"4,460,652.73",,,,"1,098,591.49",,,,"4,305.55","2,300,000.00","2,300,000.00","2,300,000.00","19,158,779.06","696,361.64","1,185,943.01","696,361.64","11,555,198.98","86,592.12",,,"5,880,990.75","1,030,190.63"
筹资活动现金流出小计,"1,131,067,258.35","2,095,471,981.95","1,671,874,934.46","2,346,635,063.89","1,313,153,034.38","1,931,019,518.48","2,711,819,619.96","460,142,336.36","1,587,356,100.94","2,240,006,108.27","3,369,767,533.07","760,997,652.70","1,979,920,087.42","2,318,820,422.05","2,475,471,531.57","1,292,165,164.82","1,372,631,255.14","1,864,628,613.88","2,737,609,036.58","435,343,408.08","1,397,095,249.05","2,197,510,142.76","2,701,949,191.68","987,936,404.48","1,350,041,736.37","1,776,798,139.68","2,960,305,373.42","1,213,452,712.07"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"493,989.60","493,989.60",,,,,,"1,278,500.00","1,278,500.00",,,,"73,976.50",,,,"7,526,054.85","512,632.73","5,000.00","5,000.00",,,"9,000.00","9,000.00","5,792,900.00",
筹资活动产生的现金流量净额,"446,823,790.90","464,983,618.50","452,969,905.46","202,263,107.00","-478,527,256.83","-173,155,630.92","-284,743,418.00","725,733,431.06","581,245,047.22","615,493,215.88","636,292,125.47","-237,101,500.29","-293,436,113.77","-546,123,940.85","-122,318,231.84","-72,595,760.89","172,134,458.32","301,537,749.58","449,590,585.11","-86,826,350.06","749,867,766.51","787,078,779.05","774,969,915.60","-430,557,183.22","313,365,763.63","-167,456,431.05","-173,604,226.82","-145,772,712.07"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"3,219,204.48","2,186,043.79","-3,230,619.37","775,164.89","605,125.58","-9,004,063.65","-11,312,312.72","5,153,143.39","7,033,445.04","5,818,623.58","-2,517,484.21","187,841.87","-725,328.83","-1,561,122.47","-20,896,627.78","254,183.20","2,199,989.07","2,692,874.51","7,671,999.18","209,689.02","-3,124,776.70","5,214,933.65","5,029,697.31","-1,879,443.48","-11,809,109.51","-12,197,467.21","18,223,610.64","-4,050,277.71"
收到其他与投资活动有关的现金,,,"10,000,000.00","10,000,000.00",,,"10,390,000.00",,,,"1,000,000.00",,"46,800,000.00","46,800,000.00","48,450,000.00",,,,"50,000,000.00",,"20,000,000.00",,"22,900,000.00",,"80,000,000.00",,"82,122,573.06",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,"10,493,989.60","10,493,989.60",,,"14,850,652.73",,,"1,278,500.00","3,377,091.49",,"46,800,000.00","46,800,000.00","48,528,282.05","52,300,000.00","52,300,000.00","52,300,000.00","76,684,833.91","21,208,994.37","30,190,943.01","29,701,361.64","43,455,198.98","80,086,592.12","80,009,000.00","80,009,000.00","94,519,426.90","1,030,190.63"
五、现金及现金等价物净增加额,"92,484,321.15","162,926,033.36","-70,120,507.23","-59,188,791.25","98,923,906.35","-13,990,141.94","-58,791,312.12","728,554,990.75","558,126,581.51","573,123,487.16","179,969,231.68","-118,268,341.97","-181,576,074.06","-273,176,787.51","116,467,556.30","33,133,948.02","185,824,445.67","-61,329,026.75","-25,261,059.19","170,828,925.11","675,716,871.82","779,952,167.92","439,354,585.07","-503,650,770.76","26,398,115.90","-781,226,609.52","-687,714,158.19","-144,865,810.91"
购建固定资产、无形资产和其他长期资产支付的现金,"215,451,179.89","165,691,195.04","75,133,837.18","79,534,139.68","33,587,405.97","65,489,422.24","73,209,646.44","36,657,495.95","72,053,402.18","148,263,048.92","219,275,849.15","74,001,062.42","218,522,508.58","295,951,355.00","234,995,327.30","78,908,636.50","124,958,056.86","161,138,264.13","305,475,980.49","35,111,249.50","112,990,768.39","161,219,234.43","365,820,624.01","124,086,817.83","219,175,588.17","316,950,317.66","267,939,653.30","56,216,596.89"
期初现金及现金等价物余额,"35,209,145.31","127,693,466.46","290,619,499.82","290,619,499.82","231,430,708.57","231,430,708.57","231,430,708.57","172,639,396.45","172,639,396.45","172,639,396.45","172,639,396.45","352,608,628.13","352,608,628.13","352,608,628.13","352,608,628.13","469,076,184.43","469,076,184.43","469,076,184.43","469,076,184.43","443,815,125.24","443,815,125.24","443,815,125.24","443,815,125.24","883,169,710.31","883,169,710.31","883,169,710.31","883,169,710.31","195,455,552.12"
投资支付的现金,"1,070,000.00",,,,,,,,,"60,000,000.00",,,"50,000,000.00","50,000,000.00",,,"129,000,000.00","249,000,000.00","9,000,000.00",,"72,000,000.00","252,000,000.00","12,847,745.07","80,000,000.00","403,866,500.00","334,623,403.20","204,685,960.00","6,000,000.00"
期末现金及现金等价物余额,"127,693,466.46","290,619,499.82","220,498,992.59","231,430,708.57","330,354,614.92","217,440,566.63","172,639,396.45","901,194,387.20","730,765,977.96","745,762,883.61","352,608,628.13","234,340,286.16","171,032,554.07","79,431,840.62","469,076,184.43","502,210,132.45","654,900,630.10","407,747,157.68","443,815,125.24","614,644,050.35","1,119,531,997.06","1,223,767,293.16","883,169,710.31","379,518,939.55","909,567,826.21","101,943,100.79","195,455,552.12","50,589,741.21"
