科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
处置固定资产、无形资产和其他长期资产收回的现金净额,"109,161.00","191,836.18","7,301,136.16","171,024.62","1,780,233.44","1,801,518.39",329.06,"2,165,314.65","3,849,638.09","8,875,563.68","10,116.32","13,916.74","123,408.10","3,023,659.73","1,912.90","8,315.60","9,323.60"
筹资活动产生的现金流量净额,"123,001,759.00","178,096,299.60","173,017,699.46","-19,993,319.63","-10,803,286.09","183,614,124.69","43,469,348.42","201,953,445.98","498,980,454.27","831,745,052.92","585,647,742.57","1,749,049,766.30","1,579,578,545.11","1,485,809,219.75","92,264,739.58","1,415,601,675.29","1,810,258,415.18"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-84,910.68","-17,488.18","-1,127,016.44","12,484.20","-61,173.07","-342,473.66","30,195.20","-7,158.08","921,244.74","6,005,250.72","-221,202.19","206,887.44","255,212.81","11,502,252.03","-744,020.23","-2,900,770.62","-6,618,454.93"
收到其他与投资活动有关的现金,,"72,283,964.75",,,"5,613,519.61",,,,,"153,750,000.00",,,,"8,151,783.31",,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"109,161.00","72,475,800.93","7,301,136.16","171,024.62","7,393,753.05","2,280,538.00",329.06,"2,165,314.65","3,849,638.09","162,625,563.68","19,900,116.32","22,523,916.74","46,822,376.31","58,674,411.25","1,912.90","632,126.75","1,733,134.75"
五、现金及现金等价物净增加额,"96,544,202.94","108,976,471.62","101,192,909.22","-211,131,476.93","-318,905,736.98","-12,524,769.36","-317,598,505.57","-249,301,037.26","-133,807,071.85","666,407,967.09","-623,598,243.95","186,131,716.54","-106,976,131.23","88,762,364.62","-69,360,191.57","626,137,813.43","849,847,270.94"
购建固定资产、无形资产和其他长期资产支付的现金,"203,505,051.58","243,629,839.31","267,691,249.19","31,642,875.51","51,124,466.99","135,954,718.59","30,830,738.30","68,717,910.13","73,557,122.85","222,407,300.12","72,250,455.97","97,085,426.48","175,945,655.25","322,326,166.98","79,157,192.02","138,744,640.97","271,732,057.14"
期初现金及现金等价物余额,"238,753,387.85","335,297,590.79","444,274,062.41","545,466,971.63","545,466,971.63","545,466,971.63","532,942,202.27","532,942,202.27","532,942,202.27","532,942,202.27","1,199,427,915.85","1,199,350,169.36","1,199,350,169.36","1,199,350,169.36","1,288,112,533.98","1,288,112,533.98","1,288,112,533.98"
投资支付的现金,"1,000,000.00","4,000,000.00",,,,"89,355,000.00",,"20,088,000.00","29,088,000.00","55,368,000.00","263,546,500.00","266,670,000.00","284,050,000.00","288,850,000.00","16,000,000.00","26,880,000.00","40,730,000.00"
期末现金及现金等价物余额,"335,297,590.79","444,274,062.41","545,466,971.63","334,335,494.70","226,561,234.65","532,942,202.27","215,343,696.70","283,641,165.01","399,135,130.42","1,199,350,169.36","575,829,671.90","1,385,481,885.90","1,092,374,038.13","1,288,112,533.98","1,218,752,342.41","1,914,250,347.41","2,137,959,804.92"
