科目,2008年度,2009年度,2010年度,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"1,692,053.66","2,751,195.23","4,250,077.35","5,566,715.93","8,192,241.02","2,864,138.77","5,586,401.33","8,906,112.10","13,910,051.42","4,924,117.18","9,629,724.76","13,314,773.18","17,868,549.41","6,143,448.29","10,175,085.98","14,231,770.90","21,069,786.81","10,035,393.05","16,734,245.83","24,889,621.21","41,001,897.50","14,452,367.35","25,023,319.62","34,270,593.83","47,593,135.37","8,682,357.10","15,213,263.99","21,069,847.13","29,542,339.25"
取得借款收到的现金,,,"31,000,000.00","10,000,000.00",,,,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","12,000,000.00","10,000,000.00","40,000,000.00","70,000,000.00","106,208,183.70","64,896,176.52","116,657,099.19","211,584,607.24","330,241,485.47","113,902,687.99","166,165,814.12","283,201,414.55","358,816,265.03","45,535,467.48","102,285,467.48","207,935,467.48","300,742,564.52"
支付的各项税费,"81,704.72","151,900.43","237,024.62","189,163.49","361,549.31","127,152.32","607,919.78","703,349.16","531,537.34","381,984.80","830,048.77","1,221,519.40","1,544,063.24","677,404.15","1,500,767.22","1,975,641.66","2,745,365.92","1,615,414.74","3,871,045.39","5,744,420.48","20,886,879.22","4,870,644.84","11,529,705.68","12,779,580.68","8,355,991.85","2,796,829.71","4,161,372.00","5,965,801.71","5,103,137.30"
收到其他与筹资活动有关的现金,,,,,"22,000,000.00",,,,,,,"2,314,589.61",,"119,423.19",,"3,318,216.22",,,,"7,000,000.00","35,839,935.00",,,,,,"3,000,000.00",,"5,271,740.00"
支付其他与经营活动有关的现金,"27,088,106.19","4,429,792.59","7,501,564.96","7,482,882.02","12,845,933.89","2,654,400.19","4,268,666.98","9,692,992.79","19,426,669.25","4,236,038.82","6,912,366.13","14,601,971.29","56,971,640.68","38,706,768.63","51,605,382.38","68,974,736.65","98,392,192.30","40,463,267.22","70,988,591.71","83,844,678.20","160,501,076.63","76,314,063.58","64,319,465.01","234,759,010.49","223,295,483.49","31,358,106.45","51,547,553.08","100,132,609.28","36,663,277.46"
筹资活动现金流入小计,"15,000,000.00","11,904,200.00","31,000,000.00","10,000,000.00","22,000,000.00",,"267,441,000.00","268,491,000.00","273,491,000.00","6,501,015.47","6,501,015.47","8,815,605.08","13,501,015.47","10,119,423.19","40,000,000.00","73,318,216.22","106,208,183.70","64,896,176.52","145,901,944.19","251,249,452.24","395,326,265.47","113,902,687.99","166,805,009.56","283,201,414.55","400,749,907.37","45,535,467.48","105,285,467.48","207,935,467.48","306,014,304.52"
经营活动现金流出小计,"34,860,553.15","28,359,165.46","36,964,971.46","33,928,653.85","51,450,569.93","14,165,810.46","27,353,882.40","61,822,628.03","90,259,432.05","26,901,521.61","39,788,626.71","66,099,751.13","135,591,704.67","62,034,546.04","146,530,319.79","190,280,577.66","214,023,450.02","116,294,685.54","235,419,095.45","342,143,392.52","583,467,723.26","182,991,494.55","308,185,836.02","511,813,291.67","517,751,332.95","62,907,807.04","111,966,755.50","189,037,833.55","150,781,764.45"
偿还债务支付的现金,,,,"12,000,000.00","26,970,000.00",,"29,215,204.09","29,215,204.09","32,272,940.00",,,,"10,000,000.00","400,000.00","1,500,000.00","12,100,000.00","17,000,000.00","15,000,000.00","52,000,000.00","80,500,000.00","101,139,965.68","76,660,750.35","153,756,737.91","313,353,835.87","379,169,167.07","48,026,019.06","136,391,892.60","237,769,142.98","401,501,260.83"
经营活动产生的现金流量净额,"-6,231,279.66","2,624,795.01","15,775,514.75","32,711,436.37","38,504,383.30","-4,721,256.07","3,285,718.30","-11,928,138.82","-1,549,310.44","-10,575,848.56","2,107,529.24","-11,052,670.44","-26,985,924.12","5,680,915.77","788,978.99","-4,269,563.86","3,184,366.71","-92,360,485.91","-133,077,592.74","-131,980,825.94","-200,045,848.82","27,505,651.71","75,269,781.75","88,367,151.31","121,655,162.23","15,193,103.78","21,435,384.36","32,254,149.66","78,721,566.09"
分配股利、利润或偿还利息支付的现金,,,"731,170.00","11,314,830.62","11,697,515.47","531,867.20","594,353.73","594,353.73","7,823,184.59","143,866.67","2,104,633.23","2,264,099.89","2,368,099.89","95,316.66","2,903,881.46","6,215,344.59","7,549,813.93","1,490,920.75","8,495,646.55","9,485,862.97","15,026,031.30","2,106,156.47","13,067,949.30","7,827,357.61","20,856,378.34","3,200,942.50","6,344,654.88","8,730,672.39","20,667,421.16"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,"32,906,028.00","32,906,028.00","47,906,028.00","20,000,000.00","33,499,986.48","33,499,986.48",,,,,"15,000,000.00"
支付其他与筹资活动有关的现金,,,,"1,700,000.00","2,070,000.00",,"2,572,455.00","4,122,455.00","4,177,000.00","36,000.00",,,,,,,"300,000.00",,,,"436,719.00","13,039,300.47",,,"39,296,746.47",,,,"42,544,113.57"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,"307,513.47","307,513.47","355,410.73","6,976.39","78,292.31","140,264.91",,,,,
筹资活动现金流出小计,,,"731,170.00","25,014,830.62","40,737,515.47","531,867.20","32,382,012.82","33,932,012.82","44,273,124.59","179,866.67","2,104,633.23","2,264,099.89","12,368,099.89","495,316.66","4,403,881.46","18,315,344.59","24,849,813.93","16,490,920.75","60,495,646.55","89,985,862.97","116,602,715.98","91,806,207.29","166,824,687.21","321,181,193.48","439,322,291.88","51,226,961.56","142,736,547.48","246,499,815.37","464,712,795.56"
处置固定资产、无形资产和其他长期资产收回的现金净额,"128,100.00","335,950.00","4,308,240.00","2,196,357.85","2,219,457.85","231,329.00","311,689.00","499,239.00","525,819.00","1,058,785.00","4,509,935.00","4,829,095.00","4,980,045.00","265,050.00","1,919,150.00","2,325,692.00","30,000.00","291,300.00","979,028.00","1,173,578.00","15,636.53","316,000.00","38,937,890.00","39,581,640.00","3,724,278.87","1,108,930.63","1,445,766.00","2,800,152.26","8,875,920.35"
筹资活动产生的现金流量净额,"15,000,000.00","11,904,200.00","30,268,830.00","-15,014,830.62","-18,737,515.47","-531,867.20","235,058,987.18","234,558,987.18","229,217,875.41","6,321,148.80","4,396,382.24","6,551,505.19","1,132,915.58","9,624,106.53","35,596,118.54","55,002,871.63","81,358,369.77","48,405,255.77","85,406,297.64","161,263,589.27","278,723,549.49","22,096,480.70","-19,677.65","-37,979,778.93","-38,572,384.51","-5,691,494.08","-37,451,080.00","-38,564,347.89","-158,698,491.04"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,"35,842,193.23","35,839,813.50",,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,"26,841.99","-1,833,288.44","-984,543.87","-3,216,839.61","1,098,085.77","816,756.82","611,606.26","797,883.30","635,458.76","154,333.33","779,774.74","148,421.36","-2,023,617.81"
收到其他与投资活动有关的现金,,,"4,245,000.00","93,996.86","180,589.04",,,,"1,864,302.37",,"20,760,604.38","13,560,604.38","58,802,490.36",,"20,800,000.00",,"37,574,670.28",,"68,500,000.00","68,500,000.00","89,051,655.33","31,950,000.00","21,953,655.86","21,953,655.86","40,387,090.68",,,,"13,847,600.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"128,100.00","335,950.00","8,553,240.00","2,290,354.71","2,400,046.89","231,329.00","311,689.00","499,239.00","2,390,121.37","1,058,785.00","25,270,539.38","18,389,699.38","63,782,535.36","265,050.00","22,719,150.00","2,325,692.00","37,604,670.28","36,133,493.23","138,532,382.97","102,887,119.47","137,328,730.59","52,272,976.39","94,469,824.65","95,175,547.25","44,111,369.55","1,108,930.63","1,445,766.00","2,800,152.26","37,723,520.35"
五、现金及现金等价物净增加额,"916,658.49","9,767,501.94","16,929,821.69","5,438,373.92","-1,789,564.60","-7,208,577.02","228,357,038.28","207,557,521.16","23,772,899.18","-18,679,884.35","11,813,608.89","-18,865,571.97","-5,326,303.27","5,610,177.10","51,176,717.32","9,941,348.30","30,442,525.98","-51,857,580.68","13,552,246.27","-11,955,266.74","15,544,973.45","19,714,867.59","57,327,291.82","44,107,323.89","48,156,831.49","-7,700,368.34","-102,202,341.86","-99,255,988.51","-113,666,774.70"
购建固定资产、无形资产和其他长期资产支付的现金,"7,980,161.85","5,097,443.07","35,610,337.51","14,548,586.54","23,956,479.32","2,186,782.75","10,299,356.20","15,572,566.20","19,525,182.78","6,083,530.92","11,972,041.97","32,754,106.10","39,955,830.09","2,959,895.20","7,927,530.21","12,917,651.47","91,731,722.77","1,260,843.33","43,418,269.73","98,258,161.93","116,912,635.58","12,086,948.03","18,380,202.75","21,124,163.74","76,472,774.54","5,754,742.00","12,725,636.10","16,119,252.93","18,389,752.29"
期初现金及现金等价物余额,"3,750,081.81","4,666,740.30","14,434,242.24","31,364,063.93","31,364,063.93","29,574,499.33","29,574,499.33","29,574,499.33","29,574,499.33","53,347,398.51","53,347,398.51","53,347,398.51","53,347,398.51","48,021,095.24","48,021,095.24","48,021,095.24","48,021,095.24","78,463,621.22","78,463,621.22","78,463,621.22","78,463,621.22","94,008,594.67","94,008,594.67","94,008,594.67","94,008,594.67","142,165,426.16","142,165,426.16","142,165,426.16","142,165,426.16"
投资支付的现金,,,,,,,,,,,,,,,,,,"28,002,656.00","32,906,028.00","47,906,028.00","84,646,908.00","45,390,000.00","28,834,040.44","1,200,000.00","3,200,000.00",,"42,976,050.86","46,238,710.97","51,000,000.00"
期末现金及现金等价物余额,"4,666,740.30","14,434,242.24","31,364,063.93","36,802,437.85","29,574,499.33","22,365,922.31","257,931,537.61","237,132,020.49","53,347,398.51","34,667,514.16","65,161,007.40","34,481,826.54","48,021,095.24","53,631,272.34","99,197,812.56","57,962,443.54","78,463,621.22","26,606,040.54","92,015,867.49","66,508,354.48","94,008,594.67","113,723,462.26","151,335,886.49","138,115,918.56","142,165,426.16","134,465,057.82","39,963,084.30","42,909,437.65","28,498,651.46"
