科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付其他与经营活动有关的现金,"53,608,579.80","46,603,034.79","70,709,363.63","41,556,176.69","48,467,606.91","69,704,010.85","10,733,154.65","25,272,292.70","29,293,912.09","56,515,831.00","47,442,674.03","30,862,480.80"
筹资活动现金流入小计,"305,986,170.65","551,349,414.84","456,959,935.74","341,880,788.00","1,170,814,206.88","1,197,447,601.00",,"73,630,500.00","73,630,500.00","73,630,500.00","14,897.33",
经营活动现金流出小计,"878,183,243.53","887,950,008.89","806,391,439.05","474,600,252.08","623,814,830.96","868,827,047.73","293,648,465.40","558,593,434.66","719,707,296.77","1,005,556,561.86","366,020,612.60","614,430,595.76"
偿还债务支付的现金,"378,346,766.69","514,356,806.98","452,828,321.24","284,000,000.00","631,958,243.00","628,828,243.00",,,,,,
经营活动产生的现金流量净额,"146,125,097.61","149,435,730.70","186,842,230.99","-8,700,545.31","31,728,827.42","111,033,103.03","-36,209,328.10","34,476,694.12","79,231,832.57","171,900,348.08","-159,787,693.50","-137,518,051.53"
分配股利、利润或偿还利息支付的现金,"43,186,945.57","70,297,613.28","109,769,613.60","83,226,292.96","86,134,477.16","83,020,722.28",,"78,240,217.80","98,732,046.36","98,518,695.00","22,696.99","147,326,332.05"
收回投资收到的现金,,"48,570,000.00","136,270,000.00","46,300,000.00","100,250,000.00","100,250,000.00","71,000,000.00","76,000,000.00","91,800,000.00","208,400,000.00","115,000,000.00","261,000,000.00"
支付其他与筹资活动有关的现金,"2,704,696.53","377,358.49","469,338.94","235,849.06","943,729.06","31,737,587.25","1,100,000.00",,,,,
取得投资收益收到的现金,"633,187.41","709,445.98","1,785,434.80","25,596.05","55,014.20","55,014.20","1,328,297.48","6,572,494.08","7,991,041.43","10,259,340.25","1,296,135.81","5,675,015.26"
筹资活动现金流出小计,"424,238,408.79","585,031,778.75","563,067,273.78","367,462,142.02","719,036,449.22","743,586,552.53","1,100,000.00","78,240,217.80","98,732,046.36","98,518,695.00","22,696.99","147,326,332.05"
处置固定资产、无形资产和其他长期资产收回的现金净额,"234,326.92","1,143,921.49","243,461.89","1,368,567.96","1,368,567.96","2,092,520.96","45,865.78","16,601.95","16,805.83","90,338.57","17,000.00","17,000.00"
筹资活动产生的现金流量净额,"-118,252,238.14","-33,682,363.91","-106,107,338.04","-25,581,354.02","451,777,757.66","453,861,048.47","-1,100,000.00","-4,609,717.80","-25,101,546.36","-24,888,195.00","-7,799.66","-147,326,332.05"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"867,514.33","50,423,367.47","138,298,896.69","47,694,164.01","101,673,582.16","102,397,535.16","72,374,163.26","82,589,096.03","99,807,847.26","218,749,678.82","116,313,135.81","266,692,015.26"
五、现金及现金等价物净增加额,"4,824,290.35","46,761,457.44","-16,528,007.29","-78,682,753.49","423,342,464.98","490,317,851.97","-278,862,992.84","-236,644,903.75","-196,505,171.13","-196,061,324.51","-104,477,743.20","-170,122,483.14"
购建固定资产、无形资产和其他长期资产支付的现金,"23,916,083.45","70,845,276.82","99,291,796.93","45,795,018.17","61,587,702.26","76,723,834.69","13,927,828.00","33,100,976.10","34,443,304.60","53,423,156.41","5,995,385.85","96,970,114.82"
期初现金及现金等价物余额,"62,789,625.84","67,613,916.19","114,375,373.63","97,847,366.34","97,847,366.34","97,847,366.34","588,165,218.31","588,165,218.31","588,165,218.31","588,165,218.31","392,103,893.80","351,520,314.56"
投资支付的现金,,"48,570,000.00","136,270,000.00","46,300,000.00","100,250,000.00","100,250,000.00","300,000,000.00","316,000,000.00","316,000,000.00","508,400,000.00","55,000,000.00","55,000,000.00"
期末现金及现金等价物余额,"67,613,916.19","114,375,373.63","97,847,366.34","19,164,612.85","521,189,831.32","588,165,218.31","309,302,225.47","351,520,314.56","391,660,047.18","392,103,893.80","287,626,150.60","181,397,831.42"
