科目,2011年度,2012年度,2013年1-3月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
收到其他与筹资活动有关的现金,,,,,,,,"5,560,000.00",,,"20,472,000.00",,,,,,,,,,,,"15,554,000.00","15,554,000.00",
支付其他与经营活动有关的现金,"10,093,250.19","9,962,211.47","5,740,733.88","19,403,439.40","4,166,356.59","10,223,178.22","35,304,567.52","17,626,456.84","3,291,169.98","7,778,058.22","9,920,213.46","17,780,189.25","2,690,633.43","5,930,783.06","12,754,513.90","21,743,398.58","3,406,576.52","11,253,919.87","16,346,186.17","31,369,894.44","4,826,837.36","14,978,965.98","23,903,846.47","30,321,092.06","15,805,216.16"
筹资活动现金流入小计,,,,,"5,000,000.00","50,000,000.00","429,004,400.00","434,564,400.00","20,000,000.00","107,000,000.00","317,472,000.00","297,000,000.00","20,000,000.00","25,000,000.00","25,000,000.00","70,000,000.00",,"734,355,478.70","734,355,478.70","734,355,478.70","50,000,000.00","50,000,000.00","133,054,000.00","133,054,000.00",
经营活动现金流出小计,"140,505,487.93","150,258,307.05","55,297,747.07","246,057,861.40","67,799,906.78","102,962,089.14","167,485,033.76","239,961,829.44","37,124,295.32","166,211,228.26","201,466,441.22","176,586,359.89","23,457,557.19","55,617,667.64","77,133,064.55","131,897,802.12","35,920,590.34","98,261,032.44","141,615,081.94","192,313,933.68","66,094,455.16","172,916,497.21","283,790,133.52","398,917,992.35","198,305,237.08"
偿还债务支付的现金,"15,000,000.00",,,,,,,,,"50,000,000.00","50,000,000.00","152,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","15,000,000.00","60,000,000.00","20,000,000.00","20,000,000.00","180,000,000.00","195,000,000.00","35,000,000.00"
经营活动产生的现金流量净额,"84,265,381.93","73,629,220.45","10,309,862.35","174,082,836.73","-21,233,125.94","43,904,523.36","174,351,588.86","216,276,190.97","-17,763,099.28","-91,145,196.66","-114,859,284.92","-90,383,401.43","45,863,503.26","17,453,163.67","53,188,221.38","38,584,682.16","-29,945,729.15","-61,011,618.00","-31,402,121.55","24,616,159.54","29,530,349.31","77,199,261.26","71,900,110.73","281,205,981.09","52,632,677.35"
分配股利、利润或偿还利息支付的现金,"8,355,327.50","8,000,000.00","8,000,000.00","8,000,000.00",,"20,746,416.67","21,612,750.00","22,469,666.67","1,038,611.11","49,920,002.50","51,340,680.27","60,310,500.01","2,327,895.84","32,648,198.48","32,703,781.81","39,405,931.87","2,768,518.33","50,163,603.48","51,447,560.24","55,201,960.00","2,195,100.73","54,643,555.43","57,090,263.76","58,161,520.13","1,042,701.04"
收回投资收到的现金,"130,408,123.30",,,,"50,100,000.00","50,445,486.10","50,100,000.00","376,045,916.20","88,999,999.98","150,688,600.23","347,093,468.14","363,093,077.36",,"769,041.00","250,769,041.00","1,421,095.72",,,"750,000,000.00","15,312,082.20",,"5,984,767.12","6,545,726.02","19,119,972.60",
支付其他与筹资活动有关的现金,,,,,,,"4,706,869.70","5,174,500.00",,,"5,000,000.00","2,500,000.00",,,,"285,654.11",,"2,040,018.21","2,080,032.00","2,578,980.65","6,694,944.00","39,643,646.36","39,643,646.36","39,618,353.68",
取得投资收益收到的现金,,,,,,,"345,486.10",,,,"9,846,090.99",,,,,,,,"5,747,260.28",,,,,,"1,578,082.20"
筹资活动现金流出小计,"23,355,327.50","8,000,000.00","8,000,000.00","8,000,000.00",,"20,746,416.67","26,319,619.70","27,644,166.67","1,038,611.11","99,920,002.50","106,340,680.27","214,810,500.01","2,327,895.84","37,648,198.48","37,703,781.81","44,691,585.98","7,768,518.33","57,203,621.69","68,527,592.24","117,780,940.65","28,890,044.73","114,287,201.79","276,733,910.12","292,779,873.81","36,042,701.04"
处置固定资产、无形资产和其他长期资产收回的现金净额,"125,300.00","45,000.00","6,837.61","107,000.00",,,,"90,000.00",,,,"5,300.00",,,,"62,000.00",,"900,000.00","900,000.00","900,000.00",,"9,198.00","99,198.00","99,000.00",
筹资活动产生的现金流量净额,"-23,355,327.50","-8,000,000.00","-8,000,000.00","-8,000,000.00","5,000,000.00","29,253,583.33","402,684,780.30","406,920,233.33","18,961,388.89","7,079,997.50","211,131,319.73","82,189,499.99","17,672,104.16","-12,648,198.48","-12,703,781.81","25,308,414.02","-7,768,518.33","677,151,857.01","665,827,886.46","616,574,538.05","21,109,955.27","-64,287,201.79","-143,679,910.12","-159,725,873.81","-36,042,701.04"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-1,672.79",327.22,,400.18,,119.71,119.71,"-2,124.77","-1,365.22","-9,166.77","-9,166.77","-9,361.69",,-121.12,-121.12,-121.12,,-558.31,-558.31,"-1,284.53","-2,937.55","-3,324,932.35","3,457,005.37","-1,327,411.26","-2,399,507.76"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"130,533,423.30","45,000.00","6,837.61","107,000.00","50,100,000.00","50,445,486.10","50,445,486.10","376,135,916.20","88,999,999.98","150,688,600.23","356,939,559.13","363,098,377.36",,"769,041.00","250,769,041.00","1,483,095.72",,"900,000.00","756,647,260.28","16,212,082.20",,"5,993,965.12","6,644,924.02","19,218,972.60","1,578,082.20"
五、现金及现金等价物净增加额,"69,228,604.99","49,328,706.75","-48,965,422.85","-9,507,116.39","11,282,254.88","57,914,389.95","540,915,943.93","233,407,275.07","-5,049,165.73","-142,040,727.92","242,183,637.95","101,029,705.90","-42,939,881.39","-159,617,652.10","-123,938,177.72","-110,833,905.16","-41,416,552.00","8,087,908.18","178,900,851.15","545,070,003.04","-694,761,187.31","-70,273,131.60","-153,372,717.35","38,289,878.03","-509,025,376.23"
购建固定资产、无形资产和其他长期资产支付的现金,"12,213,199.95","16,345,840.92","51,282,122.81","119,597,353.30","22,584,619.18","65,689,322.55","82,893,031.04","92,322,940.59","1,246,090.09","8,554,962.22","10,918,789.22","33,825,408.33","106,475,488.81","111,191,537.17","111,191,537.17","117,139,331.39","3,702,304.52","8,951,772.52","9,316,345.96","105,778,531.31","3,414,152.32","5,075,571.52","9,271,130.17","17,915,797.30","20,454,926.98"
期初现金及现金等价物余额,"80,036,750.93","149,265,355.92","198,594,062.67","198,594,062.67","189,086,946.28","189,086,946.28","189,086,946.28","189,086,946.28","461,923,221.35","461,923,221.35","461,923,221.35","422,494,221.35","528,191,727.25","523,523,927.25","523,523,927.25","523,523,927.25","412,690,022.09","412,690,022.09","412,690,022.09","412,690,022.09","957,760,025.13","957,760,025.13","957,760,025.13","957,760,025.13","996,049,903.16"
投资支付的现金,"110,000,000.00",,,"50,100,000.00",,,,"670,000,000.07","94,000,000.01","200,100,000.00","200,100,000.00","200,040,000.00",,,"250,000,000.00","15,070,644.55",,"600,000,000.00","1,200,000,000.00","50,000.00","603,800,000.00","4,800,000.00","4,800,000.00","4,800,000.00","504,180,000.00"
期末现金及现金等价物余额,"149,265,355.92","198,594,062.67","149,628,639.82","189,086,946.28","200,369,201.16","247,001,336.23","730,002,890.21","422,494,221.35","456,874,055.62","319,882,493.43","704,106,859.30","523,523,927.25","485,251,845.86","363,906,275.15","399,585,749.53","412,690,022.09","371,273,470.09","420,777,930.27","591,590,873.24","957,760,025.13","262,998,837.82","887,486,893.53","804,387,307.78","996,049,903.16","487,024,526.93"
