科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
流动资产合计,"2,871,113,083.63","4,929,814,067.97","5,191,193,165.80","5,073,020,655.92","5,282,923,942.75","5,759,271,769.01","5,223,661,912.52","5,501,458,103.49","5,669,192,959.53","6,032,728,499.06","6,062,763,490.91","7,240,940,104.97","7,315,442,203.58","7,313,519,409.25","7,292,289,407.52","6,519,935,127.61","6,628,075,375.50","7,130,506,705.91","7,245,713,266.84","7,858,102,817.93","8,188,840,754.96","7,843,748,443.07","8,983,702,248.90","10,091,769,099.67","9,623,275,203.92","9,829,484,731.82","9,232,563,361.57","7,918,643,952.61","7,249,049,588.84","7,383,093,927.61","7,215,019,075.64","6,496,826,666.69","5,725,918,693.59","6,088,224,363.70","5,954,727,718.85","5,900,868,032.53","6,108,065,554.02","6,076,623,486.01","6,204,535,519.53","6,371,357,936.08","6,064,156,999.68","6,410,298,012.62","5,910,732,703.05","5,884,111,912.05","5,927,286,228.55","6,270,469,738.31"
流动负债合计,"2,232,296,765.76","2,686,378,875.50","2,601,433,790.75","2,420,389,173.24","1,958,206,787.52","2,520,336,521.17","2,163,414,461.54","2,060,658,595.48","2,108,765,953.22","2,613,794,923.81","2,826,799,647.59","3,863,587,450.70","4,227,842,136.92","4,359,042,880.02","4,224,644,529.25","3,590,541,686.57","3,186,561,391.77","3,790,471,106.12","3,665,451,148.84","4,238,568,627.66","4,495,175,063.36","4,560,981,597.13","5,066,430,161.75","6,132,439,929.99","5,508,084,273.08","5,975,507,145.29","5,486,291,169.26","4,973,382,674.00","4,280,570,767.41","4,685,626,578.23","4,764,448,712.00","4,655,628,624.06","3,859,185,236.19","3,987,986,984.54","3,598,323,206.54","3,626,497,423.58","3,931,170,986.04","3,717,123,728.04","4,014,941,151.74","4,279,040,121.21","4,006,871,351.34","4,128,702,438.82","3,256,703,284.50","3,425,530,628.70","3,666,041,861.17","4,143,740,211.67"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,062,484.98","142,697,424.98","142,697,424.98","142,697,424.98","140,197,424.98","140,197,424.98","140,197,424.98","140,197,424.98","140,197,424.98","140,197,424.98","35,562,484.98","35,562,484.98","35,562,484.98","35,562,484.98","35,562,484.98","35,562,484.98"
长期借款,"835,184,500.00","1,111,019,500.00","1,461,672,900.00","1,453,282,100.00","2,100,413,400.00","2,002,284,200.00","1,876,131,782.00","2,280,539,200.00","2,340,844,200.00","2,435,716,200.00","2,344,764,200.00","1,113,909,200.00","1,253,564,200.00","1,134,189,200.00","1,089,204,200.00","780,319,200.00","900,744,200.00","884,139,200.00","1,006,414,200.00","1,006,374,200.00","1,019,454,200.00","948,904,200.00","662,290,000.00","570,000,000.00","494,500,000.00","543,780,000.00","487,500,000.00","309,780,000.00","280,280,000.00","336,280,000.00","370,000,000.00","350,000,000.00","412,000,000.00","686,500,000.00","1,028,500,000.00","1,092,000,000.00","1,014,000,000.00","1,156,000,000.00","905,000,000.00","839,956,082.00","825,530,043.00","1,098,360,974.50","1,392,000,000.00","1,299,000,000.00","1,110,000,000.00","990,000,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,"8,000,000.00","8,000,000.00",,,"1,500,000.00",,"2,000,000.00","1,000,000.00",,,,,,,,,,"12,000,000.00",,"19,000,000.00",,,,,,,
应付债券,,,,,,,,,,,,"686,388,900.00","687,555,600.00","688,722,300.00","689,889,000.00","691,055,700.00","692,222,400.00","693,389,100.00","694,555,800.00","695,722,500.00","696,889,200.00","698,055,900.00","699,222,600.00","700,000,000.00","700,000,000.00","700,000,000.00","700,000,000.00",,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,"380,000.00",,,,,,"120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","470,000,000.00","470,000,000.00","470,000,000.00","550,000,000.00","550,000,000.00","200,000,000.00","450,000,000.00","250,000,000.00","550,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00",,,,,"136,740.32","128,442.97","126,492.33","121,093.01","115,501.38","109,710.61","103,713.61","94,240.02","91,071.25","84,410.41","77,512.35","70,368.61","62,970.46"
长期股权投资,"1,133,571,297.91","218,011,580.96","232,039,729.17","160,433,822.92","160,433,822.92","160,270,408.83","205,270,408.83","217,681,233.17","172,681,233.17","157,681,233.17","157,681,233.17","126,062,484.98","126,062,484.98","126,062,484.98","126,062,484.98","182,700,202.64","126,062,484.98","126,062,484.98","126,062,484.98","38,062,484.98","38,062,484.98","73,069,484.98","73,069,484.98","142,697,424.98","142,697,424.98","142,697,424.98","142,697,424.98","142,697,424.98","142,697,424.98","142,697,424.98","314,633,260.00","211,942,142.51","211,942,142.51","211,942,142.51","211,942,142.51","200,397,083.12","200,397,083.12","197,558,246.57","122,059,046.57","128,305,678.10","164,572,575.80","174,326,957.12","94,456,957.12","95,522,409.82","94,167,090.69","92,030,176.48"
专项应付款,"611,614.67","380,000.00","380,000.00","380,000.00","380,000.00","380,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
