科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月
三、利润总额,"18,788,179.41","56,065,642.16","112,393,880.18","166,537,979.98","25,946,393.67","89,432,708.53","149,458,730.47","179,243,557.57","12,621,633.98","49,248,986.09","90,623,882.29","41,030,944.02","58,701,712.37","164,544,691.17","195,469,554.00","173,412,173.58","-19,503,949.84","-17,471,074.19","-99,598,248.11"
资产减值损失,"-6,691,876.69","-5,280,138.02","-6,106,012.09","9,085,020.70",,"5,294,113.02","3,816,489.43","6,640,804.91",,"198,392.59","198,392.59","15,654,645.83",,"276,459.89","317,070.59","20,001,396.19","18,148,231.60","27,015,031.08","26,993,531.08"
减:所得税,"-305,088.96","3,517,556.82","74,055.46","-4,274,302.04","5,434,059.67","-2,830,944.22","-7,036,711.23","30,798,804.70","116,200.00","-1,222,860.52","5,063,647.36","10,842,853.50","695,295.18","29,518,201.56","33,686,868.84","25,769,266.70","1,618,308.86","9,468,560.16","9,568,565.76"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,
投资收益,,"-777,699.87","-2,752,459.11","-4,485,173.98","-1,600,178.01","-1,697,992.32","-1,495,280.57","161,393.01","240,022.20","661,008.90","1,143,105.44","1,073,944.47","1,025,714.04","1,453,922.31","1,883,759.03","2,686,848.33","834,911.68","2,052,335.04","1,364,576.00"
四、净利润,"19,093,268.37","52,548,085.34","112,319,824.72","170,812,282.02","20,512,334.00","92,263,652.75","156,495,441.70","148,444,752.87","12,505,433.98","50,471,846.61","85,560,234.93","30,188,090.52","58,006,417.19","135,026,489.61","161,782,685.16","147,642,906.88","-21,122,258.70","-26,939,634.35","-109,166,813.87"
其中:对联营企业和合营企业的投资权益,,,,"-2,997,178.00",,,,"1,558,859.27",,,,"1,073,944.47",,,,"2,659,549.23",,"2,052,335.04",
归属于母公司所有者的净利润,"21,588,007.74","52,383,857.94","112,685,817.61","167,981,340.18","20,434,725.80","93,168,370.04","155,133,065.03","140,792,285.31","14,130,358.31","53,904,946.64","87,595,670.73","28,169,726.25","58,942,799.63","138,367,127.35","163,811,416.65","155,491,537.45","-17,516,225.77","-21,466,346.46","-101,610,559.42"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,
少数股东损益,"-2,494,739.37","164,227.40","-365,992.89","2,830,941.84","77,608.20","-904,717.29","1,362,376.67","7,652,467.56","-1,624,924.33","-3,433,100.03","-2,035,435.80","2,018,364.27","-936,382.44","-3,340,637.74","-2,028,731.49","-7,848,630.57","-3,606,032.93","-5,473,287.89","-7,556,254.45"
