科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
取得借款收到的现金,"52,000,000.00","125,000,000.00","108,720,000.00","118,000,000.00","146,000,000.00","146,000,000.00","171,000,000.00","9,100,000.00","5,000,000.00","5,000,000.00","5,000,000.00","50,000,000.00","85,000,000.00","135,000,000.00","185,000,000.00","28,000,000.00","219,000,000.00","327,500,000.00","491,000,000.00",,"59,000,000.00","148,500,000.00","277,500,000.00","20,000,000.00","108,000,000.00","138,500,000.00","462,500,000.00","157,000,000.00","282,000,000.00","322,000,000.00","591,000,000.00","55,500,000.00","165,500,000.00","195,500,000.00"
支付的各项税费,"26,118,829.16","40,004,226.93","24,815,440.38","44,116,729.64","57,611,944.33","70,941,988.47","95,996,705.17","16,798,441.40","42,598,362.60","67,825,510.29","81,829,141.22","41,234,848.70","64,373,474.23","72,232,808.98","104,229,798.60","18,236,955.44","41,381,514.43","52,320,091.90","91,598,056.80","29,755,925.67","60,915,530.24","89,244,556.05","114,248,972.91","26,468,714.13","42,957,364.09","62,962,645.09","82,461,217.49","17,738,833.50","35,988,135.23","52,371,960.33","76,090,014.88","25,157,239.87","39,766,715.33","51,207,889.40"
收到其他与筹资活动有关的现金,"2,786,000.00","13,977,000.00",,,,,"21,090,000.00","6,100,000.00",,,,,,,,,,"71,441,935.22",,,,,"14,501,111.03",,,,"25,545,269.88",,,,,,,
支付其他与经营活动有关的现金,"32,282,403.83","32,482,997.60","155,053,776.82","67,361,299.91","32,225,906.69","70,729,164.83","87,017,729.68","2,679,192.59","10,857,346.48","25,873,077.10","62,797,404.71","16,358,394.85","24,658,357.23","23,866,832.09","154,360,502.01","9,439,569.60","43,198,104.26","109,633,005.06","175,013,370.49","62,391,204.85","22,906,159.87","109,499,842.31","129,231,694.13","91,235,783.12","21,330,305.15","143,061,328.67","121,654,286.98","42,141,730.91","40,068,962.71","124,019,992.07","125,838,303.54","45,481,364.05","63,314,478.23","99,087,556.81"
筹资活动现金流入小计,"79,908,199.00","186,647,000.00","177,520,000.00","186,850,000.00","146,000,000.00","1,002,750,000.00","1,048,840,000.00","20,200,000.00","10,000,000.00","10,000,000.00","9,902,000.00","50,000,000.00","85,000,000.00","135,000,000.00","185,000,000.00","28,000,000.00","219,000,000.00","398,941,935.22","491,000,000.00",,"59,000,000.00","148,500,000.00","292,001,111.03","24,430,000.00","112,930,000.00","148,400,000.00","498,435,269.88","161,500,000.00","286,500,000.00","326,500,000.00","595,500,000.00","55,500,000.00","165,500,000.00","195,500,000.00"
经营活动现金流出小计,"374,054,842.41","604,237,080.99","590,222,296.54","843,947,959.85","463,537,488.54","680,925,007.92","859,609,193.96","267,089,049.04","501,488,112.69","875,390,480.86","959,357,731.35","175,796,379.16","458,139,327.14","792,338,257.98","742,338,389.00","194,239,344.79","660,945,886.71","904,109,514.96","957,654,757.34","252,490,097.57","529,617,114.00","842,929,141.05","827,414,354.25","239,820,550.76","314,310,621.83","638,161,027.90","852,548,548.18","214,496,514.12","419,308,652.25","682,451,195.37","1,123,807,440.22","263,581,765.39","575,057,277.82","869,686,608.68"
偿还债务支付的现金,"45,000,000.00","61,000,000.00","73,887,500.00","126,000,000.00","65,000,000.00","254,000,000.00","279,000,000.00","25,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","55,000,000.00","85,000,000.00","135,000,000.00",,"30,000,000.00","134,000,000.00","347,000,000.00","27,500,000.00","118,000,000.00","191,000,000.00","356,500,000.00","20,500,000.00","144,500,000.00","204,000,000.00","410,000,000.00","99,500,000.00","192,900,000.00","255,300,000.00","501,000,000.00","145,500,000.00","196,700,000.00","226,700,000.00"
经营活动产生的现金流量净额,"41,786,245.82","2,986,247.50","-117,720,626.90","42,565,378.52","-133,889,098.24","-117,242,784.32","-30,419,580.93","-118,994,257.73","-193,681,211.60","-118,207,689.22","-57,765,046.16","-42,704,416.63","-4,864,887.30","3,591,576.51","61,833,674.43","-4,755,784.32","-7,593,067.73","-104,399,512.45","223,050,312.60","-36,685,956.54","-145,812,586.67","14,230,749.51","91,980,020.22","52,776,917.39","94,242,378.03","113,028,750.03","127,333,152.93","-2,414,147.11","-38,322,629.01","247,181,224.02","173,009,072.59","-29,865,833.27","-51,547,433.28","-92,936,786.78"
分配股利、利润或偿还利息支付的现金,"4,726,776.80","8,000,813.60","43,181,962.82","50,773,914.16","40,947,773.90","43,170,160.19","38,333,024.11","9,276.82","41,921,278.30","42,251,841.85","42,254,396.66","525,841.27","22,676,753.69","21,543,102.55","24,088,466.66","144,418.68","12,071,472.50","13,194,622.29","18,723,806.62","450,000.00","21,083,333.13","22,457,863.44","26,737,566.56","316,666.67","8,810,461.36","10,534,700.20","15,234,512.27","1,487,132.73","12,177,850.66","15,578,531.81","15,997,406.52","2,944,338.98","10,553,433.16","16,034,916.06"
收回投资收到的现金,"21,865,216.96","13,031,775.53","8,323,198.15","8,327,205.92",,,"5,000,000.00",,,"200,000.00",,,,,,,,,,"9,795,500.00","92,191,000.00","12,195,500.00","152,929,311.31","306,398,232.13","422,300,000.00","466,740,000.00","970,815,463.82","355,300,000.00","694,336,030.15","749,407,767.15","1,063,777,060.98","450,000,000.00","682,000,000.00","1,008,000,000.00"
支付其他与筹资活动有关的现金,"660,000.00","8,465,000.00","360,000.00","3,000,000.00",,"14,388,570.83","8,697,633.64",,,,"4,363,055.41",,,,,,,"86,219,171.56",,,,,"18,475,664.94",,,,"16,979,251.94",,,,,,,
取得投资收益收到的现金,"98,270.00","161,539.16","31,000.00","53,513.30","44,728.08","28,571.77","51,161.31",,"21,027.24","21,027.24","21,751.75",,"11,780.00","11,780.00","26,814.92",,"12,440.68","18,595.88","18,595.88",56.62,"217,070.38","11,689.11","15,568,914.43","9,810,994.52","10,813,552.67","16,724,840.34","30,113,110.30","11,161,845.78","16,152,479.67","17,450,515.97","18,196,341.99","2,896,225.50","5,285,222.41","9,983,044.08"
筹资活动现金流出小计,"50,386,776.80","77,465,813.60","117,429,462.82","179,773,914.16","105,947,773.90","311,558,731.02","326,030,657.75","25,009,276.82","46,921,278.30","47,251,841.85","51,617,452.07","5,525,841.27","77,676,753.69","106,543,102.55","159,088,466.66","144,418.68","42,071,472.50","233,413,793.85","365,723,806.62","27,950,000.00","139,083,333.13","213,457,863.44","401,713,231.50","20,816,666.67","153,310,461.36","214,534,700.20","442,213,764.21","100,987,132.73","205,077,850.66","270,878,531.81","516,997,406.52","148,444,338.98","207,253,433.16","242,734,916.06"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"21,315.47","7,000.00","7,000.00",,,,,,"58,000.00","247,802.00","61,000.00","264,124.42","419,124.44","292,300.00",,,,"160,000.00","60,000.00","395,000.00","3,864,270.86","12,884,144.40",,,,,,,"47,000.00","100,415.24",,,"60,000.00"
筹资活动产生的现金流量净额,"29,521,422.20","109,181,186.40","60,090,537.18","7,076,085.84","40,052,226.10","691,191,268.98","722,809,342.25","-4,809,276.82","-36,921,278.30","-37,251,841.85","-41,715,452.07","44,474,158.73","7,323,246.31","28,456,897.45","25,911,533.34","27,855,581.32","176,928,527.50","165,528,141.37","125,276,193.38","-27,950,000.00","-80,083,333.13","-64,957,863.44","-109,712,120.47","3,613,333.33","-40,380,461.36","-66,134,700.20","56,221,505.67","60,512,867.27","81,422,149.34","55,621,468.19","78,502,593.48","-92,944,338.98","-41,753,433.16","-47,234,916.06"
处置子公司及其他营业单位收到的现金净额,"52,740.86","611,761.14",,,,,,,,,,,,,,,,,,,,,,,,,,,"-548,423.87","-548,423.87","3,477,800.00",,,"-22,056.40"
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"2,300,000.00","9,500,000.00",,"3,000,000.00","16,400,000.00","13,000,000.00","14,530,000.00",,,,,,,,,,,,,,,,,,,,"10,000,000.00",,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"24,316,227.82","23,326,391.30","8,361,198.15","11,387,719.22","16,444,728.08","13,028,571.77","19,581,161.31",,"21,027.24","279,027.24","269,553.75","61,000.00","275,904.42","430,904.44","319,114.92",,"12,440.68","18,595.88","178,595.88","9,855,556.62","92,803,070.38","16,071,459.97","181,382,370.14","316,209,226.65","433,113,552.67","483,464,840.34","1,010,928,574.12","366,461,845.78","709,940,085.95","766,356,859.25","1,085,551,618.21","452,896,225.50","687,285,222.41","1,018,020,987.68"
五、现金及现金等价物净增加额,"42,777,887.49","85,226,702.66","-76,364,178.32","-58,081,667.31","-84,246,243.65","582,137,128.80","662,954,009.12","-128,436,565.09","-240,259,685.01","-197,795,410.41","-165,460,100.88","-20,247,830.40","-75,725,054.23","-55,913,813.28","-30,059,971.43","-37,832,162.99","29,832,952.31","-113,413,618.05","122,513,620.77","-358,291,972.07","-451,168,246.19","-558,291,929.60","-543,356,247.31","42,615,839.62","132,735,288.59","105,480,882.91","120,133,832.09","-95,260,101.30","-97,915,510.79","50,482,892.42","58,956,471.16","-19,238,716.75","-33,555,864.17","-118,720,220.69"
购建固定资产、无形资产和其他长期资产支付的现金,"21,793,318.33","43,443,277.54","12,475,286.75","93,818,350.89","6,854,099.59","4,839,927.63","46,016,913.51","4,633,030.54","9,678,222.35","42,614,906.58","63,149,156.40","22,078,572.50","78,459,317.66","88,393,191.68","118,124,294.12","60,931,959.99","137,694,948.14","172,740,842.85","224,171,481.09","6,484,039.00","11,620,330.47","15,181,209.34","44,551,450.90","4,773,637.75","14,530,180.75","22,454,555.18","28,204,316.07","13,820,667.24","50,606,852.75","91,531,194.72","104,419,313.12","16,324,770.00","27,540,220.14","41,569,505.53"
期初现金及现金等价物余额,"44,182,261.57","86,960,149.06","172,186,851.72","172,186,851.72","114,105,184.41","114,105,184.41","114,105,184.41","784,851,935.50","777,059,193.53","777,059,193.53","777,059,193.53","612,178,624.65","612,178,316.65","612,178,316.65","611,599,092.65","584,964,968.88","584,964,968.88","584,964,968.88","581,539,121.22","707,440,367.63","707,440,367.63","707,440,367.63","704,052,741.99","166,798,717.28","166,798,717.28","166,661,992.57","160,696,494.68","307,794,980.45","307,794,980.45","307,794,980.45","280,830,326.77","346,135,538.34","346,135,538.34","346,135,538.34"
投资支付的现金,"14,552,690.02","3,845.00","4,800,000.00",,,,,,,,"3,100,000.00",,,,,,"1,820,000.00","1,820,000.00","1,820,000.00","297,027,533.15","306,455,066.30","508,455,066.30","662,455,066.30","325,210,000.00","339,710,000.00","403,300,000.00","1,026,110,000.00","506,000,000.00","800,447,200.00","927,244,400.00","1,173,687,500.00","333,000,000.00","600,000,000.00","955,000,000.00"
期末现金及现金等价物余额,"86,960,149.06","172,186,851.72","95,822,673.40","114,105,184.41","29,858,940.76","696,242,313.21","777,059,193.53","656,415,370.41","536,799,508.52","579,263,783.12","611,599,092.65","591,930,794.25","536,453,262.42","556,264,503.37","581,539,121.22","547,132,805.89","614,797,921.19","471,551,350.83","704,052,741.99","349,148,395.56","256,272,121.44","149,148,438.03","160,696,494.68","209,414,556.90","299,534,005.87","272,142,875.48","280,830,326.77","212,534,879.15","209,879,469.66","358,277,872.87","339,786,797.93","326,896,821.59","312,579,674.17","227,415,317.65"
