科目,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
收回投资收到的现金,"105,682,300.31","20,000,000.00","40,000,000.00",,,"1,200,000.00","1,519,266.63",,"25,943,735.04","32,305,408.36","38,968,035.04",,,,,"517,036.72","114,134,621.07","120,092,577.67","2,115,134,621.07","1,200,000,000.00","1,750,000,000.00","3,060,000,000.00","6,430,835,065.60","2,100,000,000.00","3,800,000,000.00","4,795,230,000.00","7,037,381,498.68","3,702,181,067.32","6,061,001,067.32","7,029,523,755.06","8,315,655,543.59","880,910,298.93","1,992,206,976.91","3,265,363,305.25","4,233,036,399.37","560,393,816.48","660,671,169.29","1,050,896,766.31","1,105,733,556.02","157,776,013.29"
支付其他与筹资活动有关的现金,,"23,568,270.60","34,538,158.05","10,420,390.04","14,913,550.47","45,366,200.52","15,863,012.61","71,487,348.02","1,847,225.87","42,014,775.95","197,397.79","852,362.69",,,"45,742.06",,"26,311.63","126,311.63","69,476,311.63","9,950,700.00","9,976,784.13","10,076,784.13","10,076,784.13",,"26,399,559.99","38,202,054.11","111,091,198.11","25,647,045.31","57,402,388.10","86,076,371.01","254,010,611.89",,,"126,711.53","2,796,816.53","9,939,129.52","18,901,129.66","25,584,903.39","29,399,059.58","10,572,562.38"
取得投资收益收到的现金,"8,815,209.26","1,543,187.31","3,562,121.18","2,281,666.37","4,318,849.60","5,027,355.16","8,534,115.89","60,661.69","6,162,318.01","3,397,744.69","11,798,904.68","2,741,739.59","2,848,318.98","8,317,615.91","11,564,160.07","87,637.00","1,749,395.72","1,773,445.24","18,462,349.33","10,258,152.07","73,544,402.96","80,042,075.71","143,442,934.15","80,874,893.04","129,266,165.36","143,579,674.96","185,669,843.03","84,044,896.45","161,889,101.21","181,901,664.10","207,459,204.56","21,536,712.02","33,609,195.63","68,254,467.73","79,666,129.66","26,754,682.82","34,566,664.33","53,568,477.65","71,017,781.74","9,401,565.16"
筹资活动现金流出小计,"2,541,999,466.26","1,955,932,592.05","2,742,939,950.67","292,790,812.38","1,126,169,810.85","1,387,858,599.42","1,728,260,673.06","372,580,866.00","483,820,668.44","637,867,113.01","892,631,471.92","6,951,771.59","193,891,155.76","833,023,395.16","931,278,293.81","210,472,361.13","192,666,784.26","912,038,527.01","1,035,135,371.18","102,068,439.14","183,446,355.85","1,258,797,555.57","1,656,490,224.20","159,745,003.23","433,053,611.09","1,653,326,303.78","1,971,143,885.14","352,749,240.54","881,318,624.08","1,789,596,503.96","2,635,188,585.94","319,736,530.95","666,144,655.58","1,687,174,493.00","2,647,034,161.04","535,282,550.06","1,594,879,778.26","3,223,685,091.16","7,516,049,361.98","208,061,698.93"
处置固定资产、无形资产和其他长期资产收回的现金净额,"72,635,813.77","1,754,209.22","13,716,268.31","244,933.00","3,003,707.70","3,289,535.83","6,452,309.59","6,481,155.59","9,006,607.46","9,911,658.62","25,507,390.11","155,537.00","378,558.50","25,585,852.52","3,190,416.94","4,826,265.89","7,103,868.89","7,843,705.70","6,646,418.52","222,396.24","2,839,137.12","3,929,825.76","7,258,727.57","262,977.52","805,325.56","2,886,751.21","2,578,990.47","1,215,719.81","157,419,923.58","151,723,270.55","310,945,951.15","3,433,795.93","4,057,239.59","5,174,269.40","8,723,486.61","25,405,221.47","29,240,162.39","29,791,506.83","28,853,597.23","463,730.82"
筹资活动产生的现金流量净额,"331,110,764.07","-485,318,414.89","5,576,482,482.81","-194,024,212.38","-751,486,773.25","-528,539,114.34","-382,088,001.69","-372,580,866.00","-425,576,268.44","-439,980,136.46","-514,920,804.00","171,893,234.06","360,001,369.66","218,611,050.00","429,951,064.63","-210,472,361.13","11,088,922.70","-551,398,321.68","218,682,626.54","1,114,395,095.22","2,703,811,944.15","2,510,698,849.66","2,362,830,523.75","556,888,168.53","1,105,025,719.24","359,844,627.19","701,806,643.10","561,377,430.79","694,389,780.77","-104,481,694.85","-409,322,004.67","-115,619,633.41","440,567,455.51","-37,107,556.44","-57,393,065.24","-22,325,508.26","-487,900,144.36","599,270,223.74","688,830,102.91","852,580,005.13"
处置子公司及其他营业单位收到的现金净额,"4,711,255.80",,,,,,,,,,"79,606.00",,,,,,,,,,,,,,,,"10,000,000.00",,,,,,,,"9,888.32",,"698,139.16","698,139.16","698,139.16",
四、汇率变动对现金的影响,"-53,926,599.38","4,001,587.62","-930,404.33","10,990,713.92","3,129,222.06","-25,978,801.40","-44,366,585.87","3,847,837.39","-10,116,366.15","-57,140,077.23","-35,774,677.61","2,300,308.49","-445,763.72","13,535,656.87","12,293,165.34","2,128,791.78","-10,500,072.49","-14,729,561.31","-19,700,368.74","7,098,243.06","8,573,649.84","6,351,681.28","-14,435,148.53","-3,951,878.77","-4,781,338.48","60,735,693.64","71,394,521.83","-14,257,574.12","129,474,814.24","24,941,410.33","81,336,164.11","-14,200,261.50","-112,127,162.21","-153,243,490.50","-332,238,712.24","-390,770,479.81","110,638,626.66","579,881,909.30","491,912,767.11","-176,695,108.21"
收到其他与投资活动有关的现金,,,,"2,873,301.20",,"9,068,453.04","10,089,892.99","65,561,116.09","2,226,663.34","3,653,035.50","5,017,656.83","1,569,570.98",,,"7,571,410.89",,,,"12,781,856.47","2,013,972.31","4,159,388.79","8,057,379.02",,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"191,844,579.14","23,297,396.53","57,278,389.49","5,399,900.57","7,322,557.30","18,585,344.03","26,595,585.10","72,102,933.37","43,339,323.85","49,267,847.17","81,371,592.66","4,466,847.57","3,226,877.48","33,903,468.43","22,325,987.90","5,430,939.61","122,987,885.68","129,709,728.61","2,153,025,245.39","1,212,494,520.62","1,830,542,928.87","3,152,029,280.49","6,581,536,727.32","2,181,137,870.56","3,930,071,490.92","4,941,696,426.17","7,235,630,332.18","3,787,441,683.58","6,380,310,092.11","7,363,148,689.71","8,834,060,699.30","905,880,806.88","2,029,873,412.13","3,338,792,042.38","4,321,435,903.96","612,553,720.77","725,176,135.17","1,134,954,889.95","1,206,303,074.15","167,641,309.27"
五、现金及现金等价物净增加额,"1,600,138,712.61","-283,982,832.94","7,177,560,364.68","-791,430,105.70","-92,384,021.88","1,031,348,807.26","1,319,947,932.06","-192,103,912.43","450,759,268.76","608,363,522.78","2,231,136,591.15","96,042,515.44","176,733,785.15","228,733,958.67","1,524,784,694.76","-1,338,901,880.25","509,190,810.84","-1,832,200,791.46","-2,426,144,597.85","-2,181,416,764.57","-1,572,222,132.25","-1,823,908,476.95","1,219,209,141.07","-2,643,096,102.44","-2,822,900,251.14","-2,217,176,737.56","478,632,057.16","231,834,279.99","-23,523,999.99","1,468,375,875.62","3,535,850,447.45","-2,524,156,779.22","-1,428,116,866.79","-1,821,880,956.95","1,357,941,957.71","-1,005,407,079.14","2,245,413,640.40","1,776,686,921.44","4,382,593,851.99","-2,928,887,120.21"
购建固定资产、无形资产和其他长期资产支付的现金,"904,056,900.09","452,434,588.32","511,778,039.66","152,196,146.80","289,872,069.08","537,619,993.61","832,103,304.92","260,820,577.51","387,044,213.10","937,168,579.78","1,206,973,521.51","163,488,575.14","767,218,823.01","1,128,967,103.83","1,758,934,930.50","306,164,771.58","512,514,274.71","2,056,014,700.00","3,719,918,740.25","764,290,640.61","1,881,245,709.75","2,538,090,271.05","2,507,872,180.48","373,823,649.74","803,628,629.64","778,140,779.90","1,476,325,996.60","164,823,494.24","316,745,133.72","493,260,165.13","649,112,283.70","163,298,164.79","488,043,720.94","658,444,738.83","1,527,833,704.90","174,620,558.07","338,498,194.95","437,750,894.80","985,705,169.20","130,742,469.75"
期初现金及现金等价物余额,"3,904,618,741.25","5,504,757,453.86","5,504,757,453.86","12,682,317,818.54","12,682,317,818.54","12,682,317,818.54","12,682,317,818.54","14,002,265,750.60","14,002,265,750.60","14,127,953,574.66","14,127,953,574.67","16,359,090,165.82","16,359,090,165.82","16,359,090,165.82","16,487,909,967.85","18,012,694,662.61","18,012,694,662.61","18,012,694,662.61","18,013,324,947.05","15,587,180,349.20","15,587,180,349.20","15,587,180,349.20","15,587,180,349.20","16,806,389,490.27","16,806,389,490.27","16,806,389,490.27","16,806,389,490.27","17,285,021,547.43","17,285,021,547.43","17,285,021,547.43","17,285,021,547.43","20,820,871,994.88","20,820,871,994.88","20,820,871,994.88","20,820,871,994.88","22,178,813,952.59","22,178,813,952.59","22,178,813,952.59","22,178,813,952.59","26,561,407,804.58"
投资支付的现金,"191,259,000.00","37,414,000.00","134,528,000.00","72,000,000.00","73,120,640.50","337,020,346.37","344,499,222.82","24,000,000.00","32,000,000.00","61,930,000.00","213,358,181.81","5,563,068.00","166,763,068.00","166,763,068.00","175,957,744.12",,,,"3,126,773,200.00","1,402,500,000.00","3,419,193,300.00","4,122,193,300.00","6,682,193,300.00","3,238,820,000.00","6,334,050,000.00","6,335,050,000.00","7,957,050,000.00","2,951,865,592.41","5,801,083,660.12","6,185,319,548.75","7,154,099,095.36","1,310,439,418.96","1,875,093,017.46","3,403,951,816.01","3,895,241,211.62","558,461,855.38","1,059,394,673.22","1,619,105,487.01","1,927,967,719.83","581,509,100.75"
期末现金及现金等价物余额,"5,504,757,453.86","5,220,774,620.92","12,682,317,818.54","11,890,887,712.84","12,589,933,796.66","13,713,666,625.80","14,002,265,750.60","13,810,161,838.17","14,453,025,019.36","14,736,317,097.44","16,359,090,165.82","16,455,132,681.26","16,535,823,950.97","16,587,824,124.49","18,012,694,662.61","16,673,792,782.36","18,521,885,473.45","16,180,493,871.15","15,587,180,349.20","13,405,763,584.63","14,014,958,216.95","13,763,271,872.25","16,806,389,490.27","14,163,293,387.83","13,983,489,239.13","14,589,212,752.71","17,285,021,547.43","17,516,855,827.42","17,261,497,547.44","18,753,397,423.05","20,820,871,994.88","18,296,715,215.66","19,392,755,128.09","18,998,991,037.93","22,178,813,952.59","21,173,406,873.45","24,424,227,592.99","23,955,500,874.03","26,561,407,804.58","23,632,520,684.37"
