科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月
分配股利、利润或偿还利息支付的现金,"46,733,276.43","352,704,798.68","428,934,246.84","617,895,499.62","75,891,335.45","154,298,888.69","673,620,114.76","766,267,717.07","53,977,026.66","150,374,492.45","178,190,395.97"
收回投资收到的现金,,,"625,000.00","175,000,000.00",,,,,,"5,000,000.00","5,000,000.00"
支付其他与筹资活动有关的现金,,,,"11,884,279.09","2,676,385.54","3,933,860.34","29,131,436.63","9,703,884.35",,,"98,850.00"
取得投资收益收到的现金,,"625,000.00",,,,,,,,,
筹资活动现金流出小计,"91,218,147.92","397,189,670.17","623,419,118.33","1,761,295,722.65","124,226,782.90","272,655,525.64","1,162,833,389.91","2,923,051,040.60","706,157,026.66","1,564,712,724.59","2,070,954,202.09"
处置固定资产、无形资产和其他长期资产收回的现金净额,"167,000.00","483,224.00",,"2,333,571.40","1,263,867.00","2,955,585.60","4,181,557.60","35,989,195.60","639,238.00","1,419,642.80","2,740,600.68"
筹资活动产生的现金流量净额,"-91,218,147.92","-397,189,670.17","-623,419,118.33","-1,361,295,722.65","441,786,617.10","-272,655,525.64","32,825,672.00","-573,051,040.60","193,842,973.34","-264,712,724.59","29,045,797.91"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,,,,"-5,882,416.69",,,,"-934,740.61",,,
收到其他与投资活动有关的现金,,,"25,000,000.00",,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"167,000.00","1,108,224.00","25,625,000.00","177,333,571.40","1,263,867.00","2,955,585.60","4,181,557.60","35,989,195.60","639,238.00","6,419,642.80","7,740,600.68"
五、现金及现金等价物净增加额,"970,646,225.70","920,379,002.44","-554,529,932.27","-977,702,804.70","-97,435,207.03","-622,442,095.71","-756,649,518.79","-498,765,593.11","207,128,531.18","1,232,551,813.39","-239,040,223.36"
购建固定资产、无形资产和其他长期资产支付的现金,"52,067,576.50","161,453,101.50","516,372,461.48","1,061,437,454.25","1,365,002,361.75","1,631,815,296.34","1,846,706,216.58","2,548,271,962.05","758,085,963.74","1,443,759,090.44","1,611,817,393.67"
期初现金及现金等价物余额,"3,116,879,677.64","3,116,879,677.64","3,116,879,677.64","2,381,852,743.50","1,404,149,938.80","1,853,060,827.91","1,853,060,827.91","1,404,149,938.80","1,570,836,570.04","905,384,345.69","1,570,836,570.04"
投资支付的现金,,,,,,,,,,,
期末现金及现金等价物余额,"4,087,525,903.34","4,037,258,680.08","2,562,349,745.37","1,404,149,938.80","1,306,714,731.77","1,230,618,732.20","1,096,411,309.12","905,384,345.69","1,777,965,101.22","2,137,936,159.08","1,331,796,346.68"
