科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"32,381,029.63","37,104,753.08","44,747,584.37","21,532,973.67","27,095,222.93","38,472,496.06","40,234,467.91","19,126,475.48","27,819,195.04","38,993,027.03","52,755,143.83","20,826,535.85","36,142,036.67","51,931,023.32","71,533,613.48","29,001,192.83","46,118,308.68","64,660,870.45","99,256,755.53","34,349,453.81","56,878,065.26","79,849,978.18","96,895,114.67","42,896,963.36","67,876,925.76","99,497,511.50","170,861,324.47"
取得借款收到的现金,"116,898,800.00","128,000,000.00","161,000,000.00","40,000,000.00","85,000,000.00","85,000,000.00","220,000,000.00",,,"125,000,000.00","125,000,000.00","75,000,000.00","105,000,000.00","175,000,000.00","185,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","160,500,000.00","10,000,000.00","10,000,000.00","10,000,000.00","45,000,000.00","10,000,000.00","80,000,000.00","155,000,000.00","195,000,000.00"
支付的各项税费,"26,326,176.71","30,236,723.43","41,386,201.71","13,905,198.55","31,912,083.85","47,556,015.46","44,531,515.28","16,128,391.48","31,838,855.52","47,915,995.24","49,789,164.73","6,856,164.71","23,961,534.04","39,573,115.70","57,188,493.20","14,651,451.17","35,558,081.27","53,989,849.22","70,907,631.54","13,204,914.11","40,774,567.15","61,705,979.70","80,506,609.93","10,189,745.78","37,664,842.39","66,718,360.36","101,425,418.96"
收到其他与筹资活动有关的现金,,,,,,,"3,200,000.00",,,,,,,,,,,,,,,,,,"900,600.00","900,600.00","900,600.00"
支付其他与经营活动有关的现金,"36,196,339.30","46,699,593.93","47,843,682.26","29,932,206.41","32,452,709.24","42,157,993.10","50,409,488.37","17,584,719.13","30,191,870.15","48,814,467.43","68,538,768.04","17,883,614.29","41,785,305.31","63,342,766.94","84,991,789.24","23,202,644.65","44,659,185.02","69,626,578.26","92,379,527.13","26,516,869.99","50,022,587.85","83,261,397.69","122,091,395.41","43,981,460.06","69,703,060.46","119,644,267.10","144,543,546.91"
筹资活动现金流入小计,"116,898,800.00","128,000,000.00","161,000,000.00","40,000,000.00","391,466,000.00","391,466,000.00","517,175,177.30",,,"125,000,000.00","125,000,000.00","80,000,000.00","110,000,000.00","180,000,000.00","190,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","160,500,000.00","10,000,000.00","10,000,000.00","10,000,000.00","45,000,000.00","10,000,000.00","85,400,600.00","160,400,600.00","204,900,600.00"
经营活动现金流出小计,"323,646,621.80","451,891,580.09","673,729,125.31","152,881,459.83","256,993,589.90","402,746,709.32","546,873,096.16","165,904,261.62","324,189,802.70","478,282,813.23","529,230,687.12","188,578,772.59","374,356,936.47","589,849,784.53","627,650,921.01","248,308,016.27","448,059,942.99","655,566,867.48","613,335,424.90","161,477,364.57","292,167,551.95","438,151,031.07","601,833,822.46","196,620,269.68","379,486,565.67","625,357,780.87","836,331,551.06"
偿还债务支付的现金,"113,316,100.00","104,000,000.00","126,000,000.00","60,000,000.00","105,000,000.00","238,000,000.00","238,000,000.00","135,000,000.00","141,000,000.00","266,000,000.00","266,000,000.00","30,000,000.00","40,000,000.00","75,000,000.00","105,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","170,000,000.00","35,000,000.00","35,000,000.00","35,000,000.00","70,500,000.00","10,000,000.00","26,000,000.00","26,000,000.00","61,000,000.00"
经营活动产生的现金流量净额,"55,581,792.26","3,362,828.88","37,977,959.17","-35,475,446.64","3,136,566.26","14,908,338.34","48,770,153.93","12,086,644.78","5,833,897.07","18,414,062.26","19,578,518.65","-12,866,899.96","-4,671,334.93","16,362,984.85","26,522,779.23","23,431,364.75","21,206,504.66","77,526,556.67","96,140,653.69","25,808,991.74","17,277,635.19","25,510,806.43","25,365,190.84","11,753,708.70","-13,445,649.36","-42,061,794.57","-3,959,387.77"
分配股利、利润或偿还利息支付的现金,"7,660,936.52","24,237,961.52","10,917,518.50","2,687,937.34","5,116,589.69","19,389,161.47","19,624,635.26","978,221.69","14,345,223.08","15,127,017.63","17,024,980.71","400,983.33","17,300,634.39","18,449,059.14","19,850,459.14","1,382,125.37","20,088,126.47","22,451,116.85","26,508,941.46","814,965.29","17,528,652.26","18,346,504.14","18,908,351.37","516,674.87","19,891,512.81","68,210,938.98","70,413,636.73"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,"2,750,000.00","241,084.30","3,056,049.74","6,272,271.74",,,,,,,,,,,,,,,,,,,"4,000,000.00","6,550,000.00","4,000,000.00"
取得投资收益收到的现金,"10,346.00","9,100.00","8,400.00",,,,"7,000.00",,,"7,000.00","7,000.00",,,"7,000.00","7,000.00",,,"7,000.00","7,000.00",,,,"7,000.00",,,"8,400.00","8,400.00"
筹资活动现金流出小计,"120,977,036.52","128,237,961.52","139,667,518.50","62,929,021.64","113,172,639.43","263,661,433.21","257,624,635.26","135,978,221.69","155,345,223.08","281,127,017.63","283,024,980.71","30,400,983.33","57,300,634.39","93,449,059.14","124,850,459.14","71,382,125.37","90,088,126.47","92,451,116.85","196,508,941.46","35,814,965.29","52,528,652.26","53,346,504.14","89,408,351.37","10,516,674.87","49,891,512.81","100,760,938.98","135,413,636.73"
处置固定资产、无形资产和其他长期资产收回的现金净额,"149,569.95","7,344.00",,,"342,417.77","412,417.77","215,600.00",,,,"58,851.13",,"30,000.00","30,000.00","48,500.00","37,000.00","100,000.00","100,000.00","61,776.70",,"13,500.00","21,300.00","439,559.17",,"190,000.00","190,000.00","485,455.98"
筹资活动产生的现金流量净额,"-4,078,236.52","-237,961.52","21,332,481.50","-22,929,021.64","278,293,360.57","127,804,566.79","259,550,542.04","-135,978,221.69","-155,345,223.08","-156,127,017.63","-158,024,980.71","49,599,016.67","52,699,365.61","86,550,940.86","65,149,540.86","18,617,874.63","-88,126.47","-2,451,116.85","-36,008,941.46","-25,814,965.29","-42,528,652.26","-43,346,504.14","-44,408,351.37","-516,674.87","35,509,087.19","59,639,661.02","69,486,963.27"
处置子公司及其他营业单位收到的现金净额,,"3,200,000.00","3,012,674.65",,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-447,246.89","-412,665.87","-99,298.17","-168,589.53","230,098.45","319,186.97","16,547.30","-412,215.27","-1,048,302.99","-1,271,047.95","-2,011,964.13","60,604.00","261,600.69","147,896.03","16,784.73","229,223.53","212,498.25","1,930,971.56","2,165,719.24","-85,305.82","884,074.71","1,018,349.66","1,960,345.91","-120,247.42","-426,320.62","-1,072,293.85","-1,569,199.06"
收到其他与投资活动有关的现金,"5,700,000.00","2,504,007.00",,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,"-788,121.01",,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"5,859,915.95","5,720,451.00","3,021,074.65",,"342,417.77","412,417.77","222,600.00",,,"7,000.00","65,851.13",,"30,000.00","37,000.00","55,500.00","37,000.00","100,000.00","107,000.00","68,776.70",,"13,500.00","21,300.00","446,559.17",,"190,000.00","198,400.00","493,855.98"
五、现金及现金等价物净增加额,"22,799,638.01","-8,764,762.06","55,033,471.21","-62,358,325.14","271,617,326.55","125,980,647.08","271,270,225.24","-154,429,035.54","-195,253,881.78","-206,288,687.86","-263,229,139.72","-10,818,395.28","-28,995,351.29","7,110,501.25","-10,768,984.50","27,029,323.59","-1,214,499.86","41,341,150.61","11,152,017.05","-4,719,229.37","-44,665,075.99","-41,368,535.95","-40,720,897.55","-3,196,246.61","-10,238,019.55","-19,353,669.20","6,872,432.84"
购建固定资产、无形资产和其他长期资产支付的现金,"33,365,482.99","16,409,293.54","7,198,745.94","3,785,267.33","10,385,116.50","17,463,862.79","35,903,468.03","26,890,893.36","45,245,014.36","67,862,446.12","122,186,469.44","47,611,115.99","77,314,982.66","95,988,320.49","102,513,589.32","15,286,139.32","22,645,376.30","25,547,260.77","30,764,191.12","4,627,950.00","8,311,633.63","12,572,487.90","12,084,642.10","11,313,033.02","25,072,188.93","27,064,693.97","48,586,851.75"
期初现金及现金等价物余额,"35,873,021.68","58,672,659.69","49,907,897.63","104,941,368.84","104,941,368.84","104,941,368.84","104,941,368.84","379,996,705.66","376,211,594.08","376,211,594.08","376,211,594.08","112,982,454.36","112,982,454.36","112,982,454.36","112,982,454.36","102,213,469.86","102,213,469.86","102,213,469.86","102,213,469.86","113,365,486.91","113,365,486.91","113,365,486.91","113,365,486.91","72,644,589.36","72,644,589.36","72,644,589.36","72,644,589.36"
投资支付的现金,,,,,,,,,,,,,,,,,,"10,225,000.00","20,450,000.00",,"12,000,000.00","12,000,000.00","12,000,000.00",,"1,000,000.00","1,000,000.00","1,000,000.00"
期末现金及现金等价物余额,"58,672,659.69","49,907,897.63","104,941,368.84","42,583,043.70","376,558,695.39","230,922,015.92","376,211,594.08","225,567,670.12","180,957,712.30","169,922,906.22","112,982,454.36","102,164,059.08","83,987,103.07","120,092,955.61","102,213,469.86","129,242,793.45","100,998,970.00","143,554,620.47","113,365,486.91","108,646,257.54","68,700,410.92","71,996,950.96","72,644,589.36","69,448,342.75","62,406,569.81","53,290,920.16","79,517,022.20"
