科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
筹资活动现金流出小计,"32,481,950.00","32,974,610.00","63,504,755.00","31,618,150.35","4,838,104.50","8,969,795.42","28,396,913.30","37,210,568.31","74,810.64","357,019.79","16,468,431.72","31,498,196.04","35,625,240.14","52,843,728.12","52,752,611.96","52,885,399.29",,,,"2,395,888,563.81","100,540,990.15","2,425,360,135.83","3,523,853,235.99","3,874,489,283.68","631,394,519.52","895,049,818.71","2,234,977,201.27","3,335,881,046.88","1,335,284,297.30","2,239,607,357.90","2,426,215,511.86","4,103,432,294.11","426,271,657.75","1,739,347,769.32","4,351,324,093.92","7,582,847,788.47","977,294,049.16","1,506,992,868.35","3,354,426,682.88","4,008,682,154.78","367,995,673.89","806,790,794.52","1,637,548,554.62"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,"8,080,000.00",,,,,,,,,,,,"4,259,064.66",,"372,220.49","496,809.14","590,272.97","27,350.00","26,697.57","27,490.00","148,463.00","369,248.00","40,080.00","778,468.00","362,380.00",224.50,224.50,494.50,"4,505.90",,"178,319.10","186,439.10","2,127,772.66","215,511.83","211,494.63","216,003.23"
筹资活动产生的现金流量净额,"-32,481,950.00","-32,974,610.00","-59,054,755.00","-16,038,150.35","-8,104.50","2,970,204.58","-16,456,913.30","-5,270,568.31","15,515,189.36","29,572,980.21","62,621,568.28","45,981,803.96","-30,781,024.11","-47,999,512.09","-47,908,395.93","-38,085,399.29","10,910.47",,,"923,491,842.86","1,102,159,009.85","-362,760,135.83","-547,103,235.99","-775,342,818.28","-517,320,781.36","-279,818,152.41","-383,638,261.97","313,653,845.92","148,315,702.70","806,792,642.10","1,374,050,430.58","1,862,763,302.39","91,968,057.12","-421,347,769.32","-1,257,424,093.92","-2,748,857,981.08","-77,294,049.16","280,551,141.65","-1,257,382,672.88","-1,772,604,154.78","-367,995,673.89","708,209,205.48","3,069,671,445.38"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,"5,000,000.00",,,,"902,688.30",,,"89,912,148.34",,,,,,,,,,,,,,,,,"1,334,140.80",,-460.13,-460.13
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,"143,119.42",,"74,885.76","79,758.09","24,197,755.16",,"3,396,797.50","4,516,172.96","15,879,424.23",,"235,501,084.17","235,505,860.39","4,325,126.86",,,,"6,315,555.55",,,,,"3,000,000.00",,"73,251,111.11","76,251,111.11",,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,,,,,"8,080,000.00",,,,"1,123,108.91",,"184,773,662.74","184,773,662.74","54,681,439.89",,"74,885.76","79,758.09","29,855,925.72",,"3,769,017.99","94,925,130.44","64,215,173.68","27,350.00","235,527,781.74","235,533,350.39","60,775,759.91","369,248.00","40,080.00","20,778,468.00","27,842,298.77","1,099,202.33","8,161,198.14","8,573,319.63","11,877,331.03","3,000,000.00","3,178,319.10","76,437,550.21","242,012,423.41","215,511.83","27,143,834.50","27,148,343.10"
五、现金及现金等价物净增加额,"-23,571,155.22","-52,253,773.13","-44,482,516.38","12,127,061.41","59,466,581.20","49,493,883.40","6,536,596.36","-2,261,926.61","-28,626,995.50","-1,749,852.33","-158,517.78","59,958,653.69","-53,956,979.35","-120,072,520.50","-119,029,416.08","-15,937,192.98","-23,519,874.45","-20,741,295.19","-33,189,364.95","259,835,444.33","1,307,417,924.84","-167,415,645.48","118,276,522.67","168,900,049.56","-477,075,954.13","-613,970,167.49","-586,889,624.08","-308,931,174.64","106,300,756.39","-59,706,689.18","849,280.38","759,978,363.05","-345,867,673.86","-171,200,268.39","70,421,109.56","-641,103,662.57","587,294,265.43","1,108,926,773.18","595,829,715.36","712,773,994.08","-428,404,961.93","-759,016,887.94","324,497,450.46"
购建固定资产、无形资产和其他长期资产支付的现金,"105,307.50","2,770,431.40","3,948,424.61","5,941,488.04","5,885,833.40","45,893,645.20","51,304,144.45","4,760,870.05",,"230,000.00","304,180.00","39,559.45",,,,"30,367.52",,,"3,870.00","2,415,190.00","434,692.41","1,212,883.51","3,954,466.87","10,300,863.47","2,908,634.00","3,139,553.00","3,329,901.03","4,722,107.78","935,667.00","1,484,947.00","2,666,815.00","8,510,431.00","714,979.96","968,356.65","1,267,277.76","2,308,809.76","54,235.00","784,772.72","539,724.12","1,591,860.21","389,739.21","5,183,462.52","12,332,447.98"
期初现金及现金等价物余额,,"67,455,620.04","67,455,620.04","67,455,620.04","79,582,681.45","79,582,681.45","79,582,681.45","36,572,615.99","57,534,121.01","57,660,689.38","57,660,689.38","34,310,689.38","138,021,443.07","138,021,443.07","138,021,443.07","94,269,343.07","78,332,150.09","78,332,150.09","78,332,150.09","370,198,843.93","880,034,288.26","630,034,288.26","630,034,288.26","630,034,288.26","798,934,337.82","798,934,337.82","798,934,337.82","798,934,337.82","490,003,163.18","490,003,163.18","490,003,163.18","490,003,163.18","1,249,981,526.23","1,249,981,526.23","1,249,981,526.23","1,249,981,526.23","608,877,863.66","608,877,863.66","608,877,863.66","608,877,863.66","1,321,651,857.74","1,321,651,857.74","1,321,651,857.74"
投资支付的现金,,,,,,,,"119,075,983.04",,,"146,754,400.00",,,"199,707,433.38","194,707,433.38","59,472,191.11",,,,"22,481,383.88",,"366,792,241.64","373,392,241.64","473,930,000.00",,,,"1,000,000.00",,,"12,000,000.00","152,000,000.00",,,"10,000,000.00","10,000,000.00",,"100,000,000.00","408,749,500.00","270,000,000.00","106,050,000.00","275,550,000.00","908,264,285.00"
期末现金及现金等价物余额,,"15,201,846.91","22,973,103.66","79,582,681.45","139,049,262.65","129,076,564.85","86,119,277.81","34,310,689.38","28,907,125.51","55,910,837.05","57,502,171.60","94,269,343.07","84,064,463.72","17,948,922.57","18,992,026.99","78,332,150.09","54,812,275.64","57,590,854.90","45,142,785.14","630,034,288.26","2,187,452,213.10","462,618,642.78","748,310,810.93","798,934,337.82","321,858,383.69","184,964,170.33","212,044,713.74","490,003,163.18","596,303,919.57","430,296,474.00","490,852,443.56","1,249,981,526.23","904,113,852.37","1,078,781,257.84","1,320,402,635.79","608,877,863.66","1,196,172,129.09","1,717,804,636.84","1,204,707,579.02","1,321,651,857.74","893,246,895.81","562,634,969.80","1,646,149,308.20"
