科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
取得借款收到的现金,"10,000,000.00",,"10,000,000.00",,"18,000,000.00","20,000,000.00","20,000,000.00","109,200,000.00","109,200,000.00","119,000,000.00","156,000,000.00","226,000,000.00","345,000,000.00","106,000,000.00","417,000,000.00","513,820,000.00","603,820,000.00","122,000,050.00","410,021,099.02","586,976,863.40","817,494,290.50","45,380,573.91","403,267,376.23","521,372,885.13","843,186,791.90","164,721,319.90","531,988,345.98","499,510,980.91","804,351,533.06","171,089,518.33"
支付的各项税费,"31,719,174.96","15,747,952.96","19,754,091.19","10,255,350.37","24,353,272.16","3,976,462.46","5,979,495.14","11,928,595.04","18,549,026.73","7,557,799.58","17,126,520.78","19,714,262.42","23,099,067.74","3,745,265.61","9,758,923.74","12,888,877.52","16,011,208.23","5,794,638.69","22,205,972.08","40,808,638.80","50,327,536.66","8,836,836.54","11,178,884.60","62,495,617.08","66,444,129.40","19,804,687.20","38,111,964.46","74,546,891.14","82,617,668.65","27,302,593.38"
收到其他与筹资活动有关的现金,"218,919,926.16","242,250,000.00",,,,,,,,,,,,,,,,,,,"37,000,050.00",,,,,,,,"1,242,000.00",
支付其他与经营活动有关的现金,"51,476,108.26","50,393,876.60","40,597,413.33","11,291,792.49","21,021,569.33","986,479.69","4,782,335.70","10,066,487.41","18,226,761.18","5,613,584.93","8,788,428.29","12,653,810.90","15,332,124.54","5,370,777.02","9,624,268.05","15,604,001.54","25,051,340.08","10,844,746.38","24,547,552.30","40,397,032.67","78,976,394.97","44,217,313.24","47,313,488.91","41,688,195.80","82,983,795.89","43,363,546.49","22,707,538.62","57,280,962.75","112,958,632.43","16,375,712.62"
筹资活动现金流入小计,"228,919,926.16","242,250,000.00","10,000,000.00",,"18,000,000.00","265,123,197.09","265,123,197.09","354,323,197.09","360,068,000.00","119,000,000.00","156,000,000.00","226,000,000.00","347,800,000.00","106,000,000.00","417,000,000.00","513,820,000.00","603,820,000.00","122,000,050.00","410,021,099.02","586,976,863.40","854,494,340.50","45,380,573.91","403,267,376.23","521,372,885.13","843,186,791.90","164,721,319.90","531,988,345.98","499,510,980.91","805,593,533.06","171,089,518.33"
经营活动现金流出小计,"1,285,685,752.77","946,019,003.60","1,428,655,877.10","819,487,600.64","1,644,494,868.75","578,321,285.06","919,133,182.86","1,258,185,115.31","1,707,945,986.14","285,705,356.00","702,642,280.57","1,167,324,750.01","1,583,753,465.22","353,162,619.52","769,962,062.39","1,091,618,012.48","1,393,874,641.20","270,566,813.22","784,623,732.05","1,066,530,996.92","1,569,936,612.34","321,151,336.02","831,874,507.35","1,274,570,654.44","2,126,793,318.81","1,618,270,276.37","1,347,723,724.92","2,725,983,668.12","2,488,128,604.80","596,223,925.09"
偿还债务支付的现金,"70,000,000.00",,"10,000,000.00",,,"38,000,000.00","38,000,000.00","77,200,000.00","89,200,000.00","157,000,000.00","157,000,000.00","224,000,000.00","308,000,000.00","90,000,000.00","327,000,000.00","496,820,000.00","539,820,000.00","202,246,643.44","254,960,347.06","239,650,438.88","459,000,000.00","75,000,000.00","334,321,077.53","399,819,924.13","557,000,000.00","114,652,195.45","314,678,844.20","313,677,188.85","707,208,977.72","250,925,345.76"
经营活动产生的现金流量净额,"33,551,315.19","136,082,515.25","19,254,213.68","21,444,291.20","16,074,268.12","-224,376,591.75","-210,049,979.03","-184,328,359.96","-200,209,890.11","32,021,450.27","-32,710,472.17","-39,823,434.85","-32,070,113.17","-201,746.33","16,049,507.31","60,046,936.36","132,697,734.48","44,771,527.11","-6,694,500.97","-61,128,953.09","41,579,982.20","33,743,715.12","-7,173,483.97","208,432,801.61","107,062,400.02","-13,087,296.21","-158,376,245.38","-44,508,044.29","116,169,279.28","109,662,486.91"
分配股利、利润或偿还利息支付的现金,"1,293,809.70","2,422,808.32","1,905,951.41",,"188,286.67","490,372.21","11,158,372.21","11,637,029.09","12,357,546.87","1,305,826.68","17,307,826.68","18,272,271.12","19,271,721.80","1,232,682.94","19,750,980.71","22,174,814.46","23,324,142.91","1,046,155.83","10,961,103.05","13,586,102.97","20,577,843.48","4,658,531.59","34,236,288.20","32,604,756.13","56,317,688.91","24,303,616.14","75,477,275.28","89,751,309.41","116,628,998.23","22,608,378.98"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,"107,300,000.00",,"25,000,000.00","25,000,000.00","25,280,000.00",
支付其他与筹资活动有关的现金,"138,702,000.00","322,467,926.16",,,,,,,"3,694,802.91",,,,,,,,,,,,"63,670,050.00",,,,,,,,"5,000,000.00",
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,"404,103.32",,"5,443,750.00","343,750.00","347,950.00",
筹资活动现金流出小计,"209,995,809.70","324,890,734.48","11,905,951.41",,"188,286.67","38,490,372.21","49,158,372.21","88,837,029.09","105,252,349.78","158,305,826.68","174,307,826.68","242,272,271.12","327,271,721.80","91,232,682.94","346,750,980.71","518,994,814.46","563,144,142.91","203,292,799.27","265,921,450.11","253,236,541.85","543,247,893.48","79,658,531.59","368,557,365.73","432,424,680.26","613,317,688.91","138,955,811.59","390,156,119.48","403,428,498.26","828,837,975.95","273,533,724.74"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,"2,450.00",,"19,029.13","19,029.13","19,029.13",,,,,,"4,097,490.19",,,,,,"17,094.02",,"130,881.36","3,109,630.32","131,432.03",
筹资活动产生的现金流量净额,"18,924,116.46","-82,640,734.48","-1,905,951.41",,"17,811,713.33","226,632,824.88","215,964,824.88","265,486,168.00","254,815,650.22","-39,305,826.68","-18,307,826.68","-16,272,271.12","20,528,278.20","14,767,317.06","70,249,019.29","-5,174,814.46","40,675,857.09","-81,292,749.27","144,099,648.91","333,740,321.55","311,246,447.02","-34,277,957.68","34,710,010.50","88,948,204.87","229,869,102.99","25,765,508.31","141,832,226.50","96,082,482.65","-23,244,442.89","-102,444,206.41"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,"6,000,000.00","6,000,000.00",,,,,,,,,
四、汇率变动对现金的影响,"-6,076.65",-102.82,"-1,439,405.60","-372,657.92","-485,410.36","-26,198.94","1,041.89","33,168.38","-209,105.05","-55,028.47","-100,223.27","-305,439.68","-320,430.14","-3,017.09","69,759.89","38,667.38","57,533.63","88,998.82","249,527.59","5,780,571.73","-9,020,082.80","-6,787.76","477,582.67","210,972.64","33,102,567.82","14,658.95","-67,986.32","-357,298.72","-4,114,017.58","-454,712.52"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"3,518,000.00",,,,,,,,"70,309.53",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,,,,,,"2,450.00",,"19,029.13","19,029.13","19,029.13",,,,,,"4,097,490.19","6,000,000.00","9,518,000.00",,,,"107,721,197.34",,"30,574,631.36","28,453,380.32","25,829,691.56",
五、现金及现金等价物净增加额,"34,888,514.00","52,842,276.19","6,197,622.95","16,733,839.55","25,650,382.94","1,709,534.19","-2,392,336.26","62,279,631.42","29,785,926.31","-13,450,398.23","-59,943,936.14","-92,431,469.88","-88,994,193.74","-10,963,661.06","37,389,240.01","-1,361,438.85","109,196,489.17","-83,093,916.13","-56,649,967.48","-50,433,463.40","-153,378,435.46","-50,396,287.80","-51,175,366.65","214,763,596.91","82,167,423.87","-7,443,683.84","-21,141,617.27","22,100,850.24","-43,530,000.38","-7,907,901.04"
购建固定资产、无形资产和其他长期资产支付的现金,"17,580,841.00","599,401.76","9,711,041.41","4,337,793.73","7,750,188.15","520,500.00","8,308,224.00","18,911,345.00","24,613,178.75","6,110,993.35","8,844,443.15","36,049,353.36","75,450,945.16","25,526,214.70","48,979,046.48","56,272,228.13","62,248,428.09","14,875,708.27","24,065,711.16","92,988,981.55","203,785,186.75","49,855,257.48","79,189,475.85","82,828,382.21","270,307,844.30","20,136,554.89","35,104,243.43","57,569,669.72","158,170,510.75","12,441,469.02"
期初现金及现金等价物余额,"49,427,926.32","84,316,440.32","137,158,716.51","143,356,339.46","143,356,339.46","172,006,722.40","172,006,722.40","172,006,722.40","169,006,722.40","198,792,648.71","198,792,648.71","198,792,648.71","198,792,648.71","127,467,647.97","127,467,647.97","127,467,647.97","109,798,454.97","265,063,347.53","265,063,347.53","293,683,071.33","222,639,239.45","138,370,795.41","69,260,803.99","137,225,193.47","69,260,803.99","222,005,654.03","210,387,672.05","209,592,306.03","151,428,227.86","205,815,736.61"
投资支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,"125,280,000.00",,,,,"2,230,000.00"
期末现金及现金等价物余额,"84,316,440.32","137,158,716.51","143,356,339.46","160,090,179.01","169,006,722.40","173,716,256.59","169,614,386.14","234,286,353.82","198,792,648.71","185,342,250.48","138,848,712.57","106,361,178.83","109,798,454.97","116,503,986.91","164,856,887.98","126,106,209.12","218,994,944.14","181,969,431.40","208,413,380.05","243,249,607.93","69,260,803.99","87,974,507.61","18,085,437.34","351,988,790.38","151,428,227.86","214,561,970.19","189,246,054.78","231,693,156.27","107,898,227.48","197,907,835.57"
