科目,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
流动负债合计,"73,006,089.89","79,939,388.96","80,623,489.11","53,376,454.13","68,326,500.00","86,920,376.67","71,213,740.69","128,838,728.35","83,990,296.27","216,403,043.99","173,430,780.85","178,140,495.30","186,876,701.03"
可供出售金融资产,"52,000,000.00","52,000,000.00","52,000,000.00","52,000,000.00",,"52,000,000.00","52,000,000.00","55,000,000.00","55,000,000.00","52,000,000.00","52,000,000.00","52,000,000.00","52,000,000.00"
长期借款,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,"2,593,475.15","2,433,377.38","42,805,134.99","43,209,586.42"
专项应付款,,,,,,,,,,,,,
投资性房地产,,"8,170,501.00","7,782,402.52","7,588,353.28",,"7,394,303.98","7,297,279.27","7,200,254.56","7,103,229.85","7,006,205.14","6,909,180.43","6,812,155.72","6,715,131.01"
预计负债,,,,,,,,,,,,,
固定资产,"47,472,119.16","50,918,655.65","54,389,282.86","52,497,809.44","50,878,600.00","50,175,229.36","50,831,201.17","49,288,472.99","47,791,029.07","54,987,493.44","53,100,987.47","52,102,932.19","50,757,791.56"
递延所得税负债,,,,,,,,,,,,,
在建工程,,,,,,,,,"3,859,401.70",,,,
其他非流动负债,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,
非流动负债合计,"400,000.00","800,000.00","200,000.00","200,000.00",,,,,,"310,374.06","310,374.06","299,403.48","310,374.06"
固定资产清理,,,,,,,,,,,,,
负债合计,"73,406,089.89","80,739,388.96","80,823,489.11","53,576,454.13","68,526,500.00","86,920,376.67","71,213,740.69","128,838,728.35","83,990,296.27","216,713,418.05","173,741,154.91","178,439,898.78","187,187,075.09"
生产性生物资产,,,,,,,,,,,,,
实收资本(或股本),"45,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00",,"45,000,000.00","60,000,000.00","60,000,000.00","61,500,000.00","61,500,000.00","61,500,000.00","123,000,000.00","122,960,000.00"
油气资产,,,,,,,,,,,,,
资本公积,"123,264,500.41","123,264,500.41","123,264,500.41","123,264,500.41",,"123,264,500.41","386,067,931.08","385,520,726.14","434,570,726.14","445,131,736.56","445,131,736.56","389,666,808.91","392,417,852.53"
无形资产,"13,890,627.30","13,571,033.28","14,847,746.57","14,405,868.89",,"14,657,259.71","14,418,410.48","14,188,430.91","14,171,955.82","18,886,862.79","18,514,748.61","19,007,220.27","19,053,275.23"
盈余公积,"5,743,449.69","11,999,824.84","17,426,087.60","18,870,605.52",,"21,269,111.83","22,094,949.60","22,094,949.60","22,094,949.60","26,958,364.76","26,958,364.76","26,958,364.76","26,958,364.76"
开发支出,,,,,,,,,,,,,
减:库存股,,,,,,,,,,"50,550,000.00","50,550,000.00","46,850,000.00","34,913,200.00"
商誉,,,"5,750,728.69","5,750,728.69",,"5,750,728.69","5,750,728.69","5,750,728.69","5,750,728.69","124,018,919.95","124,018,919.95","124,018,919.95","124,018,919.95"
未分配利润,"38,044,327.18","83,388,427.98","123,826,852.27","138,111,980.83",,"159,839,918.15","167,680,135.81","178,442,057.94","184,689,286.80","204,337,445.21","213,987,042.67","221,330,405.40","231,544,743.67"
长期待摊费用,"282,285.71","816,011.17","393,446.57","232,525.06",,"3,079,534.08","2,865,298.08","2,651,062.08","2,528,684.35","2,393,938.34","2,230,702.34","2,144,122.81","2,178,766.94"
少数股东权益,,,"7,799,471.16","8,607,771.26","8,447,600.00","8,933,439.23","8,900,805.13","5,633,090.38","6,208,531.03","22,429,710.74","22,929,477.72","26,480,746.65","24,750,936.28"
递延所得税资产,"706,817.45","934,219.36","1,463,534.13","2,021,971.64",,"1,985,068.19","1,985,068.19","2,243,636.15","2,243,636.15","5,270,026.14","5,270,026.14","7,003,735.92","7,388,755.81"
外币报表折算价差,,,,,,,,,,,,,
其他非流动资产,,,,,,"1,685,462.03","1,635,462.03","5,290,116.59","5,290,116.59",,,,
非正常经营项目收益调整,,,,,,,,,,,,,
非流动资产合计,"114,351,849.62","126,410,420.46","136,627,141.34","134,497,257.00",,"136,727,586.04","136,783,447.91","141,612,701.97","143,738,782.22","267,156,920.95","264,477,942.32","305,894,221.85","305,322,226.92"
所有者权益(或股东权益)合计,"212,052,277.28","263,652,753.23","317,316,911.44","333,854,858.02","333,916,100.00","358,306,969.62","644,743,821.62","651,690,824.06","709,063,493.57","709,807,257.27","719,956,621.71","740,586,325.72","763,718,697.24"
资产总计,"285,458,367.17","344,392,142.19","398,140,400.55","387,431,312.15","402,442,600.00","445,227,346.29","715,957,562.31","780,529,552.41","793,053,789.84","926,520,675.32","893,697,776.62","919,026,224.50","950,905,772.33"
负债和所有者(或股东权益)合计,"285,458,367.17","344,392,142.19","398,140,400.55","387,431,312.15","402,442,600.00","445,227,346.29","715,957,562.31","780,529,552.41","793,053,789.84","926,520,675.32","893,697,776.62","919,026,224.50","950,905,772.33"
