科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"1,815,137,468.00","1,965,916,104.00","2,221,536,104.00","2,467,656,289.00","3,552,156,289.00","2,433,571,412.00","3,048,571,412.00","2,534,124,931.00","2,342,124,931.00","2,265,060,146.00","1,403,760,146.00","2,493,382,181.00","2,132,322,181.00","1,875,032,121.00","1,781,458,438.00","1,220,966,784.00","1,672,403,865.00","2,239,543,863.00","2,039,410,532.00","2,465,679,556.00","5,190,708,353.00","5,423,078,310.00","5,320,845,617.00","1,775,055,898.00","3,277,920,898.00","3,538,031,873.00","2,622,821,482.00","2,514,008,725.00","1,358,986,397.00","1,077,492,855.00","1,925,492,854.00","2,056,787,727.00","2,158,787,727.00","8,467,605,485.00","7,897,652,348.00","7,585,376,010.00","7,479,054,213.00","753,372,730.00","298,872,730.00","3,262,417,814.00","3,393,462,288.00","6,878,862,589.00","6,371,218,839.00","4,685,265,140.00","4,639,377,056.00","2,835,180,000.00"
其他流动资产,,,,,,"1,500,000,000.00",,"148,745,438.00","101,325,550.00","243,931,815.00","141,573,271.00","540,744,093.00","721,967,818.00","883,921,488.00","737,244,688.00","719,579,179.00","605,671,669.00","684,072,017.00","591,370,634.00","591,468,230.00","768,136,085.00","1,075,522,460.00","1,163,017,623.00","1,018,174,940.00","1,040,720,573.00","1,244,649,984.00","945,003,165.00","882,760,778.00","1,722,067,515.00","1,116,735,294.00","790,428,211.00","1,201,963,874.00","1,064,354,112.00","1,215,238,297.00","960,180,624.00","1,327,674,812.00","972,003,847.00","1,000,036,555.00","649,051,168.00","659,266,730.00","487,367,837.00","689,666,173.00","507,795,671.00","405,692,619.00","316,941,054.00","13,441,349,264.00"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,222,398,852.00"
流动资产合计,"4,213,143,519.00","4,483,042,107.00","5,071,650,800.00","6,986,858,501.00","7,778,315,144.00","15,591,153,924.00","13,058,338,188.00","13,533,144,670.00","11,230,677,435.00","9,921,418,810.00","8,384,740,170.00","10,096,935,162.00","11,026,617,268.00","10,984,990,840.00","11,824,929,450.00","13,228,434,059.00","14,357,685,989.00","25,444,138,786.00","26,594,119,451.00","25,849,936,379.00","22,339,666,875.00","18,797,483,998.00","21,079,944,499.00","23,129,056,299.00","22,492,603,113.00","21,145,332,680.00","22,005,156,415.00","24,624,401,038.00","23,523,628,906.00","22,827,342,441.00","24,194,423,142.00","25,097,056,332.00","24,590,915,964.00","25,975,891,270.00","25,137,618,418.00","26,206,384,998.00","27,748,619,890.00","22,567,779,750.00","25,691,005,897.00","29,394,331,527.00","32,498,553,769.00","37,060,923,082.00","40,265,007,784.00","45,952,855,292.00","48,768,748,598.00","48,231,378,939.00"
流动负债合计,"6,338,754,257.00","7,101,076,721.00","7,513,757,846.00","9,600,434,119.00","11,406,191,092.00","9,942,044,512.00","9,996,643,264.00","11,174,233,481.00","9,248,232,334.00","9,777,344,260.00","9,206,261,051.00","12,073,310,913.00","10,541,855,662.00","11,741,705,605.00","12,702,480,213.00","13,077,027,304.00","13,187,254,364.00","14,653,884,708.00","14,972,924,004.00","16,991,329,058.00","17,211,838,425.00","17,637,047,448.00","19,364,366,142.00","14,521,328,714.00","14,578,532,999.00","14,241,473,587.00","13,845,452,505.00","14,545,325,394.00","13,017,904,067.00","13,112,615,498.00","13,614,023,625.00","14,397,009,376.00","13,012,244,531.00","22,867,333,797.00","21,282,687,657.00","20,402,161,880.00","19,525,192,516.00","13,379,209,583.00","13,267,672,866.00","17,049,223,825.00","15,924,782,704.00","19,813,462,540.00","20,803,812,096.00","21,114,302,916.00","18,887,722,581.00","18,020,858,839.00"
可供出售金融资产,,"263,884,190.00","285,258,809.00","326,901,310.00","259,274,724.00","610,735,842.00","1,180,443,400.00","1,201,757,498.00","1,623,149,923.00","1,654,768,348.00","1,699,702,280.00","2,343,992,410.00","2,364,945,078.00","2,303,006,291.00","3,276,658,769.00","3,754,674,518.00","4,742,925,350.00","4,286,174,702.00","2,966,841,768.00","3,578,851,720.00","3,573,390,621.00","3,071,563,761.00","2,916,630,730.00","3,297,304,805.00","2,949,169,694.00","2,233,596,791.00","2,024,366,387.00","2,222,333,165.00","2,731,022,004.00","2,511,097,754.00","2,812,521,764.00","3,935,395,280.00","5,593,814,506.00","3,433,650,818.00","2,410,281,701.00","3,249,600,352.00","3,104,962,588.00","3,103,085,548.00","2,758,884,572.00","2,935,176,878.00","2,720,926,300.00","391,652,492.00","483,207,620.00","461,408,780.00","401,098,656.00",
长期借款,"8,250,147,718.00","8,752,697,273.00","9,713,037,273.00","9,822,027,273.00","9,296,217,273.00","7,772,254,546.00","6,233,439,471.00","6,033,454,546.00","6,112,954,546.00","5,781,181,819.00","5,856,181,819.00","5,393,621,819.00","9,547,181,819.00","10,244,409,092.00","10,268,909,092.00","10,971,386,365.00","10,823,909,092.00","10,576,113,637.00","10,500,886,365.00","9,773,113,637.00","6,073,386,365.00","6,309,670,910.00","6,609,113,638.00","5,612,205,910.00","4,165,340,910.00","3,355,933,183.00","3,846,933,183.00","3,731,755,891.00","3,785,658,011.00","3,204,130,457.00","2,473,622,957.00","2,104,520,602.00","1,737,100,635.00","1,666,390,137.00","1,433,577,873.00","2,246,400,640.00","4,056,915,017.00","5,438,592,443.00","5,703,592,100.00","5,447,249,980.00","5,931,025,154.00","4,858,604,702.00","5,687,357,250.00","4,860,480,971.00","4,368,568,418.00","3,130,277,060.00"
