科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
取得投资收益收到的现金,"3,019.92",,"9,163,661.65","582,874.60","1,323,079.11","746,262.00","1,059,197.00","1,466,102.60","1,777,089.10","346,226.80","102,689.05","31,787.95","216,167.95","11,424.60","-349,195.40","-587,119.00","-845,824.90","-402,212.80","-59,001.25","48,150.55","-219,290.45","86,845.45","273,280.66","-408,452.70","-812,229.20","45,120.05","49,622.05","-52,470.25",,"13,800.00","98,800.00","308,664.00","3,394,379.07"
筹资活动现金流出小计,"134,522,673.60","339,951,933.33","225,873,346.25","147,368,258.30","274,839,618.17","155,326,943.04","194,042,237.93","201,186,571.25","217,531,490.43","87,686,529.00","185,594,805.89","190,264,805.89","194,934,805.89","4,670,000.00","48,208,597.94","54,410,943.66","54,437,193.66","10,242,055.56","40,002,682.39","73,373,855.85","103,941,887.74","657,746.07","95,003,550.42","95,311,104.06","96,441,078.56",,"54,689,520.16","54,634,257.66","56,670,875.32","874,612.30","83,821,845.02","83,862,825.02","84,047,654.37"
处置固定资产、无形资产和其他长期资产收回的现金净额,"8,819.33","3,820,823.83","5,567,491.86",,,,,,"15,100.00",,,,,,,,,,"306,613.00","314,613.00","470,973.00",,"5,714.28","5,714.28","194,576.00","3,800.00","208,800.00","264,774.00","463,574.00",,"1,700.00","460,975.00","1,378,244.02"
筹资活动产生的现金流量净额,"63,477,326.40","-4,251,933.33","-17,819,881.25","106,691,741.70","1,109,474,881.83","-127,726,943.04","-123,442,237.93","-70,996,571.25","-9,811,490.43","-55,486,529.00","-143,394,805.89","-92,864,805.89","-102,534,805.89","-4,670,000.00","-48,208,597.94","-47,109,558.55","-37,135,808.55","19,757,944.44","-20,002,682.39","25,473,120.15","14,905,088.26","9,342,253.93","-85,003,550.42","-85,311,104.06","-74,191,078.56",,"-54,689,520.16","-19,689,271.66","2,344,110.68","-874,612.30","-76,719,459.02","-76,010,439.02","-75,365,268.37"
处置子公司及其他营业单位收到的现金净额,"2,054,891.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,"-4,968.16",,-2.44,-2.44,1.41,,"-16,475.72","-16,475.72","13,948.58",,"-26,124.90","-26,124.90","-26,124.90",,,,,,,,,,,,
收到其他与投资活动有关的现金,"500,000.00",,,,,,,,,,,,,,,,,"20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","19,000,000.00","19,002,152.02","19,002,152.02","19,000,000.00",,,"394,760,000.00","240,478.70",,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"2,771,731.15","3,881,287.10","14,731,153.51","582,874.60","1,323,079.11","746,262.00","1,059,197.00","1,466,102.60","1,792,189.10","346,226.80","102,689.05","31,787.95","216,167.95","11,424.60","-349,195.40","-587,119.00","-845,824.90","19,597,787.20","20,247,611.75","20,362,763.55","20,251,682.55","19,086,845.45","19,281,146.96","18,599,413.60","18,382,346.80","48,920.05","258,422.05","394,972,303.75","704,052.70","5,013,800.00","5,100,500.00","5,769,639.00","9,772,623.09"
五、现金及现金等价物净增加额,"66,213,173.79","30,443,426.81","49,954,882.77","-17,702,262.42","978,737,024.64","-459,945,506.91","-492,271,236.61","-630,129,249.56","-594,094,234.81","-74,871,835.07","-56,284,467.36","-36,248,872.29","52,488,806.82","-113,674,701.55","-204,338,313.60","-175,489,953.86","-59,871,553.33","-130,891,056.48","-322,530,433.89","-119,344,157.97","84,344,687.30","-204,952,253.24","-358,646,388.08","-7,460,549.33","80,363,924.74","10,923,316.97","-452,985,344.72","-189,508,614.14","180,789,460.92","-212,157,495.54","-391,879,836.03","-661,857,412.55","-500,761,246.85"
购建固定资产、无形资产和其他长期资产支付的现金,"28,476,100.86","55,745,858.77","118,761,859.99","60,833,052.91","78,636,700.40","41,428,556.63","51,073,386.15","66,346,182.30","85,716,577.42","21,706,650.62","39,434,993.07","74,748,410.47","73,427,376.03","13,670,602.88","26,988,327.67","50,519,217.88","137,210,437.76","8,306,626.17","24,043,314.79","36,328,122.81","43,055,517.40","16,576,921.19","29,924,359.58","45,924,541.28","60,646,623.61","17,119,251.54","28,570,178.96","44,981,970.42","73,970,804.74","36,090,772.13","72,819,312.51","143,649,420.84","201,124,009.38"
期初现金及现金等价物余额,"75,143,331.69","141,356,505.48","171,799,932.29","221,754,815.06","221,754,815.06","1,200,491,839.70","1,200,491,839.70","1,200,491,839.70","1,200,491,839.70","606,991,536.62","606,397,604.89","606,397,604.89","606,397,604.89","658,886,411.71","658,886,411.71","658,886,411.71","658,886,411.71","599,014,858.38","599,014,858.38","599,014,858.38","599,014,858.38","683,359,545.68","683,359,545.68","683,359,545.68","683,359,545.68","763,723,470.42","763,723,470.42","763,723,470.42","763,723,470.42","944,512,931.34","944,512,931.34","944,512,931.34","944,512,931.34"
投资支付的现金,"20,100,878.00","24,470,737.08",,,,,,,"1,507,200.00",,,"5,000,000.00",,,"5,000,000.00",,,,,,,,,"10,000,000.00",,,"27,506,000.00","35,156,000.00","48,866,000.00","319,900.00","42,919,900.00","43,919,900.00","55,720,789.78"
期末现金及现金等价物余额,"141,356,505.48","171,799,932.29","221,754,815.06","204,052,552.64","1,200,491,839.70","740,546,332.79","708,220,603.09","570,362,590.14","606,397,604.89","532,119,701.55","550,113,137.53","570,148,732.60","658,886,411.71","545,211,710.16","454,548,098.11","483,396,457.85","599,014,858.38","468,123,801.90","276,484,424.49","479,670,700.41","683,359,545.68","478,407,292.44","324,713,157.60","675,898,996.35","763,723,470.42","774,646,787.39","310,738,125.70","574,214,856.28","944,512,931.34","732,355,435.80","552,633,095.31","282,655,518.79","443,751,684.49"
