科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
其他流动资产,,,,,,"47,200,000.00","154,834,937.69","165,087,208.71","57,615,780.72","51,800,613.46","63,159,993.15","13,375,773.91","41,617,005.19","10,923,922.49"
其他流动负债,,"400,000.00","730,000.00","547,500.00","730,000.00","730,000.00","730,000.00","730,000.00","750,000.00","750,000.00","750,000.00","750,000.00","750,000.00","750,000.00"
流动资产合计,"166,213,285.56","222,566,643.67","218,806,674.97","218,695,587.46","419,455,342.62","418,311,302.87","408,936,896.45","392,532,946.74","344,654,312.15","328,731,228.52","320,123,360.42","318,677,520.99","337,800,156.40","335,752,112.34"
流动负债合计,"60,246,147.00","81,576,424.54","86,215,416.59","82,392,538.96","86,015,404.96","80,747,498.91","81,261,085.62","73,709,603.90","80,016,889.79","80,701,180.01","83,125,986.14","95,345,081.91","103,323,821.88","116,070,048.71"
可供出售金融资产,,,,,,,"6,500,000.00","11,250,000.00","11,250,000.00","16,250,000.00","16,250,000.00","16,250,000.00","16,250,000.00","16,250,000.00"
长期借款,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,"450,000.00"
专项应付款,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,
预计负债,"380,000.00",,,,,,"377,000.00","377,000.00","377,000.00","377,000.00","377,000.00","377,000.00","377,000.00","377,000.00"
固定资产,"59,468,628.48","57,939,811.71","61,475,221.28","61,119,035.18","61,397,776.90","61,626,957.90","64,827,731.56","63,997,700.01","64,548,350.40","68,468,475.82","71,394,995.49","114,799,327.59","116,713,037.47","118,598,845.99"
递延所得税负债,,,,,"544,410.55","623,940.04","796,303.57","891,669.69","945,957.98","1,123,523.22","1,242,296.66","1,242,296.66","2,072,799.44","2,252,298.88"
在建工程,,"4,169,629.55","1,091,720.99","1,576,481.80","1,439,940.50","1,806,310.16","3,983,490.08","5,641,320.75","49,085,281.25","51,928,981.55","71,726,029.50","36,084,365.22","49,326,521.99","59,622,940.32"
其他非流动负债,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,
非流动负债合计,"2,792,858.50","6,541,422.51","5,563,922.51","5,563,922.51","5,943,333.06","5,840,362.55","6,207,226.08","6,115,092.20","5,961,880.49","5,951,945.73","5,883,219.17","5,695,719.17","6,338,721.95","6,330,721.39"
固定资产清理,,,,,,,,,,,,,,
负债合计,"63,039,005.50","88,117,847.05","91,779,339.10","87,956,461.47","91,958,738.02","86,587,861.46","87,468,311.70","79,824,696.10","85,978,770.28","86,653,125.74","89,009,205.31","101,040,801.08","109,662,543.83","122,400,770.10"
生产性生物资产,,,,,,,,,,,,,,
实收资本(或股本),"50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","66,670,000.00","66,670,000.00","133,340,000.00","133,340,000.00","133,340,000.00","133,340,000.00","133,340,000.00","133,340,000.00","134,271,000.00","134,271,000.00"
油气资产,,,,,,,,,,,,,,
资本公积,"53,475,285.85","53,475,285.85","53,475,285.85","53,475,285.85","225,341,432.05","225,341,432.05","158,671,432.05","158,671,432.05","158,671,432.05","158,671,432.05","158,671,432.05","158,671,432.05","173,818,802.05","173,818,802.05"
无形资产,"6,317,033.19","6,237,060.82","24,296,240.50","24,125,781.57","23,957,259.18","25,143,575.04","25,108,600.58","24,928,656.03","24,753,092.40","24,567,589.02","24,382,085.64","24,270,428.41","24,165,582.29","24,137,047.80"
盈余公积,"4,713,237.14","7,928,078.89","11,083,704.15","11,083,704.15","11,083,704.15","11,083,704.15","13,896,595.84","13,896,595.84","13,896,595.84","13,896,595.84","17,160,875.67","17,160,875.67","17,160,875.67","17,160,875.67"
开发支出,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,
未分配利润,"62,167,950.69","94,116,768.76","103,924,719.07","107,863,828.00","116,302,460.81","121,236,289.12","126,775,602.12","126,937,699.62","118,430,125.99","123,021,907.73","118,931,407.91","115,999,868.86","119,390,738.39","116,303,783.91"
长期待摊费用,"152,609.50","30,521.90",,,,,"262,182.29","238,352.48","214,522.67","190,692.86","166,863.05","332,676.78","1,190,690.68","1,522,901.75"
少数股东权益,,,,,,,,,,,"1,737,566.92","1,473,954.84","10,299,345.68","10,051,137.88"
递延所得税资产,"1,243,922.45","2,694,312.90","3,240,617.63","3,509,820.66","3,753,443.03","4,031,140.81","5,333,853.69","5,792,624.43","5,603,884.00","6,165,254.62","8,038,222.10","8,874,293.86","9,579,652.16","10,124,665.78"
外币报表折算价差,,,,,,,,,,,,,,
其他非流动资产,,,"1,352,572.80","1,352,572.80","1,352,572.80",,"5,199,187.06","8,288,823.17","10,207,481.29","19,280,838.97","6,768,931.66","8,398,319.65","9,577,664.63","7,547,855.63"
非正常经营项目收益调整,,,,,,,,,,,,,,
非流动资产合计,"67,182,193.62","71,071,336.88","91,456,373.20","91,683,692.01","91,900,992.41","92,607,983.91","111,215,045.26","120,137,476.87","165,662,612.01","186,851,832.84","198,727,127.44","209,009,411.51","226,803,149.22","238,254,257.27"
所有者权益(或股东权益)合计,"170,356,473.68","205,520,133.50","218,483,709.07","222,422,818.00","419,397,597.01","424,331,425.32","432,683,630.01","432,845,727.51","424,338,153.88","428,929,935.62","429,841,282.55","426,646,131.42","454,940,761.79","451,605,599.51"
资产总计,"233,395,479.18","293,637,980.55","310,263,048.17","310,379,279.47","511,356,335.03","510,919,286.78","520,151,941.71","512,670,423.61","510,316,924.16","515,583,061.36","518,850,487.86","527,686,932.50","564,603,305.62","574,006,369.61"
负债和所有者(或股东权益)合计,"233,395,479.18","293,637,980.55","310,263,048.17","310,379,279.47","511,356,335.03","510,919,286.78","520,151,941.71","512,670,423.61","510,316,924.16","515,583,061.36","518,850,487.86","527,686,932.50","564,603,305.62","574,006,369.61"
