科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付的各项税费,"35,033,163.63","44,336,781.17","43,546,454.94","22,633,316.34","36,900,343.97","53,774,384.30","13,864,387.21","39,931,379.61","59,870,081.79","68,936,540.77","14,456,308.80","31,493,137.06","48,579,019.06","63,589,564.52","19,591,026.92","42,022,752.35","68,941,947.88","93,578,594.86","27,330,954.71","63,868,627.46","108,017,165.32","143,219,674.25","35,017,988.88"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"24,579,107.25","39,056,181.85","33,386,457.30","16,248,817.45","26,840,287.57","40,362,477.59","15,681,070.89","36,144,687.33","57,991,864.78","96,108,854.28","17,666,719.48","40,463,236.44","59,852,549.64","78,733,112.68","25,545,773.32","56,272,584.68","117,776,143.27","212,402,255.52","90,436,782.42","234,609,698.75","355,069,366.90","500,228,741.54","108,893,125.05"
筹资活动现金流入小计,"1,209,562.28","816,863.00",,,,"377,522,340.00",,,,,,"67,617,320.00","67,617,320.00","132,817,320.00","6,000,000.00","6,450,000.00","124,485,991.10","132,839,325.34",,"87,521,565.74","161,389,800.00","180,000,000.00","64,260,600.00"
经营活动现金流出小计,"216,657,424.67","309,174,993.50","283,386,938.22","169,775,418.74","253,767,213.55","346,230,109.04","80,982,499.03","183,160,366.69","294,551,619.51","388,696,715.38","90,355,207.26","196,726,686.02","311,824,011.37","461,325,459.55","124,561,765.98","315,303,887.03","528,027,284.15","722,582,019.23","181,556,876.58","431,153,520.35","671,757,686.68","945,207,496.50","211,391,287.86"
偿还债务支付的现金,,,,,,,,,,,,,,,,,,"130,200,000.00","34,800,000.00","34,800,000.00","58,035,991.10","66,289,325.34","50,000,000.00"
经营活动产生的现金流量净额,"65,163,354.90","24,209,130.88","122,966,363.51","28,788,893.98","54,275,615.11","94,161,670.88","7,935,949.38","33,885,627.61","45,467,729.35","90,574,912.82","4,158,242.76","19,364,901.94","41,252,491.25","118,700,829.07","-3,820,371.20","-19,966,538.48","-31,683,902.65","16,002,674.34","44,133,918.80","79,455,995.10","138,020,285.44","176,061,522.47","22,080,480.17"
分配股利、利润或偿还利息支付的现金,"6,635,124.05","7,500,000.00","7,600,000.00","467,100.00","467,100.00","467,100.00","3,036,150.00","13,461,939.60","13,461,939.60","16,119,126.00",,"30,878,798.00","30,878,798.00","32,418,536.33","744,091.66","2,926,481.66","8,589,924.02","10,257,339.45","285,570.15","978,111.57","5,285,087.48","9,622,223.20",
收回投资收到的现金,"300,000.00",,,,,,,,,"200,000,000.00","200,000,000.00","260,000,000.00","290,000,000.00",,,,,,,,,,
支付其他与筹资活动有关的现金,"2,409,240.00","2,696,396.67",,,,"7,036,957.76",,,,,,,,"1,980,720.00",,,"16,272,165.00","16,272,165.00",,,"1,810,679.85","43,555,666.87","1,772,000.01"
取得投资收益收到的现金,,,,,,,,,,"7,988,339.73","506,301.37","613,698.63","863,232.88","1,013,150.69",,"7,412.33","6,712.33","6,712.33",,,,,
筹资活动现金流出小计,"9,044,364.05","10,196,396.67","7,600,000.00","467,100.00","467,100.00","7,504,057.76","3,036,150.00","13,461,939.60","13,461,939.60","16,119,126.00",,"30,878,798.00","30,878,798.00","34,399,256.33","744,091.66","2,926,481.66","24,862,089.02","156,729,504.45","35,085,570.15","35,778,111.57","65,131,758.43","119,467,215.41","51,772,000.01"
处置固定资产、无形资产和其他长期资产收回的现金净额,"197,000.00","15,880.00","43,800.00","80,100.00","380,100.90","382,811.10",500.00,"6,500.00","45,300.00","45,300.00","12,000.00","12,000.00","212,000.00","225,500.00","11,990.00","11,507.00","11,507.00","414,841.53","72,600.00","104,380.00","104,380.00","149,424.51","7,905.00"
筹资活动产生的现金流量净额,"-7,834,801.77","-9,379,533.67","-7,600,000.00","-467,100.00","-467,100.00","370,018,282.24","-3,036,150.00","-13,461,939.60","-13,461,939.60","-16,119,126.00",,"36,738,522.00","36,738,522.00","98,418,063.67","5,255,908.34","3,523,518.34","99,623,902.08","-23,890,179.11","-35,085,570.15","51,743,454.17","96,258,041.57","60,532,784.59","12,488,599.99"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,"4,832,438.61","4,832,438.61",,,,"4,493,621.43",,,,,
四、汇率变动对现金的影响,"-28,557.91","-9,144.53","-3,421.45",,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"16,250,000.00","2,448,000.00","16,145,000.00",,"3,020,000.00","3,370,000.00",,,,"3,626,626.80",,"390,873.29","390,873.29","12,249,400.00","1,568,190.00","1,568,190.00","1,648,190.00","4,953,340.90","1,360,000.00","3,724,000.00","9,547,565.00","56,260,774.79","805,040.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"16,747,000.00","2,463,880.00","16,188,800.00","80,100.00","3,400,100.90","3,752,811.10",500.00,"6,500.00","45,300.00","211,660,266.53","200,518,301.37","261,016,571.92","296,298,544.78","18,320,489.30","1,580,180.00","1,587,109.33","1,666,409.33","9,868,516.19","1,432,600.00","3,828,380.00","9,651,945.00","56,410,199.30","812,945.00"
五、现金及现金等价物净增加额,"23,394,673.57","-30,499,684.15","76,931,900.04","-24,258,565.74","-18,050,267.56","370,561,287.82","-131,929,979.93","-136,378,136.58","-224,629,778.02","15,382,707.32","-266,195,316.52","-245,097,014.10","-372,376,946.56","-151,598,189.51","-45,145,470.85","-84,893,908.54","-114,805,548.16","-221,754,223.88","-13,382,585.39","71,353,997.41","95,884,932.34","177,760,157.78","-66,458,560.94"
购建固定资产、无形资产和其他长期资产支付的现金,"50,652,321.65","47,784,016.83","54,619,842.02","52,660,459.72","75,258,883.57","97,371,476.40","16,830,279.31","35,218,624.59","55,886,017.77","70,733,346.03","20,871,860.65","79,849,448.57","140,359,379.59","167,284,046.33","48,161,187.99","70,037,997.73","134,411,956.92","132,835,235.30","25,863,534.04","36,784,971.86","53,943,879.67","74,899,806.97","50,350,586.10"
期初现金及现金等价物余额,"56,823,565.71","80,218,239.28","49,718,555.13","126,650,455.17","126,650,455.17","126,650,455.17","497,211,767.13","497,211,742.99","497,211,742.99","497,211,742.99","512,594,450.31","512,594,450.31","512,594,450.31","512,594,450.31","363,428,487.32","360,996,260.80","360,996,260.80","360,996,260.80","139,242,036.92","139,242,036.92","139,242,036.92","139,242,036.92","316,997,501.82"
投资支付的现金,,,,,,,,"1,589,700.00","794,850.00","200,000,000.00",,,"126,307,125.00","115,480,508.02",,,"50,000,000.00","20,900,000.00",,"6,888,860.00","74,101,460.00","29,138,860.00","3,490,000.00"
期末现金及现金等价物余额,"80,218,239.28","49,718,555.13","126,650,455.17","102,391,889.43","108,600,187.61","497,211,742.99","365,281,787.20","360,833,606.41","272,581,964.97","512,594,450.31","246,399,133.79","267,497,436.21","140,217,503.75","360,996,260.80","318,283,016.47","276,102,352.26","246,190,712.64","139,242,036.92","125,859,451.53","210,596,034.33","235,126,969.26","317,002,194.70","250,538,940.88"
