科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
筹资活动现金流入小计,"60,000,000.00",,,"50,000,000.00","50,000,000.00","307,082,725.00","307,082,725.00","307,082,725.00","307,082,725.00",,,,,,,,,,
经营活动现金流出小计,"117,901,467.64","122,708,531.35","128,393,297.85","114,216,466.86","148,899,202.99","35,820,070.49","75,790,892.37","104,795,717.19","135,450,747.90","33,617,398.05","73,506,666.34","118,793,166.05","177,235,706.70","58,290,907.62","118,141,946.31","190,633,231.01","299,847,067.77","85,326,362.89","199,441,872.90"
偿还债务支付的现金,"40,000,000.00","20,000,000.00",,"20,000,000.00","20,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,,,
经营活动产生的现金流量净额,"75,898,511.52","91,163,317.78","106,458,242.56","45,204,138.72","70,162,986.52","13,256,079.64","23,778,712.48","40,813,291.89","70,185,159.14","35,158,433.03","48,659,340.98","70,668,576.81","104,238,688.03","-49,940.70","23,991,794.20","40,135,985.27","58,057,429.26","11,343,297.64","4,242,959.78"
分配股利、利润或偿还利息支付的现金,"1,170,416.67","608,622.22","60,000,000.00","80,896,666.67","81,351,666.67","480,000.00","38,730,000.00","50,542,500.00","50,542,500.00",,"20,025,000.00","20,025,000.00","20,025,000.00",,"55,530,000.00","55,530,000.00","60,075,000.00",,"12,015,000.00"
收回投资收到的现金,,"31,773,813.50","42,000,000.00","7,000,000.00","12,000,000.00","5,000,000.00","10,000,000.00","15,000,000.00","235,100,000.00","390,000,000.00","675,000,000.00","1,285,000,000.00","2,064,999,000.00","350,000,000.00","650,000,000.00","1,044,000,000.00","1,381,000,000.00","375,000,000.00","715,000,000.00"
支付其他与筹资活动有关的现金,,,,,,"105,225.00","4,945,225.00","4,945,225.00","4,945,225.00",,,,,,,,,,
取得投资收益收到的现金,"1,251,800.00","3,755,400.00","230,353.43","28,978.08","48,539.72","19,561.64","47,602.74","64,369.86","1,624,443.38","1,280,885.08","2,315,364.52","4,703,282.33","6,463,454.67","1,804,657.53","4,180,351.02","7,189,942.83","10,023,378.15","3,820,013.70","8,015,655.88"
筹资活动现金流出小计,"41,170,416.67","20,608,622.22","60,000,000.00","100,896,666.67","101,351,666.67","30,585,225.00","73,675,225.00","85,487,725.00","85,487,725.00",,"20,025,000.00","20,025,000.00","20,025,000.00",,"55,530,000.00","55,530,000.00","60,075,000.00",,"12,015,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"110,532.04",,,,"370,000.00","370,000.00","370,000.00","40,000.00","40,000.00","133,000.00","133,000.00",,,,,,
筹资活动产生的现金流量净额,"18,829,583.33","-20,608,622.22","-60,000,000.00","-50,896,666.67","-51,351,666.67","276,497,500.00","233,407,500.00","221,595,000.00","221,595,000.00",,"-20,025,000.00","-20,025,000.00","-20,025,000.00",,"-55,530,000.00","-55,530,000.00","-60,075,000.00",,"-12,015,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,"-679,698.69","407,872.19",,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"10,500,000.00","560,000.00","8,390,000.00","5,000,000.00","5,000,000.00",,,,"7,000,000.00",,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"11,751,800.00","36,089,213.50","50,730,885.47","12,028,978.08","17,048,539.72","5,019,561.64","10,417,602.74","15,434,369.86","244,094,443.38","391,320,885.08","677,355,364.52","1,289,156,583.64","2,072,003,326.86","351,804,657.53","654,180,351.02","1,051,189,942.83","1,391,023,378.15","378,820,013.70","723,015,655.88"
五、现金及现金等价物净增加额,"13,691,127.90","32,506,881.40","-4,383,202.48","-17,563,271.81","5,387,007.72","279,194,111.55","240,015,251.36","63,219,347.27","106,840,244.50","114,988,973.35","-9,215,543.71","-94,740,304.37","-143,837,159.13","45,103,925.13","43,732,089.52","-7,863,891.74","15,466,727.98","-26,539,028.36","-42,173,060.04"
购建固定资产、无形资产和其他长期资产支付的现金,"92,788,766.95","74,137,027.66","59,572,330.51","16,899,721.94","18,472,851.85","10,579,029.73","17,588,563.86","19,623,314.48","23,934,358.02","6,490,344.76","10,205,249.21","18,040,464.82","23,555,174.02","6,650,791.70","6,910,055.70","12,659,819.84","17,539,079.43","16,702,339.70","17,416,675.70"
期初现金及现金等价物余额,"45,215,029.52","58,906,157.42","91,413,038.82","87,029,836.34","87,029,836.34","92,416,844.06","92,416,844.06","92,416,844.06","92,416,844.06","199,257,088.56","199,257,088.56","199,257,088.56","199,257,088.56","55,419,929.43","55,419,929.43","55,419,929.43","55,419,929.43","70,886,657.41","70,886,657.41"
投资支付的现金,,,"42,000,000.00","7,000,000.00","12,000,000.00","5,000,000.00","10,000,000.00","195,000,000.00","405,100,000.00","305,000,000.00","705,000,000.00","1,385,000,000.00","2,276,499,000.00","300,000,000.00","572,000,000.00","1,031,000,000.00","1,356,000,000.00","400,000,000.00","740,000,000.00"
期末现金及现金等价物余额,"58,906,157.42","91,413,038.82","87,029,836.34","69,466,564.53","92,416,844.06","371,610,955.61","332,432,095.42","155,636,191.33","199,257,088.56","314,246,061.91","190,041,544.85","104,516,784.19","55,419,929.43","100,523,854.56","99,152,018.95","47,556,037.69","70,886,657.41","44,347,629.05","28,713,597.37"
