科目,2007年1-6月,2008年1-6月,2009年1-6月,2009年度,2010年1-6月,2010年度,2011年1-6月,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
筹资活动现金流入小计,,"10,277,400.00",,"3,365,418.71",,"3,709,400.00",,,"384,000,000.00","384,000,000.00","367,140,000.00",,,,,,,,,,"16,282,984.86","166,282,984.86","171,400,000.00","12,500,000.00","283,734,000.00","283,734,000.00","338,734,000.00","201,540,000.00","281,680,000.00","425,680,000.00","485,680,000.00","154,586,408.00"
经营活动现金流出小计,"12,077,570.16","21,830,011.64","24,879,611.39","46,499,629.46","25,271,805.08","52,020,134.56","31,715,936.85","59,397,527.84","33,902,375.40","58,291,497.34","73,435,260.34","22,618,041.57","47,771,588.05","69,975,727.01","87,942,377.77","20,721,216.22","44,878,382.49","78,079,343.11","100,133,351.51","25,531,368.87","60,432,183.92","152,034,294.38","244,733,841.85","113,512,582.61","195,473,496.56","293,919,560.44","371,419,600.31","138,747,678.62","285,572,428.68","431,347,323.83","562,861,936.63","158,632,843.13"
偿还债务支付的现金,,,,,,,,,,,,,,,,,,,,,"100,000,000.00","240,000,000.00",,,"20,000,000.00","20,000,000.00","21,400,000.00","22,500,000.00","59,870,000.00","60,870,000.00","84,882,652.05","99,540,000.00"
经营活动产生的现金流量净额,"4,387,584.84","-1,413,623.33","3,333,463.61","22,785,851.94","6,116,963.66","32,232,683.54","7,880,630.16","46,893,663.78","14,112,146.73","21,209,482.08","61,282,912.15","-625,073.04","8,778,528.90","27,534,515.40","55,081,309.00","1,628,339.95","8,142,654.20","6,422,781.10","31,048,911.32","-2,463,510.45","19,200,570.34","24,702,702.44","88,950,522.99","-45,682,846.79","5,676,959.25","11,417,622.22","77,969,565.14","-35,235,722.45","-60,582,239.36","-88,497,763.98","-95,194,050.69","-36,828,618.07"
分配股利、利润或偿还利息支付的现金,,"7,591,345.00",,,,,,,,,,,"10,239,999.99","10,239,999.99","10,239,999.99",,,"11,468,800.00","11,468,800.00",,,"4,095,988.42","4,163,378.38","301,568.59","1,983,440.77","2,460,462.50","2,934,193.88","1,336,152.74","3,130,408.43","8,704,809.91","12,517,745.41","2,900,550.50"
收回投资收到的现金,"32,400,000.00","179,320,000.00",,,,,,,,,,,,,,,,"215,000,000.00","545,000,000.00",,"80,480,000.00","100,480,000.00",,,,,,,"1,000,000.00",,,
支付其他与筹资活动有关的现金,,,"650,000.00","1,199,500.00",,"735,088.68","331,511.65","663,527.03","21,336,288.30","23,120,395.40","6,260,395.40",,"89,712.08","89,712.08","89,712.08",,,"34,406.40","34,406.40",,"4,040,712.97","6,248,927.99","248,658,927.99","250,000.00","221,166,563.85","221,489,363.85","351,609,363.85","93,000,000.00","94,281,410.77","160,288,647.27","160,406,653.49","17,000,000.00"
取得投资收益收到的现金,"3,973,382.75","26,157,406.98",,,,,,,,,,,,,,,,"5,703,287.68","11,361,082.20",,,,,,,,,,,,,
筹资活动现金流出小计,,"7,591,345.00","650,000.00","1,199,500.00",,"735,088.68","331,511.65","663,527.03","21,336,288.30","23,120,395.40","6,260,395.40",,"10,329,712.07","10,329,712.07","10,329,712.07",,,"11,503,206.40","11,503,206.40",,"104,040,712.97","250,344,916.41","252,822,306.37","551,568.59","243,150,004.62","243,949,826.35","375,943,557.73","116,836,152.74","157,281,819.20","229,863,457.18","257,807,050.95","119,440,550.50"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,740.00,"6,260.00",,"2,870.00","240,000.00","240,000.00",,,"21,483.00",,,200.00,800.00,"38,000.00","48,500.00","53,400.00","42,900.00",,,,"136,148.04",,"22,000.00","24,700.00","74,268.00",,200.00,200.00,"715,882.94","4,500.00"
筹资活动产生的现金流量净额,,"2,686,055.00","-650,000.00","2,165,918.71",,"2,974,311.32","-331,511.65","-663,527.03","362,663,711.70","360,879,604.60","360,879,604.60",,"-10,329,712.07","-10,329,712.07","-10,329,712.07",,,"-11,503,206.40","-11,503,206.40",,"-87,757,728.11","-84,061,931.55","-81,422,306.37","11,948,431.41","40,583,995.38","39,784,173.65","-37,209,557.73","84,703,847.26","124,398,180.80","195,816,542.82","227,872,949.05","35,145,857.50"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,260,432.58",
四、汇率变动对现金的影响,,,,-109.84,"-13,368.58","-63,501.19","-27,382.41","-39,809.96",,,"1,327.76",,,,"-3,137.51",,,,366.97,,,,"888,663.34","-269,509.88","-412,584.23","-1,371,499.62","310,284.23","-136,069.91","-376,885.66","-421,378.16","-888,308.26","-380,341.92"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"2,627,094.17","2,627,094.17","116,762,984.86",,,,"86,850,000.00",,,"11,800,000.00","80,511,049.76","5,290,902.35"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"36,373,382.75","205,477,406.98",740.00,"6,260.00",,"2,870.00","240,000.00","240,000.00",,,"21,483.00",,,200.00,800.00,"38,000.00","48,500.00","220,756,687.68","556,403,982.20",,"83,107,094.17","103,107,094.17","116,899,132.90",,"22,000.00","24,700.00","86,924,268.00",,"1,000,200.00","11,800,200.00","82,487,365.28","5,295,402.35"
五、现金及现金等价物净增加额,"-20,667,997.41","-3,761,299.54","2,324,812.40","-4,914,191.05","-13,663,017.10","12,676,606.78","3,898,049.09","35,548,700.11","358,203,227.00","341,949,740.74","342,966,519.47","-3,687,227.12","-14,482,566.39","-892,325.40","3,389,232.27","-174,265,862.46","-289,927,975.95","-206,278,678.36","-130,974,432.36","-40,587,049.48","-219,033,018.36","-258,124,922.18","-217,664,357.99","-58,043,749.30","-22,713,835.21","-55,696,000.87","-65,252,247.89","-6,075,257.83","-10,937,425.05","-15,127,487.68","21,202,496.94","-10,885,732.14"
购建固定资产、无形资产和其他长期资产支付的现金,"168,965.00","2,218,333.86","359,391.21","29,872,111.86","19,766,612.18","22,469,756.89","3,863,687.01","10,881,626.68","18,572,631.43","40,139,345.94","79,218,808.04","3,062,154.08","12,931,383.22","18,097,328.73","41,360,027.15","10,932,202.41","25,764,383.58","35,895,304.78","59,425,832.80","22,906,998.53","27,003,510.27","32,119,417.69","35,089,671.24","5,039,824.04","15,584,205.61","25,050,997.12","37,396,807.53","6,886,833.65","16,856,201.75","25,304,609.28","39,554,979.36","14,118,032.00"
期初现金及现金等价物余额,,"4,766,644.97","70,299,699.36","70,299,699.36","65,385,508.31","65,385,508.31","78,062,115.09","78,062,115.09","113,610,815.20","113,610,815.20","113,610,815.20","456,577,334.67","456,577,334.67","456,577,334.67","456,577,334.67","459,966,566.94","459,966,566.94","459,966,566.94","459,966,566.94","328,992,134.58","328,992,134.58","328,992,134.58","328,992,134.58","111,327,776.59","111,327,776.59","111,327,776.59","111,327,776.59","46,065,528.70","46,075,528.70","46,075,528.70","46,075,528.70","67,278,025.64"
投资支付的现金,"61,260,000.00","208,292,804.33",,,,,,,,,,,,,,"165,000,000.00","270,000,000.00","385,000,000.00","645,480,000.00","15,000,000.00","204,196,400.00","93,000,000.00","131,000,000.00","19,000,000.00","19,000,000.00","19,000,000.00","69,000,000.00",,"10,000,000.00","10,000,000.00","20,000,000.00",
期末现金及现金等价物余额,,"1,005,345.43","72,624,511.76","65,385,508.31","51,722,491.21","78,062,115.09","81,960,164.18","113,610,815.20","471,814,042.20","455,560,555.94","456,577,334.67","452,890,107.55","442,094,768.28","455,685,009.27","459,966,566.94","285,700,704.48","170,038,590.99","253,687,888.58","328,992,134.58","288,405,085.10","109,959,116.22","70,867,212.40","111,327,776.59","53,284,027.29","88,613,941.38","55,631,775.72","46,075,528.70","39,990,270.87","35,138,103.65","30,948,041.02","67,278,025.64","56,392,293.50"
