科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"57,000.00",,,,,,,,,"19,080.00"
筹资活动产生的现金流量净额,"10,516,805.01","1,847,330.12","-2,245,047.96","41,294,061.08","52,342,677.44","277,157,870.58","-15,242,206.09","-2,981,369.10","8,417,439.55","-1,308,061.49","-2,599,140.75","-18,186,990.60"
处置子公司及其他营业单位收到的现金净额,,,,,,,,"1,341,009.78","1,341,009.78","2,650,409.78",,
四、汇率变动对现金的影响,"-35,131.97",,"29,128.63","-76,462.89","104,065.55",-365.35,,"-42,430.87","-58,229.28","-94,683.13",,"-2,554.92"
收到其他与投资活动有关的现金,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,,,"57,000.00",,,,"2,003,912.38","185,464,050.92","470,049,927.53","718,187,954.68","243,079,416.35","482,347,913.77"
五、现金及现金等价物净增加额,"262,997.77","6,042,412.03","-515,016.32","-1,906,071.29","-38,055,761.82","42,100,478.05","-59,275,111.99","-66,500,019.22","-82,583,227.42","-80,595,432.26","5,015,949.49","15,374,137.54"
购建固定资产、无形资产和其他长期资产支付的现金,"22,705,629.93","7,865,484.53","18,043,337.07","27,920,316.08","41,717,990.42","56,506,995.11","6,613,688.20","10,126,706.24","12,192,932.49","15,759,040.13","4,000,804.00","4,974,513.61"
期初现金及现金等价物余额,"47,830,860.81","48,093,858.58","54,136,270.61","53,621,254.29","53,621,254.29","53,621,254.29","95,721,732.34","95,721,732.34","95,721,732.34","95,721,732.34","15,126,300.08","15,126,300.08"
投资支付的现金,,,,,,"157,000,000.00",,"160,000,000.00","454,440,000.00","717,033,550.00","204,900,000.00","392,700,150.00"
期末现金及现金等价物余额,"48,093,858.58","54,136,270.61","53,621,254.29","51,715,183.00","15,565,492.47","95,721,732.34","36,446,620.35","29,221,713.12","13,138,504.92","15,126,300.08","20,142,249.57","30,500,437.62"
