科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"77,685,525.33","111,199,657.49","96,115,531.05","125,735,039.24","66,353,138.14","101,694,302.75","136,291,309.38","29,931,862.80","84,761,173.97","126,563,382.15","172,787,373.74","48,094,615.11","103,493,492.88","155,951,647.66","224,842,911.22","57,247,229.00","117,710,972.35","183,652,959.47","264,837,781.26","85,590,787.05","158,749,436.48","237,965,866.63","320,156,064.43"
取得借款收到的现金,,"87,343,553.63","50,800,000.00","55,800,000.00","69,700,000.00","74,700,000.00","104,600,000.00","19,900,000.00","19,900,000.00","19,900,000.00","19,900,000.00",,,"12,508,509.49",,,,,,,,,
支付的各项税费,"40,005,310.90","47,147,642.83","40,217,261.04","54,954,174.49","30,778,123.71","49,445,674.01","67,971,564.26","12,814,701.89","27,649,419.68","52,350,381.46","72,462,093.10","21,381,806.74","41,228,956.06","74,239,955.36","100,571,814.09","12,545,143.09","45,307,790.88","80,354,742.81","113,665,761.01","21,513,297.37","60,692,717.46","103,168,601.37","142,256,431.95"
收到其他与筹资活动有关的现金,"5,090,000.00",,,,,,,,,,,,,,,"982,061.35",,"982,061.35",,,,,
支付其他与经营活动有关的现金,"41,182,197.90","41,290,001.74","39,432,096.35","53,601,031.67","22,846,332.06","43,925,673.30","69,482,796.63","17,603,669.69","38,215,672.40","60,999,583.77","66,364,015.73","22,918,025.57","42,617,652.29","68,931,282.68","71,289,821.57","26,043,989.41","54,790,281.99","89,866,711.89","104,122,745.69","28,100,576.26","65,791,814.34","102,060,539.41","114,918,045.74"
筹资活动现金流入小计,"5,090,000.00","87,343,553.63","50,800,000.00","55,800,000.00","69,700,000.00","74,700,000.00","104,600,000.00","395,903,200.00","395,903,200.00","395,903,200.00","436,311,680.00",,,"12,508,509.49","5,275,361.00","496,499,925.60","496,499,925.60","496,499,925.60","494,909,604.25",,,"39,672,880.00","39,672,880.00"
经营活动现金流出小计,"401,385,957.03","575,277,816.42","440,773,209.05","589,299,124.42","324,626,871.58","514,732,025.32","727,269,003.62","170,057,177.70","387,728,784.63","558,106,081.14","862,390,805.13","158,850,142.86","422,811,621.71","726,073,891.77","1,029,045,277.25","245,554,029.89","531,435,622.94","837,079,456.91","1,185,753,011.55","322,364,118.32","651,446,191.51","1,094,600,383.17","1,104,247,906.22"
偿还债务支付的现金,"5,000,000.00","30,143,553.63","87,200,000.00","97,100,000.00","80,600,000.00","80,600,000.00","85,600,000.00","20,000,000.00","54,800,000.00","54,800,000.00","54,800,000.00",,,,,,,,,,,,
经营活动产生的现金流量净额,"47,293,078.76","20,658,680.60","61,197,314.57","88,727,801.89","40,602,763.26","70,875,939.66","45,687,229.84","19,040,987.41","35,320,538.22","50,270,926.16","83,596,292.16","29,749,588.05","133,839,026.58","159,871,956.42","167,681,178.68","22,822,811.98","93,101,110.56","141,608,615.31","222,452,684.90","31,390,584.94","150,043,512.41","159,771,876.58","171,301,937.35"
分配股利、利润或偿还利息支付的现金,"57,717.62","32,487,059.14","5,137,539.37","5,581,339.56","710,877.74","1,349,837.07","1,889,223.94","671,370.00","69,948,152.51","69,948,152.51","69,656,012.11",,"30,189,547.50","30,189,547.50","30,315,838.01","306,831.00","63,986,891.00","63,986,891.00","64,746,523.75",,"102,700,859.20","102,700,859.20","104,150,295.25"
收回投资收到的现金,"10,000,000.00",,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,"174,225.00",,"174,225.00",,,,,
取得投资收益收到的现金,"156,986.30",,,,,,,,,,"5,341,727.63",,"705,677.32","1,623,442.36","5,508,805.32","983,619.87","1,464,369.87","1,464,369.87","8,597,458.92","5,561,027.40","10,587,040.81","15,962,095.61","22,920,588.77"
筹资活动现金流出小计,"5,057,717.62","62,630,612.77","92,337,539.37","102,681,339.56","81,310,877.74","81,949,837.07","87,489,223.94","20,671,370.00","124,748,152.51","124,748,152.51","124,456,012.11",,"30,189,547.50","30,189,547.50","30,315,838.01","481,056.00","63,986,891.00","64,161,116.00","64,746,523.75",,"102,700,859.20","102,700,859.20","104,150,295.25"
处置固定资产、无形资产和其他长期资产收回的现金净额,"98,700.00","16,267.96",-483.15,"171,687.40","78,980.78","78,980.77","79,630.78",,"130,442.31","142,442.31","140,599.12",,,"18,000.00","161,296.62",,"116,300.00","8,119,300.00","14,636,159.34","8,000.00","188,250.00","189,050.00","557,507.36"
筹资活动产生的现金流量净额,"32,282.38","24,712,940.86","-41,537,539.37","-46,881,339.56","-11,610,877.74","-7,249,837.07","17,110,776.06","375,231,830.00","271,155,047.49","271,155,047.49","311,855,667.89",,"-30,189,547.50","-17,681,038.01","-25,040,477.01","496,018,869.60","432,513,034.60","432,338,809.60","430,163,080.50",,"-102,700,859.20","-63,027,979.20","-64,477,415.25"
处置子公司及其他营业单位收到的现金净额,"88,770.06",,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-102,108.26","-368,144.09","6,556.85","-53,672.47","2,718.10","42,124.80","31,430.55","-5,367.24","-32,208.92","-87,188.40","-316,854.23","-201,206.75","-63,350.28","367,822.30","602,952.00","2,976.55","155,883.65","225,251.38","1,059,063.38","-28,342.25","-395,298.66","-626,761.73","-810,163.93"
收到其他与投资活动有关的现金,,,,,,,"28,270,000.00",,,,,,"140,000,000.00","213,000,000.00","653,000,000.00","90,000,000.00","240,000,000.00","240,000,000.00","640,000,000.00","400,000,000.00","870,000,000.00","1,270,000,000.00","1,690,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"10,344,456.36","16,267.96",-483.15,"171,687.40","78,980.78","78,980.77","28,349,630.78",,"130,442.31","142,442.31","5,482,326.75",,"140,705,677.32","214,641,442.36","658,670,101.94","90,983,619.87","241,580,669.87","249,583,669.87","663,233,618.26","405,569,027.40","880,775,290.81","1,286,151,145.61","1,713,478,096.13"
五、现金及现金等价物净增加额,"-9,623,134.33","-12,146,659.95","-3,658,797.13","16,322,849.31","-22,845,157.43","-31,510,414.70","-14,986,245.88","377,369,267.11","120,477,688.19","110,878,810.31","175,757,935.57","-7,534,648.80","-38,175,603.84","-40,657,729.87","-1,674,407.55","394,148,525.17","115,395,460.44","-101,675,822.40","-22,041,454.39","7,083,383.39","17,399,658.74","-55,046,977.48","-71,062,022.81"
购建固定资产、无形资产和其他长期资产支付的现金,"67,190,843.57","57,166,405.28","23,324,646.03","25,641,627.95","51,918,741.83","95,257,622.86","106,165,313.11","16,898,183.06","26,096,130.91","48,502,417.25","82,759,497.00","37,083,030.10","102,467,409.96","143,457,912.94","199,188,163.16","65,679,752.83","101,955,238.24","145,432,168.56","156,849,901.43","49,847,886.70","70,322,986.62","116,115,258.74","130,474,533.34"
期初现金及现金等价物余额,"63,307,312.54","53,684,178.21","41,537,518.26","41,537,518.26","57,860,367.57","57,860,367.57","57,860,367.57","42,874,121.69","42,874,121.69","42,874,121.69","42,874,121.69","357,174,373.68","218,632,057.26","218,632,057.26","218,632,057.26","216,957,649.71","216,957,649.71","216,957,649.71","216,957,649.71","194,916,195.32","194,916,195.32","196,030,768.94","194,916,195.32"
投资支付的现金,,,,,,,,,"160,000,000.00","162,100,000.00","2,100,000.00",,,"1,400,000.00","1,400,000.00",,,,"2,100,000.00",,,,
期末现金及现金等价物余额,"53,684,178.21","41,537,518.26","37,878,721.13","57,860,367.57","35,015,210.14","26,349,952.87","42,874,121.69","420,243,388.80","163,351,809.88","153,752,932.00","218,632,057.26","349,639,724.88","180,456,453.42","177,974,327.39","216,957,649.71","611,106,174.88","332,353,110.15","115,281,827.31","194,916,195.32","201,999,578.71","212,315,854.06","140,983,791.46","123,854,172.51"
