科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"2,858,014.12","5,136,791.10","6,107,928.62","2,472,739.58","3,773,113.16","4,433,596.15","-66,506.61","1,101,846.38","3,486,710.49","5,010,030.51","6,061,190.44","14,641,758.28","23,746,600.31","41,642,665.97","19,062,962.76","42,517,772.17","75,402,298.11","110,057,656.45","21,537,400.16","33,290,790.00","35,846,030.22","65,295,025.91","15,608,523.52"
三、利润总额,"52,436,936.99","90,129,051.68","114,921,827.80","77,007,534.78","107,486,402.16","138,619,987.70","32,170,846.07","52,851,301.22","82,795,751.68","131,793,104.68","44,459,127.12","98,065,288.43","149,712,881.17","209,577,828.75","88,521,974.80","194,981,676.07","258,599,778.62","323,280,908.55","31,764,610.18","93,209,285.56","169,736,851.07","156,540,296.99","35,871,936.50"
资产减值损失,"1,125,420.51","4,623,666.28","5,156,336.57","3,677,266.74","4,183,812.09","5,367,837.83","1,053,928.62","-3,960,487.65","2,254,176.76","8,809,952.60","444,304.51","6,895,606.24","7,322,673.14","13,943,423.02","4,443,148.82","20,598,407.40","31,202,342.42","26,014,196.05","3,529,755.54","15,005,782.46","6,161,585.38","60,266,203.73","4,361,187.11"
减:所得税,"7,743,756.31","13,510,154.73","17,217,559.41","11,654,999.62","16,056,609.16","21,146,607.03","4,865,458.41","8,482,742.96","13,637,031.73","24,088,710.20","8,167,857.91","17,454,006.78","26,348,512.63","44,479,812.26","16,636,818.41","37,634,934.04","47,313,494.79","61,568,036.30","10,596,173.64","24,772,208.05","26,982,212.73","25,975,027.70","8,311,347.52"
加:公允价值变动净收益,,,,,,"188,446.04","-287,562.11","-188,446.04","-188,446.04","-188,446.04",,,,"-30,356.40","30,356.40","30,356.40","30,356.40","30,356.40",,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,"-169,685.66","-566,916.84","-885,079.67","-136,219.34","-2,289,236.20","-6,418,387.57","-12,263,382.50","-3,711,840.62","-2,952,177.31","-2,248,097.13","-4,834,930.76","-1,707,260.31","28,413,117.83","24,407,720.05","23,574,799.51","150,698.99","-1,016,409.48","16,078,216.55","11,673,407.48","-2,629,465.47"
四、净利润,"44,693,180.68","76,618,896.95","97,704,268.39","65,352,535.16","91,429,793.00","117,473,380.67","27,305,387.66","44,368,558.26","69,158,719.95","107,704,394.48","36,291,269.21","80,611,281.65","123,364,368.54","165,098,016.49","71,885,156.39","157,346,742.03","211,286,283.83","261,712,872.25","21,168,436.54","68,437,077.51","142,754,638.34","130,565,269.29","27,560,588.98"
其中:对联营企业和合营企业的投资权益,,,,"-169,685.66","-566,916.84","-885,079.67","-265,660.25","-2,194,880.45","-6,324,031.82","-12,226,945.40","-3,725,758.15","-2,977,608.54","-3,265,347.62","-6,279,085.91","-2,602,958.75","6,675,418.93","4,072,369.36","3,815,445.63","806,749.89","-728,572.78","-2,634,958.30","-3,941,357.62","-2,629,465.47"
归属于母公司所有者的净利润,"44,693,180.68","76,618,896.95","97,704,268.39","65,352,535.16","91,429,793.00","117,473,380.67","27,303,479.14","44,363,220.06","69,167,362.95","107,689,907.69","36,395,017.73","81,136,349.86","124,198,630.61","165,164,472.44","72,913,135.54","153,861,651.46","207,909,202.96","258,572,741.72","22,301,828.68","66,367,863.50","139,825,589.61","125,743,795.76","27,845,997.71"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,"1,908.52","5,338.20","-8,643.00","14,486.79","-103,748.52","-525,068.21","-834,262.07","-66,455.95","-1,027,979.15","3,485,090.57","3,377,080.87","3,140,130.53","-1,133,392.14","2,069,214.01","2,929,048.73","4,821,473.53","-285,408.73"
