科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
长期股权投资,"60,156,600.62","53,939,811.25","37,668,284.55","41,404,063.05","41,412,063.05","43,354,063.02","41,404,063.05","4,050,000.00","4,050,000.00","4,050,000.00","4,050,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00",,,,,,"35,221,058.59","34,913,826.55","35,108,605.72","56,427,539.48","56,600,598.03","590,056,415.24","605,999,084.43"
专项应付款,"49,000,000.00","49,000,000.00","49,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,"30,104,157.07","29,791,539.82","29,478,922.57",,,,,,,,,,,,,,,,,,,,,,,,,"14,169,661.79","13,987,260.05","13,764,362.79","13,622,456.57","13,440,054.83","13,217,157.57","13,034,755.83","12,852,354.09","12,710,447.87","12,528,046.13",,,"184,501,128.93","183,091,468.71","181,681,808.50","180,272,148.29"
预计负债,"169,355,782.40","169,355,782.40","169,355,782.40","298,339,978.46","312,154,978.46","298,339,978.46","308,339,978.46","464,404,972.23","464,404,972.23","464,404,972.23","466,838,357.53","270,983,060.81","270,983,060.81","270,983,060.81","433,889.14",,,"2,650,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"34,307,967.87","32,058,789.83","27,941,854.51","46,083,987.92","42,937,222.03","39,232,384.26","37,363,181.31","40,134,852.82","39,472,176.52","38,942,753.17","38,555,937.46","38,545,298.14","38,308,735.87","37,957,095.91","38,497,283.12","36,311,608.55","35,752,094.93","35,347,787.90","36,738,871.02","36,809,745.26","38,069,072.27","37,557,986.85","37,090,045.41","72,142,264.46","71,394,078.34","72,841,877.38","71,164,224.30","54,848,243.91","54,028,420.40","53,723,226.89","58,303,594.52","58,731,315.12","58,112,363.49","56,956,951.08","56,834,156.44","55,791,316.08","461,533,537.14","402,022,178.46","404,724,377.53","214,139,948.08","203,674,390.06","199,595,587.04","194,399,783.21"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"204,785,012.55","162,072,095.72","157,311,478.40","131,798,035.36","135,420,658.14","121,339,530.17","95,030,009.33"
在建工程,,,,"160,000.00","160,000.00","176,504.00","176,504.00","160,000.00","160,000.00","160,000.00","188,996.00","240,019.14","160,000.00","160,000.00","160,000.00",,,"5,492,558.00","7,199,924.00","11,614,248.50","13,745,274.50","18,776,234.14","25,132,949.87",,"20,600.00","20,600.00","20,600.00",,,,,,,"22,186.00",,,,,,"69,417.48",,,
其他非流动负债,,,,,,,,,,,,"2,450,000.00","1,950,000.00",,,,"2,650,000.00",,"2,650,000.00","1,930,000.00","1,930,000.00","1,930,000.00","1,930,000.00","1,620,000.00",,"1,620,000.00","1,620,000.00","1,070,000.00","1,082,500.01",,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"219,240,599.19","219,330,386.04","219,378,321.17","300,386,590.46","314,284,618.83","300,548,043.19","310,579,447.19","466,706,838.41","466,788,630.62","466,860,128.58","469,291,836.95","274,307,248.05","274,351,898.79","271,801,944.24","1,208,872.99","732,199.15","3,459,730.60","3,425,004.01","3,251,468.67","2,593,831.25","2,537,254.23","2,563,548.20","12,548,824.79","10,539,111.35","8,070,114.77","8,838,330.52","8,012,000.63","6,624,448.96","5,654,796.56","3,867,360.05","3,055,718.08","2,274,325.40","1,463,512.27","730,445.18","390,183.64","145,609.62","2,054,636,522.17","1,659,472,095.72","1,652,511,478.40","1,624,798,035.36","1,476,220,658.14","1,459,939,530.17","1,281,430,009.33"
