科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"6,558,408.79","24,881,396.13","38,484,840.12","12,882,002.56","30,221,057.71","51,098,452.02","81,234,297.34","20,779,066.92","48,299,038.62","79,651,620.98","109,185,192.67","22,218,352.88","61,177,493.05","108,448,654.39","159,522,606.71","25,748,375.89","101,578,958.79","177,088,315.52","252,378,041.68","57,885,223.09","127,320,536.31","198,003,369.27","271,977,648.56","55,216,499.48","130,420,634.22","208,507,189.16","285,199,296.71"
取得借款收到的现金,"15,000,000.00","70,000,000.00","58,000,000.00","40,000,000.00","40,000,000.00","49,900,000.00","89,000,000.00","40,000,000.00","60,000,000.00","130,000,000.00","150,000,000.00","80,000,000.00","160,000,000.00","250,000,000.00","421,329,104.84","98,661,000.00","233,661,000.00","398,661,000.00","506,661,000.00","109,654,088.88","229,654,088.88","369,245,082.27","581,510,582.27","135,000,000.00","353,674,433.59","603,790,244.36","662,466,772.57"
支付的各项税费,"2,205,868.82","5,348,100.31","34,822,389.46","6,705,596.36","14,280,236.16","18,565,241.00","22,028,430.72","293,345.71","2,642,724.19","7,088,480.73","6,909,073.39","2,971,163.46","4,345,025.08","9,905,442.97","9,251,880.69","1,010,013.69","14,030,638.13","31,818,767.60","53,131,602.37","21,137,518.71","49,615,450.39","67,335,058.75","92,829,049.92","23,513,651.74","58,076,979.77","79,202,020.79","99,008,151.09"
收到其他与筹资活动有关的现金,,,,,,,"44,200,879.47","11,179,325.60","26,370,441.83","26,370,441.83","25,557,666.15","2,006,769.30","12,254,989.42","35,641,377.10","28,958,135.49","8,166,228.41","64,680,907.68","79,677,062.92","155,452,752.17","38,540,689.73","62,506,005.72","89,013,499.48","174,397,454.79","57,295,578.86","79,921,310.22","135,519,613.33","284,091,977.96"
支付其他与经营活动有关的现金,"3,210,692.35","22,886,383.18","31,609,293.19","16,801,439.38","11,492,339.38","30,492,654.79","34,682,429.48","6,599,146.28","12,676,569.09","104,838,236.06","44,333,471.63","14,196,689.54","32,674,366.33","31,023,741.32","33,184,230.96","13,805,051.52","31,314,573.56","75,834,056.33","91,944,658.11","27,560,039.11","54,133,534.87","84,288,024.61","86,210,853.87","20,686,573.90","36,201,657.10","48,982,265.59","81,204,264.97"
筹资活动现金流入小计,"15,000,000.00","91,525,000.00","58,000,000.00","534,787,865.66","544,600,000.00","554,500,000.00","637,800,879.47","51,179,325.60","86,370,441.83","168,832,441.83","188,019,666.15","82,006,769.30","172,254,989.42","286,997,767.10","451,643,630.33","106,827,228.41","377,541,910.90","557,538,066.14","741,313,752.17","228,834,778.61","1,125,800,094.60","1,304,196,181.75","1,589,548,037.06","192,295,578.86","433,595,743.81","739,309,857.69","946,558,750.53"
经营活动现金流出小计,"61,070,942.87","192,068,765.94","357,736,004.61","167,382,307.89","243,187,739.19","428,272,604.06","591,131,818.35","155,187,225.12","299,555,267.63","553,435,782.69","650,378,979.58","167,043,359.92","374,842,553.51","570,003,970.72","773,401,833.67","70,574,971.43","461,472,135.61","801,586,877.08","1,162,016,613.31","294,796,305.45","716,213,928.42","1,071,302,433.91","1,547,809,095.49","337,741,462.00","731,329,682.22","1,104,528,473.46","1,566,174,549.26"
偿还债务支付的现金,"10,000,000.00","9,000,000.00","26,200,000.05","13,400,000.00","66,800,000.04","70,200,000.06","91,600,000.08","33,120,349.86","56,420,349.90","93,220,349.92","76,100,000.08","44,300,000.02","88,600,000.04","132,900,000.06","207,200,000.08","29,899,999.70","124,983,760.47","200,211,208.92","288,074,257.49","85,071,825.56","223,412,506.37","440,624,721.36","585,081,831.76","204,222,076.20","337,447,158.34","540,910,474.21","769,480,327.09"
经营活动产生的现金流量净额,"53,585,791.67","60,649,420.44","49,510,085.82","-20,521,730.03","-28,545,357.81","-31,918,738.69","3,494,625.54","-26,362,782.88","28,643,067.30","52,699,039.17","122,547,228.79","26,342,556.89","51,525,440.43","75,374,446.08","31,891,914.77","21,579,566.85","96,391,156.36","113,262,404.03","144,832,175.82","-65,293,946.30","-90,326,895.48","-52,627,612.38","-3,998,427.24","14,801,254.18","22,792,281.42","25,438,705.81","205,629,012.78"
分配股利、利润或偿还利息支付的现金,"415,050.00","2,471,313.79","6,273,643.89","1,970,996.43","3,958,236.18","23,025,477.71","26,968,949.15","1,326,999.40","4,767,856.53","5,099,708.08","7,910,413.51","3,232,231.14","14,772,453.38","19,933,270.64","20,188,920.61","3,473,144.47","17,128,895.12","24,433,676.21","42,594,612.49","8,147,984.03","24,343,982.50","30,340,089.73","42,273,562.10","7,492,781.94","15,021,636.16","22,248,001.62","26,931,918.19"
收回投资收到的现金,,"100,000.00",,,,,,,,,,,,,,,"1,000,000.00","1,000,000.00","1,000,000.00",,,,,,,"12,000,000.00","12,000,000.00"
支付其他与筹资活动有关的现金,,,,,"3,882,134.34","4,652,515.65","46,809,743.32","4,340,443.75","14,644,362.48","13,552,932.36","25,047,059.57","15,767,048.39","31,475,040.53","43,575,242.39","61,491,216.23","12,363,451.20","72,626,466.69","114,804,224.12","164,880,381.37","44,884,168.32","70,467,658.47","98,641,486.22","214,755,576.62","66,859,455.96","134,110,130.00","201,459,991.76","340,935,833.79"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,"27,923.29","27,923.29","27,923.29",,,,"1,189,015.06","2,855,589.04","5,738,328.77","9,772,862.57","13,016,947.50"
筹资活动现金流出小计,"10,415,050.00","11,471,313.79","32,473,643.94","15,370,996.43","74,640,370.56","97,877,993.42","165,378,692.55","38,787,793.01","75,832,568.91","111,872,990.36","109,057,473.16","63,299,279.55","134,847,493.95","196,408,513.09","288,880,136.92","45,736,595.37","214,739,122.28","339,449,109.25","495,549,251.35","138,103,977.91","318,224,147.34","569,606,297.31","842,110,970.48","278,574,314.10","486,578,924.50","764,618,467.59","1,137,348,079.07"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,"2,630,000.00","2,630,000.00","820,000.00","1,121,396.00","1,166,370.00","1,301,344.00","2,087,344.00","424,974.00","2,488,000.00","3,788,000.00","5,000,000.00",,"426,000.00","437,400.00","751,400.00","165,830.00","1,218,953.09","1,506,171.05","1,514,889.00"
筹资活动产生的现金流量净额,"4,584,950.00","80,053,686.21","25,526,356.06","519,416,869.23","469,959,629.44","456,622,006.58","472,422,186.92","12,391,532.59","10,537,872.92","56,959,451.47","78,962,192.99","18,707,489.75","37,407,495.47","90,589,254.01","162,763,493.41","61,090,633.04","162,802,788.62","218,088,956.89","245,764,500.82","90,730,800.70","807,575,947.26","734,589,884.44","747,437,066.58","-86,278,735.24","-52,983,180.69","-25,308,609.90","-190,789,328.54"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"7,176.92","-33,925.31","-193,505.84","-1,832.49","3,150.74","18,608.18","-17,671.34","-23,132.52","-59,816.60","-74,652.13","-122,750.66","-21,661.77","20,619.52","-1,851.24","-12,204.02","29,305.55","708,724.69","1,361,258.11","3,477,963.67","255,781.48","1,211,046.24","1,623,142.41","3,397,379.51","-411,208.19","-1,074,382.03","-2,405,299.61","-4,265,379.54"
收到其他与投资活动有关的现金,,"36,916,299.38","33,639,770.83",,"21,110,635.47","21,110,635.47",,,,,"1,000,000.00",,,,"8,000,000.00","4,600,000.00","4,600,000.00","9,700,000.00","22,354,264.80",,"7,694,600.00","15,004,600.00","18,598,700.00","373,070,000.00","774,070,000.00","1,219,070,000.00","1,593,560,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"37,016,299.38","33,639,770.83",,"21,110,635.47","21,110,635.47",,,"2,630,000.00","2,630,000.00","1,820,000.00","1,121,396.00","1,166,370.00","1,301,344.00","10,087,344.00","5,024,974.00","8,115,923.29","14,515,923.29","28,382,188.09",,"8,120,600.00","15,442,000.00","20,539,115.06","376,091,419.04","781,027,281.86","1,242,349,033.62","1,620,091,836.50"
五、现金及现金等价物净增加额,"-230,590.99","26,178,678.02","27,102,085.94","482,893,830.71","296,639,646.80","227,906,615.84","193,919,623.18","-76,902,449.65","-132,283,836.51","-152,342,421.58","-134,463,378.78","10,391,547.75","-23,632,785.03","-25,126,037.31","-67,218,905.27","18,622,826.05","86,667,657.54","64,700,791.25","120,583,254.12","-30,092,085.12","609,308,540.82","539,241,033.46","188,484,607.82","284,952,230.88","1,877,342.61","-32,975,845.68","-26,328,648.86"
购建固定资产、无形资产和其他长期资产支付的现金,"43,778,878.91","119,221,504.13","40,142,045.59","15,999,476.00","152,014,239.19","204,051,723.85","281,979,517.94","62,908,066.84","174,034,960.13","264,556,260.09","337,670,049.90","35,758,233.12","113,752,710.45","192,389,230.16","271,949,453.43","69,101,653.39","144,935,682.28","246,112,497.93","257,258,321.14","55,784,721.00","117,272,157.20","159,786,381.01","165,890,526.09","19,250,498.91","35,884,657.95","65,049,675.60","106,234,790.06"
期初现金及现金等价物余额,"7,900,129.27","7,669,538.28","33,848,216.30","60,950,302.24","60,950,302.24","60,950,302.24","60,950,302.24","254,869,925.42","254,869,925.42","254,869,925.42","254,869,925.42","120,406,546.64","120,406,546.64","120,406,546.64","120,406,546.64","53,187,641.37","53,187,641.37","53,187,641.37","53,187,641.37","173,770,895.49","173,770,895.49","173,770,895.49","173,770,895.49","362,255,503.31","362,255,503.31","362,255,503.31","362,255,503.31"
投资支付的现金,,"100,000.00",,,,,,,,,,,,,,,,,,,,,"12,000,000.00",,,,"10,000,000.00"
期末现金及现金等价物余额,"7,669,538.28","33,848,216.30","60,950,302.24","543,844,132.95","357,589,949.04","288,856,918.08","254,869,925.42","177,967,475.77","122,586,088.91","102,527,503.84","120,406,546.64","130,798,094.39","96,773,761.61","95,280,509.33","53,187,641.37","71,810,467.42","139,855,298.91","117,888,432.62","173,770,895.49","143,678,810.37","783,079,436.31","713,011,928.95","362,255,503.31","647,207,734.19","364,132,845.92","329,279,657.63","335,926,854.45"
