科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
筹资活动现金流入小计,"71,000,000.00","397,000,000.00","797,773,193.45","41,925,000.00","46,825,000.00","739,599,300.00","359,853,641.91","360,853,641.91","685,353,641.91","744,493,641.91","449,258,200.00","1,128,918,000.00"
经营活动现金流出小计,"2,395,134,799.48","2,923,205,392.50","3,135,024,427.21","1,028,091,187.06","1,802,083,483.61","3,660,457,698.86","1,591,325,576.69","2,794,822,107.27","3,934,548,426.75","5,130,083,119.04","1,625,904,261.16","3,092,198,590.82"
偿还债务支付的现金,"186,000,000.00","327,000,000.00","730,000,000.00","17,925,000.00","17,925,000.00","187,925,000.00","18,455,250.00","18,455,250.00","320,455,250.00","325,455,250.00","124,538,250.00","540,311,312.13"
经营活动产生的现金流量净额,"222,208,655.14","315,060,795.58","348,401,505.14","-58,730,914.84","118,412,946.28","445,094,432.39","-308,671,592.55","-300,973,698.90","-277,015,043.25","-46,682,564.51","-210,804,432.34","-510,349,765.10"
分配股利、利润或偿还利息支付的现金,"127,322,484.61","149,343,915.45","186,979,390.18","1,947,614.78","3,709,606.45","7,068,350.17","1,901,137.39","67,690,115.19","76,111,419.44","85,238,944.44","4,844,796.53","93,879,860.10"
收回投资收到的现金,,,,,,,,,,"1,336,990,000.00","20,000,000.00","20,000,000.00"
支付其他与筹资活动有关的现金,"2,314,269.00","20,459,193.45","24,000,000.00","20,000,000.00","24,124,249.51","27,181,941.91","21,000,000.00","22,000,000.00","22,000,000.00","25,500,000.00","44,000,000.00","60,482,400.02"
取得投资收益收到的现金,,,,,,"3,071,798.62",,,"9,662,395.97","12,722,087.64","272,465.75","272,465.75"
筹资活动现金流出小计,"315,636,753.61","496,803,108.90","940,979,390.18","39,872,614.78","45,758,855.96","222,175,292.08","41,356,387.39","108,145,365.19","418,566,669.44","436,194,194.44","173,383,046.53","694,673,572.25"
处置固定资产、无形资产和其他长期资产收回的现金净额,"520,285.89","5,559,468.35","1,268,593.93","74,720.00","101,964.00","824,109.00","695,183.04","742,348.60","1,099,658.60","1,682,118.61","1,120,810.21","1,377,724.22"
筹资活动产生的现金流量净额,"-244,636,753.61","-99,803,108.90","-143,206,196.73","2,052,385.22","1,066,144.04","517,424,007.92","318,497,254.52","252,708,276.72","266,786,972.47","308,299,447.47","275,875,153.47","434,244,427.75"
处置子公司及其他营业单位收到的现金净额,,,,,,"5,086,972.11",,,"350,000.00","350,000.00",,"-1,846.04"
四、汇率变动对现金的影响,"9,584.29","-597,234.74","-591,471.80","734,189.65","1,026,482.48","1,133,467.17","427,357.01","1,301,745.98","1,325,397.72","887,417.78","-545,812.11","-1,559,151.78"
收到其他与投资活动有关的现金,,,,,,"309,000,000.00",,,"706,490,000.00",,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"520,285.89","5,559,468.35","1,268,593.93","74,720.00","101,964.00","317,982,879.73","695,183.04","742,348.60","717,602,054.57","1,351,744,206.25","21,393,275.96","21,648,343.93"
五、现金及现金等价物净增加额,"-47,942,433.44","199,359,353.62","104,751,712.42","-63,114,662.59","107,640,033.31","703,273,898.47","-13,613,791.16","-175,856,441.34","-239,534,039.74","-26,550,721.19","-188,464,203.14","-551,639,278.37"
购建固定资产、无形资产和其他长期资产支付的现金,"26,044,205.15","19,551,886.67","70,120,718.12","7,245,042.62","12,967,503.49","23,976,289.98","5,561,993.18","19,145,113.74","189,161,249.01","557,791,961.84","274,382,388.12","401,645,608.17"
期初现金及现金等价物余额,"336,846,428.57","288,903,995.13","488,263,348.75","593,015,061.17","593,015,061.17","593,015,061.17","1,297,288,959.64","1,296,288,959.64","1,296,288,959.64","1,296,288,959.64","1,269,738,238.45","1,269,738,238.45"
投资支付的现金,,"69,680.00","31,000,000.00",,,,,,,"1,083,009,112.38",,
期末现金及现金等价物余额,"288,903,995.13","488,263,348.75","593,015,061.17","529,900,398.58","700,655,094.48","1,296,288,959.64","1,283,675,168.48","1,120,432,518.30","1,056,754,919.90","1,269,738,238.45","1,081,274,035.31","718,098,960.08"
