科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付的各项税费,"230,999,615.97","265,074,729.43","287,817,900.77","56,285,515.31","210,846,923.21","276,047,386.62","430,104,874.92","127,377,595.78","303,274,280.27","351,211,921.33","509,181,195.45","102,021,384.46","229,268,808.45","349,451,564.20"
收到其他与筹资活动有关的现金,,,,,,,"107,513,537.33",,,"3,151,667.17","4,943,173.80","15,458.93","107,235.65","569,833.30"
支付其他与经营活动有关的现金,"111,981,309.74","128,026,578.26","139,051,533.02","42,661,375.29","112,919,116.33","356,943,766.42","806,331,467.79","173,620,160.15","286,140,775.27","388,616,236.94","647,890,145.01","116,824,700.96","280,042,437.68","499,290,819.97"
筹资活动现金流入小计,"346,037,476.34","968,000,000.00","800,000,000.00","120,000,000.00","2,361,066,800.00","2,361,066,800.00","2,785,199,287.35",,"1,230,000,000.00","1,438,451,667.17","1,640,243,173.80","12,615,458.93","514,707,235.65","1,024,169,833.30"
经营活动现金流出小计,"1,133,300,494.51","1,005,815,344.22","954,105,855.59","314,421,100.98","719,966,300.99","1,294,200,237.10","2,343,513,180.85","699,674,449.93","1,318,201,884.59","1,707,144,220.76","2,392,080,676.53","440,306,827.92","929,124,485.33","1,660,519,656.72"
偿还债务支付的现金,"166,700,000.00","415,000,000.00","1,115,000,000.00",,"670,000,000.00","970,000,000.00","970,000,000.00",,"932,300,000.00","932,300,000.00","1,232,300,000.00","300,000,000.00","1,032,000,000.00","1,240,000,000.00"
经营活动产生的现金流量净额,"154,247,334.50","174,683,626.39","386,323,632.48","-114,886,757.54","-163,538,395.32","-355,474,709.74","-323,895,033.93","-284,338,567.63","-315,774,581.17","-228,996,852.48","15,825,550.53","95,253,465.76","243,259,689.21","268,875,172.16"
分配股利、利润或偿还利息支付的现金,"25,205,579.01","43,463,026.60","101,300,500.07","212,298,802.80","225,600,786.83","238,970,027.82","248,390,222.27","9,863,388.89","234,004,448.23","243,903,931.56","265,182,287.92","12,405,383.63","177,890,863.57","189,863,030.24"
收回投资收到的现金,,,,,,,,,,,"986,159,250.00","396,000,000.00","1,257,500,000.00","457,500,000.00"
支付其他与筹资活动有关的现金,,,,,"4,255,915.90","4,255,915.90","10,734,500.00",,"1,871,204.59","1,871,324.59","526,417.09",600.00,"135,265.37","135,265.37"
取得投资收益收到的现金,"3,500,000.00","4,000,000.00","4,000,000.00",,,,,,,,"9,532,467.27","4,688,285.23","5,693,682.57","8,688,285.23"
筹资活动现金流出小计,"191,905,579.01","458,463,026.60","1,216,300,500.07","212,298,802.80","899,856,702.73","1,213,225,943.72","1,229,124,722.27","9,863,388.89","1,168,175,652.82","1,178,075,256.15","1,498,008,705.01","312,405,983.63","1,210,026,128.94","1,429,998,295.61"
处置固定资产、无形资产和其他长期资产收回的现金净额,"120,300.85","82,350.00","6,257,949.82",,"199,600.00","294,078.00","420,373.00",100.00,812.82,"7,512.82","427,680.21",200.00,"136,741.92","507,992.69"
筹资活动产生的现金流量净额,"154,131,897.33","509,536,973.40","-416,300,500.07","-92,298,802.80","1,461,210,097.27","1,147,840,856.28","1,556,074,565.08","-9,863,388.89","61,824,347.18","260,376,411.02","142,234,468.79","-299,790,524.70","-695,318,893.29","-405,828,462.31"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,"28,761,555.57",,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"36,682,029.28","29,980,000.00",,,,,,"243,000,000.00","595,784,358.78","742,816,294.55",,,"264,775.86","264,775.86"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,
投资活动现金流入小计,"40,302,330.13","34,062,350.00","10,257,949.82",,"199,600.00","294,078.00","420,373.00","243,000,100.00","595,785,171.60","742,823,807.37","1,024,880,953.05","400,688,485.23","1,263,595,200.35","466,961,053.78"
五、现金及现金等价物净增加额,"69,637,369.33","512,875,196.84","-99,572,025.80","-218,682,506.67","1,276,688,582.51","728,443,834.98","783,084,846.54","-229,638,313.39","-105,351,598.90","9,017,885.55","-146,500,275.69","164,061,817.53","-119,385,504.73","-9,194,331.04"
购建固定资产、无形资产和其他长期资产支付的现金,"233,092,188.78","168,725,723.67","79,853,108.03","11,496,946.33","21,182,719.44","55,018,609.19","69,961,019.16","18,751,396.87","82,489,571.27","150,488,515.12","318,744,282.82","32,089,608.76","130,194,137.00","339,202,094.67"
期初现金及现金等价物余额,"52,325,802.93","121,963,172.26","634,838,369.10","529,306,146.68","535,266,343.30","535,266,343.30","535,266,343.30","1,318,351,189.84","1,318,351,189.84","1,318,351,189.84","1,318,351,189.84","1,171,850,914.15","1,171,850,914.15","1,171,850,914.15"
投资支付的现金,"32,344,894.12",,,,,"9,197,780.37",,"1,685,060.00",,,"1,009,000,000.00",,"800,727,364.00",
期末现金及现金等价物余额,"121,963,172.26","634,838,369.10","535,266,343.30","310,623,640.01","1,811,954,925.81","1,263,710,178.28","1,318,351,189.84","1,088,712,876.45","1,212,999,590.94","1,327,369,075.39","1,171,850,914.15","1,335,912,731.68","1,052,465,409.42","1,162,656,583.11"
