科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
筹资活动现金流入小计,"335,371,155.00",,"618,416,200.00","306,016,000.00","760,914,000.00","736,492,550.58","972,959,279.50","1,055,353,157.54","1,488,486,510.97","190,157,388.78","585,730,257.59","730,716,049.77","934,490,000.00","448,032,939.19","780,365,769.77","1,437,552,625.46","1,966,223,662.58","636,483,736.46","1,392,641,357.15","2,257,113,390.88","2,886,640,000.00"
经营活动现金流出小计,"891,447,285.49","885,424,500.93","990,371,052.91","509,155,522.52","1,044,252,593.90","306,907,731.17","591,948,088.54","868,254,141.17","1,115,934,141.28","271,992,681.38","532,472,783.53","798,870,956.29","1,074,079,118.61","314,160,310.83","578,432,985.19","848,346,892.39","1,139,527,919.49","358,569,808.86","653,543,454.28","953,150,246.16","1,228,248,847.44"
偿还债务支付的现金,"286,658,704.46","74,274,900.00","618,416,200.00","337,456,000.00","760,914,223.49","151,539,888.15","388,362,784.63","501,544,840.01","945,701,533.00","170,610,868.06","507,083,595.67","656,272,466.23","899,449,370.21","359,448,425.76","669,706,951.09","1,327,298,859.01","1,851,528,000.00","595,674,127.05","1,340,878,491.58","2,167,979,981.13","2,808,939,000.00"
经营活动产生的现金流量净额,"108,616,826.95","97,739,116.35","43,255,775.94","-36,705,847.27","42,054,539.10","-77,477,706.11","-87,744,690.00","-85,940,533.01","-889,568.24","-38,711,693.46","-9,951,847.00","47,363,689.66","125,748,769.56","-70,400,284.96","-49,886,779.64","6,322,292.11","102,346,303.61","-51,645,917.42","26,603,361.91","88,097,922.79","225,237,074.35"
分配股利、利润或偿还利息支付的现金,"19,370,307.54","1,717,126.10","1,306,326.65","640,462.95","634,149.94","266,568.27","9,223,194.57","36,252,348.67","36,807,763.52","201,991.48","30,994,662.69","31,504,674.59","32,927,186.00","415,161.43","14,357,796.27","22,899,672.83","20,990,842.22","558,651.83","14,364,631.87","15,050,054.37","12,685,186.97"
收回投资收到的现金,"3,778,326.10",,,,,,,,,"32,984,159.81",,,"586,968.78",,,,,,,,
支付其他与筹资活动有关的现金,"10,095,453.26","6,900,000.00","3,400,000.00","700,000.00","3,400,000.00","10,544,641.24","12,745,297.59","12,745,297.59","10,334,392.34",,,,,,,,,,"40,861,800.00","41,211,800.00","59,147,800.00"
取得投资收益收到的现金,"136,005.55","595,722.22","193,750.00",,,,,,"38,992.35",,,,"2,714,011.96",,,,"5,663,845.15",,,,"11,077,039.11"
筹资活动现金流出小计,"316,124,465.26","82,892,026.10","623,122,526.65","338,796,462.95","764,948,373.43","162,351,097.66","410,331,276.79","550,542,486.27","992,843,688.86","170,812,859.54","538,078,258.36","687,777,140.82","932,376,556.21","359,863,587.19","684,064,747.36","1,350,198,531.84","1,872,518,842.22","596,232,778.88","1,396,104,923.45","2,224,241,835.50","2,880,771,986.97"
处置固定资产、无形资产和其他长期资产收回的现金净额,"10,925.00","15,015.00","96,585.00","16,000.00","16,530.00",,"2,900.00","20,250.80","17,130.80","1,000.00","29,730.00","29,730.00","301,885.38",,,"76,272.93","78,482.00","69,000.00","69,000.00","69,000.00","88,000.00"
筹资活动产生的现金流量净额,"19,246,689.74","-82,892,026.10","-4,706,326.65","-32,780,462.95","-4,034,373.43","574,141,452.92","562,628,002.71","504,810,671.27","495,642,822.11","19,344,529.24","47,651,999.23","42,938,908.95","2,113,443.79","88,169,352.00","96,301,022.41","87,354,093.62","93,704,820.36","40,250,957.58","-3,463,566.30","32,871,555.38","5,868,013.03"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,"-35,524.81",,,,,,,,
四、汇率变动对现金的影响,"-1,900,839.02","-7,215,791.42","4,485,367.88","-6,167,654.49","-8,078,960.43","-3,217,552.74","3,353,551.64","3,052,213.54","-5,897,923.99","2,003,109.32","2,835,558.81","3,702,672.28","5,311,166.06","4,081,824.64","9,595,194.78","15,152,904.92","5,105,254.53","7,615,846.35","8,426,614.76","3,149,767.91","257,537.19"
收到其他与投资活动有关的现金,,,,,,330.10,,,,"36,323.51","122,092,452.09","222,592,105.87","388,923,753.64","127,245,032.90","324,777,201.47","545,294,746.14","712,592,950.60","260,520,004.59","540,017,333.85","857,228,210.75","1,226,848,326.24"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"3,925,256.65","610,737.22","290,335.00","16,000.00","16,530.00",330.10,"2,900.00","20,250.80","56,123.15","33,021,483.32","122,122,182.09","222,621,835.87","392,491,094.95","127,245,032.90","324,777,201.47","545,371,019.07","718,335,277.75","260,589,004.59","540,086,333.85","857,297,210.75","1,238,013,365.35"
五、现金及现金等价物净增加额,"84,555,982.29","-2,528,808.57","27,915,947.24","-82,307,122.89","19,937,090.40","491,372,695.81","454,468,375.07","364,297,264.04","425,445,223.28","-54,112,356.81","-169,136,495.65","-280,554,367.22","-249,572,601.53","-24,827,227.39","-102,518,487.94","-176,399,390.80","-195,953,264.18","-18,751,427.05","6,964,334.63","-30,861,485.97","-10,476,542.01"
购建固定资产、无形资产和其他长期资产支付的现金,"10,052,506.43","9,870,844.62","8,638,421.85","6,669,158.18","10,020,644.84","2,073,828.36","7,191,819.54","11,176,994.56","10,832,446.93","10,859,785.23","151,113,683.15","270,108,191.22","305,678,766.33","25,517,227.88","132,761,951.05","196,993,056.90","247,328,920.43","21,661,318.15","40,688,409.59","73,277,942.80","122,852,531.93"
期初现金及现金等价物余额,"220,763,752.06","305,319,734.35","302,790,925.78","330,706,873.02","330,706,873.02","350,643,963.42","350,643,963.42","350,643,963.42","350,643,963.42","776,089,186.70","776,089,186.70","776,089,186.70","776,089,186.70","526,516,585.17","526,516,585.17","526,516,585.17","526,516,585.17","330,563,320.99","330,563,320.99","330,563,320.99","330,563,320.99"
投资支付的现金,,,"2,072,857.80",,,,,,"17,111,171.91",,,,,,,,,"4,900,000.00","4,900,000.00","4,900,000.00","4,900,000.00"
期末现金及现金等价物余额,"305,319,734.35","302,790,925.78","330,706,873.02","248,399,750.13","350,643,963.42","842,016,659.23","805,112,338.49","714,941,227.46","776,089,186.70","721,976,829.89","606,952,691.05","495,534,819.48","526,516,585.17","501,689,357.78","423,998,097.23","350,117,194.37","330,563,320.99","311,811,893.94","337,527,655.62","299,701,835.02","320,086,778.98"
