科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年度,2015年1-6月,2015年度
财务费用,"4,790,438.13","9,729,014.79","10,228,120.87","6,800,239.18","1,559,685.23","-29,360.12","111,149.16","100,530.20","151,330.76","233,631.08","318,419.61","-343,324.51","214,275.16","653,472.22","809,514.08","947,774.72","175,071.68","343,279.06","517,928.34","577,711.40","160,793.73","321,721.54","472,733.31","650,981.68","151,677.37","316,335.88","485,347.60","851,877.37","163,486.46","517,928.88","460,098.54","-48,320.96","420,664.51"
三、利润总额,"-4,670,191.80","314,331,896.66","322,571,174.16","358,841,948.51","-2,457,967.84","-491,737.49","-671,285.34","-396,883.16","-259,210.37","-783,563.31","-401,889.69","-714,875.99","-442,801.07","-314,428.80","-665,523.12","3,169,510.73","-435,618.40","-1,461,163.33","-1,233,766.48","572,583.60","-148,664.71","-702,845.15","-417,236.04","-839,881.95","-202,261.72","-304,368.60","-542,380.44","1,255,341.79","-177,103.22","13,243,695.33","12,957,437.02","-479,444.04","6,943,175.67"
资产减值损失,,,,"-2,318,376.41",,,,"255,560.53",,,,"357,650.03",,,,"1,245,812.41",,,,"2,284,790.75",,,,"209,962.08",,,,"-49,962.08",,,"68,418.53",,"37,213.73"
减:所得税,"3,160.51","3,160.51","3,867.63","51,485,229.69",,133.50,133.50,"2,460,345.17",,"5,640.07","5,640.07","80,545.03",,"3,645.65","3,645.65","729,794.84",,"9,092.90","9,092.90","709,700.99",,"2,487.54","2,487.54","49,824.50",,"3,523.56","3,523.56","338,425.90",,"3,342,357.78","3,297,973.43","2,655.77","1,718,437.51"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,954.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,"1,394,208.00","8,475,297.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、净利润,"-4,672,398.06","314,328,736.15","322,567,306.53","307,356,718.82","-2,457,967.84","-491,870.99","-671,418.84","-2,857,228.33","-259,210.37","-789,203.38","-407,529.76","-795,421.02","-442,801.07","-318,074.45","-669,168.77","2,439,715.89","-435,618.40","-1,470,256.23","-1,242,859.38","-137,117.39","-148,664.71","-705,332.69","-419,723.58","-889,706.45","-202,261.72","-307,892.16","-545,904.00","916,915.89","-177,103.22","9,901,337.55","9,659,463.59","-482,099.81","5,224,738.16"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"-4,672,398.06","314,328,343.30","322,603,593.11","307,304,944.33","-2,418,551.41","-470,526.05","-644,247.68","-2,828,332.57","-257,893.55","-788,755.56","-406,858.67","-768,656.47","-406,704.22","-292,185.97","-606,004.42","2,564,500.63","-429,114.64","-1,459,364.81","-1,221,929.90","97,504.41","-142,246.67","-702,764.94","-390,114.75","-894,188.55","-189,044.48","-278,269.90","-515,692.27","920,958.30","-170,264.95","9,912,048.41","9,647,263.59","-452,623.55","4,780,898.36"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,392.85,"-36,286.58","51,774.49","-39,416.43","-21,344.94","-27,171.16","-28,895.76","-1,316.82",-447.82,-671.09,"-26,764.55","-36,096.85","-25,888.48","-63,164.35","-124,784.74","-6,503.76","-10,891.42","-20,929.48","-234,621.80","-6,418.04","-2,567.75","-29,608.83","4,482.10","-13,217.24","-29,622.26","-30,211.73","-4,042.41","-6,838.27","-10,710.86","12,200.00","-29,476.26","443,839.80"
