科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"34,302,515.50","45,271,750.04",,"66,728,319.12","43,236,718.44","64,247,869.27","85,467,856.22","27,492,412.90","47,953,023.24","73,380,271.37","106,716,955.32","36,428,460.78","65,385,969.77","97,873,430.81","143,286,281.74","53,814,337.89","97,622,459.89","146,364,989.65","221,361,164.35","67,571,627.80","144,024,476.18"
取得借款收到的现金,"118,650,000.00","1,000,000.00",,"171,862,106.88","193,700,000.00","442,862,121.31","613,889,825.78","68,000,000.00","418,100,000.00","678,100,000.00","870,901,570.00","140,000,000.00","213,259,000.00","452,859,000.00","543,259,000.00","651,772,185.00","731,772,185.00","1,078,454,217.11","1,594,181,477.42","885,818,083.45","1,345,425,311.84"
支付的各项税费,"28,525,861.69","37,144,768.51",,"37,077,983.14","14,607,710.24","19,187,092.07","29,684,462.05","10,463,990.43","20,531,518.74","25,309,440.72","42,852,922.42","10,770,321.05","23,463,656.64","29,774,690.75","72,357,395.05","29,358,628.76","49,328,891.27","73,317,830.15","101,654,257.32","33,028,116.55","71,244,739.66"
收到其他与筹资活动有关的现金,,,,,,,,,"49,721,330.26","49,721,330.26",,"348,775,000.00","348,775,000.00","348,775,000.00","2,253,356.33",,,"9,800,000.00",,"1,709.83",
支付其他与经营活动有关的现金,"64,622,603.77","53,816,903.02",,"60,087,252.52","56,823,108.46","118,544,921.17","117,455,795.44","251,317,766.76","215,594,325.63","310,950,524.10","125,262,428.65","121,187,935.21","311,861,283.00","458,478,871.71","169,084,443.36","238,321,577.39","196,291,847.20","387,158,163.72","221,417,645.69","307,696,163.68","311,223,368.43"
筹资活动现金流入小计,"395,853,730.44","3,500,000.00",,"172,562,106.88","193,700,000.00","442,862,121.31","1,319,901,825.78","68,000,000.00","474,821,330.26","734,821,330.26","877,901,570.00","488,775,000.00","671,159,990.00","936,069,990.00","1,039,948,346.33","656,010,985.00","747,373,105.00","1,104,835,137.11","1,629,512,397.42","887,169,793.28","1,348,145,311.84"
经营活动现金流出小计,"436,165,279.47","522,408,840.42",,"609,294,961.56","295,861,553.81","514,769,072.97","656,609,987.93","440,679,294.33","528,290,984.04","767,321,287.11","868,207,114.61","363,658,684.92","680,129,666.53","1,130,147,130.68","1,246,894,122.79","647,883,299.04","902,254,532.41","1,454,878,488.11","1,924,638,429.54","781,925,829.92","1,475,212,140.94"
偿还债务支付的现金,"121,000,000.00","17,650,000.00",,"1,862,106.88","30,000,000.00","120,000,000.00","170,000,000.00","581,751,902.76","581,851,938.43","842,418,468.07","941,989,825.78","280,137,820.00","300,137,820.00","434,143,940.00","399,747,470.00","561,226,478.34","573,356,478.34","720,356,478.34","822,130,000.00","625,890,540.00","768,155,996.88"
经营活动产生的现金流量净额,"-70,260,133.91","-33,758,106.51","-188,671,800.00","-272,179,830.55","-81,738,706.34","-179,333,240.16","-231,425,990.13","-79,202,965.38","-311,881,628.88","-298,756,255.93","-13,000,685.89","-81,044,170.07","-251,277,506.83","-276,692,189.91","-111,058,740.87","-141,385,847.89","-49,385,546.47","-72,857,216.64","101,559,694.65","-137,379,350.96","61,111,770.39"
分配股利、利润或偿还利息支付的现金,"4,104,209.51","546,058.07",,"2,144,861.12","9,209,933.15","16,036,219.46","25,637,399.56","3,221,329.72","6,035,833.60","28,983,623.54","35,458,254.41","5,826,842.60","26,475,850.37","32,382,140.60","51,418,094.73","8,333,768.70","39,295,201.60","53,888,973.76","90,373,470.07","18,879,757.40","62,111,158.65"
收回投资收到的现金,,"70,000,000.00",,,"13,500,000.00","13,500,000.00","13,500,000.00",,,,,,"15,290,498.34","15,290,498.34","20,290,498.34","5,500,000.00","15,000,000.00","26,500,000.00","19,127,377.73","18,000,000.00","52,537,683.11"
支付其他与筹资活动有关的现金,"302,159.88","50,016.37",,"331,305.97","94,888.28","121,647.89","196,968.44","750,000.00","750,000.00","750,000.00","5,903,356.33",,"161,600.00","161,600.00","1,886,000.00",,,,"41,403,624.71",,
取得投资收益收到的现金,,,,,,,,,,,,,,,"174,894.31","34,401.36","56,410.68","93,565.81","609,153.87","72,066.63","577,418.46"
筹资活动现金流出小计,"125,406,369.39","18,246,074.44",,"4,338,273.97","39,304,821.43","136,157,867.35","195,834,368.00","585,723,232.48","588,637,772.03","872,152,091.61","983,351,436.52","285,964,662.60","326,775,270.37","466,687,680.60","453,051,564.73","569,560,247.04","612,651,679.94","774,245,452.10","953,907,094.78","644,770,297.40","830,267,155.53"
处置固定资产、无形资产和其他长期资产收回的现金净额,"4,960.00","7,485.00",,"9,440.00","60,000.00","60,000.00","205,000.00",,,,,,"263,500.00","263,500.00","302,827.29",,,"68,200.00","287,354.80","64,102.56","28,502.56"
筹资活动产生的现金流量净额,"270,447,361.05","-14,746,074.44","89,788,700.00","168,223,832.91","154,395,178.57","306,704,253.96","1,124,067,457.78","-517,723,232.48","-113,816,441.77","-137,330,761.35","-105,449,866.52","202,810,337.40","344,384,719.63","469,382,309.40","586,896,781.60","86,450,737.96","134,721,425.06","330,589,685.01","675,605,302.64","242,399,495.88","517,878,156.31"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,"56,703.30"
四、汇率变动对现金的影响,"-118,607.46","24,148.79",-500.00,"22,817.55","-61,572.67","-61,572.67","296,213.06",,,,"182,951.83",,,,"121,005.18",,,,"5,160.68",,
收到其他与投资活动有关的现金,"410,137.34","13,253,838.34",,"693,667.48","2,598,458.16","2,743,633.78","518,812.13",,,,,,,,"4,405,579.94","23,868,865.57","27,394,410.59","27,377,865.57","165,500,000.00","2,000,000.00","2,176,943.06"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"415,097.34","83,261,323.34",,"703,107.48","16,158,458.16","16,303,633.78","14,223,812.13",,,,,,"15,553,998.34","15,553,998.34","25,173,799.88","29,403,266.93","42,450,821.27","54,039,631.38","185,523,886.40","20,136,169.19","55,377,250.49"
五、现金及现金等价物净增加额,"165,425,175.61","-23,160,877.48","-105,758,100.00","-117,279,439.09","50,697,712.41","24,268,054.72","743,131,039.22","-600,542,160.69","-434,688,959.36","-506,042,504.20","-572,197,315.31","58,386,109.12","6,345,651.64","-29,683,954.84","105,865,819.97","-232,206,895.62","-304,614,006.08","-272,954,110.12","2,855,400.18","-154,323,086.66","3,978,058.82"
购建固定资产、无形资产和其他长期资产支付的现金,"35,058,541.41","54,542,168.66",,"14,049,366.48","17,320,388.29","98,609,763.17","143,295,196.60","3,615,962.83","8,990,888.71","38,875,486.92","108,656,731.49","21,984,643.86","44,333,895.15","122,004,308.32","233,223,261.47","72,205,052.62","143,010,705.94","263,846,208.87","626,369,266.94","202,590,874.20","455,835,957.93"
期初现金及现金等价物余额,"47,049,878.37","212,475,053.98",,"189,314,176.50","72,034,737.41","72,034,737.41","72,034,737.41","815,165,776.63","815,165,776.63","815,165,776.63","815,165,776.63","242,968,461.32","242,968,461.32","256,384,786.43","242,968,461.32","348,834,281.29","348,834,281.29","348,834,281.29","348,834,281.29","351,689,681.47","351,689,681.47"
投资支付的现金,,"3,400,000.00",,,"15,500,000.00","15,500,000.00","15,500,000.00",,,"31,080,000.00","85,713,000.00","41,395,414.35","57,981,664.35","115,923,764.35","137,043,764.35","8,100,000.00","153,020,000.00","184,510,000.00","34,594,800.00","70,383,526.57","65,900,000.00"
期末现金及现金等价物余额,"212,475,053.98","189,314,176.50",,"72,034,737.41","122,732,449.82","96,302,792.13","815,165,776.63","214,623,615.94","380,476,817.27","309,123,272.43","242,968,461.32","301,354,570.44","249,314,112.96","226,700,831.59","348,834,281.29","116,627,385.67","44,220,275.21","75,880,171.17","351,689,681.47","197,366,594.81","355,667,740.29"
