科目,2007年度,2008年1-6月,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"916,028.21","92,032.74","217,592.04","98,264.34","126,356.35","-134,618.43","-110,492.77","-2,824,355.26","-2,909,115.61","-5,221,110.08","-192,978.60","-1,941,815.01","-2,084,743.88","-6,974,587.56","-513,581.68","-1,884,317.29","-2,240,644.32","-7,289,875.75","-1,633,709.57","-2,666,264.17","-3,109,493.88","-6,132,844.95","-1,184,205.61","-2,487,481.74","-5,243,361.74","-5,603,654.08","520,623.20","998,132.82","1,126,525.41","1,714,995.54","-278,302.15","-667,437.96","-1,195,529.71","-735,501.00","-223,030.91","-537,040.60","-627,666.90"
三、利润总额,"29,721,219.84","20,885,300.89","33,606,557.78","20,466,353.80","31,494,374.07","41,669,801.02","11,819,280.65","26,073,260.87","39,580,520.83","49,871,899.18","10,044,062.35","22,956,788.66","37,746,533.96","53,599,739.94","12,728,846.06","35,157,274.55","54,373,096.80","75,311,743.81","15,711,252.67","37,723,505.98","56,702,187.28","78,817,757.21","18,265,613.84","48,351,912.71","71,262,353.74","113,979,123.93","25,994,531.94","67,545,445.56","97,011,388.47","48,004,701.45","25,041,043.19","65,388,181.59","94,981,382.25","22,208,876.53","30,986,658.90","83,203,619.77","120,365,829.27"
资产减值损失,,"981,732.01","453,634.65","258,314.98","509,205.56","-79,909.96","1,077,381.52","1,154,985.57","1,344,300.61","1,099,127.95","606,952.39","718,029.52","1,311,434.02","360,918.66","930,544.74","1,891,182.21","2,530,732.84","1,594,108.05","1,593,085.02","3,055,303.01","3,374,953.07","2,903,401.45","2,155,910.02","2,875,579.65","2,458,277.90","3,107,501.61","1,944,686.65","4,342,041.25","3,404,220.26","62,700,496.53","-89,206.67","1,898,780.85","1,434,501.96","-862,871.12","509,372.10","2,958,953.71","2,843,986.52"
减:所得税,"5,843,586.00","4,285,085.10","4,658,721.40","3,372,650.84","4,683,374.28","6,713,686.41","1,807,147.78","3,481,595.52","5,509,478.79","7,117,700.35","1,435,137.50","3,373,918.72","5,553,003.50","9,387,988.47","1,787,023.87","5,081,732.01","7,883,713.59","12,273,038.24","2,125,141.19","4,978,900.55","7,763,908.57","12,846,036.83","2,416,455.58","6,858,304.98","10,357,466.39","19,814,427.80","3,270,792.43","8,190,181.68","12,453,426.42","17,088,601.79","3,345,575.42","9,567,425.78","13,971,103.46","6,703,790.23","4,568,836.45","11,243,264.94","16,834,841.44"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,"77,098.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"-2,656.40",,,,,,,,"20,137.00","1,357.18",,,,,,,,,"49,408.75","3,022,789.93","3,621,575.03","2,678,581.16",,,,"-187,527.93","-65,760.34","-61,134.11","-341,551.50","-1,054,395.80","-736,780.26","-1,675,733.53","-1,766,851.34","-77,736,048.82","-529,868.73","1,074,132.42","3,012,606.53"
四、净利润,"23,954,732.64","16,600,215.79","28,947,836.38","17,093,702.96","26,810,999.79","34,956,114.61","10,012,132.87","22,591,665.35","34,071,042.04","42,754,198.83","8,608,924.85","19,582,869.94","32,193,530.46","44,211,751.47","10,941,822.19","30,075,542.54","46,489,383.21","63,038,705.57","13,586,111.48","32,744,605.43","48,938,278.71","65,971,720.38","15,849,158.26","41,493,607.73","60,904,887.35","94,164,696.13","22,723,739.51","59,355,263.88","84,557,962.05","30,916,099.66","21,695,467.77","55,820,755.81","81,010,278.79","15,505,086.30","26,417,822.45","71,960,354.83","103,530,987.83"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,"-65,760.34","-61,134.11","-341,551.50","-1,054,395.80","-736,780.26","-1,675,733.53","-1,766,851.34","562,741.73",,"842,910.31","2,464,765.18"
归属于母公司所有者的净利润,"23,954,732.64","16,594,339.32","28,900,522.46","17,001,232.18","26,718,508.28","34,863,244.62","10,017,287.50","22,601,518.71","34,083,087.57","42,772,515.89","8,608,924.85","19,582,869.94","32,193,530.46","44,211,751.47","10,941,822.19","30,075,542.54","46,489,383.21","63,038,705.57","13,586,111.48","32,744,605.43","48,938,278.71","65,971,720.38","15,849,158.26","41,493,607.73","60,904,887.35","86,768,938.23","20,430,232.95","55,527,657.98","78,446,562.40","32,579,244.19","20,514,102.57","56,695,152.67","81,884,675.65","16,379,483.15","26,417,822.45","71,960,354.83","103,530,987.83"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,"5,876.47","47,313.92","92,470.78","92,491.51","92,869.99","-5,154.63","-9,853.36","-12,045.53","-18,317.06",,,,,,,,,,,,,,,,"7,395,757.90","2,293,506.56","3,827,605.90","6,111,399.65","-1,663,144.53","1,181,365.20","-874,396.86","-874,396.86","-874,396.85",,,
