科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
筹资活动现金流入小计,"151,430,000.00","82,400,000.00","110,450,000.00","69,000,000.00",,"547,310,400.00",,,,,,
经营活动现金流出小计,"243,983,539.46","168,130,763.46","259,887,719.48","134,448,845.92",,"294,320,819.71","107,289,966.09","260,605,384.59","319,021,786.80","481,168,801.94","129,552,054.49","268,824,954.73"
偿还债务支付的现金,"100,830,000.00","152,150,000.00","72,250,000.00","78,000,000.00",,"133,800,000.00","65,000,000.00","65,000,000.00","65,000,000.00","65,000,000.00",,
经营活动产生的现金流量净额,"19,872,733.43","114,213,288.77","71,109,393.93","46,067,056.52","59,748,108.35","106,176,020.97","-17,286,727.87","-5,384,199.69","34,260,843.49","57,127,146.07","18,923,831.90","37,085,463.16"
分配股利、利润或偿还利息支付的现金,"29,678,185.67","28,135,634.72","36,651,824.84","43,499,469.64",,"46,796,811.05","2,530.76","54,356,578.18","54,356,578.18","54,356,578.18",,"126,360,000.00"
收回投资收到的现金,,,"1,006,670.00",,,,,"196,067,897.26","405,000,000.00","683,361,075.34","225,000,000.00","518,521,145.20"
支付其他与筹资活动有关的现金,,,,,,"2,949,056.60","8,723,718.04","8,904,198.04","8,904,198.04","9,179,245.27",,
取得投资收益收到的现金,,,,,,,"100,109.59",,"4,243,020.55",,"498,630.14",
筹资活动现金流出小计,"130,508,185.67","180,285,634.72","108,901,824.84","121,499,469.64",,"183,545,867.65","73,726,248.80","128,260,776.22","128,260,776.22","128,535,823.45",,"126,360,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"177,929.79","1,052,109.90","647,148.66","2,581,392.75",,"2,726,480.51",,"364,047.12","364,047.12","685,739.46","6,735.04","15,212.82"
筹资活动产生的现金流量净额,"20,921,814.33","-97,885,634.72","1,548,175.16","-52,499,469.64","-65,762,798.35","363,764,532.35","-73,726,248.80","-128,260,776.22","-128,260,776.22","-128,535,823.45",,"-126,360,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,"-5,845.63","-31,400.34",,,,,,,,,,
收到其他与投资活动有关的现金,,"1,183,814.58",,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"177,929.79","2,235,924.48","1,653,818.66","2,581,392.75",,"2,726,480.51","100,109.59","196,431,944.38","409,607,067.67","684,046,814.80","225,505,365.18","518,536,358.02"
五、现金及现金等价物净增加额,"4,992,662.15","3,543,266.95","33,813,205.60","-29,060,612.53","-38,602,983.71","425,965,459.98","-395,406,209.35","-381,435,658.69","-408,298,722.19","-326,915,874.61","-66,852,775.70","-52,223,060.33"
购建固定资产、无形资产和其他长期资产支付的现金,"35,973,969.77","14,988,911.24","39,498,182.15","25,209,592.16",,"46,701,573.85","14,493,342.27","39,222,627.16","46,525,857.13","79,554,012.03","16,281,972.78","36,484,881.51"
期初现金及现金等价物余额,"5,383,444.22","10,376,106.37","13,919,373.32","47,732,578.92",,"47,732,578.92","473,698,038.90","473,698,038.90","473,698,038.90","473,698,038.90","146,782,164.29","146,782,164.29"
投资支付的现金,,,"1,000,000.00",,,,"290,000,000.00","405,000,000.00","675,000,000.00","860,000,000.00","295,000,000.00","445,000,000.00"
期末现金及现金等价物余额,"10,376,106.37","13,919,373.32","47,732,578.92","18,671,966.39",,"473,698,038.90","78,291,829.55","92,262,380.21","65,399,316.71","146,782,164.29","79,929,388.59","94,559,103.96"
