科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"90,000,000.00","90,000,000.00","110,000,000.00","120,000,000.00","120,000,000.00","118,500,000.00","71,500,000.00","84,000,000.00","84,000,000.00","61,500,000.00","144,909,104.87","103,973,836.00","105,570,213.69","644,400,427.66","712,080,646.82","714,783,116.48","720,131,471.24","793,752,946.82","1,101,556,944.30","1,086,912,560.41","725,981,815.35","774,503,376.40","632,388,158.07","826,780,373.80","706,719,288.08","1,326,311,301.40","1,293,419,082.95","1,455,161,483.31","1,289,450,655.42","738,580,085.97","801,900,494.14","547,786,056.51","847,018,669.53","1,126,124,294.26","1,129,342,843.97","1,452,446,508.33","1,463,817,958.90","1,595,213,187.16","2,469,329,533.43","2,709,848,959.26","2,824,239,248.74","2,470,068,215.58","2,317,122,765.57","2,560,478,916.19"
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,"266,815,455.27","267,079,566.13","186,286,516.31","192,347,982.93","222,874,154.27","286,088,629.12","238,919,280.43","234,043,216.82","258,106,717.90","194,391,927.11","196,216,334.72","184,260,263.80","290,856,759.39","278,718,240.99","244,401,206.32","193,516,913.35","223,783,909.71"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,"997,025,000.00","997,775,000.00","998,525,000.00","999,275,000.00","796,800,000.00","797,649,999.99","798,400,000.00","799,200,000.01","398,533,333.33","599,627,499.99","602,109,999.99","653,605,628.33","520,582,605.04","1,341,943,843.34","1,229,270,143.37","1,185,837,515.08","942,963,333.38",,"150,000,000.00"
流动资产合计,"1,449,647,357.35","2,198,437,348.00","2,464,869,785.64","2,099,172,087.00","2,410,937,793.43","3,037,841,539.86","3,040,745,820.76","2,348,370,951.83","2,543,052,709.31","2,263,380,655.68","4,073,515,048.44","3,933,032,974.07","4,324,662,516.92","4,675,342,578.83","5,767,565,776.93","5,791,263,136.50","8,904,281,857.97","8,253,429,596.66","8,910,744,594.99","9,011,519,003.56","8,698,825,795.76","9,387,434,415.27","9,639,277,791.51","8,752,274,061.24","9,158,653,850.98","9,660,095,172.06","8,792,040,549.47","7,532,002,864.32","7,515,521,471.80","6,445,688,770.98","6,481,900,483.88","5,454,912,340.78","5,630,550,044.79","5,933,522,639.50","6,113,095,728.79","5,411,846,725.58","5,875,090,945.15","5,552,675,793.77","6,741,198,440.92","6,569,075,422.44","6,250,549,780.29","6,064,275,279.16","5,964,342,555.37","5,290,485,706.84"
流动负债合计,"2,303,418,798.52","2,415,382,111.00","2,777,843,295.40","2,952,011,277.00","3,992,176,222.56","4,930,020,739.87","5,805,232,275.25","5,720,004,416.11","5,952,682,716.66","5,474,074,791.95","6,035,788,484.43","5,947,996,668.82","6,010,829,406.00","6,108,466,147.27","7,000,390,098.91","7,443,156,107.29","8,108,531,649.58","10,044,684,639.02","9,642,039,389.14","9,814,919,839.03","10,874,539,688.39","10,959,716,678.98","10,856,153,913.98","11,076,246,297.55","12,353,016,877.95","14,503,035,000.34","14,141,565,938.90","13,812,448,188.97","14,195,247,243.39","12,275,564,034.68","12,426,352,212.20","12,059,385,804.60","12,356,895,237.37","12,936,401,880.31","14,033,364,480.25","13,820,140,738.28","14,445,517,029.78","14,422,777,639.60","16,602,096,790.09","15,726,100,274.78","13,084,007,460.16","12,184,551,432.47","11,331,900,404.21","11,109,460,610.02"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"126,369,313.51","16,150,000.00","16,150,000.00","16,150,000.00","16,150,000.00","16,150,000.00","16,150,000.00","16,150,000.00","16,150,000.00","16,150,000.00","16,150,000.00","16,150,000.00","16,150,000.00","16,150,000.00"
长期借款,"309,000,000.00","289,000,000.00","219,000,000.00","189,000,000.00","229,500,000.00","76,500,000.00","57,500,000.00","15,000,000.00","1,865,000,000.00","435,000,000.00","1,740,000,000.00","1,740,000,000.00","2,130,000,000.00","1,830,000,000.00","2,080,000,000.00","2,080,000,000.00","3,806,600,000.00","4,106,600,000.00","3,698,800,000.00","3,968,800,000.00","4,031,000,000.00","4,921,000,000.00","4,808,200,000.00","4,483,200,000.00","4,495,400,000.00","4,065,400,000.00","3,902,600,000.00","3,797,600,000.00","3,703,500,000.00","3,636,000,000.00","3,378,900,000.00","3,249,400,000.00","3,255,300,000.00","3,220,300,000.00","2,926,200,000.00","2,746,200,000.00","2,702,100,000.00","2,472,100,000.00","2,426,000,000.00","2,981,000,000.00","4,909,700,000.00","5,511,699,999.00","6,138,780,798.00","6,300,494,400.00"
