科目,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
经营活动产生的现金流量净额,"590,230,832.44","-957,155,648.00","-649,288,140.71","1,033,479,002.00","2,620,267,654.00","8,097,204,594.00","-5,245,490,397.00","-7,461,307,636.00","-3,908,996,220.00","-10,485,163,649.00"
分配股利、利润或偿还利息支付的现金,"868,108,881.39","1,035,624,774.00","209,585,922.23","491,320,200.00","1,000,289,872.00","1,141,966,553.00","327,485,253.00","1,290,836,465.00","2,083,984,094.00","2,961,198,369.00"
收回投资收到的现金,"13,743,650.83","13,743,651.00","3,800,000.00","1,850,000.00","4,120,000.00","4,120,000.00",,,,"1,580,000.00"
支付其他与筹资活动有关的现金,"363,713,538.33","2,681,476,522.00","281,531,177.97","2,541,660,948.00","2,789,895,979.00","3,294,852,484.00","143,535,026.00","2,388,639,424.00","2,973,776,848.00","6,706,948,041.00"
取得投资收益收到的现金,"6,255,523.64","6,255,524.00","6,312,176.33","9,312,176.00","9,312,176.00","9,312,177.00","8,206,773.00","11,500,795.00","17,497,359.00","18,164,345.00"
筹资活动现金流出小计,"6,427,542,419.72","14,135,158,405.00","1,062,596,827.48","4,512,515,413.00","11,447,026,656.00","13,417,847,006.00","1,147,320,424.00","6,016,519,833.00","11,077,725,424.00","22,681,305,900.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"485,505.01","721,225.00","43,538.50","536,202.00","918,147.00","2,362,805.00","3,395,612.00","4,363,963.00","48,778,658.00","24,031,568.00"
筹资活动产生的现金流量净额,"2,241,724,602.42","3,032,144,271.00","5,722,047,020.42","5,054,089,267.00","6,544,715,019.00","6,639,201,024.00","6,471,679,576.00","13,704,138,653.00","14,535,245,094.00","18,970,105,657.00"
处置子公司及其他营业单位收到的现金净额,,,,"349,820,000.00","351,724,849.00","1,572,790,730.00",,,,
四、汇率变动对现金的影响,,"-14,501,127.00",,,,"712,882.00",,,,"1,341,036.00"
收到其他与投资活动有关的现金,,"11,676,038,012.00",,"6,884,057,845.00","9,631,370,775.00","45,489,207,025.00",,"23,143,500,320.00","23,892,575,640.00","56,258,812,601.00"
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"20,484,679.48","11,696,758,412.00","10,155,714.83","7,245,576,223.00","9,997,445,947.00","47,077,792,737.00","11,602,385.00","23,159,365,078.00","23,958,851,657.00","56,302,588,514.00"
五、现金及现金等价物净增加额,"-360,536,938.35","1,262,554,777.00","3,755,281,997.21","4,803,928,568.00","10,090,825,956.00","6,029,812,895.00","-1,230,674,909.00","4,703,385,009.00","3,604,636,675.00","8,730,572,342.00"
购建固定资产、无形资产和其他长期资产支付的现金,"2,088,465,084.39","3,202,140,075.00","285,132,597.33","1,667,746,171.00","1,734,951,492.00","2,951,370,684.00","889,020,229.00","4,418,492,155.00","4,980,500,830.00","4,787,409,535.00"
期初现金及现金等价物余额,"4,257,952,444.46","4,257,952,444.00","5,520,507,221.16","5,520,507,221.00","5,520,507,221.00","5,520,507,221.00","11,550,320,116.00","11,550,320,116.00","11,550,320,116.00","11,550,320,116.00"
投资支付的现金,"961,825,000.00","1,220,625,000.00","1,042,500,000.00","1,693,933,821.00","2,206,362,887.00","3,028,648,492.00","1,382,601,401.00","4,592,768,078.00","5,680,905,918.00","7,008,507,232.00"
期末现金及现金等价物余额,"3,897,415,506.11","5,520,507,221.00","9,275,789,218.37","10,324,435,789.00","15,611,333,177.00","11,550,320,116.00","10,319,645,207.00","16,253,705,125.00","15,154,956,791.00","20,280,892,458.00"
