科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
负债合计,"273,888,733.92","252,457,208.39","303,393,084.94","207,019,858.82","209,821,915.61","262,322,879.68","474,016,585.04","372,775,596.99","394,474,235.75"
生产性生物资产,,,,,,,,,
实收资本(或股本),"186,666,666.00","360,000,000.00","360,000,000.00","360,000,000.00","360,000,000.00","405,000,000.00","416,760,300.00","416,760,300.00","416,760,300.00"
油气资产,,,,,,,,,
资本公积,"319,542,363.40","146,209,029.40","146,209,029.40","146,209,029.40","146,209,029.40","301,888,329.40","452,221,187.29","452,221,187.29","477,164,064.16"
无形资产,"27,709,258.57","23,940,743.58","16,440,804.49","13,756,728.02","11,027,576.16","8,848,362.47","8,692,509.57","8,219,011.46","7,473,946.51"
盈余公积,"25,649,188.93","33,628,885.98","46,264,008.94","46,264,008.94","46,264,008.94","46,264,008.94","60,545,747.44","60,545,747.44","60,545,747.44"
开发支出,,,,,,,,,"2,390,112.95"
减:库存股,,,,,,,"153,236,709.00","153,236,709.00","152,636,933.70"
商誉,"8,520,081.59","23,528,884.62","23,528,884.62","31,208,835.09","31,208,835.07","31,208,835.09","31,404,852.49","31,404,852.49","31,404,852.49"
未分配利润,"163,920,625.93","174,136,792.84","257,131,863.75","257,159,959.40","258,029,300.88","239,275,095.40","381,986,961.71","356,902,280.90","286,364,785.26"
长期待摊费用,"5,842,997.64","4,658,900.36","7,563,994.83","6,863,655.25","7,795,607.81","7,600,917.57","6,867,353.43","6,542,844.89","5,887,258.25"
少数股东权益,,,,"4,820,145.97","4,366,592.68","3,637,331.98","12,732,049.45","9,297,655.42","6,755,641.63"
递延所得税资产,"10,470,972.34","15,590,778.29","8,527,651.74","7,600,699.42","7,335,873.27","7,453,159.00","7,781,912.27","8,539,878.28","10,539,033.21"
外币报表折算价差,,,,,,,,,
其他非流动资产,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,
非流动资产合计,"59,333,673.44","86,284,479.49","83,509,806.38","94,259,754.38","104,134,720.61","113,299,302.20","124,849,435.69","138,074,234.94","159,773,388.54"
所有者权益(或股东权益)合计,"695,778,844.26","713,974,708.22","809,604,902.09","814,453,143.71","814,868,931.90","996,064,765.72","1,171,009,536.89","1,142,490,462.05","1,094,953,604.79"
资产总计,"969,667,578.18","966,431,916.61","1,112,997,987.03","1,021,473,002.53","1,024,690,847.51","1,258,387,645.40","1,645,026,121.93","1,515,266,059.04","1,489,427,840.54"
负债和所有者(或股东权益)合计,"969,667,578.18","966,431,916.61","1,112,997,987.03","1,021,473,002.53","1,024,690,847.51","1,258,387,645.40","1,645,026,121.93","1,515,266,059.04","1,489,427,840.54"
