科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,"20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","31,600,000.00","31,600,000.00","31,600,000.00",,"34,000,000.00","30,000,000.00","10,000,000.00",,"12,000,000.00",,,,"12,360,000.00","12,360,000.00","12,360,000.00","52,528,000.00",,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,"3,665,297.88","6,080,288.15","1,638,504.18","834,359.19","1,047,227.42","1,278,856.78","1,025,957.76","937,730.25","7,856,464.92","12,519,859.44","7,725,023.72","7,072,873.35","5,341,348.38","3,434,166.17","1,830,542.71","333,214.94","1,493,241.46","1,743,585.15","1,514,972.01","141,970,602.16","156,926,730.00","140,587,440.52"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"464,384,538.12","502,194,633.77","460,415,186.98","411,510,437.02","445,842,158.12","549,902,974.27","513,829,787.32","448,768,146.09","453,519,980.68","470,981,642.70","465,650,846.09","497,789,149.09","565,150,540.68","609,743,565.42","576,173,114.07","541,619,911.35","617,604,460.99","681,923,200.95","640,251,418.78","632,119,291.30","603,065,766.46","549,274,198.97","618,142,768.86","622,326,933.49","653,467,481.59","683,641,159.57","694,971,207.81","672,996,808.37","837,591,642.84","705,712,459.59","773,220,654.94","803,430,393.68","809,050,724.67","826,016,366.82","821,720,754.61","888,150,212.20","981,681,092.91","989,702,554.71","994,365,709.10","1,228,504,664.13","1,299,949,688.61","1,378,862,893.62","1,384,847,998.32","1,484,830,297.63","1,532,663,378.74"
流动负债合计,"531,728,536.77","568,379,965.05","534,986,315.53","483,348,400.08","530,925,606.02","668,924,795.91","669,910,229.20","608,978,318.16","610,857,743.50","656,991,238.85","628,039,112.80","665,618,417.73","702,195,159.28","735,253,326.29","692,421,630.51","665,897,014.10","724,121,906.93","757,224,345.51","734,770,752.62","699,602,238.42","676,016,146.32","641,965,482.00","638,397,372.45","737,052,457.87","749,906,408.18","789,517,071.91","796,086,317.66","769,967,180.29","420,052,719.23","313,313,368.46","328,698,024.24","449,862,643.65","505,657,629.40","516,446,944.09","427,710,421.54","612,919,027.10","670,738,245.74","727,224,288.74","667,533,215.96","327,257,729.40","422,504,292.32","521,269,577.30","474,365,984.94","527,704,251.45","548,305,218.76"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00"
长期借款,,,,,,,"30,000,000.00","60,000,000.00","109,600,000.00","109,600,000.00","109,600,000.00","89,600,000.00","89,600,000.00","89,600,000.00","89,600,000.00","59,600,000.00","59,600,000.00","59,600,000.00","59,600,000.00","56,000,000.00","56,000,000.00","75,000,000.00","150,000,000.00","116,000,000.00","113,000,000.00","103,000,000.00","108,000,000.00","91,000,000.00",,,"30,000,000.00","56,998,392.33","54,998,392.33","20,000,000.00",,,"50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,,,,
