科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月
支付给职工以及为职工支付的现金,"43,153,255.18","75,695,071.72","106,931,242.74","152,085,621.75","47,278,012.88","84,332,921.68","125,618,208.97","187,262,137.09","45,214,191.13","77,323,981.35","120,671,193.15","176,753,386.44","50,650,190.00","92,036,810.26","142,533,672.70","217,045,867.99","75,261,465.21","121,814,850.44","179,494,951.97","259,287,388.97","73,812,838.02","125,510,334.46","192,177,658.65","268,172,449.14","82,919,761.26","131,897,515.67","193,135,356.24","272,190,345.69","92,115,924.44","164,631,677.45","251,662,004.15","337,992,638.85","118,476,145.39"
取得借款收到的现金,"2,310,000,000.00","1,062,480,000.00","2,262,480,000.00","2,362,480,000.00","1,725,000,000.00","1,725,000,000.00","1,725,000,000.00","1,725,000,000.00",,,"800,000,000.00","1,000,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00","471,800,000.00","15,000,000.00","15,000,000.00","15,000,000.00","76,200,000.00",,"690,427.42",,"73,805,743.70",,"2,847,615,056.87","4,045,250,000.00","4,696,692,176.22",,"1,100,000,000.00","1,833,587,432.82","3,130,587,432.82","440,000,000.00"
支付的各项税费,"34,519,704.38","94,949,276.12","154,998,880.42","168,348,541.20","71,646,745.45","199,121,583.43","270,511,368.84","229,127,432.79","66,154,106.83","145,772,653.87","237,781,835.57","194,360,895.19","61,664,339.01","140,465,976.50","223,850,029.84","250,472,560.52","131,515,460.75","245,351,314.64","323,553,918.46","215,503,424.63","110,182,330.18","270,024,214.53","440,197,858.95","246,988,785.63","61,058,643.30","268,573,849.86","329,496,198.99","359,245,171.17","105,303,171.25","434,139,821.93","477,717,533.95","575,597,956.17","494,344,519.92"
收到其他与筹资活动有关的现金,,,"1,334,826.74",,"369,141.08",,,,,,,,,,"1,300,000,000.00",,,,,,,,,,,,,,,,,,"38,406,650.07"
支付其他与经营活动有关的现金,"47,520,000.00","134,270,177.68","150,025,392.04","97,270,717.26","121,472,271.14","83,669,535.96","300,650,989.75","154,098,560.25","42,080,145.91","7,676,915.92","81,718,220.39","52,114,459.53","38,986,831.02","8,158,035.79","160,500,088.07","96,944,715.93","38,985,809.92","118,650,709.99","179,020,653.63","113,072,541.87","58,820,585.87","10,922,190.29","14,453,474.50","77,510,343.23","134,099,257.13","337,384,491.25","246,581,937.47","132,205,041.39","77,277,726.09","144,904,083.68","168,103,562.20","152,764,919.28","105,533,915.84"
筹资活动现金流入小计,"2,310,000,000.00","2,264,930,000.00","2,266,264,826.74","3,413,529,953.00","1,815,469,141.08","2,221,650,000.00","4,102,050,000.00","4,331,000,000.00",,,"959,670,554.44","1,159,670,554.44","300,000,000.00","1,600,000,000.00","1,600,000,000.00","1,855,291,830.58","715,000,000.00","715,000,000.00","715,000,000.00","776,200,000.00",,"690,427.42",,"73,805,743.70",,"2,847,615,056.87","4,045,250,000.00","4,696,692,176.22",,"2,100,000,000.00","2,833,587,432.82","3,150,587,432.82","478,406,650.07"
经营活动现金流出小计,"266,233,062.30","603,781,946.16","852,050,327.65","1,374,957,163.88","458,461,295.76","944,642,280.88","1,511,950,182.43","1,672,125,689.27","302,249,696.74","718,172,404.89","1,207,702,001.48","1,540,379,219.90","542,133,279.23","837,805,488.84","1,401,918,517.98","1,694,633,945.73","723,462,787.62","1,255,269,104.58","1,697,022,821.72","2,038,751,400.61","746,402,295.09","1,442,791,198.81","2,671,256,022.82","2,871,909,336.42","898,749,806.53","1,833,945,872.28","2,338,754,493.13","3,147,976,002.10","799,113,774.09","1,635,234,282.87","2,746,673,651.84","3,475,410,512.47","1,815,213,753.62"
偿还债务支付的现金,"2,200,000,000.00","2,220,000,000.00","2,310,000,000.00","2,310,000,000.00","1,200,000,000.00","1,300,000,000.00","3,025,000,000.00","3,025,000,000.00",,,"2,000,000,000.00","2,300,000,000.00","500,000,000.00","1,000,000,000.00","1,000,000,000.00","1,000,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00","5,000,000.00","119,800,000.00","119,800,000.00","156,800,000.00",,"1,703,071,001.02","2,700,000,000.00","4,498,803,907.69","700,000,000.00","1,755,709,269.55","2,289,296,702.37","3,274,296,702.37",
经营活动产生的现金流量净额,"61,762,625.48","89,031,840.15","201,582,578.56","549,158,166.02","63,834,505.85","261,581,797.45","71,079,256.79","601,793,642.52","45,604,254.59","272,451,244.96","232,712,482.70","715,222,482.79","59,737,776.75","219,522,554.87","280,166,959.70","1,008,399,518.41","-133,918,227.73","136,219,769.87","16,381,327.70","585,046,395.86","-123,545,563.02","132,603,424.20","308,195,080.35","682,151,830.27","-111,635,260.07","65,795,241.43","404,437,443.55","1,875,519,774.90","-164,254,497.71","-356,677,200.46","284,582,139.33","1,484,465,408.25","-600,758,442.02"
分配股利、利润或偿还利息支付的现金,"47,705,622.00","13,092,602.40","13,182,094.00","44,896,566.41","855,077.32","31,582,808.47","30,296,520.94","98,168,290.68","87,170.08","325,984.38","150,241,584.48","156,718,794.73","6,439,500.00","202,433,370.04","350,901,463.60","355,899,006.09",,"51,978,959.91","385,900,511.72","409,620,261.65","39,868,077.29","126,072,233.80","520,332,342.14","538,598,264.00","38,010,000.00","106,943,333.33","723,381,779.64","781,025,253.39","44,361,780.82","99,848,001.66","321,358,589.02","428,508,916.58","25,124,416.64"
收回投资收到的现金,"96,452,432.04","105,634,709.05","163,216,315.32","146,861,642.98",,"74,031,891.25","94,597,665.90","44,429,294.61","1,520,486.49","50,108,069.62","83,493,222.58","212,481,197.09","18,490,268.08","38,138,212.66","50,061,924.23","46,298,527.67","6,466,476.18","6,532,976.18","49,582,862.20","13,146,460.57","16,392,908.28","16,392,908.28","22,010,127.27","222,347,261.46","7,492,425.32","222,157,042.59","230,592,849.63","181,644,562.41","7,665,493.33","341,402,422.98","341,402,422.98","339,292,335.52","107,079,208.22"
支付其他与筹资活动有关的现金,,,,"5,074,096.41",,,,,,,,"517,480.00",,"11,700,000.00","11,700,000.00","15,028,098.00","7,371,000.00","6,300,000.00","6,573,500.00","6,735,804.20",,,,,,,,"1,654,000.00",,,,"446,285,200.50",
取得投资收益收到的现金,"64,931,982.18","79,624,310.81","100,819,917.52","396,507,573.59","1,828,430.50","91,639,073.25","145,060,507.40","172,397,874.92","37,581,307.74","108,214,814.93","155,181,079.50","49,384,396.35","4,145,264.41","57,593,149.08","84,528,418.53","137,100,416.78","38,359,029.90","67,590,788.47","78,447,773.19","150,911,938.58","45,047,383.24","63,428,183.24","123,097,268.73","67,929,033.53","55,339,654.84","3,950,800.00","14,161,600.01","228,967,289.06","3,950,800.00","4,283,550.00","7,788,073.53","24,796,589.54","1,072,320.68"
筹资活动现金流出小计,"2,247,705,622.00","2,233,092,602.40","2,323,182,094.00","2,359,970,662.82","1,200,855,077.32","1,331,582,808.47","3,055,296,520.94","3,123,168,290.68","87,170.08","325,984.38","2,150,241,584.48","2,457,236,274.73","506,439,500.00","1,214,133,370.04","1,362,601,463.60","1,370,927,104.09","7,371,000.00","88,278,959.91","422,474,011.72","446,356,065.85","44,868,077.29","245,872,233.80","640,132,342.14","695,398,264.00","38,010,000.00","1,810,014,334.35","3,423,381,779.64","5,281,483,161.08","744,361,780.82","1,855,557,271.21","2,610,655,291.39","4,149,090,819.45","25,124,416.64"
处置固定资产、无形资产和其他长期资产收回的现金净额,"21,800.00","12,021,800.00","12,021,800.00","138,900.00","292,977.11","388,273.15","419,413.11","647,830.30","21,902.35","245,026.17","266,601.97","223,687.52","30,000.00","236,270.10","84,200.00","245,658.12","47,500.00","238,514.66","402,126.78","309,515.60",,"56,100.00","284,053.85","7,730,723.12","32,000.00","4,060,500.00","8,061,700.00","92,181,336.45","190,150.00","267,445,568.03","600,656.92","210,542,079.00","37,000.00"
筹资活动产生的现金流量净额,"62,294,378.00","31,837,397.60","-56,917,267.26","1,053,559,290.18","614,614,063.76","890,067,191.53","1,046,753,479.06","1,207,831,709.32","-87,170.08","-325,984.38","-1,190,571,030.04","-1,297,565,720.29","-206,439,500.00","385,866,629.96","237,398,536.40","484,364,726.49","707,629,000.00","626,721,040.09","292,525,988.28","329,843,934.15","-44,868,077.29","-245,181,806.38","-640,132,342.14","-621,592,520.30","-38,010,000.00","1,037,600,722.52","621,868,220.36","-584,790,984.86","-744,361,780.82","244,442,728.79","222,932,141.43","-998,503,386.63","453,282,233.43"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"430,615,743.34",
四、汇率变动对现金的影响,"-49,174.58","-106,522.59","-135,677.34","-228,401.27","-45,062.69","-87,902.90","-95,888.01","-421,514.41","-1,973.24","-3,387.13","-7,760.72","9,858.69","-4,018.31","-37,579.15","-115,703.09","121,276.07","634,231.02","1,071,625.60","1,046,359.31","-334,732.36","709,897.01","367,902.92","377,815.29","439,316.09","-4,028.83","-133,651.79","-149,652.71","-930,164.65","12,013.15","15,927.20","1,935.90","66,106.72","-5,233.24"
收到其他与投资活动有关的现金,,,,,"703,527.02",,,,,,,,,,,"3,237,904.97",,,,"11,753,811.04",,,,,,,,"65,109,964.00",,"134,904,786.06","182,838,171.56","684,916,447.57","25,355,208.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"161,406,214.22","197,280,819.86","276,058,032.84","543,508,116.57","2,824,934.63","166,059,237.65","240,077,586.41","217,474,999.83","39,123,696.58","158,567,910.72","238,940,904.05","262,089,280.96","22,665,532.49","95,967,631.84","134,674,542.76","186,882,507.54","44,873,006.08","74,362,279.31","128,432,762.17","176,121,725.79","61,440,291.52","79,877,191.52","145,391,449.85","298,007,018.11","62,864,080.16","230,168,342.59","252,816,149.64","567,903,151.92","11,806,443.33","748,036,327.07","532,629,324.99","1,690,163,194.97","133,543,736.90"
五、现金及现金等价物净增加额,"100,633,580.65","132,263,861.26","174,784,080.71","1,799,853,426.52","-774,807,606.94","-733,518,917.06","-392,402,657.66","-13,959,115.43","-95,316,116.13","343,839,665.90","-1,032,909,095.94","-649,511,617.42","-316,857,104.46","567,721,422.91","536,504,601.98","1,341,561,863.05","215,280,094.29","226,701,386.07","-840,179,497.87","-331,395,074.58","-186,744,235.40","-264,141,850.80","-751,545,192.40","-916,401,944.51","-152,322,973.92","778,128,222.97","-364,603,191.77","144,914,669.18","-1,140,556,139.74","360,756,253.38","406,876,749.59","1,378,622,930.18","-283,901,450.84"
购建固定资产、无形资产和其他长期资产支付的现金,"66,542,462.47","176,435,623.76","207,039,416.09","299,920,984.32","35,815,074.72","1,363,371,860.79","1,420,614,021.91","1,624,784,882.69","179,954,923.98","86,850,118.27","312,934,766.93","327,242,339.57","191,378,120.39","131,727,189.61","113,005,128.79","247,565,584.05","158,920,415.08","362,493,378.80","588,558,510.31","760,617,988.27","80,480,783.62","231,808,563.06","395,377,195.75","469,078,968.71","58,337,765.18","156,102,431.78","304,375,352.61","373,587,108.13","107,758,317.69","139,061,529.22","304,041,046.94","148,340,648.01","49,963,745.91"
期初现金及现金等价物余额,"606,744,725.71","603,508,985.18","603,508,985.18","603,508,985.18","2,403,362,411.70","2,403,362,411.70","2,403,362,411.70","2,403,362,411.70","2,389,403,296.27","2,389,403,296.27","2,389,403,296.27","2,389,403,296.27","1,739,921,678.85","1,739,921,678.85","1,739,921,678.85","1,739,891,678.85","3,082,083,541.90","3,082,083,541.90","3,082,083,541.90","3,081,453,541.90","2,751,477,867.32","2,751,477,867.32","2,751,477,867.32","2,750,058,467.32","1,836,050,630.13","1,836,050,630.13","1,836,050,630.13","1,833,656,522.81","1,980,485,341.99","1,980,485,341.99","1,980,485,341.99","2,084,028,764.36","3,493,151,694.54"
投资支付的现金,"118,238,000.00","9,344,050.00","38,764,170.00","46,222,760.66","1,420,220,973.77","687,767,380.00","329,603,070.00","415,853,070.00",,,"1,048,925.00","2,025,180.00","1,438,775.00","1,870,625.00","2,614,605.00","4,190,760.00","245,017,500.00","249,179,950.00","605,350,130.06","605,350,130.06",,,"170,000,000.00","805,076,737.24","7,200,000.00","399,200,000.00","1,339,200,000.00","407,200,000.00","136,000,000.00","136,000,000.00","329,227,745.12","299,227,745.12","220,000,000.00"
期末现金及现金等价物余额,"707,378,306.36","735,772,846.44","778,293,065.89","2,403,362,411.70","1,628,554,804.76","1,669,843,494.64","2,010,959,754.04","2,389,403,296.27","2,294,087,180.14","2,733,242,962.17","1,356,494,200.33","1,739,891,678.85","1,423,064,574.39","2,307,643,101.76","2,276,426,280.83","3,081,453,541.90","3,297,363,636.19","3,308,784,927.97","2,241,904,044.03","2,750,058,467.32","2,564,733,631.92","2,487,336,016.52","1,999,932,674.92","1,833,656,522.81","1,683,727,656.21","2,614,178,853.10","1,471,447,438.36","1,978,571,191.99","839,929,202.25","2,341,241,595.37","2,387,362,091.58","3,462,651,694.54","3,209,250,243.70"
