科目,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"6,712,433,000.00","11,113,493,000.00","3,123,921,000.00","5,858,105,000.00","8,308,681,000.00","13,548,467,000.00","3,831,626,000.00","8,884,615,000.00","10,871,160,000.00","18,817,921,000.00","4,938,862,000.00","11,711,777,000.00","14,597,675,000.00","22,669,901,000.00","6,323,578,000.00","12,076,172,000.00","17,680,155,000.00","25,863,893,000.00","6,368,236,000.00","12,288,655,000.00","18,247,352,000.00","26,143,842,000.00","7,271,985,000.00","16,495,833,000.00","21,138,313,000.00","30,062,857,000.00","8,066,075,000.00","16,002,109,000.00","23,945,904,000.00","35,784,958,000.00","10,383,620,000.00","19,424,900,000.00","27,886,773,000.00","40,024,243,000.00","11,648,662,000.00","21,323,153,000.00","30,388,614,000.00","45,381,185,000.00","12,880,356,000.00","24,088,312,000.00","36,619,338,000.00","52,445,302,000.00","14,543,653,000.00","27,032,232,000.00"
取得借款收到的现金,"14,461,317,000.00","27,017,301,000.00","6,280,576,000.00","13,176,963,000.00","14,998,299,000.00","26,199,890,000.00","5,539,367,000.00","15,642,712,000.00","16,008,890,000.00","20,046,693,000.00","6,592,824,000.00","12,790,578,000.00","23,511,926,000.00","29,230,559,000.00","13,863,839,000.00","33,847,772,000.00","45,511,448,000.00","56,304,728,000.00","12,857,380,000.00","28,596,477,000.00","42,752,095,000.00","61,364,464,000.00","9,988,957,000.00","40,543,135,000.00","36,850,510,000.00","94,992,659,000.00","27,102,135,000.00","63,634,603,000.00","88,720,678,000.00","99,712,255,000.00","26,675,228,000.00","52,757,254,000.00","75,967,957,000.00","93,856,927,000.00","35,599,622,000.00","49,548,033,000.00","85,416,880,000.00","83,462,349,000.00","37,162,308,000.00","59,122,769,000.00","75,431,217,000.00","79,359,099,000.00","23,747,220,000.00","61,010,901,000.00"
支付的各项税费,"2,963,460,000.00","6,213,485,000.00","1,574,518,000.00","3,496,999,000.00","4,541,293,000.00","7,683,482,000.00","1,856,737,000.00","4,610,915,000.00","6,998,961,000.00","12,618,327,000.00","2,498,208,000.00","5,825,064,000.00","8,680,148,000.00","14,292,861,000.00","3,224,047,000.00","8,000,708,000.00","9,405,885,000.00","14,557,862,000.00","2,767,439,000.00","7,181,071,000.00","9,121,942,000.00","17,518,004,000.00","4,816,131,000.00","9,348,983,000.00","12,355,515,000.00","21,147,404,000.00","4,658,489,000.00","10,670,065,000.00","14,379,281,000.00","21,753,386,000.00","5,910,534,000.00","11,573,663,000.00","16,048,045,000.00","22,270,191,000.00","6,587,127,000.00","16,246,277,000.00","19,152,335,000.00","23,892,757,000.00","7,358,523,000.00","17,083,617,000.00","20,016,352,000.00","25,298,250,000.00","7,236,996,000.00","15,380,568,000.00"
收到其他与筹资活动有关的现金,,,,,,,,,,"10,400,000,000.00",,,,,,,,,,,,,,,"24,534,427,000.00",,,,,"3,552,000.00",,,"428,484,000.00","12,832,000.00",,,"320,253,000.00",,,,,,"2,200,000,000.00",
支付其他与经营活动有关的现金,"1,022,963,000.00","2,691,608,000.00","415,868,000.00","2,078,773,000.00","2,729,860,000.00","3,190,234,000.00","376,091,000.00","2,166,874,000.00","4,855,217,000.00","3,649,878,000.00","339,821,000.00","1,987,037,000.00","6,951,065,000.00","5,147,257,000.00","397,974,000.00","3,145,592,000.00","7,114,433,000.00","4,646,273,000.00","1,224,746,000.00","2,765,656,000.00","7,848,425,000.00","5,904,422,000.00","1,968,706,000.00","4,902,938,000.00","5,436,192,000.00","8,409,745,000.00","2,547,694,000.00","2,961,250,000.00","5,189,556,000.00","9,206,509,000.00","3,044,869,000.00","2,150,143,000.00","5,955,207,000.00","6,784,127,000.00","2,978,666,000.00","14,371,147,000.00","6,933,176,000.00","16,846,889,000.00","3,958,888,000.00","6,115,047,000.00","5,648,887,000.00","7,536,960,000.00","2,804,965,000.00","5,233,144,000.00"
筹资活动现金流入小计,"14,461,317,000.00","29,417,301,000.00","43,775,406,000.00","52,300,426,000.00","54,121,762,000.00","65,351,546,000.00","5,539,367,000.00","15,647,515,000.00","26,013,693,000.00","30,620,337,000.00","6,592,824,000.00","12,795,739,000.00","28,577,767,000.00","34,407,386,000.00","13,863,839,000.00","34,530,409,000.00","45,544,085,000.00","71,330,566,000.00","12,857,380,000.00","31,156,228,000.00","42,831,846,000.00","85,481,410,000.00","10,019,457,000.00","59,577,250,000.00","61,765,337,000.00","121,376,134,000.00","27,151,335,000.00","70,307,468,000.00","94,992,515,000.00","115,880,136,000.00","26,708,020,000.00","60,633,756,000.00","89,749,645,000.00","117,828,728,000.00","36,619,622,000.00","71,627,139,000.00","95,495,414,000.00","112,088,545,000.00","37,182,308,000.00","59,724,200,000.00","77,251,217,000.00","97,138,629,000.00","30,476,709,000.00","73,443,314,000.00"
经营活动现金流出小计,"72,256,080,000.00","166,442,388,000.00","40,315,608,000.00","90,478,480,000.00","124,155,592,000.00","217,055,923,000.00","58,676,059,000.00","120,206,110,000.00","210,539,010,000.00","270,368,579,000.00","83,029,429,000.00","164,468,802,000.00","300,328,404,000.00","444,866,652,000.00","95,243,320,000.00","215,467,355,000.00","330,069,248,000.00","429,407,877,000.00","79,172,720,000.00","191,339,533,000.00","311,989,051,000.00","548,336,103,000.00","106,401,119,000.00","250,173,587,000.00","421,998,355,000.00","567,058,204,000.00","119,713,051,000.00","268,822,162,000.00","427,221,754,000.00","582,056,755,000.00","142,612,008,000.00","277,180,728,000.00","394,352,949,000.00","547,524,859,000.00","145,147,652,000.00","287,023,013,000.00","434,191,195,000.00","606,962,935,000.00","164,953,797,000.00","330,816,927,000.00","469,628,916,000.00","672,631,253,000.00","173,808,074,000.00","370,146,533,000.00"
偿还债务支付的现金,"9,124,219,000.00","17,920,171,000.00","9,059,669,000.00","15,345,881,000.00","15,463,661,000.00","30,294,398,000.00","3,489,781,000.00","14,098,405,000.00","20,598,406,000.00","26,465,731,000.00","5,071,753,000.00","8,028,498,000.00","11,195,687,000.00","20,300,710,000.00","6,199,017,000.00","9,735,585,000.00","16,741,751,000.00","24,907,235,000.00","10,514,991,000.00","26,571,819,000.00","33,777,104,000.00","67,726,931,000.00","6,684,620,000.00","32,015,866,000.00","33,007,340,000.00","83,964,579,000.00","14,774,167,000.00","46,995,377,000.00","52,109,738,000.00","89,862,106,000.00","19,337,444,000.00","46,779,362,000.00","65,130,927,000.00","104,854,197,000.00","21,480,737,000.00","47,205,028,000.00","70,788,159,000.00","102,881,627,000.00","21,582,128,000.00","30,034,098,000.00","40,389,841,000.00","60,499,480,000.00","14,747,164,000.00","32,026,106,000.00"
经营活动产生的现金流量净额,"3,844,341,000.00","9,420,835,000.00","945,850,000.00","-4,182,943,000.00","-4,388,843,000.00","7,299,850,000.00","2,001,488,000.00","6,987,695,000.00","7,456,147,000.00","17,474,452,000.00","2,773,107,000.00","1,420,527,000.00","48,199,000.00","6,252,570,000.00","-4,244,915,000.00","-12,570,015,000.00","-17,573,794,000.00","-12,576,311,000.00","-2,457,834,000.00","-3,317,649,000.00","1,925,451,000.00","5,544,971,000.00","1,355,145,000.00","-9,766,510,000.00","-11,238,158,000.00","-9,313,980,000.00","-1,162,043,000.00","-12,033,063,000.00","-13,704,669,000.00","6,582,512,000.00","-1,855,375,000.00","6,889,144,000.00","9,983,718,000.00","50,375,107,000.00","-10,860,188,000.00","-13,739,795,000.00","-9,540,664,000.00","37,137,579,000.00","-19,572,435,000.00","-25,456,858,000.00","-19,843,228,000.00","25,404,178,000.00","-40,663,574,000.00","-45,888,144,000.00"
分配股利、利润或偿还利息支付的现金,"992,209,000.00","3,164,673,000.00","1,279,864,000.00","1,940,203,000.00","2,033,547,000.00","2,770,607,000.00","40,288,000.00","644,552,000.00","1,854,476,000.00","2,747,197,000.00","118,857,000.00","687,310,000.00","2,893,681,000.00","3,747,876,000.00","765,621,000.00","1,721,755,000.00","3,193,829,000.00","4,774,401,000.00","1,106,709,000.00","2,045,200,000.00","4,257,791,000.00","6,831,963,000.00","1,405,208,000.00","2,784,910,000.00","5,603,663,000.00","7,811,373,000.00","1,967,233,000.00","4,162,347,000.00","8,255,278,000.00","11,396,072,000.00","2,386,011,000.00","7,073,907,000.00","8,603,186,000.00","12,322,984,000.00","2,196,414,000.00","4,325,161,000.00","8,547,323,000.00","11,318,181,000.00","2,424,809,000.00","5,688,194,000.00","9,099,943,000.00","12,863,833,000.00","2,897,214,000.00","5,998,004,000.00"
收回投资收到的现金,"121,085,000.00","250,829,000.00","8,874,000.00","87,537,000.00","103,703,000.00","136,923,000.00","1,600,000.00","12,410,000.00","19,445,000.00","212,236,000.00","1,039,000.00","45,659,000.00","91,821,000.00","119,001,000.00","151,000.00","17,227,000.00","51,483,000.00","8,766,000.00","2,034,000.00","11,774,000.00","12,366,000.00","43,668,000.00","1,800,000.00","2,600,000.00","3,146,000.00","3,302,000.00",,"22,009,000.00","22,009,000.00","203,403,000.00",,"80,249,000.00","51,155,000.00","1,044,656,000.00","4,613,000.00","499,428,000.00","499,428,000.00","886,713,000.00","61,793,000.00","50,000,000.00","50,000,000.00","179,224,000.00","7,689,000.00","1,019,645,000.00"
支付其他与筹资活动有关的现金,"284,171,000.00","701,455,000.00","205,018,000.00",,,,"283,048,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"3,098,226,000.00","3,098,226,000.00","3,098,226,000.00",,,"458,396,000.00",,,,,,,
取得投资收益收到的现金,"14,347,000.00","171,695,000.00","6,845,000.00","2,583,000.00","52,556,000.00","71,227,000.00","10,431,000.00","2,350,000.00","28,769,000.00","58,373,000.00","15,936,000.00","543,000.00","54,191,000.00","80,853,000.00","657,000.00","16,174,000.00","47,400,000.00","69,482,000.00","850,000.00","3,811,000.00","69,287,000.00","104,992,000.00","8,560,000.00","18,837,000.00","28,965,000.00","63,220,000.00","1,413,000.00","18,424,000.00","40,473,000.00","95,667,000.00","4,810,000.00","117,916,000.00","125,613,000.00","146,171,000.00","24,544,000.00","54,064,000.00","101,248,000.00","351,379,000.00","13,544,000.00","133,903,000.00","135,769,000.00","205,184,000.00","38,923,000.00","73,089,000.00"
筹资活动现金流出小计,"10,400,599,000.00","21,786,299,000.00","10,544,551,000.00","17,286,084,000.00","17,497,208,000.00","33,065,005,000.00","3,813,117,000.00","14,742,957,000.00","22,452,882,000.00","29,212,928,000.00","5,190,610,000.00","8,715,808,000.00","14,089,368,000.00","24,048,586,000.00","6,964,638,000.00","11,457,340,000.00","19,935,580,000.00","29,681,636,000.00","11,621,700,000.00","28,617,019,000.00","38,034,895,000.00","74,558,894,000.00","8,089,828,000.00","34,800,776,000.00","38,611,003,000.00","91,775,952,000.00","16,741,400,000.00","51,157,724,000.00","60,365,016,000.00","101,258,178,000.00","21,723,455,000.00","56,951,495,000.00","76,832,339,000.00","120,275,407,000.00","23,677,151,000.00","51,530,189,000.00","79,793,878,000.00","114,199,808,000.00","24,006,937,000.00","35,722,292,000.00","49,489,784,000.00","73,363,313,000.00","17,644,378,000.00","38,024,110,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"594,468,000.00","1,194,877,000.00","92,372,000.00","337,613,000.00","351,424,000.00","1,185,952,000.00","7,499,000.00","267,916,000.00","300,796,000.00","2,211,894,000.00","13,057,000.00","314,825,000.00","329,526,000.00","1,287,038,000.00","28,876,000.00","440,446,000.00","476,452,000.00","1,237,547,000.00","23,715,000.00","503,973,000.00","618,599,000.00","1,657,223,000.00","19,745,000.00","437,109,000.00","478,177,000.00","1,605,794,000.00","27,505,000.00","665,724,000.00","246,039,000.00","1,371,075,000.00","11,566,000.00","726,008,000.00","922,029,000.00","1,274,470,000.00","69,705,000.00","978,450,000.00","1,034,994,000.00","1,727,188,000.00","20,022,000.00","431,905,000.00","525,707,000.00","1,396,462,000.00","14,121,000.00","508,553,000.00"
筹资活动产生的现金流量净额,"4,060,718,000.00","7,631,002,000.00","33,230,855,000.00","35,014,342,000.00","36,624,554,000.00","32,286,541,000.00","1,726,250,000.00","904,558,000.00","3,560,811,000.00","1,407,409,000.00","1,402,214,000.00","4,079,931,000.00","14,488,399,000.00","10,358,800,000.00","6,899,201,000.00","23,073,069,000.00","25,608,505,000.00","41,648,930,000.00","1,235,680,000.00","2,539,209,000.00","4,796,951,000.00","10,922,516,000.00","1,929,629,000.00","24,776,474,000.00","23,154,334,000.00","29,600,182,000.00","10,409,935,000.00","19,149,744,000.00","34,627,499,000.00","14,621,958,000.00","4,984,565,000.00","3,682,261,000.00","12,917,306,000.00","-2,446,679,000.00","12,942,471,000.00","20,096,950,000.00","15,701,536,000.00","-2,111,263,000.00","13,175,371,000.00","24,001,908,000.00","27,761,433,000.00","23,775,316,000.00","12,832,331,000.00","35,419,204,000.00"
处置子公司及其他营业单位收到的现金净额,,"117,228,000.00",,,,,,,,,,,,,,,"20,000,000.00",,,,"96,109,000.00",,,,"21,000,000.00",,,,,,,,"31,482,000.00",,,,"30,287,000.00",,,,"14,890,000.00","2,661,662,000.00",,
四、汇率变动对现金的影响,"-31,481,000.00","-54,368,000.00","17,396,000.00","-77,641,000.00","-379,994,000.00","-251,355,000.00","-5,157,000.00","-53,915,000.00","13,410,000.00","362,056,000.00","-7,901,000.00","-134,814,000.00","3,404,000.00","-233,226,000.00","28,051,000.00","-28,104,000.00","-27,942,000.00","-225,172,000.00","3,533,000.00","21,418,000.00","34,799,000.00","20,025,000.00","-6,016,000.00","-163,977,000.00","-59,834,000.00","-288,299,000.00","14,047,000.00","12,011,000.00","-28,205,000.00","-34,462,000.00","-5,332,000.00","-76,519,000.00","-66,828,000.00","120,917,000.00","11,647,000.00","70,372,000.00","61,773,000.00","309,756,000.00","8,270,000.00","-248,947,000.00","-109,422,000.00","-633,146,000.00","-100,042,000.00","107,315,000.00"
收到其他与投资活动有关的现金,"569,152,000.00","913,887,000.00","271,673,000.00","694,716,000.00","738,624,000.00","4,529,513,000.00",,"3,427,131,000.00","3,762,192,000.00","3,678,224,000.00",,"3,322,781,000.00","3,322,941,000.00","9,081,382,000.00",,"5,433,409,000.00","5,572,445,000.00","11,167,066,000.00",,"5,646,555,000.00","6,812,708,000.00","13,174,888,000.00",,"3,503,650,000.00","3,351,083,000.00","3,088,876,000.00",,"2,800,709,000.00",,"5,383,262,000.00",,"3,648,612,000.00","3,744,951,000.00","5,765,091,000.00",,"3,445,434,000.00","4,673,560,000.00","6,265,146,000.00",,"135,124,000.00","148,907,000.00","119,219,000.00","1,352,723,000.00","762,126,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,299,052,000.00","2,648,516,000.00","379,764,000.00","1,122,449,000.00","1,246,307,000.00","5,923,615,000.00","19,530,000.00","3,709,807,000.00","4,111,202,000.00","6,160,727,000.00","30,032,000.00","3,683,808,000.00","3,798,479,000.00","10,568,274,000.00","29,684,000.00","5,907,256,000.00","6,167,780,000.00","12,482,861,000.00","26,599,000.00","6,166,113,000.00","7,609,069,000.00","14,980,771,000.00","30,105,000.00","3,962,196,000.00","3,882,371,000.00","4,761,192,000.00","28,918,000.00","3,506,866,000.00","308,521,000.00","7,053,407,000.00","16,376,000.00","4,572,785,000.00","4,875,230,000.00","8,230,388,000.00","98,862,000.00","4,977,376,000.00","6,339,517,000.00","9,230,426,000.00","95,359,000.00","750,932,000.00","875,273,000.00","4,561,751,000.00","1,413,456,000.00","2,363,413,000.00"
五、现金及现金等价物净增加额,"2,406,239,000.00","4,814,856,000.00","32,116,943,000.00","24,313,310,000.00","24,445,334,000.00","26,266,834,000.00","1,012,012,000.00","2,463,617,000.00","3,207,607,000.00","5,614,725,000.00","1,583,304,000.00","405,956,000.00","5,098,326,000.00","853,094,000.00","-657,954,000.00","7,146,287,000.00","2,598,624,000.00","18,244,439,000.00","-3,116,291,000.00","-4,289,186,000.00","1,044,170,000.00","8,178,642,000.00","-1,137,955,000.00","6,294,418,000.00","-734,860,000.00","1,402,000.00","6,059,767,000.00","383,299,000.00","5,229,429,000.00","4,665,042,000.00","-4,604,827,000.00","2,483,430,000.00","10,545,546,000.00","23,713,048,000.00","-5,146,373,000.00","-3,623,430,000.00","-9,264,612,000.00","9,063,469,000.00","-16,051,284,000.00","-18,487,772,000.00","-16,674,543,000.00","11,858,698,000.00","-38,994,944,000.00","-28,601,390,000.00"
购建固定资产、无形资产和其他长期资产支付的现金,"3,880,664,000.00","10,190,359,000.00","2,442,022,000.00","5,479,953,000.00","5,922,710,000.00","10,761,833,000.00","2,676,648,000.00","4,074,822,000.00","6,150,410,000.00","12,997,983,000.00","2,425,894,000.00","5,960,708,000.00","7,602,095,000.00","17,014,429,000.00","3,130,753,000.00","5,687,812,000.00","7,363,933,000.00","12,053,636,000.00","1,682,283,000.00","3,834,669,000.00","5,808,895,000.00","10,500,301,000.00","2,217,644,000.00","8,227,340,000.00","12,185,163,000.00","17,645,329,000.00","3,073,260,000.00","9,027,190,000.00","13,403,883,000.00","21,287,428,000.00","5,025,756,000.00","11,243,736,000.00","15,791,730,000.00","27,144,112,000.00","6,488,084,000.00","13,006,380,000.00","19,173,972,000.00","29,816,396,000.00","6,719,459,000.00","12,842,025,000.00","18,457,074,000.00","30,231,006,000.00","6,442,163,000.00","12,532,230,000.00"
期初现金及现金等价物余额,"18,373,635,000.00","18,373,635,000.00","23,188,491,000.00","23,188,491,000.00","23,188,491,000.00","23,188,491,000.00","49,455,325,000.00","49,455,325,000.00","49,455,325,000.00","49,455,325,000.00","55,070,050,000.00","55,070,050,000.00","55,070,050,000.00","55,070,050,000.00","55,923,144,000.00","55,923,144,000.00","55,923,144,000.00","55,923,144,000.00","74,167,583,000.00","74,167,583,000.00","74,167,583,000.00","74,167,583,000.00","82,346,225,000.00","82,346,225,000.00","82,346,225,000.00","79,782,051,000.00","79,783,453,000.00","79,783,453,000.00","79,783,453,000.00","79,783,453,000.00","84,448,495,000.00","84,757,505,000.00","84,757,505,000.00","84,757,505,000.00","108,470,552,000.00","108,470,553,000.00","108,470,552,000.00","108,470,553,000.00","117,534,021,000.00","117,534,022,000.00","117,534,021,000.00","117,534,022,000.00","129,360,990,000.00","129,392,720,000.00"
