科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
筹资活动现金流入小计,"18,695,374.00","10,000,000.00",,,,"202,916,336.63","202,916,336.63","202,916,336.63","202,916,336.63",,,,,,,,,,,,,,
经营活动现金流出小计,"51,687,957.68","81,776,868.46","117,387,208.26","70,806,641.88","154,283,838.21","40,475,414.24","78,946,972.87","118,028,574.99","157,988,977.68","41,606,771.41","77,713,373.03","121,396,999.66","164,709,563.94","43,652,650.99","86,242,755.23","135,757,870.79","190,455,487.98","48,144,554.81","99,365,303.48","155,388,624.27","213,501,944.60","54,761,186.21","129,818,511.45"
偿还债务支付的现金,,"10,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"14,537,871.28","19,149,703.66","41,166,426.41","28,740,836.20","58,303,540.11","9,442,207.76","32,481,350.30","55,887,349.17","83,703,086.29","26,966,542.18","58,306,949.43","78,982,487.83","114,820,239.21","33,514,659.08","59,795,282.88","91,109,211.97","122,772,455.90","38,578,340.29","73,905,603.31","118,117,953.32","159,134,139.23","57,417,598.08","83,310,857.99"
分配股利、利润或偿还利息支付的现金,"16,984.87","540,555.56","320,250.00",,,,"29,634,826.02","30,380,234.51","30,300,000.00","47,701,947.02","48,480,000.00","48,480,000.00","48,480,000.00",,"56,560,000.00","56,560,000.00","56,560,000.00",,"40,400,000.00","40,400,000.00","40,400,000.00",,"64,640,000.00"
收回投资收到的现金,"9,500,000.00",,,,,,,"60,000,000.00","120,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","100,000,000.00","100,000,000.00","200,000,000.00","270,000,000.00","425,000,000.00","165,000,000.00","376,000,000.00","651,000,000.00","857,000,000.00","260,000,000.00","510,000,000.00"
支付其他与筹资活动有关的现金,"48,550,845.02",,"1,549,056.61","1,700,000.00","3,500,000.00","1,296,000.00","3,856,000.00","3,856,000.00","5,402,242.92",,,"-20,902.66",,,,,,,,,,,
取得投资收益收到的现金,"294,144.76",,,,,,,"600,657.55","1,248,739.74","559,808.22","559,808.22","559,808.22","1,543,054.81","963,835.62","1,782,328.77","2,047,232.88","3,431,630.14","1,326,979.45","3,367,568.48","5,989,527.38","8,211,779.44","3,148,493.16","5,537,239.75"
筹资活动现金流出小计,"48,567,829.89","10,540,555.56","11,869,306.61","1,700,000.00","3,500,000.00","1,296,000.00","33,490,826.02","34,236,234.51","35,702,242.92","47,701,947.02","48,480,000.00","48,459,097.34","48,480,000.00",,"56,560,000.00","56,560,000.00","56,560,000.00",,"40,400,000.00","40,400,000.00","40,400,000.00",,"64,640,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"30,000.00",250.00,500.00,"16,462.69","17,972.69","21,969.23","22,263.46","23,636.46","24,919.65",256.41,"5,159.32","5,573.15","5,573.15","1,430.95","1,529.01","1,529.01","17,639.98",,"5,211.66","5,486.22","14,458.55",,
筹资活动产生的现金流量净额,"-29,872,455.89","-540,555.56","-11,869,306.61","-1,700,000.00","-3,500,000.00","201,620,336.63","169,425,510.61","168,680,102.12","167,214,093.71","-47,701,947.02","-48,480,000.00","-48,459,097.34","-48,480,000.00",,"-56,560,000.00","-56,560,000.00","-56,560,000.00",,"-40,400,000.00","-40,400,000.00","-40,400,000.00",,"-64,640,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"12,477.13","-10,780.50","3,402.89","-6,412.26","-11,471.70","2,829.59","3,034.02","2,596.13","1,084.77","1,205.91",-226.54,"12,521.66","21,234.42","-1,644.59","6,878.09","9,340.01","26,116.01","-3,392.79","-14,008.03","-25,281.37","-33,604.03","-20,634.12","5,150.25"
收到其他与投资活动有关的现金,,,,,"2,000,000.00",,,"1,061,597.80","2,611,897.80","2,603,899.30","4,998,999.30","4,998,999.30","2,395,100.00",,,"907,800.00","907,800.00",,,"770,000.00","770,000.00",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"9,824,144.76",250.00,500.00,"16,462.69","2,017,972.69","21,969.23","22,263.46","61,685,891.81","123,885,557.19","63,163,963.93","65,563,966.84","65,564,380.67","103,943,727.96","100,965,266.57","201,783,857.78","272,956,561.89","429,357,070.12","166,326,979.45","379,372,780.14","657,765,013.60","865,996,237.99","263,148,493.16","515,537,239.75"
五、现金及现金等价物净增加额,"-16,059,988.47","14,572,778.58","22,054,940.29","21,741,625.27","39,281,414.90","208,515,478.03","162,070,125.76","151,212,692.22","172,138,199.29","34,894,849.07","59,429,496.22","-29,404,410.42","-3,667,510.43","25,388,003.71","-36,574,510.79","-46,136,906.38","-36,333,143.34","-12,712,279.14","-92,269,651.80","-59,265,342.69","-49,659,708.16","84,275,537.55","183,325,321.12"
购建固定资产、无形资产和其他长期资产支付的现金,"10,562,025.75","3,993,489.68","7,246,082.40","5,309,261.36","17,528,626.20","2,571,865.18","9,862,032.63","15,043,247.01","22,665,622.67","7,534,915.93","15,961,193.51","24,443,105.44","31,511,114.22","9,090,277.35","14,600,529.54","28,652,020.25","35,928,785.37","12,284,206.09","18,804,027.22","25,093,028.24","34,726,481.35","5,799,919.57","10,417,926.87"
期初现金及现金等价物余额,"43,487,268.66","27,427,280.19","42,000,058.77","64,054,999.06","64,054,999.06","103,336,413.96","103,336,413.96","103,336,413.96","103,336,413.96","275,474,613.25","275,474,613.25","275,474,613.25","275,474,613.25","271,807,102.82","271,807,102.82","271,807,102.82","271,807,102.82","235,473,959.48","235,473,959.48","235,473,959.48","235,473,959.48","185,814,251.32","185,814,251.32"
投资支付的现金,,,,,,,"30,000,000.00","120,000,000.00","180,000,000.00",,,"100,000,000.00","140,000,000.00","100,000,000.00","227,000,000.00","325,000,000.00","496,000,000.00","205,000,000.00","486,000,000.00","769,000,000.00","999,000,000.00","230,000,000.00","340,000,000.00"
期末现金及现金等价物余额,"27,427,280.19","42,000,058.77","64,054,999.06","85,796,624.33","103,336,413.96","311,851,891.99","265,406,539.72","254,549,106.18","275,474,613.25","310,369,462.32","334,904,109.47","246,070,202.83","271,807,102.82","297,195,106.53","235,232,592.03","225,670,196.44","235,473,959.48","222,761,680.34","143,204,307.68","176,208,616.79","185,814,251.32","270,089,788.87","369,139,572.44"
