科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付给职工以及为职工支付的现金,"32,492,265.16","44,948,587.39","82,046,942.53","47,794,987.09","74,400,713.50","99,853,051.09","32,424,992.60","65,192,960.94","98,892,260.57","132,877,689.22","40,825,557.98","78,657,792.60","116,210,209.16","153,230,378.88","46,562,949.09","85,705,980.16","128,104,684.31","162,779,505.79","46,310,642.10","83,296,889.21","121,210,192.94","159,686,943.57","44,189,436.81","89,155,245.86","132,796,618.56","176,859,555.34","45,597,615.86"
取得借款收到的现金,"86,500,000.00","223,800,000.00","389,800,000.00","207,200,000.00","361,200,000.00","512,800,000.00","60,200,000.00","286,600,000.00","383,800,000.00","575,000,000.00","189,110,000.00","369,410,000.00","491,410,000.00","867,800,000.00","208,410,000.00","588,610,000.00","619,610,000.00","948,064,116.62","212,170,000.00","519,516,117.37","835,990,188.57","852,100,000.00","77,500,000.00","462,250,000.00","596,821,914.00","663,260,000.00","173,395,000.00"
支付的各项税费,"29,881,299.30","42,873,701.92","74,178,700.38","38,320,253.23","64,223,093.34","90,158,945.62","13,340,235.99","42,695,198.85","72,937,997.99","96,174,315.20","13,283,323.42","37,039,859.41","58,401,755.05","87,327,389.34","12,898,313.18","38,859,991.21","48,989,939.08","88,612,059.88","19,801,661.49","39,046,682.13","74,160,093.57","108,582,355.02","39,763,290.14","59,914,598.60","87,111,381.65","123,319,222.07","23,515,270.34"
收到其他与筹资活动有关的现金,"353,193.83","512,131.93","1,335,903.18","566,301.19","753,793.79","1,670,449.91","1,192,550.89","3,541,233.51","4,184,695.37","5,447,157.70","660,365.86","836,356.26","2,753,038.60","2,343,026.79","328,792.55","565,757.56","704,591.48","4,762,144.18","19,181.03","36,391.62","52,842.35","1,055,256.26","1,000,000.00",,,"287,331,000.00","51,800,915.00"
支付其他与经营活动有关的现金,"65,764,548.46","66,197,499.35","95,233,285.35","73,799,946.31","314,974,921.12","142,782,203.49","62,826,334.53","59,860,556.98","337,075,337.14","179,770,227.84","44,496,897.95","68,311,731.84","113,678,025.73","281,016,843.47","53,199,003.69","98,413,623.42","148,168,932.30","152,629,028.12","48,757,744.67","169,994,243.70","191,731,803.61","133,412,356.88","109,583,377.38","145,324,888.83","451,627,516.97","217,089,127.66","296,651,712.23"
筹资活动现金流入小计,"127,853,193.83","268,627,131.93","393,535,903.18","207,766,301.19","805,413,793.79","957,930,449.91","61,392,550.89","290,141,233.51","387,984,695.37","580,447,157.70","189,770,365.86","376,246,356.26","500,163,038.60","870,143,026.79","208,738,792.55","589,175,757.56","620,314,591.48","952,826,260.80","212,189,181.03","519,552,508.99","836,043,030.92","878,155,256.26","619,496,363.87","1,003,136,880.00","1,137,708,794.00","1,491,477,880.00","225,195,915.00"
经营活动现金流出小计,"843,955,122.58","1,129,871,912.64","1,489,888,789.91","717,961,848.34","1,400,632,203.25","1,672,512,755.14","352,754,606.34","807,291,166.39","1,598,631,169.09","1,775,165,864.52","440,694,439.24","886,724,950.35","1,418,062,760.72","1,764,216,269.74","518,779,594.06","1,017,318,562.90","1,486,312,209.01","1,783,500,175.60","348,662,800.66","726,570,916.42","1,114,104,403.29","1,292,822,170.06","473,417,407.80","881,650,793.18","1,693,740,518.82","1,933,974,881.52","734,815,702.40"
偿还债务支付的现金,"71,500,000.00","115,800,000.00","223,800,000.00","180,200,000.00","303,200,000.00","431,800,000.00","58,400,000.00","148,200,000.00","293,200,000.00","442,300,000.00","64,451,666.66","230,251,666.66","279,451,666.66","664,300,000.00","145,610,000.00","509,610,000.00","552,610,000.00","928,010,000.00","230,900,000.00","556,338,070.00","713,698,070.00","828,060,000.00","65,000,000.00","392,240,000.00","605,322,126.79","837,700,000.00","283,700,000.00"
经营活动产生的现金流量净额,"29,506,380.26","28,343,549.07","112,568,456.89","52,160,846.66","-24,378,063.87","-14,653,162.05","-30,262,148.28","7,748,406.18","-59,842,602.59","27,991,053.75","-113,761,638.46","-57,741,482.38","-143,300,117.83","-75,557,563.33","6,934,490.35","32,716,742.31","21,283,502.53","169,451,741.55","18,994,961.90","15,825,323.29","-62,265,142.37","120,166,655.60","-115,390,990.39","-86,038,181.86","-146,268,499.49","205,690,004.65","-185,630,125.12"
分配股利、利润或偿还利息支付的现金,"9,424,583.40","9,340,056.94","16,795,440.60","10,864,145.01","19,279,894.47","27,288,986.85","7,423,137.55","89,280,905.49","98,527,391.26","97,115,163.98","8,547,990.99","38,375,178.02","50,211,419.49","67,124,802.70","11,505,576.46","23,093,008.05","84,784,643.77","95,543,915.08","79,675,164.32","19,289,738.66","29,831,402.77","106,651,978.65","7,928,208.27","21,375,035.85","30,633,046.24","41,898,042.85","9,347,273.79"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"127,650.71","127,688.79","2,279,998.28","1,035,042.48","50,452,056.30","7,407,401.28",,"29,805,903.00","50,485,279.76",,"64,898,166.09",,"57,836,695.54",,,"4,327,545.55","1,354,313.70",,,"96,204,059.19","102,409,675.47",,,,"740,891.31","269,979,752.00","433,642.80"
取得投资收益收到的现金,,,,,,,,,838.21,,,,,,,,,"118,961.32",,"359,578.59",,"535,729.36","248,200.51","383,493.44","509,728.21","534,765.28",
筹资活动现金流出小计,"81,052,234.11","125,267,745.73","242,875,438.88","192,099,187.49","372,931,950.77","466,496,388.13","65,823,137.55","267,286,808.49","442,212,671.02","539,415,163.98","137,897,823.74","268,626,844.68","387,499,781.69","731,424,802.70","157,115,576.46","537,030,553.60","638,748,957.47","1,023,553,915.08","310,575,164.32","671,831,867.85","845,939,148.24","934,711,978.65","72,928,208.27","413,615,035.85","636,696,064.34","1,149,577,794.85","293,480,916.59"
处置固定资产、无形资产和其他长期资产收回的现金净额,"371,817.15","2,800.00","51,000.00","14,711.54",800.00,800.00,,"1,727.45","13,387.45","26,940.00",,,,"1,191,292.00",,"38,000.00","168,000.00","1,470,666.00","359,578.59","5,018,400.00","7,328,978.59","7,709,400.00",,"40,000.00","4,609,051.00","4,609,221.00","30,000,000.00"
筹资活动产生的现金流量净额,"46,800,959.72","143,359,386.20","150,660,464.30","15,667,113.70","432,481,843.02","491,434,061.78","-4,430,586.66","22,854,425.02","-54,227,975.65","41,031,993.72","51,872,542.12","107,619,511.58","112,663,256.91","138,718,224.09","51,623,216.09","52,145,203.96","-18,434,365.99","-70,727,654.28","-98,385,983.29","-152,279,358.86","-9,896,117.32","-56,556,722.39","546,568,155.60","589,521,844.15","501,012,729.66","341,900,085.15","-68,285,001.59"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,"18,513,294.23",
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,"29,000,000.00",,838.21,838.21,,,,,,,,,"1,831,337.02",,,"75,300,000.00","75,300,000.00","64,200,000.00","31,000,000.00","36,785,252.74","52,734,265.50","76,000,000.00","1,022,003.97"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"371,817.15","2,800.00","51,000.00","14,711.54","29,000,800.00",800.00,838.21,"2,565.66","14,225.66","26,940.00",,,,"1,191,292.00",,"38,000.00","1,999,337.02","1,589,627.32","359,578.59","80,677,978.59","82,628,978.59","72,445,129.36","31,248,200.51","37,208,746.18","57,853,044.71","99,657,280.51","31,022,003.97"
五、现金及现金等价物净增加额,"34,271,665.96","72,857,349.21","93,282,837.26","-14,715,241.54","283,461,210.32","264,818,247.58","-141,747,638.41","-89,246,128.87","-285,573,082.40","-171,120,783.19","-146,464,733.14","-41,239,850.63","-155,432,990.58","-74,948,067.77","29,827,055.58","-18,132,212.73","-113,524,145.41","-58,629,132.57","-92,987,915.73","-98,044,428.22","-92,987,915.73","-27,726,584.06","448,412,500.90","442,062,098.31","-94,734,117.66","129,654,409.74","-230,960,241.67"
购建固定资产、无形资产和其他长期资产支付的现金,"42,407,491.17","98,848,386.06","169,997,083.93","82,557,913.44","153,643,368.83","211,963,452.15","107,055,726.18","119,851,510.23","171,440,743.99","229,138,770.66","84,575,636.80","91,117,879.83","124,796,129.66","139,300,020.53","28,730,650.86","103,032,159.00","118,372,618.97","78,642,847.16","13,956,472.93","19,603,713.73","20,790,977.12","120,581,646.63","13,907,462.22","20,629,907.56","429,330,989.94","457,592,960.57","8,067,118.93"
期初现金及现金等价物余额,"37,472,240.25","71,743,906.21","144,601,255.42","237,884,092.68","253,114,038.55","237,884,092.68","502,702,340.26","502,702,340.26","502,702,340.26","502,702,340.26","331,581,557.07","331,581,557.07","331,581,557.07","331,581,557.07","256,633,489.30","256,633,489.30","256,633,489.30","256,633,489.30","198,004,356.73","198,004,356.73","198,004,356.73","198,004,356.73","170,277,772.67","170,277,772.67","170,277,772.67","170,277,772.67","299,932,182.41"
投资支付的现金,,,,,,,,,,"11,032,000.00",,,,,,,,,,,"60,000,000.00",,,,,,
期末现金及现金等价物余额,"71,743,906.21","144,601,255.42","237,884,092.68","223,168,851.14","536,575,248.87","502,702,340.26","360,954,701.85","413,456,211.39","217,129,257.86","331,581,557.07","185,116,823.93","290,341,706.44","176,148,566.49","256,633,489.30","286,460,544.88","238,501,276.57","143,109,343.89","198,004,356.73","105,016,441.00","99,959,928.51","105,016,441.00","170,277,772.67","618,690,273.57","612,339,870.98","75,543,655.01","299,932,182.41","68,971,940.74"
