科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
筹资活动现金流入小计,"2,668,736,719.44","1,235,720,321.66","1,298,858,332.43","1,349,298,331.65","1,469,932,837.55","1,573,689,288.85","1,936,658,815.37","2,560,248,776.37","2,881,643,865.37","196,358,589.02","2,341,391,410.86","2,693,474,407.92","2,803,703,134.00","569,279,956.72","1,140,253,423.30","1,963,573,727.31","2,423,357,399.69","425,406,423.81"
经营活动现金流出小计,"3,118,421,979.47","3,845,496,189.25","3,965,748,809.76","3,234,423,183.03","4,583,291,145.99","1,350,828,041.46","2,612,529,037.42","4,002,480,216.76","5,397,093,871.72","1,667,725,705.38","2,876,805,356.84","4,025,953,867.99","5,504,568,744.19","1,464,814,003.73","2,957,202,096.01","4,588,439,050.52","6,218,085,419.90","1,838,609,908.19"
偿还债务支付的现金,"2,371,418,062.98","924,377,287.62","1,200,669,562.23","1,200,772,186.40","1,482,723,013.24","86,144,204.78","622,626,698.54","1,560,644,503.59","1,780,403,729.12",,"177,640,132.36","343,545,356.87","953,926,421.72","255,867,399.13","566,360,502.59","1,021,020,554.00","1,487,249,749.70","381,550,716.27"
经营活动产生的现金流量净额,"473,431,447.70","63,154,597.19","137,941,378.39","169,552,489.06","312,359,845.03","-319,109,593.68","-303,760,426.96","-178,011,804.31","-104,791,975.42","338,405,780.98","303,974,206.88","543,765,174.31","894,047,765.15","119,703,466.14","232,365,800.44","231,678,269.61","204,212,000.44","159,328,373.28"
分配股利、利润或偿还利息支付的现金,"67,601,584.56","22,205,088.95","14,561,607.75","12,120,506.86","95,414,103.04","1,108,302.18","80,102,118.25","87,402,730.08","93,087,173.09",,"71,988,460.88","74,694,913.74","84,284,504.65","802,355.40","100,335,843.60","100,335,843.60","117,560,670.16","1,506,592.36"
收回投资收到的现金,,,,,,,"1,920,970,000.00","3,000,400,817.00","4,336,536,507.00","546,800,915.00","749,726,250.00","2,050,921,040.00","3,918,921,040.00","740,000,000.00","2,486,009,589.04","3,266,009,589.04","5,587,000,000.00","893,000,000.00"
支付其他与筹资活动有关的现金,"554,123,378.08","97,326,216.06","16,093,055.07","16,485,040.96","23,503,096.44","6,704,506.68","23,064,693.00","32,345,893.00","27,893,056.37","200,134,662.94","629,347,617.11","845,664,254.20","904,200,023.15","310,722,228.11","577,096,725.85","579,469,847.65","656,823,326.39","268,347,355.65"
取得投资收益收到的现金,,,,,,,"5,033,273.21","10,655,029.13","11,611,086.60","162,911.99","445,408.27","5,246,254.61","14,665,531.78","3,407,198.64","24,512,586.80","28,927,898.69","32,529,091.13","1,082,288.91"
筹资活动现金流出小计,"2,993,143,025.62","1,043,908,592.63","1,231,324,225.05","1,229,377,734.22","1,601,640,212.72","93,957,013.64","725,793,509.79","1,680,393,126.67","1,901,383,958.58","200,134,662.94","878,976,210.35","1,263,904,524.81","1,942,410,949.52","567,391,982.64","1,243,793,072.04","1,700,826,245.25","2,261,633,746.25","651,404,664.28"
处置固定资产、无形资产和其他长期资产收回的现金净额,"244,440.00","1,213,399.99","907,737.15","831,604.17","1,471,377.66","73,000.00","284,000.00","355,697.30","598,907.30","81,303.00","101,803.00","166,453.00","178,753.00","201,500.00","208,100.00","244,181.11","1,100,721.64","55,000.00"
筹资活动产生的现金流量净额,"-324,406,306.18","191,811,729.03","67,534,107.38","119,920,597.43","-131,707,375.17","1,479,732,275.21","1,210,865,305.58","879,855,649.70","980,259,906.79","-3,776,073.92","1,462,415,200.51","1,429,569,883.11","861,292,184.48","1,887,974.08","-103,539,648.74","262,747,482.06","161,723,653.44","-225,998,240.47"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,"1,299,216.82","1,299,216.82",
四、汇率变动对现金的影响,"-4,210,787.10","-1,564,320.67","-8,304,462.56","-659,701.86","2,059,722.98","5,330,225.41","4,764,898.40","-1,668,976.42","1,787,650.48","476,571.96","7,170,461.09","9,239,681.16","19,425,754.06","-532,440.31","-5,008,769.45","-8,256,395.23","-16,790,136.72","-19,329,213.31"
收到其他与投资活动有关的现金,,"300,000.00",,,,,"424,728.69","424,728.69",,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"244,440.00","1,513,399.99","907,737.15","831,604.17","1,471,377.66","73,000.00","1,926,712,001.90","3,011,836,272.12","4,348,746,500.90","547,045,129.99","750,273,461.27","2,056,333,747.61","3,933,765,324.78","743,608,698.64","2,510,730,275.84","3,296,480,885.66","5,621,929,029.59","894,137,288.91"
五、现金及现金等价物净增加额,"-26,163,431.59","-12,497,669.00","6,641,883.79","144,661,554.91","-7,466,242.29","1,079,184,881.47","193,300,058.29","230,488,183.47","357,073,895.25","123,520,762.69","462,646,986.35","536,929,877.53","-151,411,514.70","308,784,657.89","101,521,250.16","269,305,052.55","543,371,580.52","-269,530,514.42"
购建固定资产、无形资产和其他长期资产支付的现金,"170,922,226.01","267,413,074.54","191,436,876.57","144,983,433.89","191,649,812.79","86,841,025.47","189,311,720.63","413,154,940.62","524,399,711.17","183,850,746.32","214,407,540.27","277,999,805.53","346,363,740.04","125,883,040.66","327,026,407.93","428,252,569.55","540,702,966.23","121,668,722.83"
期初现金及现金等价物余额,"104,787,672.25","78,624,240.66","66,126,571.66","72,768,455.45","72,768,455.45","65,302,213.15","65,302,213.16","65,302,213.16","65,302,213.16","422,376,108.41","422,376,108.41","422,376,108.41","422,376,108.41","270,964,593.71","270,964,593.71","270,964,593.71","270,964,593.71","814,336,174.23"
投资支付的现金,,,,,,,"2,455,970,000.00","3,068,368,017.00","4,344,438,747.00","574,718,800.00","1,840,518,800.00","3,217,718,800.00","5,507,318,800.00","430,000,000.00","2,206,000,000.00","3,081,000,000.00","4,887,000,000.00","956,000,000.00"
期末现金及现金等价物余额,"78,624,240.66","66,126,571.66","72,768,455.45","217,430,010.36","65,302,213.16","1,144,487,094.62","258,602,271.45","295,790,396.63","422,376,108.41","545,896,871.10","885,023,094.76","959,305,985.94","270,964,593.71","579,749,251.60","372,485,843.87","540,269,646.26","814,336,174.23","544,805,659.81"
