科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
经营活动现金流出小计,"1,284,259,510.21","1,824,810,794.70","2,004,539,560.34","1,043,571,443.80","2,011,871,762.42","501,188,218.55","1,076,263,305.60","1,594,427,052.33","2,268,942,651.31","449,968,135.31","1,151,816,463.21","1,701,698,383.18","2,313,083,578.44","529,791,809.24","1,006,490,449.84","1,540,689,109.45","2,075,210,599.24","514,039,272.25","1,024,947,919.13","1,518,724,247.14","2,055,518,949.55","543,530,963.65","1,144,285,722.22","1,801,269,824.92","2,316,275,542.16","727,429,088.01"
偿还债务支付的现金,"694,078,421.84","1,151,852,504.22","1,792,403,939.12","1,049,951,133.18","1,591,049,887.45","500,045,230.00","905,524,495.00","1,297,307,633.50","1,958,586,750.72","368,065,350.00","589,728,155.93","1,205,444,444.77","1,375,446,184.00","232,100,758.13","550,511,793.10","626,073,877.68","1,150,839,926.54","248,459,775.27","563,690,882.86","857,245,282.88","1,212,456,966.03","211,293,605.08","515,898,700.00","981,143,600.00","1,224,604,947.44","420,112,875.00"
经营活动产生的现金流量净额,"-28,188,268.36","55,254,555.63","442,670,745.97","81,857,129.67","411,969,106.63","163,385,534.78","175,414,513.23","223,093,841.97","426,446,016.75","167,222,618.37","158,899,590.43","162,399,880.67","282,171,471.92","14,734,482.73","147,374,957.48","227,314,881.63","273,095,064.44","45,826,009.24","172,731,137.92","201,537,616.13","295,957,790.15","78,070,975.34","98,830,788.83","102,783,301.92","334,694,395.25","-53,137,391.02"
分配股利、利润或偿还利息支付的现金,"8,804,248.10","101,979,793.24","144,943,824.42","72,741,953.00","325,667,580.88","7,080,944.45","266,811,777.52","271,906,250.77","279,952,940.56","2,421,404.34","12,038,486.94","311,332,005.06","318,049,763.60","1,363,878.09","17,852,227.38","187,696,068.90","195,635,172.19","1,862,671.17","9,781,949.09","128,614,389.68","133,750,232.08","1,785,283.76","8,807,911.35","144,444,709.32","134,411,076.64","31,169,203.45"
收回投资收到的现金,,,,,"30,000,000.00",,,,"2,945,000,000.00","327,000,000.00","1,188,698,126.99","1,874,000,000.00","2,384,000,000.00","500,000,000.00","640,000,000.00","1,298,000,000.00","1,488,000,000.00","450,000,000.00","685,000,000.00","1,050,000,000.00","1,566,320,000.00","485,240,000.00","930,440,000.00","1,270,440,000.00","1,862,340,000.00","570,316,000.00"
支付其他与筹资活动有关的现金,"1,900,472.30","18,752,700.00","182,524,158.86","3,130,545.85","3,130,545.85","71,544,072.16",,"10,414,484.83",,,,,,,,,,,,,,,,"15,600,000.00","3,425,333.09","39,693,284.55"
取得投资收益收到的现金,,,"1,605,007.90","1,419,846.56","2,927,010.34",,,,"19,055,210.20","2,875,946.02","17,164,593.32","23,726,879.66","33,719,188.88","6,088,117.49","17,162,471.20","17,000,316.85","17,327,932.33","6,798,499.73","9,181,095.84","16,425,234.24","22,480,135.16","11,201,174.33","21,669,038.59","41,509,104.89","37,011,567.03","30,710,809.32"
筹资活动现金流出小计,"704,783,142.24","1,272,584,997.46","2,119,871,922.40","1,125,823,632.03","1,919,848,014.18","578,670,246.61","1,172,336,272.52","1,579,628,369.10","2,238,539,691.28","370,486,754.34","601,766,642.87","1,516,776,449.83","1,693,495,947.60","233,464,636.22","568,364,020.48","813,769,946.58","1,346,475,098.73","250,322,446.44","573,472,831.95","985,859,672.56","1,346,207,198.11","213,078,888.84","524,706,611.35","1,141,188,309.32","1,362,441,357.17","490,975,363.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"983,281.84","1,429,110.16","702,340.90","533,570.75","1,719,475.79","4,162.80","35,094,347.60","35,098,147.60","1,509,942.81","366,800.00","382,148.00","83,651,301.62",,"47,990.82","165,642.82","694,874.82","3,353,367.75","45,156.80","203,616.47","970,082.21","1,612,696.78","256,400.00","400,000.00","633,787.00","4,027,520.90","258,983.30"
筹资活动产生的现金流量净额,"-73,756,884.45","176,055,566.08","-249,043,976.22","-96,340,559.57","-220,256,888.12","586,496,763.59","459,068,822.98","660,413,996.40","427,565,874.35","-23,365,704.34","-53,560,252.87","-402,613,879.83","-484,848,407.60","36,226,609.90","157,132,379.52","-88,273,546.58","-136,244,015.10","12,789,953.56","114,576,268.05","151,392,527.44","-63,032,698.11","280,725,511.16","176,092,188.65","112,090,090.68","35,020,642.83","-173,389,663.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-858,464.14","-12,709,920.32","-2,655,560.99","-3,356,593.60","-5,054,262.53","3,417,968.08","8,983,631.12","9,025,307.55","386,610.87","6,501,663.35","9,072,766.55","22,134,013.80","22,457,080.56","169,628.84","5,685,090.35","6,164,917.11","7,003,800.63","-3,627,038.71","-7,660,054.36","-4,511,221.78","-5,157,632.97","-8,732,970.54","-1,118,101.04","-8,943,279.67","-16,674,202.76","-2,990,797.52"
收到其他与投资活动有关的现金,"36,169,590.32","3,586,917.12",,"3,400,000.00","4,171,727.47",,,,"43,680,000.00",,,"300,000.00","51,630,129.04",,,,"1,200,000.00",,,,"3,823,436.59",,,"600,000.00",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"37,152,872.16","5,016,027.28","2,307,348.80","5,353,417.31","38,818,213.60","4,162.80","35,094,347.60","35,098,147.60","3,009,245,153.01","330,242,746.02","1,206,244,868.31","1,981,678,181.28","2,469,349,317.92","506,136,108.31","657,328,114.02","1,315,695,191.67","1,509,881,300.08","456,843,656.53","694,384,712.31","1,067,395,316.45","1,594,236,268.53","496,697,574.33","952,509,038.59","1,313,182,891.89","1,903,379,087.93","601,285,792.62"
五、现金及现金等价物净增加额,"-102,420,822.74","5,359,194.77","96,847,853.61","-56,047,765.62","90,238,705.12","738,155,223.67","126,055,804.24","346,909,792.87","-107,203,502.69","39,715,772.49","41,949,635.93","-41,047,464.11","47,183,759.30","20,836,219.61","267,202,553.49","44,665,740.56","1,431,568.99","16,506,397.00","262,005,273.12","3,019,377.24","-97,415,397.73","471,155,533.80","367,074,153.05","160,052,000.26","238,785,784.83","-59,534,769.72"
购建固定资产、无形资产和其他长期资产支付的现金,"36,731,693.95","72,544,673.93","60,688,403.95","43,561,159.43","105,237,464.46","15,149,205.58","52,505,510.69","80,721,500.65","158,847,157.67","50,885,550.91","104,975,275.44","137,645,660.03","200,745,172.75","36,430,610.17","52,317,987.88","68,235,703.27","114,304,581.06","25,326,183.62","32,026,790.80","45,552,311.00","54,908,052.93","15,865,556.49","48,218,561.98","96,934,044.56","140,855,641.88","67,509,385.93"
期初现金及现金等价物余额,"242,366,377.02","139,945,554.28","145,304,749.05","242,152,602.66","242,152,602.66","311,152,603.70","350,618,280.06","350,618,280.06","332,391,307.78","225,187,805.09","225,187,805.09","225,187,805.09","225,187,805.09","272,371,564.39","272,371,564.39","272,371,564.39","272,371,564.39","273,803,133.38","273,803,133.38","273,803,133.38","273,803,133.38","176,387,735.65","176,387,735.65","176,387,735.65","176,387,735.65","415,173,520.48"
投资支付的现金,,"2,704,128.85",,,"30,000,000.00",,,,"3,812,000,000.00","390,000,000.00","1,173,732,061.05","1,667,000,000.00","2,017,000,000.00","500,000,000.00","628,000,000.00","1,298,000,000.00","1,488,000,000.00","470,000,000.00","680,000,000.00","1,366,700,000.00","1,863,820,000.00","359,740,000.00","811,021,200.00","1,262,126,960.00","1,876,778,496.54","363,500,000.00"
期末现金及现金等价物余额,"139,945,554.28","145,304,749.05","242,152,602.66","186,104,837.04","332,391,307.78","1,049,307,827.37","476,674,084.30","697,528,072.93","225,187,805.09","264,903,577.58","267,137,441.02","184,140,340.98","272,371,564.39","293,207,784.00","539,574,117.88","317,037,304.95","273,803,133.38","290,309,530.38","535,808,406.50","276,822,510.62","176,387,735.65","647,543,269.45","543,461,888.70","336,439,735.91","415,173,520.48","355,638,750.76"
