科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"188,760,563.97","215,920,760.75","251,075,954.90","215,622,193.79","288,786,195.11","90,230,623.94","161,961,550.12","243,655,320.12","332,842,719.74","111,272,884.76","201,453,927.99","293,353,152.09","406,957,773.69","121,481,414.31"
取得借款收到的现金,"120,000,000.00","45,000,000.00","53,000,000.00","100,000,000.00","100,000,000.00",,,,,,,"210,000,000.00","210,000,000.00","60,000,000.00"
支付的各项税费,"254,721,281.48","307,261,178.72","330,974,296.89","302,153,892.74","406,330,938.10","110,741,264.37","287,148,300.46","384,257,326.86","516,679,779.65","118,516,988.24","270,562,424.46","455,065,362.34","540,370,295.30","123,979,604.90"
收到其他与筹资活动有关的现金,,,,,,,"3,617,547.17","3,617,547.17",,,,,,
支付其他与经营活动有关的现金,"255,410,453.92","258,678,539.01","268,354,204.88","211,654,434.36","301,121,143.93","74,020,807.20","215,404,085.67","313,097,066.08","494,754,982.83","92,583,766.64","209,464,294.08","333,829,071.31","417,018,640.42","100,341,304.80"
筹资活动现金流入小计,"120,000,000.00","45,000,000.00","53,000,000.00","100,000,000.00","100,000,000.00","740,590,000.00","749,471,620.57","749,930,436.97","759,688,508.20",,"13,437,762.40","225,881,491.40","219,426,070.40","1,044,500,000.00"
经营活动现金流出小计,"2,484,859,999.47","2,696,596,965.89","3,232,496,813.24","2,451,384,738.12","3,382,589,369.89","790,893,629.49","1,740,223,570.89","2,824,518,618.91","3,917,857,075.07","1,087,365,375.44","2,126,265,157.31","3,429,583,334.20","4,635,264,125.52","1,157,827,074.92"
偿还债务支付的现金,"75,000,000.00","70,000,000.00","45,000,000.00","3,000,000.00","93,100,000.00",,"59,900,000.00","59,900,000.00","59,900,000.00",,,,,
经营活动产生的现金流量净额,"192,039,816.03","426,249,147.39","215,342,160.85","494,233,855.03","493,892,190.07","251,552,063.96","441,136,231.93","673,366,938.75","641,304,831.41","46,749,147.66","332,001,392.82","516,227,149.33","484,614,128.61","183,885,011.49"
分配股利、利润或偿还利息支付的现金,"47,511,394.44","64,196,516.67","79,542,719.68","98,971,148.32","100,113,227.48","699,369.49","134,690,739.04","134,690,037.24","134,689,887.24",,"195,244,800.00","195,244,800.00","198,673,977.50","2,717,095.62"
收回投资收到的现金,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,,,"11,910,000.00",,,,,"2,609,000.00"
取得投资收益收到的现金,,,,,,,,,,,,,,"229,675.58"
筹资活动现金流出小计,"122,511,394.44","134,196,516.67","124,542,719.68","101,971,148.32","193,213,227.48","699,369.49","194,590,739.04","194,590,037.24","206,499,887.24",,"195,244,800.00","195,244,800.00","198,673,977.50","5,326,095.62"
处置固定资产、无形资产和其他长期资产收回的现金净额,"434,920.36","1,583,514.76","4,409,124.74","1,236,345.59","1,196,739.35","196,221.16","845,021.50","965,412.24","3,696,381.70","809,129.20","2,719,380.59","4,136,606.75","8,482,219.09","119,385.98"
筹资活动产生的现金流量净额,"-2,511,394.44","-89,196,516.67","-71,542,719.68","-1,971,148.32","-93,213,227.48","739,890,630.51","554,880,881.53","555,340,399.73","553,188,620.96",,"-181,807,037.60","30,636,691.40","20,752,092.90","1,039,173,904.38"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,"-2,386,295.42","-4,795,747.99","36,511.47","4,879,858.32","3,536,819.35","-1,937,477.60"
收到其他与投资活动有关的现金,,,,"38,099,292.83","40,479,292.83",,"248,000.00","248,000.00","5,488,600.00",,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,
投资活动现金流入小计,"434,920.36","1,583,514.76","4,409,124.74","39,335,638.42","41,676,032.18","196,221.16","1,093,021.50","1,213,412.24","9,184,981.70","809,129.20","2,719,380.59","4,136,606.75","8,482,219.09","349,061.56"
五、现金及现金等价物净增加额,"-136,787,802.68","210,189,522.40","-142,242,855.96","335,269,375.68","168,275,487.73","928,138,585.64","824,040,103.73","856,484,618.43","665,978,951.49","-96,060,741.21","-211,856,960.67","-87,881,269.10","-362,510,618.44","1,080,162,979.28"
购建固定资产、无形资产和其他长期资产支付的现金,"150,380,618.01","128,446,623.08","240,381,021.87","183,320,969.45","261,071,507.04","62,500,329.99","172,070,031.23","264,436,132.29","334,313,187.16","102,073,270.08","174,957,207.95","250,707,974.00","396,344,878.39","71,912,952.55"
期初现金及现金等价物余额,"300,349,749.39","163,561,946.71","373,751,469.11","231,508,613.15","231,508,613.15","399,784,100.88","399,784,100.88","399,784,100.88","399,784,100.88","1,065,763,052.37","1,065,763,052.37","1,065,763,052.37","1,065,763,052.37","703,252,433.93"
投资支付的现金,"168,000,000.00",,"23,070,400.00","3,408,000.00","3,408,000.00","1,000,000.00","1,000,000.00","109,000,000.00","198,000,000.00","36,750,000.00","189,850,000.00","393,053,600.90","453,551,000.00","69,394,568.00"
期末现金及现金等价物余额,"163,561,946.71","373,751,469.11","231,508,613.15","566,777,988.83","399,784,100.88","1,327,922,686.52","1,223,824,204.61","1,256,268,719.31","1,065,763,052.37","969,702,311.16","853,906,091.70","977,881,783.27","703,252,433.93","1,783,415,413.21"
