科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"5,002,198.80","8,723,858.32","15,548,087.21","17,100,307.46","23,534,396.29","8,341,049.62","16,377,935.08","24,908,270.72","35,363,801.95","13,820,892.20","25,555,341.12","40,859,684.38","59,217,792.85","20,049,781.84","36,807,122.83","52,840,109.37","89,043,715.59","17,021,534.63","44,669,120.11","68,629,452.60","102,199,207.78","31,793,994.14","75,117,318.81","130,942,534.23","176,132,548.05","50,294,055.11","101,212,599.75","150,774,526.13","207,860,750.78","51,304,543.36","106,887,525.50","173,490,149.19","234,186,870.35"
取得借款收到的现金,"75,000,000.00","189,900,000.00","198,000,000.00","295,765,100.00","345,765,100.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,,,,"50,000,000.00","50,000,000.00","50,000,000.00","70,000,000.00",,"126,000,000.00","310,899,208.00","336,000,000.00","190,570,151.00","526,700,000.00","679,700,000.00","1,225,638,552.00","342,800,000.00","963,291,058.00","1,993,054,945.00","2,710,282,332.94","575,476,101.00","1,446,624,056.00","2,589,480,250.85","3,123,154,914.13"
支付的各项税费,"5,227,446.09","23,393,763.15","22,405,973.37","24,285,994.70","31,385,058.69","4,559,339.75","10,457,708.10","22,041,882.33","28,016,001.09","5,464,311.48","14,410,137.55","23,210,571.84","31,154,832.22","8,494,196.75","19,058,321.11","31,916,535.01","42,431,930.11","7,068,524.88","21,656,807.59","30,999,941.28","57,318,862.11","14,992,326.47","39,128,023.22","60,434,103.63","90,674,276.82","26,224,354.40","46,573,928.84","89,534,708.36","111,587,483.32","29,586,009.61","72,162,375.15","92,252,498.81","124,840,181.10"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,590,000.00",,"142,500,000.00","142,500,000.00","192,500,000.00"
支付其他与经营活动有关的现金,"59,471,110.21","43,644,420.19","51,360,031.52","14,243,463.66","35,707,658.14","11,853,877.34","22,365,372.93","22,883,605.11","66,790,155.58","6,777,999.92","37,515,562.52","27,651,154.65","51,814,304.14","13,322,364.59","108,322,147.39","138,007,179.46","249,644,115.76","54,290,023.61","116,242,878.14","171,048,998.84","832,755,552.03","73,883,159.03","415,033,496.23","60,569,027.98","158,418,428.63","41,356,860.64","111,188,228.04","104,460,894.68","217,005,327.14","162,083,112.43","172,044,743.24","348,999,143.24","407,157,388.77"
筹资活动现金流入小计,"115,000,000.00","189,900,000.00","255,600,000.00","295,765,100.00","345,765,100.00","647,743,000.00","647,743,000.00","647,743,000.00","656,725,000.00",,,,"21,562,800.00","50,162,450.00","50,000,000.00","50,000,000.00","73,151,199.00",,"126,000,000.00","310,899,208.00","336,000,000.00","190,570,151.00","526,700,000.00","679,700,000.00","1,354,534,734.00","342,800,000.00","963,291,058.00","2,003,778,326.00","2,793,442,049.94","621,477,126.00","1,637,425,081.00","3,583,883,439.66","4,174,356,702.94"
经营活动现金流出小计,"73,839,626.18","81,092,626.51","93,320,348.42","60,774,689.19","97,802,168.27","26,329,321.86","68,513,733.61","88,374,098.99","139,345,040.41","31,637,952.47","91,329,543.42","131,231,122.14","208,276,326.74","60,380,410.59","196,205,423.29","267,191,039.72","457,260,922.71","92,759,555.78","219,882,205.06","321,170,059.85","1,068,427,006.92","140,805,331.15","628,872,368.64","976,417,603.80","1,191,052,332.38","356,347,302.55","841,373,993.49","1,090,151,002.76","1,755,157,750.53","881,875,103.33","1,556,102,802.38","3,178,692,395.84","3,930,543,186.79"
偿还债务支付的现金,,"109,890,000.00","268,000,000.00","233,765,100.00","383,765,100.00","35,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,,,,,"10,000,000.00",,,,"25,000,000.00","105,000,000.00","1,700,000.00","77,700,000.00","147,700,000.00","641,936,945.18","314,300,000.00","766,001,133.00","1,372,187,730.68","2,229,444,345.55","435,612,422.66","1,322,834,056.00","2,053,183,830.48","2,462,366,955.58"
经营活动产生的现金流量净额,"44,239,060.62","60,282,669.19","92,227,306.10","77,478,146.19","99,059,716.13","-12,121,546.82","19,148,520.33","-5,429,671.71","42,407,233.01","25,068,282.72","78,868,528.68","68,651,876.93","49,528,428.04","31,219,195.07","-64,411,989.95","-86,792,423.68","-52,692,158.24","-44,287,882.43","-4,501,885.92","-56,691,862.57","-249,176,545.35","-18,018,559.69","-219,537,549.85","-314,936,902.54","-117,429,491.00","-43,105,279.97","-189,503,927.11","2,413,674.53","201,503,584.83","-286,599,303.08","-36,344,390.45","-222,115,395.37","-193,760,035.02"
分配股利、利润或偿还利息支付的现金,"3,899,643.02","8,604,525.54","29,333,999.71","7,011,796.00","9,320,698.78","739,420.00","1,450,442.64","1,450,442.64","1,450,442.64",,,"23,880,000.00","23,880,000.00","75,000.00","12,721,575.31","13,288,751.73","14,444,333.36","1,279,849.05","21,191,606.95","24,795,572.87","28,468,040.34","6,938,598.17","30,739,917.00","48,219,962.85","62,864,559.54","16,180,290.62","44,919,863.66","59,805,096.21","84,362,826.61","22,739,712.05","61,518,276.92","121,364,669.51","119,387,768.16"
收回投资收到的现金,,,,,,,,,,,,,,,,,"300,000.00","20,000,000.00",,,,,,,,,,,,,,,"11,313,570.16"
支付其他与筹资活动有关的现金,,"1,117,776.64","864,833.36",,,,,,"3,697,200.00",,,,,,"856,800.00","856,800.00",,,"492,800.00","492,800.00","429,800.00",,,,"21,000,000.00",,"70,500,000.00","19,500,000.00","37,505,036.00","3,301,791.71","11,700,000.00","67,242,192.08","70,483,516.90"
取得投资收益收到的现金,,,,,,,,,,,,,,,,"476,054.79","1,183,852.03","453,145.56","707,118.46","1,827,810.28","3,037,336.36","692,093.74","1,797,788.26","1,875,292.34","1,629,997.39","131,533.16","279,502.44","857,355.15","1,254,633.13","1,368,126.33","86,164,789.56","90,327,286.40","72,169,840.73"
筹资活动现金流出小计,"3,899,643.02","119,612,302.18","298,198,833.07","240,776,896.00","393,085,798.78","35,739,420.00","101,450,442.64","101,450,442.64","105,147,642.64",,,"23,880,000.00","23,880,000.00","75,000.00","13,578,375.31","24,145,551.73","14,444,333.36","1,279,849.05","21,684,406.95","50,288,372.87","133,897,840.34","8,638,598.17","108,439,917.00","195,919,962.85","725,801,504.72","330,480,290.62","881,420,996.66","1,451,492,826.89","2,351,312,208.16","461,653,926.42","1,396,052,332.92","2,241,790,692.07","2,652,238,240.64"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,"1,655.80",,,,56.95,,,"37,200.00","37,400.00","779,700.00","765,084.61","765,084.61","823,902.50",,,"23,132.60","1,055,800.00",,"1,944.00","2,966.00","13,640.00",,"35,763.88","36,560.00","71,436.18"
筹资活动产生的现金流量净额,"111,100,356.98","70,287,697.82","-42,598,833.07","54,988,204.00","-47,320,698.78","612,003,580.00","546,292,557.36","546,292,557.36","551,577,357.36",,,"-23,880,000.00","-2,317,200.00","50,087,450.00","36,421,624.69","25,854,448.27","58,706,865.64","-1,279,849.05","104,315,593.05","260,610,835.13","202,102,159.66","181,931,552.83","418,260,083.00","483,780,037.15","628,733,229.28","12,319,709.38","81,870,061.34","552,285,499.11","442,129,841.78","159,823,199.58","241,372,748.08","1,342,092,747.59","1,522,118,462.30"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,"5,654,486.02","13,998,436.02","11,468,150.93",,,,,,,,"6,792,501.23",,,,"4,333,400.00"
四、汇率变动对现金的影响,,"90,403.97","32,622.02","-4,947.42","5,485.11","-20,698.33","-73,566.97","-241,298.20","1,929.47","-35,770.09","26,256.20","30,986.88","-115,626.76","-37,426.93","-25,654.01","-26,831.78","-219,005.77","-3,066.37","9,847.57","-19,095.85","21,356.21","9,737.10",-530.02,"-95,842.25","-76,938.24",617.37,"8,501.33","51,986.88","593,453.37","-45,915.90","-784,764.26","-795,658.18","1,298,075.08"
收到其他与投资活动有关的现金,"4,426,020.79","76,038,952.13","3,092,674.60","167,435.37","167,435.37",,,,"6,860,333.04",,,,,,,,,,,,"10,000,000.00","35,000,000.00","35,000,000.00","35,000,000.00","38,000,000.00","30,000,000.00",,,"5,336,000.00","10,100,000.00","20,100,000.00","7,519,000.00","23,599,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"4,426,020.79","76,038,952.13","3,092,674.60","167,435.37","167,435.37",,,,"6,861,988.84",,,,56.95,,,"513,254.79","1,521,252.03","21,232,845.56","7,126,689.09","16,591,330.91","25,329,389.79","35,692,093.74","36,797,788.26","36,898,424.94","40,685,797.39","30,131,533.16","281,446.44","860,321.15","13,396,774.36","11,468,126.33","106,300,553.44","97,882,846.40","111,487,247.07"
五、现金及现金等价物净增加额,"56,171,238.46","182,092,595.37","-63,881,298.40","23,233,454.75","-64,245,151.09","565,813,373.85","505,488,872.97","426,908,999.43","490,775,853.95","11,784,246.40","45,919,434.86","1,041,957.52","12,406,149.57","75,731,760.48","-138,354,836.23","-192,126,545.62","-125,485,869.87","-35,828,288.36","88,197,030.92","49,151,269.00","-123,128,745.91","22,727,069.90","78,794,896.33","46,930,566.08","205,977,089.17","-44,418,152.42","-186,382,223.48","33,174,862.79","94,175,295.25","-170,923,160.64","217,033,818.22","924,993,841.58","909,732,236.31"
购建固定资产、无形资产和其他长期资产支付的现金,"100,428,823.69","18,107,127.74","116,260,068.05","109,336,533.39","116,048,238.92","34,047,961.00","59,878,637.75","113,712,588.02","103,590,288.53","13,248,266.23","32,975,350.02","43,760,906.29","21,038,254.15","5,537,457.66","14,393,510.79","35,449,686.05","60,305,388.94","10,788,199.94","13,173,572.33","23,075,731.78","35,542,594.30","6,275,637.69","9,484,386.53","12,287,811.47","24,768,661.51","12,583,219.69","26,155,113.78","48,706,161.14","52,825,999.20","7,725,499.34","19,744,746.28","96,614,031.27","92,013,216.82"
期初现金及现金等价物余额,"2,412,308.56","58,583,547.02","240,676,142.39","176,794,843.99","176,794,843.99","124,549,692.90","112,549,692.90","112,549,692.90","112,349,692.90","603,125,546.85","603,125,546.85","603,125,546.85","603,125,546.85","615,531,696.42","615,531,696.42","615,531,696.42","615,531,696.42","495,295,826.55","490,045,826.55","490,045,826.55","490,045,826.55","366,917,080.64","366,917,080.64","366,917,080.64","366,917,080.64","572,894,169.81","572,894,169.81","572,894,169.81","572,894,169.81","667,069,465.06","667,069,465.06","667,069,465.06","667,069,465.06"
投资支付的现金,,,,,,,,,"823,592.13",,,,,,"90,000,000.00","90,000,000.00","11,641,376.51",,,"5,600,000.00",,,"44,257,502.14","44,257,502.14","315,917,502.14",,"11,008,432.85","418,914,101.05","418,920,001.00","432,000.00","58,489,600.00","56,489,600.00","387,562,216.72"
期末现金及现金等价物余额,"58,583,547.02","240,676,142.39","176,794,843.99","200,028,298.74","112,549,692.90","690,363,066.75","618,038,565.87","539,458,692.33","603,125,546.85","614,909,793.25","649,044,981.71","604,167,504.37","615,531,696.42","691,263,456.90","477,176,860.19","423,405,150.80","490,045,826.55","459,467,538.19","578,242,857.47","539,197,095.55","366,917,080.64","389,644,150.54","445,711,976.97","413,847,646.72","572,894,169.81","528,476,017.39","386,511,946.33","606,069,032.60","667,069,465.06","496,146,304.42","884,103,283.28","1,592,063,306.64","1,576,801,701.37"
