科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-249,762.45","-1,237,169.34",,"-3,345,020.50","-2,322,699.93",,"-4,579,023.24","-2,791,667.27","-5,738,000.47","-6,923,477.96","-5,852,587.38","-1,082,993.68","-1,511,188.85","-2,069,454.21","-2,197,705.73","-544,383.82","-685,118.18","-321,825.52","581,958.82","1,548,183.06","1,261,886.10","-678,160.38","-2,711,834.95","-3,704,918.72"
三、利润总额,"67,854,080.71","81,478,996.86","32,466,500.00","91,318,566.07","32,374,160.81","51,627,100.00","100,119,160.21","-5,442,463.33","24,721,381.69","34,217,825.75","67,913,938.54","-17,241,151.65","16,644,503.34","16,615,397.95","42,048,783.21","-19,427,519.48","3,973,018.20","27,290,063.72","110,868,997.99","-1,509,569.02","25,286,657.13","141,259,022.08","218,438,693.91","-7,681,740.10"
资产减值损失,"625,317.12","3,602,785.24",,"3,197,594.56","1,720,460.21",,"2,768,042.37","271,148.01","5,792,164.73","3,160,829.13","5,008,815.19","396,008.30","1,794,295.42","5,577,425.91","12,328,706.61","818,650.32","4,544,271.49","10,111,758.91","18,499,436.74","-1,026,766.61","5,518,261.25","5,893,797.49","17,759,912.50","1,641,823.09"
减:所得税,"8,141,929.85","10,657,640.59",,"12,360,129.17","5,374,801.33",,"13,953,370.08","-1,897,612.38","2,545,199.51","3,865,347.68","6,836,304.81","-4,736,558.46","571,302.67","-3,328,075.27","-1,181,423.77","-3,183,852.53","-1,886,490.39","-234,650.25","18,833,539.26","-1,780,803.48","3,043,483.04","22,325,569.81","48,596,294.24","216,690.96"
加:公允价值变动净收益,,,,,,,,,,"-69,752.00","925,642.47","-3,690,706.44","-576,286.25","-3,963,784.69","-1,604,359.29","688,526.82","678,716.82","678,716.82","-5,610,523.91","6,289,240.73","6,289,240.73","6,289,240.73","3,289,240.73",
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"145,276.68",,,-944.40,"555,146.78",,"987,116.74","107,639.15","813,464.73","707,467.39","12,971,181.30","-5,367,749.43","-5,463,578.76","-1,969,242.77","4,440,593.96","-352,114.76","4,928,070.41","6,511,165.56","17,599,746.69","5,442,575.05","6,115,973.47","9,890,008.99","12,431,018.98","-715,166.38"
四、净利润,"59,712,150.86","70,821,356.27","26,637,100.00","78,958,436.90","26,999,359.48","42,192,300.00","86,165,790.13","-3,544,850.95","22,176,182.18","30,352,478.07","61,077,633.73","-12,504,593.19","16,073,200.67","19,943,473.22","43,230,206.98","-16,243,666.95","5,859,508.59","27,524,713.97","92,035,458.73","271,234.46","22,243,174.09","118,933,452.27","169,842,399.67","-7,898,431.06"
其中:对联营企业和合营企业的投资权益,,,,-944.40,"-5,812.12",,"-17,677.78",,"-25,731.48","-17,643.03",,"-2,032.65","-14,150.45","-19,688.41","-26,801.26","-502,621.59","-470,466.44","-723,173.56","-1,152,007.32",,"425,402.28","228,464.13","228,688.21","-715,166.38"
归属于母公司所有者的净利润,"59,702,225.10","71,072,436.28","27,227,100.00","79,494,630.51","27,474,177.64","43,330,800.00","86,886,642.29","-3,183,481.08","22,952,216.02","31,715,042.97","63,140,346.92","-12,255,865.14","18,229,118.61","23,857,119.24","51,474,724.91","-14,292,440.94","8,643,141.21","33,279,038.82","103,025,506.96","1,241,483.91","23,979,888.33","122,272,706.03","172,523,315.83","-6,005,694.37"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"9,925.76","-251,080.01",,"-536,193.61","-474,818.16",,"-720,852.16","-361,369.87","-776,033.84","-1,362,564.90","-2,062,713.19","-248,728.05","-2,155,917.94","-3,913,646.02","-8,244,517.93","-1,951,226.01","-2,783,632.62","-5,754,324.85","-10,990,048.23","-970,249.45","-1,736,714.24","-3,339,253.76","-2,680,916.16","-1,892,736.69"
