科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"62,868,639.13","73,851,488.05","74,389,786.41","24,943,195.06","42,986,572.13","62,021,776.57","89,219,859.33","29,600,048.39","50,745,497.86","76,350,268.34","113,075,343.71","52,193,329.23"
取得借款收到的现金,"105,231,948.44","175,221,062.00","123,000,000.00","110,000.00","11,284,800.00","55,199,800.00","120,699,800.00","152,998,647.50","331,169,882.64","595,244,882.64","655,744,882.64","105,900,000.00"
支付的各项税费,"10,781,849.60","14,795,006.08","36,725,726.94","16,060,856.67","24,529,320.90","31,287,896.54","37,574,567.36","15,049,354.90","23,141,607.26","43,381,106.98","53,310,697.61","16,000,100.45"
收到其他与筹资活动有关的现金,,"1,586,789.58","1,100,000.00",,,,"95,500,000.00","18,892,997.20","18,892,997.20","18,892,997.20","18,897,129.53","4,300.00"
支付其他与经营活动有关的现金,"36,563,211.55","50,057,686.56","62,784,302.44","16,984,542.25","43,891,903.77","63,026,890.73","80,872,654.50","23,472,436.55","43,849,894.52","85,849,145.51","89,663,440.69","38,511,350.97"
筹资活动现金流入小计,"108,231,948.44","256,807,851.58","124,300,000.00","253,131,860.00","264,306,660.00","310,801,660.00","474,117,740.00","171,891,644.70","358,540,879.84","637,615,879.84","703,120,012.17","105,904,300.00"
经营活动现金流出小计,"252,915,749.72","301,750,763.25","396,312,781.41","124,296,113.04","246,225,059.46","431,578,842.21","597,280,569.36","215,676,402.80","332,561,159.91","579,455,795.25","708,756,837.26","202,479,354.07"
偿还债务支付的现金,"41,790,605.60","116,998,656.84","99,075,748.00","30,120,000.00","45,120,000.00","54,120,000.00","112,993,000.00","1,284,800.00","32,984,800.00","78,455,780.00","146,455,780.00","39,372,167.50"
经营活动产生的现金流量净额,"46,209,306.97","-4,608,782.90","97,945,684.99","-48,113,903.22","-57,303,448.37","-84,001,073.68","-153,716,523.40","-114,573,272.02","-102,103,927.44","-95,522,124.23","36,876,681.68","-53,277,682.86"
分配股利、利润或偿还利息支付的现金,"5,290,976.81","6,437,965.96","7,944,091.82","2,011,715.70","10,222,210.14","13,151,836.46","15,284,777.67","2,551,695.36","17,138,898.02","24,431,148.10","35,571,632.41","9,322,860.18"
收回投资收到的现金,,,"5,000,000.00",,,,,,,,,"8,719,814.98"
支付其他与筹资活动有关的现金,,"2,650,000.00","2,930,000.00","20,899,506.85","24,654,206.85","28,857,206.85","14,649,310.44","6,660,680.25","13,761,074.16","19,726,212.04","28,099,681.48","25,124,736.18"
取得投资收益收到的现金,,,"17,445.18",,,,,,,,,
筹资活动现金流出小计,"47,081,582.41","126,086,622.80","109,949,839.82","53,031,222.55","79,996,416.99","96,129,043.31","142,927,088.11","10,497,175.61","63,884,772.18","122,613,140.14","210,127,093.89","73,819,763.86"
处置固定资产、无形资产和其他长期资产收回的现金净额,"2,059.23","5,000.00","209,872.72",,"59,000.00","59,000.00","59,000.00",,,"5,000.00","116,431.03",
筹资活动产生的现金流量净额,"61,150,366.03","130,721,228.78","14,350,160.18","200,100,637.45","184,310,243.01","214,672,616.69","331,190,651.89","161,394,469.09","294,656,107.66","515,002,739.70","492,992,918.28","32,084,536.14"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,"12,584.58","148,193.30","752,968.63","16,957.45","-127,909.44","-342,377.77","-315,030.20","-462,001.58","-165,589.52","-12,440.28","-30,377.35","-76,102.08"
收到其他与投资活动有关的现金,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"2,059.23","5,000.00","5,227,317.90",,"59,000.00","59,000.00","59,000.00",,,"5,000.00","116,431.03","8,719,814.98"
五、现金及现金等价物净增加额,"2,591,385.42","50,294,973.15","62,990,902.94","136,856,648.22","33,657,768.66","-25,814,515.45","4,107,501.73","-38,016,517.58","-84,952,380.24","61,823,393.58","81,094,869.93","-60,072,477.75"
购建固定资产、无形资产和其他长期资产支付的现金,"104,782,931.39","36,770,666.03","46,600,033.03","15,147,043.46","36,280,116.54","68,305,649.01","85,213,564.88","74,059,213.07","143,140,258.65","210,866,069.32","259,265,268.70","45,752,663.93"
期初现金及现金等价物余额,"33,656,770.96","36,248,156.38","86,543,129.53","149,534,032.47","149,534,032.47","149,534,032.47","149,534,032.47","153,641,534.20","153,641,534.20","153,641,534.20","153,641,534.20","234,736,404.13"
投资支付的现金,,"39,200,000.00","8,000,000.00",,"57,000,000.00","87,897,031.68","87,897,031.68","10,316,500.00","25,316,500.00","27,316,500.00","49,206,500.00","1,558,380.00"
期末现金及现金等价物余额,"36,248,156.38","86,543,129.53","149,534,032.47","286,390,680.69","183,191,801.13","123,719,517.02","153,641,534.20","115,625,016.62","68,689,153.96","215,464,927.78","234,736,404.13","174,663,926.38"
