科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
收回投资收到的现金,,,,,,,,"-10,218.00",,,,"3,004,216.44","11,000,000.00","11,005,216.43","11,000,000.00","21,367,868.54","200,000.00","200,000.00","600,000.00","10,182,483.04",,,"16,800.00","3,610,828.80",,"87,000,000.00","102,034,952.05","352,200,000.00",,,,"51,000,000.00","8,500,000.00","9,660,847.36","9,660,847.36","9,660,847.36",,"13,510,000.00","14,700,000.00",,"1,500,000.00","8,500,000.00","14,500,000.00","235,956.00","250,000.00"
支付其他与筹资活动有关的现金,,,,,"52,068.17","1,833,068.17","1,833,068.17",,,,,,"137,000.00","247,000.00",,,,"69,855.80","69,855.80",,,,"1,617,843.25",,,,"2,000,000.00",,,,,"76,943,184.86",,"1,640,618.00","1,640,618.00","1,700,000.00",,,,,,,,"31,966,232.70",
取得投资收益收到的现金,,,"4,064.00","4,064.00","3,084.00","3,084.00","3,084.00","20,436.00",,"41,120.00","41,120.00","511,870.00","7,172.59","22,516.16","48,292.59","41,200.00","29,850.00","83,850.00","4,031,520.59","4,031,520.59","16,800.00","16,800.00",,"1,000,364.94","25,269.04","209,663.57","209,663.57","8,391,311.04","53,287.50","53,287.50","53,287.50","4,798,475.67","1,005,450.66","1,014,546.29","1,004,295.66","1,726,194.20","33,390.00","33,390.00","33,390.00","33,390.00","35,393.40","35,393.40","35,393.40","3,844,484.14",
筹资活动现金流出小计,"65,865,500.00","87,064,353.97","257,462,382.53","512,581,572.56","142,421,903.67","228,988,758.46","387,923,322.87","783,638,817.83","275,660,670.90","614,735,049.22","713,233,236.79","1,196,120,475.01","395,923,842.43","666,245,733.16","896,290,710.63","1,406,119,887.24","645,923,365.01","805,489,549.41","1,508,062,498.49","1,855,630,660.25","184,918,574.23","573,047,381.53","969,070,673.66","1,601,271,691.29","292,800,996.25","369,280,453.56","481,796,952.84","1,278,470,703.99","146,656,430.94","273,194,335.07","574,316,335.88","1,293,092,915.26","573,363,154.25","649,047,859.45","701,741,575.33","1,008,148,847.37","215,701,826.17","306,790,936.58","590,787,675.69","966,238,542.71","118,090,700.08","176,245,096.92","455,913,990.41","743,502,552.29","229,754,943.95"
处置固定资产、无形资产和其他长期资产收回的现金净额,"2,000.00","50,000.00","4,002.40","94,340.58",,,"3,000.00","244,894.65",,"1,800.00","1,800.00","2,230,003.56",,,,"695,229.98",,"140,000.00","140,000.00","1,114,671.76",,,,"61,750.00",,"31,000.00","24,170.00","611,787.07",,,,"10,000.00",,"99,019.31","60,300.00","108,067.12",,,,"304,709.17",,,,,
筹资活动产生的现金流量净额,"-35,865,500.00","12,935,646.03","462,594,117.47","268,418,427.44","266,052,933.86","179,486,079.07","498,513,514.66","314,538,167.03","-15,659,886.40","-323,234,264.72","220,766,763.21","313,947,725.01","-221,163,842.43","-421,105,633.16","-75,698,810.63","178,731,035.26","84,616,634.99","142,268,376.59","-53,512,763.39","413,237,262.25","76,686,196.07","-118,593,160.65","-323,222,567.37","-394,336,091.29","-167,800,996.25","-119,780,453.56","350,403,047.16","145,909,296.01","-70,656,430.94","-49,495,335.07","130,885,224.12","356,565,511.58","-393,363,154.25","-461,959,139.45","-470,086,322.05","-197,191,351.69","-42,901,826.17","-121,197,936.58","-75,175,075.69","-126,263,627.61","-38,090,700.08","41,754,903.08","-134,413,990.41","-116,323,393.67","-20,754,943.95"
处置子公司及其他营业单位收到的现金净额,,"724,302.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,"70,700.90",,,,,,,,,,,,,,,,"9,664,396.11",,,,,"145,671,380.68",,,"32,055.00",,"11,004.22",,,"14,957,161.65",,,,"19,500,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"2,000.00","774,302.96","8,066.40","98,404.58","3,084.00","3,084.00","6,084.00","255,112.65",,"42,920.00","113,620.90","5,746,090.00","11,007,172.59","11,027,732.59","11,048,292.59","22,104,298.52","229,850.00","423,850.00","4,771,520.59","15,328,675.39","16,800.00","16,800.00","16,800.00","4,672,943.74","25,269.04","87,240,663.57","111,933,181.73","361,203,098.11","53,287.50","53,287.50","53,287.50","201,479,856.35","9,505,450.66","10,774,412.96","10,757,498.02","11,495,108.68","44,394.22","13,543,390.00","14,733,390.00","15,295,260.82","1,535,393.40","8,535,393.40","14,535,393.40","23,580,440.14","250,000.00"
五、现金及现金等价物净增加额,"-110,184,150.68","-519,644.36","295,356,398.88","-28,956,820.06","152,790,421.91","197,671,232.40","383,736,623.56","33,965,113.14","-11,617,457.33","-8,315,027.97","277,784,562.66","92,605,637.02","-129,834,382.52","-189,691,670.29","176,398,277.93","-131,877,824.10","1,711,903.26","67,675,803.38","56,212,599.28","264,814,665.49","-112,725,924.67","-240,083,660.25","-66,801,372.39","49,796,885.56","-283,177,800.69","-329,067,217.21","94,450,299.22","-176,604,441.78","-120,326,786.98","-141,240,915.98","157,419,763.83","477,761,918.37","-454,105,544.75","-492,017,961.99","-440,980,661.57","-254,858,209.19","-113,898,038.99","-84,233,303.15","-80,180,656.92","-102,970,676.25","-129,286,622.63","-18,685,628.40","-114,959,932.09","-326,992,368.57","43,844,204.71"
购建固定资产、无形资产和其他长期资产支付的现金,"11,042,710.60","38,783,534.00","133,096,239.87","196,467,879.88","25,482,786.09","33,286,883.31","42,960,145.67","48,516,362.86","16,054,367.26","71,850,203.82","84,550,979.14","120,149,789.60","9,633,405.01","15,648,102.96","35,158,047.44","71,924,121.39","31,734,508.92","51,238,928.63","65,462,433.33","138,344,870.96","40,667,634.48","55,547,279.75","128,734,100.59","242,851,846.47","25,367,469.94","89,509,108.51","202,721,153.83","336,642,418.32","18,103,265.08","26,712,656.27","36,073,697.43","74,515,218.33","3,004,856.81","14,536,898.52","12,682,725.40","44,760,182.59","2,280,326.54","12,623,171.74","18,327,967.39","18,670,991.69","4,054,564.16","5,668,859.10","16,299,240.59","49,010,768.53","14,533,871.62"
期初现金及现金等价物余额,"244,836,201.44","244,836,201.44","244,836,201.44","244,836,201.44","215,879,381.38","215,879,381.38","215,879,381.38","215,879,381.38","249,844,494.52","249,844,494.52","249,844,494.52","249,844,494.52","342,450,131.54","342,450,131.54","342,450,131.54","342,450,131.54","210,572,307.44","210,572,307.44","210,572,307.44","210,572,307.44","475,386,972.93","475,386,972.93","475,386,972.93","475,386,972.93","525,183,858.49","525,183,858.49","525,187,890.31","525,183,858.49","348,579,416.71","348,579,416.71","348,579,416.71","348,579,416.71","826,341,335.08","826,341,335.08","826,341,335.08","826,341,335.08","571,483,125.89","571,483,125.89","571,483,125.89","571,483,125.89","468,512,449.64","468,512,449.64","468,512,449.64","468,512,449.64","141,520,281.07"
投资支付的现金,,,"400,000.00","41,195,586.70",,,,,,,,"11,928,100.00","11,000,000.00","11,000,000.00","11,000,000.00","50,200,000.00","3,200,000.00","6,200,000.00","6,200,000.00","7,889,032.50","20,000,000.00","20,000,000.00","67,050,000.00","23,600,000.00",,"107,930,000.00","191,530,000.00","372,310,000.00","4,120,000.00","21,620,000.00","21,620,000.00","51,000,000.00","10,500,000.00",,,,,"15,360,000.00","16,500,000.00","1,850,000.00",,,"15,500,300.00","17,089,940.00","1,002,000.00"
期末现金及现金等价物余额,"134,652,050.76","244,316,557.08","540,192,600.32","215,879,381.38","368,669,803.29","413,550,613.78","599,616,004.94","249,844,494.52","238,227,037.19","241,529,466.55","527,629,057.18","342,450,131.54","212,615,749.02","152,758,461.25","518,848,409.47","210,572,307.44","212,284,210.70","278,248,110.82","266,784,906.72","475,386,972.93","362,661,048.26","235,303,312.68","408,585,600.54","525,183,858.49","242,006,057.80","196,116,641.28","619,638,189.53","348,579,416.71","228,252,629.73","207,338,500.73","505,999,180.54","826,341,335.08","372,235,790.33","334,323,373.09","385,360,673.51","571,483,125.89","457,585,086.90","487,249,822.74","491,302,468.97","468,512,449.64","339,225,827.01","449,826,821.24","353,552,517.55","141,520,081.07","185,364,485.78"
