科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
经营活动产生的现金流量净额,"82,652,392.45","83,213,504.73","72,874,979.58","8,770,944.51","5,187,923.97","51,281,422.58","9,405,245.57","6,440,331.70","24,980,535.06","80,501,614.37","24,628,254.64","50,930,085.91","54,543,065.98","156,708,339.95","20,554,554.04","25,096,667.66","16,742,338.38","86,218,766.88","-55,653,509.09","46,346,629.26"
分配股利、利润或偿还利息支付的现金,"36,329,603.49","35,616,560.17","33,328,911.10","29,608,865.09","32,567,798.49","35,988,212.94","2,901,620.02","33,690,017.72","36,938,326.10","40,826,383.99","3,234,760.50","39,496,346.86","43,006,808.81","45,872,477.56","2,895,404.03","46,920,561.95","48,889,283.76","51,574,030.67","3,795,072.93","80,407,047.84"
收回投资收到的现金,"5,312,776.47","17,000,000.00",,,"19,000,000.00","62,000,000.00","109,000,000.00","211,000,000.00","386,000,000.00","707,000,000.00","226,500,000.00","226,500,000.00","226,500,000.00","605,400,000.00","350,850,000.00","624,850,000.00","1,425,540,000.00","1,762,040,000.00","655,100,000.00","776,600,000.00"
支付其他与筹资活动有关的现金,"100,000.00","2,105,300.00","4,321,125.36","6,339,888.01","10,394,629.30","12,194,240.77","13,193,143.72","23,136,166.71","37,122,335.18","42,648,528.36","12,407,983.84","18,453,139.51","25,886,046.53","31,665,104.21","6,747,880.46","22,779,699.25","24,387,311.62","25,573,035.05","10,734,536.27","16,373,163.27"
取得投资收益收到的现金,,"63,813.15",,,"27,462.94","110,696.42","208,244.16","355,812.30","774,244.23","4,964,401.01","1,111,362.79","1,111,362.79","1,111,362.79","1,802,403.65","1,579,910.60","3,055,664.84","19,728,380.15","21,460,420.26","9,994,861.15","11,680,020.66"
筹资活动现金流出小计,"154,959,603.49","159,921,860.17","197,758,807.78","104,544,406.53","168,909,422.00","240,259,333.20","67,432,086.88","226,623,068.90","395,464,642.89","509,630,590.38","126,402,315.65","206,276,785.07","331,087,193.13","482,800,681.54","141,254,249.84","308,157,703.12","472,823,831.67","582,404,122.65","63,210,250.02","232,801,447.67"
处置固定资产、无形资产和其他长期资产收回的现金净额,"345,200.00","494,440.00","80,500.00",,,750.00,"1,000.00","139,331.43","139,331.43","139,331.43",,,,,"10,629,614.40","10,586,606.20","10,457,581.60","10,379,831.40",,"368,796.12"
筹资活动产生的现金流量净额,"-19,759,603.49","-56,370,449.12","-19,731,207.45","3,662,098.12","-6,350,683.05","-5,232,174.82","388,348,367.67","350,428,603.71","383,973,562.49","358,754,607.22","-42,049,626.41","-29,220,975.75","969,584,711.05","891,190,915.69","-57,019,496.28","-134,521,387.63","-179,961,145.74","-69,064,005.82","106,383,821.51","50,368,489.04"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-2,621,382.20","-191,725.97","-476,062.03","116,301.96","52,433.39","-102,487.04","17,430.75","-213,295.00","949,172.91","1,275,227.72","-67,849.58","331,163.28","474,939.45","2,745,974.87","-719,471.35","-2,431,316.45","-4,456,563.56","-4,302,948.75","-1,668,172.26","1,108,146.47"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"5,657,976.47","17,558,253.15","80,500.00",,"19,027,462.94","62,111,446.42","109,209,244.16","211,495,143.73","386,913,575.66","712,103,732.44","227,611,362.79","227,611,362.79","227,611,362.79","607,202,403.65","363,059,525.00","638,492,271.04","1,455,725,961.75","1,793,880,251.66","665,094,861.15","788,648,816.78"
五、现金及现金等价物净增加额,"51,291,669.32","-28,368,156.61","-18,582,469.19","4,448,526.12","-21,767,014.20","-3,575,754.41","382,809,504.57","115,979,427.77","14,167,334.88","100,949,872.57","29,058,432.61","-2,996,566.56","374,574,847.84","233,742,417.72","-126,325,713.03","-204,814,271.03","-251,181,768.36","-199,334,633.14","11,856,166.19","-33,700,483.31"
购建固定资产、无形资产和其他长期资产支付的现金,"11,637,713.91","55,577,739.40","71,330,679.29","8,100,818.47","20,684,151.45","49,633,961.55","15,170,783.58","56,171,356.37","162,649,511.24","234,685,309.18","64,563,708.83","136,148,202.79","221,139,231.43","335,105,216.44","77,950,824.44","122,200,505.65","152,292,359.19","257,626,697.11","86,163,792.89","159,778,763.53"
期初现金及现金等价物余额,"132,506,602.16","183,798,271.48","155,430,114.87","136,847,645.68","136,847,645.68","136,847,645.68","134,051,891.27","133,271,891.27","133,271,891.27","133,271,891.27","234,221,763.84","234,221,763.84","234,221,763.84","234,221,763.84","467,964,181.56","467,964,181.56","467,964,181.56","467,964,181.56","268,629,548.42","268,629,548.42"
投资支付的现金,"3,000,000.00","17,000,000.00",,,"19,000,000.00","62,000,000.00","109,000,000.00","396,000,000.00","620,000,000.00","817,000,000.00","116,500,000.00","116,500,000.00","656,500,000.00","1,089,000,000.00","374,250,000.00","609,250,000.00","1,386,940,000.00","1,748,440,000.00","616,100,000.00","717,600,000.00"
期末现金及现金等价物余额,"183,798,271.48","155,430,114.87","136,847,645.68","141,296,171.80","115,080,631.48","133,271,891.27","516,861,395.84","249,251,319.04","147,439,226.15","234,221,763.84","263,280,196.45","231,225,197.28","608,796,611.68","467,964,181.56","341,638,468.53","263,149,910.53","216,782,413.20","268,629,548.42","280,485,714.61","234,929,065.11"
